<br><font color=teal>*Hassan, Trilliam(ZaVante) says: How have you been? - Tue Dec  8 02:13:58 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Last time I checked, she listened. - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Stop being silly. - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Abra you wanna get the hands tonight? - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: We're fighting. - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Let's go. - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: You're lame. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Let's go to your house. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: If you got one. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: She wants the D! -omit- - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: She does. - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -non-omit- - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hmph. . . - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Let me go check. . . - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: If my old one is still open. - Tue Dec  8 05:51:34 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: It's just like the last time I left this place.  - Tue Dec  8 05:52:25 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: ... - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I ain't know. - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Oh right, how rude of me. I'm Tetsu, a traveling merchant. I just got here a few minutes ago. - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: There is an Inn. - Tue Dec  8 05:59:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll show you if you want. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Thank you little miss. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: By the way, what's your name? - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I am Izanami. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Pleasure to meet you. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Likewise. - Tue Dec  8 06:00:57 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hi chikyu. - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Huh? - Tue Dec  8 06:05:13 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: T-The regular.. - Tue Dec  8 06:05:13 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-Why do you ask? - Tue Dec  8 06:06:04 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh.. - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm not that fat! - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh..uhm..I-I think it's...b-both..I'm uhm..h-having two.. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Two? - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Aah. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Who is the lucky man? Is it this handsome lad beside you? - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh uhm...yeah.. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, if I went that way, I can see why. I bet he got you in all the right places huh? Hehehe. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, then this is a wonderous occasion! - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ... - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Two beautiful people making beautiful children. That's what we need more of in this world. - Tue Dec  8 06:09:29 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: U-Uhuh.. - Tue Dec  8 06:09:29 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'm so happy for you! - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh t-thanks.. - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hi mitsunara.. - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? Long time. - Tue Dec  8 06:12:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Oh my, she's pregnant, huh..? Good for you, Momura.. and yeah, Marco. - Tue Dec  8 06:13:45 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: T-Thanks.. - Tue Dec  8 06:13:45 2015
