<br><font color=teal>***Hokage**(LionHunter) says: Becasue of the rebuilding - Sun Dec  6 04:21:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Or maybe.~ - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey uh...why do we have to wait until later? Can we just start now?  - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Game? - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh--? - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'll hit you once and you'll fall on your butt and not get back up.~ - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You people are insane. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You know you love us Sanoke. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! As if! I'd keep fighting with both my arms broken! - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: 'Cause it'ssuper late and I'm not attentive. The last fight was boring, so I'm mentally resting. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Unless you two can promise to make it exciting? - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, sorry we only know taijutsu. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Kind of hard to be super flashy while holding back. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Of course. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I mean, I guess. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Marco. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Taijutsu can still be fun. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I used to have badass taijutsu fights with my old friend, Koeki. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I beat her a lot. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, you saw me when we were training. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Me and Hiroshi, that is. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Hm...Should train up a little more so I can try my luck with Jounin. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You had fun there. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We can start as soon as possible. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm...... - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, and Marco, I want to talk to you about a few weapons. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm ready whenever he is Iza. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We'll talk about it in a bit, Momura. - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah.. - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah.. - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Now we just wait on Sanoke. - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Is that ok Marco? - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I want to order some weapons and stuff. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I want to talk you about it for a reason. For now, I shall practor Izanami versus Hideo. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Mhm. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Speaking of sparring... - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I haven't sparred in a while. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-My last spar was against Tetsuki-chan. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ..... - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: God. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where t- - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Tetsuki? - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where is she? - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Who is Tetsuki? - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Blackblade g-girl. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You can't miss her. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-She carries a massive sword. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-The size of a human being. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: She's still around? - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mhmmm. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm... - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I sparred with her recently. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I should find her. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Anyway. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where are we going to fight? - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Hiro, when is sensei coming back? - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I need to learn some jutsu soon. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't know Nami. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Soon I hope. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: South. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Lets rock. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Right. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah, me too. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-Izanami is going to w-win. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wish me luck bae!~ - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: D-Don't see the point i-in this. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Good luck. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: I need to learn something new sooner or later. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm..... - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: I need to come up with something new... and something good.. - Sun Dec  6 05:45:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let's go watch i-izanami win. - Sun Dec  6 05:45:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Or at the very least... - Sun Dec  6 05:45:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hideo could win. - Sun Dec  6 05:45:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Anyway. You game to train for a bit, or no? - Sun Dec  6 05:46:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Marco. - Sun Dec  6 05:49:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Maaarco.~ - Sun Dec  6 05:50:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Seems zoned out. - Sun Dec  6 05:51:34 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'm trying to order some weapons and stuff. - Sun Dec  6 05:51:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: YO MARCO! - Sun Dec  6 05:52:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: MONEY! - Sun Dec  6 05:52:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Huh. - Sun Dec  6 05:53:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Usually the temptation of monetary gain awakens him. - Sun Dec  6 05:53:16 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? - Sun Dec  6 05:56:41 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: What do you want? - Sun Dec  6 05:56:41 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: To buy that is. - Sun Dec  6 05:56:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .. Well, I actually had an idea- but she has something she wanted to ask you about. - Sun Dec  6 05:57:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I just yelled abotu Money to wake you up. - Sun Dec  6 05:57:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: How much for a katana? - Sun Dec  6 05:57:32 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Not a lot. One-hundred thousand for a basic one. Maybe more if you want it to be reinforced. - Sun Dec  6 05:58:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Jeez, I wish I was rich. - Sun Dec  6 05:59:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: One hundred thousand it is. - Sun Dec  6 05:59:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo. - Sun Dec  6 05:59:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kinami... I won like... - Sun Dec  6 05:59:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A hundred thou of him in a bet the other night. - Sun Dec  6 05:59:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Have it, I don't spend money anyway. - Sun Dec  6 05:59:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh my. - Sun Dec  6 05:59:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well....... - Sun Dec  6 05:59:15 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Cruel. - Sun Dec  6 06:00:06 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: We should gamble again in time. - Sun Dec  6 06:00:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! - Sun Dec  6 06:00:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You still sore I out drank you? - Sun Dec  6 06:00:57 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I can likely craft you a sword made from re-inforced iron. - Sun Dec  6 06:00:57 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: For around five-hundred, I can increase to a re-inforced steel alloy. - Sun Dec  6 06:00:57 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: And 'sore'. . is a strong take on it. - Sun Dec  6 06:00:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mhhhrm. And- sorry chica, but five hundred, I cannot cover. - Sun Dec  6 06:01:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I see..... - Sun Dec  6 06:01:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm, one katana that's reinforced. - Sun Dec  6 06:02:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Or a basic katana and another weapon...... - Sun Dec  6 06:02:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So you've an interest in the sword? - Sun Dec  6 06:02:40 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Wait we giving out free kenjutsu lessons? - Sun Dec  6 06:03:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I already can do a little something with it. - Sun Dec  6 06:03:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Just can't decide on what else I want to get. - Sun Dec  6 06:04:22 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Maybe a staff? - Sun Dec  6 06:04:22 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: No~ do more sword stuff~ - Sun Dec  6 06:05:13 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? - Sun Dec  6 06:06:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm.. - Sun Dec  6 06:06:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Forget it, I'll take the reinforced katana. - Sun Dec  6 06:06:56 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Easy enough. - Sun Dec  6 06:08:38 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'll have it done shortly. - Sun Dec  6 06:08:38 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: In the meantime, you can go pick up a bokken from the shop to practice on. - Sun Dec  6 06:08:38 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I want one too! How much was it? - Sun Dec  6 06:09:29 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Didn't I already give you one? - Sun Dec  6 06:11:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: No a katana. - Sun Dec  6 06:11:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Oh. You can pay for one? - Sun Dec  6 06:11:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh.. maybe? How much? - Sun Dec  6 06:12:03 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: There is no set price. If you want a standard Katana, I'd say around one-hundred grand will suffice. - Sun Dec  6 06:12:54 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Yes~ standard katana then. Thank you~ - Sun Dec  6 06:13:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Sun Dec  6 06:15:28 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: It'll be done within a week's time. - Sun Dec  6 06:16:19 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You two weren't about to go pummel one another? - Sun Dec  6 06:17:10 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Alrighty. - Sun Dec  6 06:17:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! Heh... maybe. - Sun Dec  6 06:17:10 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Cool... and I hope not she'd break me. - Sun Dec  6 06:17:10 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh them. Yeah they do that a lot. - Sun Dec  6 06:18:01 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hah. Not you, Kinami and Mitsunara were scheduling a brawl with one another. - Sun Dec  6 06:18:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh yeah? Sounds like a neat fight. - Sun Dec  6 06:19:44 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: Hrm. . Maybe toss some mud into the scenario as well. - Sun Dec  6 06:19:44 2015
