<br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Appreciated. - Sun Dec  6 23:10:56 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) (*Minatabi Eiyu continues to hold her hand. His blue eyes unwavering in it's conviction.

"Tell me everything that has happened."*)* - Sun Dec  6 23:22:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sun Dec  6 23:22:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Everything? - Sun Dec  6 23:22:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What do you mean? - Sun Dec  6 23:22:01 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) releases her hand with instructions woven into her skin. * - Sun Dec  6 23:23:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You will not be able to. - Sun Dec  6 23:23:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tell anyone of Kumogakure's affairs. - Sun Dec  6 23:23:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Physically. - Sun Dec  6 23:23:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Impossible. - Sun Dec  6 23:23:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm sorry.. .But this ensures..... - Sun Dec  6 23:24:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That if the enemy finds out about you... - Sun Dec  6 23:24:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You won't tell them anything..... - Sun Dec  6 23:24:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You say that...but I know you don't trust me.. - Sun Dec  6 23:25:26 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) shakes his head. "There is just too much at stake, and I can't let the people of Kumogakure be put in danger because of it... I put that on you, and informed you out of good faith, it could be a simple matter of having it removed in the future, but you must realize that I'm doing this so our people will be safe....... I trust you, Kari-Chan.. I care for you greatly..."* - Sun Dec  6 23:28:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You don't.... - Sun Dec  6 23:28:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I was told you were still watching me... - Sun Dec  6 23:28:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: *Sighed heavil* - Sun Dec  6 23:28:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: *heavily* - Sun Dec  6 23:28:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ....I don't even know where you were.... - Sun Dec  6 23:28:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No-one has been sent. - Sun Dec  6 23:28:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You don't trust my abilities to conceal information... so you do this...but I can't  stop it... - Sun Dec  6 23:28:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's done... - Sun Dec  6 23:28:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To watch you. - Sun Dec  6 23:28:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Do you resent me? - Sun Dec  6 23:29:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No... it makes me sad. - Sun Dec  6 23:29:42 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will give you one wish, besides removing the seal... You can ask one thing of me, and I will do it as a show of good faith. - Sun Dec  6 23:30:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't have a wish, Raikage-sama... - Sun Dec  6 23:40:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But because you did this you made it so I can't talk about -anything- Kumogakure related and it might become alarming that I can't talk about where I 'used to be a shinobi'. - Sun Dec  6 23:40:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: If they see this seal they are going to immediately not trust me. - Sun Dec  6 23:41:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: They'll probably torture me... - Sun Dec  6 23:43:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Or Ichiro.. - Sun Dec  6 23:43:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Is it alright if I stay a few more days... I need to figure out how to cover this up before I return. - Sun Dec  6 23:44:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Akarui being dead, now this... - Sun Dec  6 23:44:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I thought my life was going to be better now that I got my freedom and Sogeki. - Sun Dec  6 23:44:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You said you wanted to know everything... theres a group of four including myself staying at our camp. - Sun Dec  6 23:45:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: We aren't liked by others and they are getting pretty settled in to stay put where we are. - Sun Dec  6 23:45:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I train mostly... - Sun Dec  6 23:45:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: There are a few friendlies who visit and some non-friendlies around the area but I'm safe. - Sun Dec  6 23:45:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: They see me as their 'little sister'... but it's more like a mascot. - Sun Dec  6 23:45:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Things have been relatively slow and quiet. - Sun Dec  6 23:45:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Nothing new has come up. - Sun Dec  6 23:45:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see... - Sun Dec  6 23:49:20 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hello. - Mon Dec  7 20:12:09 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hey. - Mon Dec  7 20:12:09 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: How're you? - Mon Dec  7 20:13:00 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: + - Mon Dec  7 20:38:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hey, Takuma-san. - Mon Dec  7 20:59:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hey. - Mon Dec  7 21:00:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, I see... Mrm... always wanted to visit this place. How you guys holding up lately, then? - Mon Dec  7 21:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Pretty good. - Mon Dec  7 21:15:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: No idea man. - Mon Dec  7 21:17:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: People just come and go, I wonder if our guards are just being lazy. .  - Mon Dec  7 21:17:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Come to the wrong place, we don't have many swordsmen. - Mon Dec  7 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I should go talk to my toad buddies. - Mon Dec  7 21:20:25 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Forever alone status. - Mon Dec  7 21:20:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo, real quick. - Mon Dec  7 21:24:41 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Are Sunagakure's guards still on edge? - Mon Dec  7 21:24:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh? A bit... not as much? Plus.. - Mon Dec  7 21:24:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: The new Kazekage's a lot more lenient about letting people in. - Mon Dec  7 21:24:41 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright. . .I'm going to go visit. - Mon Dec  7 21:25:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I ask 'cus I can stand to lend you a normal sword, and use somethin else. - Mon Dec  7 21:25:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmm. - Mon Dec  7 21:26:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: A regular katana? - Mon Dec  7 21:26:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Eeer.. - Mon Dec  7 21:26:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Not that proficient.. - Mon Dec  7 21:26:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: How about you give me time to go buy a Zanbatou and we'll go at it? - Mon Dec  7 21:26:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sure, if you know a place you can get one reasonably soon. - Mon Dec  7 21:27:15 2015
<br><br><font color=teal>***Raikage**(Dragonfile) thinks: I;ll be sure to use my weapon on her. - Mon Dec  7 21:45:10 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ... - Mon Dec  7 21:45:10 2015
<br><br><font color=yellow>***Raikage**(Dragonfile) glances at Kai knowing good and well why she intended to avoid Kumogakure. Sadly over this period of time the male had become all the more distrusting - more than likely due to the fact most of his fighting force consisted of shinobi who once claimed alliegance, but then did whatever they wanted to. Yet in the end they always returned 'home' when it became a necessity. 

In the foreground a rendition of metallic clangs echo, sparks buzz haphazardly and illuminate the robes sheen partially. Eiyu catches glimpse of the female, but doesnt acknowledge her for the time being..

He is like a statue.* - Mon Dec  7 22:03:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Somehow... I doubt that. The strength to swing around that big 'ol thing... - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: But not to pierce my skin with it? - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm not buyin it. - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Y'know? - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hahaha. - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Don't think Sogeki has seen me yet. - Mon Dec  7 22:07:21 2015
<br><br><font color=yellow>***Raikage**(Dragonfile) "Give me your hand.." He whispers - breaking the silence, and ruining any attempts of her speaking up. * - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: ....crap. - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... guess I'll give you my name, now. - Mon Dec  7 22:09:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mitsunara. - Mon Dec  7 22:09:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Name's Alberto. - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Del. - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Rio. - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hey Aero-kun. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I see, Alberto.. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Del.. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Rio. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Nice to meetcha. - Mon Dec  7 22:10:46 2015
<br><br><font color=yellow>***Raikage**(Dragonfile) erases the seal entirety, he knew the formula and so it would be a simple matter to do so. 

However, that wasn't his only action. When he was finished ridding Kari of the seal he directs himself to the inner-sanctum of his manor.

"You are free. Do what you will."

If he was not stopped he would enter Kumogakure's manor.

"We are done."* - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Of course. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Guess I'm done here, for now.. Hey! - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) thinks: So much for that. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You know any good swordspeople elsewhere, Alberto.. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Del.. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Rio? - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) thinks: And he ignored me, *mental sigh*---Ouch...I should stop doing that..it hurts. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm? - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...have your discussion, Sogeki. - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Very well. - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He looks well.... - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 22:16:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Leave it to Sogeki. - Mon Dec  7 22:16:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Kariudo still has a phat- - Mon Dec  7 22:17:36 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) chuckles - but it wasn't out of disrespect for his counterpark, he was actually humored by the prospect of people drowning their sorrows in liquor. "No." He shakes his head. "Let me tell you why." He opens his desk - and instantly a river of paper with Fuuinjutsu markins flood the floor. <Damn it.. I thought I told someone to lean this...... Damn..> When he came to the determination he wouldn't find it, and not wanting to risk Sogeki seeing his collection of Hentai monthly he draws his hands forward.

"Sobriety  is important, a drunk nation is a weak nation, and instead of drowning our sorrows away with liquor let us get to the root of the problem, no? I take it I am somewhat to blame for this calamity and I can ensure you I am doing everything I can to correct it."* - Mon Dec  7 22:20:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will grant this request. - Mon Dec  7 22:44:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: This will help morale, but I do trust my shinobi to exercise discipline. - Mon Dec  7 22:44:03 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ...Really? - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Wow... - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright.. uhh.. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Cool. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: In return. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No more hurting yourself. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: That entirely.. cuts out my argume- - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Right.. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If I must. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will employ tactics I don't wish to ensure you do not harm yourself. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You don't just live for yourself. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Remember that. - Mon Dec  7 22:46:36 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) takes off his headband revealing his Rinnegan.* - Mon Dec  7 22:47:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Mon Dec  7 22:48:19 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: This is a gank. - Mon Dec  7 22:48:19 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: omit - Mon Dec  7 22:49:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I understand. I will be giving you more missions that require a lot of skill. - Mon Dec  7 22:50:52 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) dies from the impact of the scroll hitting him.

"Ooof." 

Kumogakure shinobi swarm Takuma after this action but instead of killing him they make him the Raikage of Kumogakure.

"Damn."* - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Thank you. - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh, by the way. Sunagakure has invited us to a Festival. - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have something to give you as well, Takuma-San. - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: --- - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: I'm good.. - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ... - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What do you have to give? - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You possess the Katon element, no? - Mon Dec  7 22:52:35 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Of course. - Mon Dec  7 22:52:35 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) passes him a scroll.* - Mon Dec  7 22:52:35 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) reads the scroll that Takuma left him on the low while he continues to dicuss the events of Kumogakure. It seems that he had the affinity for multi-tasking in various scenarios, though, for the time being he half expected to find the lady to speak up but she had remained stagnant for a fixed duration of time leaving Eiyu with the impression she was currently preoccupited with her thoughts.* - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: So.. - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Besides the liquor. - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What else did you want to discuss. - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Is that it? - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ummm. - Mon Dec  7 22:57:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Oh, yeah. - Mon Dec  7 22:57:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: One last thing. - Mon Dec  7 22:57:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Just one. - Mon Dec  7 22:57:42 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) extends his fist to bump with Sogeki hoping that this nigga didnt have explosive release.* - Mon Dec  7 22:58:33 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Respect. - Mon Dec  7 22:58:33 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) nods his head. "Yes, it is. But in the end you get what you desire, and in the end that is what you wanted, no?"* - Mon Dec  7 23:05:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So you are relieving me as a shinobi..... - Mon Dec  7 23:05:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And is that really what -you- want? - Mon Dec  7 23:06:14 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Mon Dec  7 23:06:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Then what are you doing you big headed idiot? - Mon Dec  7 23:06:14 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Because I'm not taking anymore chances. - Mon Dec  7 23:07:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..so because you don't trust me. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are throwing me away.... - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is someway to put it, and not correct in the slightest. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You wanted this. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Not I. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......no I didn't. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You think this is what I want but it isn't. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I been doing what I want to do. - Mon Dec  7 23:08:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Working for you but being able to live with my brother. - Mon Dec  7 23:08:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Then what do you want, Kari? Yes, you have... But you are - But I have no way of knowing what you've been doing. - Mon Dec  7 23:08:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Your mistrust just keeps growing and growing when no one in the village even thinks of me as a traitor anymore. - Mon Dec  7 23:08:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I send you reports! - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You do. - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Then what the hell?! - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's not a simple matter...... - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You are in a sticky situation. - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What if they use your brother as a tool? What if they tell you to kill Ichiro in return for your brother? What if they do someting to you? - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: There are so many. - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: This has been going on for the last eight months and NOW you think that I'm a traitor? NOW you think that you need to let me go? I am the most LOYAL PERSON TO YOU. - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Rotues. - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..... - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: My own BROTHER doesn't know I am still allied to you! - Mon Dec  7 23:11:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Out of everyone in the village I come back to see YOU AND SOGEKI. - Mon Dec  7 23:12:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's IT. - Mon Dec  7 23:12:12 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) lunges over the table - both of his extending to grab hold of her collar if she allowed it. The fabric around her torso begins to bulge as the Raikage of Kumogakure pulls her inward so that they are staring eye to eye - his icy gaze penetrating deep into her soul.

"I understand, Kari-Chan. But what would have me do!? You have no idea of the precarious situation I am. You have no idea what's at stake! I don't want there to be a repeat in which our entire nation is destroyed and we work from the ground up. It's me this.. Me that. The Raikage's fault, he doesn't me... He betrayed me.." 

"You dont get a second chance if you fuck up, Kari-Chan...! I'm trying to help you... I am trying to help Kumogakure....." He releases his hold either way.* - Mon Dec  7 23:16:28 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) kept his hold on her. "Forgive me, but if what you say is to be true allow me to do so."* - Mon Dec  7 23:25:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To do.. - Mon Dec  7 23:25:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...yes... you can... - Mon Dec  7 23:25:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Something. - Mon Dec  7 23:25:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm giving permission for interrogation. - Mon Dec  7 23:26:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: . . .. ...I see.... - Mon Dec  7 23:26:43 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) begins to form a series of handseals before Kari, when this performance was over he aimed to entice her mind to get her to relay information about her past.

"Tell me everything about Ichiro and his faction, what has he been hiding? What do they have you do?"* - Mon Dec  7 23:30:08 2015
