<br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Sun Oct  4 04:46:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Are you making fun of him? - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *squints* - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's mean. - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'm not. - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: No... im not, im actually very smart thank you - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'm actually concerned.... - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thank you for your concern Ixanami - Sun Oct  4 05:53:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Izanami* - Sun Oct  4 05:54:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im perfectly fine... just basking in the light of Jesus our lord and savior... - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So... - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Uh... - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: We're pretty much the same. - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'm fourteen and still believe in fairy tails. - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: You're...Much older and do too. - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Fairy tales? - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Indeed. - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What are those? - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Jesus was a very good man; But not my Messiah. See...I'm Jewish. Like Jesus was. - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ..... - Sun Oct  4 05:57:58 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Jesus was no fariy tail my friend he was a kind and forgiving person - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I have literature, if you'd like a read? - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: So do I... - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I cannot agree with yours either. - Sun Oct  4 06:13:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well we just have to agree to disagree my friend - Sun Oct  4 06:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh.. - Sun Oct  4 06:14:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: But if you need healing im your man - Sun Oct  4 06:14:11 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I see. - Sun Oct  4 06:14:11 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If you need a dude mauled, I am your's. - Sun Oct  4 06:14:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Good to know - Sun Oct  4 06:15:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: . . .  - Sun Oct  4 06:15:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Ergh... - Sun Oct  4 06:16:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Is there a problem? - Sun Oct  4 06:16:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No. - Sun Oct  4 06:16:44 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Sun Oct  4 06:16:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Another one. - Sun Oct  4 06:17:36 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Can I have that scroll back...? - Sun Oct  4 06:19:18 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Are you ok Iza? - Sun Oct  4 06:26:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'll be honest. I don't buy into Judiasm, either.  - Sun Oct  4 06:31:15 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Just found this laying in a trash can one day... - Sun Oct  4 06:31:15 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Not that I search trash cans. - Sun Oct  4 06:31:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Sun Oct  4 06:32:06 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hey can I get some food or something... - Sun Oct  4 07:02:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Okay. . What the fuck. - Sun Oct  4 07:07:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Even Lera? - Sun Oct  4 07:07:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why did you leave Kirigakure? - Sun Oct  4 07:07:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: I came here with Seisuke. - Sun Oct  4 07:18:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: And besides, My sensei is here. Of course I would follow. - Sun Oct  4 07:19:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sun Oct  4 07:19:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Lord. Is anyone in Kiri? - Sun Oct  4 07:19:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Honestly....no - Sun Oct  4 07:19:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: It was empty when I was there. - Sun Oct  4 07:19:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Yo. - Sun Oct  4 07:19:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: hello Yan - Sun Oct  4 07:20:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's quiet. - Sun Oct  4 07:24:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yup. - Sun Oct  4 07:25:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Everyone is dozing off - Sun Oct  4 07:25:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Why. - Sun Oct  4 07:25:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow, really? - Sun Oct  4 07:25:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eh. - Sun Oct  4 07:26:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I still blame Koeki. - Sun Oct  4 07:26:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So, Lera. You should help ya boy with some genjutsu. - Sun Oct  4 07:26:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I really hope someone frees me... I want to at least train while im here... - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Wait so are we like taking eveyone who leaves Kiri wont that cause a problem or something. - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: Eh? - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: I only know two genjutsu - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's cool. I don't know any. - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uhh...okay. sure I guess. - Sun Oct  4 07:30:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: And uh Yan. If you're willing to trade, I probably have some jutsu you want. - Sun Oct  4 07:30:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: These damn guards need to tell some one... i wanna talk to Sanoke... - Sun Oct  4 07:31:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Genjustu? - Sun Oct  4 07:31:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah, Genjutsu. - Sun Oct  4 07:32:41 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We'll see. - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Let's roll-- Wanna race to the training area? - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll carry this girl, and have the shell on too. - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: You know I'm not very fast. - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well... - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Now what to do with this money Kenshin gave me.. - Sun Oct  4 07:36:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm, - Sun Oct  4 07:44:38 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So quite around here. - Sun Oct  4 07:44:38 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: At least im safe - Sun Oct  4 07:54:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Can you guards get Lord Hassan?  - Sun Oct  4 07:57:26 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You had better be. - Sun Oct  4 08:25:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I was so eager to see you... im sorry it wont happen again... - Sun Oct  4 08:29:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Better not. - Sun Oct  4 08:30:43 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm? - Sun Oct  4 08:30:43 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Better not what? - Sun Oct  4 08:32:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Happen again. - Sun Oct  4 08:34:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But as I said in the letter, can you help me for a while my Lord? - Sun Oct  4 08:39:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: What's going on? - Sun Oct  4 08:40:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We oughta spar later too. - Sun Oct  4 08:41:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uh, sure. - Sun Oct  4 08:41:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera? - Sun Oct  4 08:45:13 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Why are you here? - Sun Oct  4 08:45:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Vi? - Sun Oct  4 08:47:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: I came here with Seisuke. - Sun Oct  4 08:47:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: chasing this guy - Sun Oct  4 08:48:38 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Oh Lord  Hassan - Sun Oct  4 08:50:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uh huh. My old man. - Sun Oct  4 08:53:45 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Lord....thats still funny. - Sun Oct  4 08:53:45 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well do you have tie to teach me that lighining move? - Sun Oct  4 08:54:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ty - Sun Oct  4 08:55:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: -brak- - Sun Oct  4 08:55:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sure - Sun Oct  4 08:57:10 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Morning. - Sun Oct  4 09:37:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Morning - Sun Oct  4 09:38:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, oh sure. - Sun Oct  4 09:39:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hey. - Sun Oct  4 09:50:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Both of you, battle me. - Sun Oct  4 09:50:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I want to see if you all still stink at fighting. - Sun Oct  4 09:50:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Are you refering to me? - Sun Oct  4 09:51:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And Lera, yes. - Sun Oct  4 09:52:38 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I dot know if she is up, but I can take you on... - Sun Oct  4 09:53:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That works. - Sun Oct  4 09:53:29 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Dont expect a challange... Im still not as skilled as a normal genin and you are a chunin - Sun Oct  4 09:54:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm not even a shinobi. - Sun Oct  4 09:54:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Your still stronger than me... - Sun Oct  4 09:55:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who knows. I might not be. - Sun Oct  4 09:55:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Here I guess? - Sun Oct  4 09:56:03 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Where ever is fine unless you want to use that arena full of sand south of here... that is if you want your techniques and strategies exposed - Sun Oct  4 09:57:45 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh, I don't really care where. Your choice. - Sun Oct  4 09:58:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: we can more alittle farther out - Sun Oct  4 09:58:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Doesn't matter. - Sun Oct  4 11:54:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Morning. - Sun Oct  4 12:50:59 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Mhm. - Sun Oct  4 12:50:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Sun Oct  4 12:54:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Kilm. - Sun Oct  4 12:59:31 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Seisuke? - Sun Oct  4 12:59:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Think you could do me a favor? - Sun Oct  4 12:59:31 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm? - Sun Oct  4 12:59:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm collecting scrolls for a friend, Jutsu scrolls of all trades. - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Could you donate? - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And who's your friend? - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Not that important. - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . I'm willing to donate one. - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I was hoping for an exceedingly generous donation, since I helped you out last time. - Sun Oct  4 13:01:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . - Sun Oct  4 13:01:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Three then. - Sun Oct  4 13:01:13 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 13:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Unique Techniques would be appreciated, I already have most common techniques. - Sun Oct  4 13:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: After this Three., - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll pay everyone here. - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Two Hundred Thousand. - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: For each technique I don't have. - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mhm. - Sun Oct  4 13:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Surprisingly. - Sun Oct  4 13:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have Two of them already. - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You have all of these? - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Ah I see. - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I do. - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Heh. - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . Something else then? - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm actually looking for Fire, Wind, Lightning, Or none-elemental techniques. - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have the least amount with those. - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Any other Techniques? - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How about this. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: One Hundred Thousand for a D rank. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Two Hundred for C rank. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Three Hundred for B. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Gantai was D rank. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Five Hundred for A. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That was of the three you're donating. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Was it not? - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright then. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have that one already. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm... - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I have one I could maybe donate. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: But. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep----Nope. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Instead of money, I'd like a chance to learn from the scrolls you're getting from everyone. - Sun Oct  4 13:15:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Sun Oct  4 13:15:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Definately possible. - Sun Oct  4 13:15:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Depends on the value of what you offer? - Sun Oct  4 13:16:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nope. - Sun Oct  4 13:16:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Interesting. - Sun Oct  4 13:16:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Reminds me of a Technique I discovered in Konohagakure. - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll take it. - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: So I assume we have a deal? - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have that one. - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And. - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You can get what you put in, Sound fair? - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you supply me with a flow of techniques. - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll supply you with the same. - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sound fair? - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not exactly when you have most by this point, haha. - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll let you take a few to learn. - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But. - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Just remember me when you learn something big, Alright? - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: That's fine. - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Sun Oct  4 13:20:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Invest something big and it'll be a possibility. - Sun Oct  4 13:20:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:20:00 2015
