<br><font color=yellow>*Sabara, Izutora(Get Jazzy) eagerly regained his footing after performing the twin kicks. He'd take one cartwheel, well aware of his surroundings while doing such. The male would fish throughout his backpouch, demoralized when he found that he couldn't find a kunai knife. He clutched onto something that seemed to be much more useful for his tactics.

Suddenly, his hand would emerge from his backpouch...holding.... a fish. He'd whip the fish directly at Amon, and without a second thought he'd bound off of his feet, performing a quick spin backward throughout the air, before shooting toward Amon, his left leg tucked in and his right leg extended out. He aimed to smack his sole into Amon's jaw.

"Dynamic Entry!"* - Tue Oct  6 02:16:06 2015
"Are you okay, good sir!? Your condition is vital! Someone so vivacious shouldn't die!"* - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: .... - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: .... - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --------------- - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Mammy has me exhausted from all that private training~ - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: ....I'm. - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: This village...! - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I've never seen a place...so...so.. - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I swear.. - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To fucking.. - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Go- - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Going to go for a walk, all the talk of youth reminds me of a pedophile I saw in the paper. - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ................................................ - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm going to.... - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Kick you. - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I'm not sure how hard. - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: --- - Tue Oct  6 02:30:36 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) doj.* - Tue Oct  6 02:30:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Sigh, Hideki never gives up. - Tue Oct  6 02:30:36 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) got wrapped in a giant white snake. He'd peer at Hideki with his beaty gaze.

"So proficient at Ninjutsu. I applaud you! I cannot perform a lick of Ninjutsu!"* - Tue Oct  6 02:31:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . . - Tue Oct  6 02:31:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why do you talk so much. - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: I think the Green Beast is because he De-Flowers younger Children in a beastly manner. - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: I'd seriously keep my children away. - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: If I had any. - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I am actually in a commited relationship with youth! - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: ---I thought so. - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ..... - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ... - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Which is why I'm a virgin... - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Does youth kick and scream? - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mamoru. - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ................................ - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yes? - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You think you can knock him out? - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: May I report to your village leader? - Tue Oct  6 02:32:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Tue Oct  6 02:33:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I guess. - Tue Oct  6 02:33:10 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) knocked himself out.* - Tue Oct  6 02:33:10 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) thinks: Mamoru sounds like Mamaries. - Tue Oct  6 02:33:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . - Tue Oct  6 02:33:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Okay. - Tue Oct  6 02:33:10 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Honestly. - Tue Oct  6 02:33:10 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: I don't know how he wears that jumpsuit. - Tue Oct  6 02:34:01 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: He gets major sweaty balls. - Tue Oct  6 02:34:01 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: I'm sure of it. - Tue Oct  6 02:34:01 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: This is a pretty warm Village, And Sunagakure is hot. - Tue Oct  6 02:34:01 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Like I feel sorry for anyone in a ten block radius when he takes off his pants. - Tue Oct  6 02:34:01 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) got awoken from the kick to the stomach, then knocked out directly after.* - Tue Oct  6 02:36:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So annoying.... - Tue Oct  6 02:36:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hideki. - Tue Oct  6 02:37:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to spar? - Tue Oct  6 02:37:26 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: OOOH!~ A spar. - Tue Oct  6 02:38:17 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: That would look great to see. - Tue Oct  6 02:38:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Tue Oct  6 02:38:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh. - Tue Oct  6 02:38:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hmm. - Tue Oct  6 02:38:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Last time we sparred. - Tue Oct  6 02:38:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You won. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Hideki? - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Right. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's see who wins this time. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What makes you think I'll win? - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: He Deck Kai. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm sure you became stronger. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: ---- - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's pronounced. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He-Dick-he. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Yep. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Dick. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: ...Ooooh. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Ahh... youth... I love how you always..... tickle my pickle.... aha.... - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: I knew his mom had a thing for peni'. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: -omit- - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: i've been pronouncing it wrong this whole time.. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure, I'll go for a round, Mamoru. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: He-dick-kin'. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: One round. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: He-Dick-he sounds realistic. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Rules? - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Taijutsu. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Pure taijutsu? - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Yeah, after you put 'dick' in his name, it sounds more plausible. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You don't mind do you? - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hmm, sure.  - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We can spar right now. - Tue Oct  6 02:40:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Tue Oct  6 02:40:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We start now? - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Guys. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: You know what. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Irritates me? - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: All these people with no last names. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Like. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: I met this guy. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: His name was just "Yahan." - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Like who's named. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: .."Yahan." - Tue Oct  6 02:42:33 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Sounds like your mother didn't love you, and you're going to be a terrorist. - Tue Oct  6 02:42:33 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: Am I right? - Tue Oct  6 02:42:33 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ............. - Tue Oct  6 02:43:24 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Psssst, Hideki. Can I go see your spar? - Tue Oct  6 02:44:16 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo'. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hi. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: This nigga almost taller than me.. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Everyone. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Bolt. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: -Omit- - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Lord Niza. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Finally. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Oh shit.. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: A worthy challenge. - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: square up lil nigga - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I ask that you refrain from such. - Tue Oct  6 02:45:58 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: I'm not here to fight. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: If anyone chooses to fight me. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: I'll fight them. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Respectable. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ....... - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --------------------- - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is.. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Wow.. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) whispers: Youth will get you far. Go ahead and fight em', pal. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Terms of .... - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) whispers: -omit- - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Why I'm here. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Rumors fly by fast. - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: I hear you got ahold of Reign's blade. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ? - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: The blade the bitch ate? - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Who is that? - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...We have. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: An officer of Amegakure no Sato. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Fallen now though. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: I'd like to take the blade into custody. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ---- - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Er... - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ---- - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ......... - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: -- - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Oh boy.. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Bitch ass taking bites out of the blade.. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Chiharu... - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Motherfucker.. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: I'm just saying. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's currently...not available. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Retrieve it for me. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: If you can't find something long and hard. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Not available? - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Yatsuhibata, Cypher(MasterFaster) says: It's probably between the legs of a blonde. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Nonsense. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Get it to me right now. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's so special about this blade anyway? - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I cannot. - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: What's so special? - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Stupid..ass..bitch eatin' swords.. - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Imagine eating the most mouthwatering ice cream. - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: That's what's special about it. - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Those blades. - Tue Oct  6 02:50:14 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Are in Sunagakure. - Tue Oct  6 02:50:14 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: I desire. - Tue Oct  6 02:50:14 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: The Kubikirihoucho. - Tue Oct  6 02:50:14 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I see. - Tue Oct  6 02:50:14 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: The proper name of Reign's blade. - Tue Oct  6 02:50:14 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Must be something. - Tue Oct  6 02:51:05 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: Bring it to me now. - Tue Oct  6 02:51:05 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I apologize, but I can't deliver. - Tue Oct  6 02:51:05 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Whyyyy are you lyyyinn'... - Tue Oct  6 02:51:05 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) awoke in front of the Raikage, well rather, between the Raikage and Tetsujin. The male slowly rolled away from the premises on his side.

<I'm outta here..!>* - Tue Oct  6 02:51:05 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: fuck this shit im out - Tue Oct  6 02:51:05 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: square up lil nigga - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: hachimon tonkou activate - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Baen. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yo.. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck, Baen. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Don't transform in front of Tetsujin. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I would like to request that this fight... - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't want him to eat you. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Take place... - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: In an arena sponsored by Kumogakure. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: The only person allowed to eat you is me. -Omit- - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: So Kubikirisomething isn't the only thing he can eat? - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I assume if he can eat. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: The largest blade I've ever seen. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He can deepthroat anything. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Dissapoint me. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: We'll sell tickets....and make profit... - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm... - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I shall. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: just an albino piece of ground. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: bye. - Tue Oct  6 03:11:34 2015
