<br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You not up for it? - Fri Oct  2 23:36:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I've trained under Niza. - Sat Oct  3 02:59:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yukio didn't really want to train me. - Sat Oct  3 02:59:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: How come? - Sat Oct  3 02:59:12 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) passes him 100k.* - Sat Oct  3 03:04:19 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Well Marianna is still injuried, at least as far as I know. I haven't seen her yet. So the best choice for now is Misa.  - Sat Oct  3 03:12:00 2015
<br><br><font color=teal>*Reguel(Airide) says: She can't heal herself? - Sat Oct  3 03:16:16 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't know. - Sat Oct  3 03:17:07 2015
<br><br><font color=teal>*Reguel(Airide) says: Besides, I want to work on my poisons. - Sat Oct  3 03:18:49 2015
<br><br><font color=teal>*Reguel(Airide) says: While I do have the free time *yawns* - Sat Oct  3 03:18:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Poisons? Why work on poisons? - Sat Oct  3 03:20:32 2015
<br><br><font color=teal>*Reguel(Airide) says: For my senbons. - Sat Oct  3 03:23:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . . - Sat Oct  3 03:23:56 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmph. - Sat Oct  3 03:44:25 2015
<br><br><font color=teal>*Reguel(Airide) says: If I have any intent to kill then I'll use the more potent ones to kill, if not I'll gladly stun the foe. - Sat Oct  3 04:06:36 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I see.. - Sat Oct  3 04:07:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Speaking of such acts, what's the status of our security? I recall the village being on high alert recently. - Sat Oct  3 04:08:19 2015
<br><br><font color=teal>*Reguel(Airide) says: As for as I know we're still are. - Sat Oct  3 04:12:35 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why the high alert? - Sat Oct  3 04:12:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Tetsujin. - Sat Oct  3 04:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's a threat, after all. - Sat Oct  3 04:13:26 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why did he attack in the first place? - Sat Oct  3 04:15:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's bored. - Sat Oct  3 04:15:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's a monster. - Sat Oct  3 04:15:08 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm,. - Sat Oct  3 04:16:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't he's that much of a monster. - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's a monster. - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Leave it at that. - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Reguel(Airide) says: Then we need to train. - Sat Oct  3 04:18:33 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He's a man. Nothing more, nothing less. - Sat Oct  3 04:18:33 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: The moment when we see him as a monster, is the moment when fear takes over and we react on emotion rather than rational thought. - Sat Oct  3 04:21:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think not of him as a monster, but as an individual who has lost their way and needs a strong guidance to the right path. - Sat Oct  3 04:21:58 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . - Sat Oct  3 04:23:40 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm the middleman as always. - Sat Oct  3 04:25:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You ever met Tetsujin before Reguel? - Sat Oct  3 04:27:05 2015
<br><br><font color=teal>*Reguel(Airide) says: No, I just don't care who the person is. He's a threat right? As shinobi of Kumogakure we have a job to defend and elimenate those who threaten our village. - Sat Oct  3 04:27:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He's an odd man. He's the complete opposite of Yukio. He's a man who fights for his own glory.  - Sat Oct  3 04:27:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He may be a threat now, but I'm sure we can reason with him. - Sat Oct  3 04:28:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: When I spoke with him that one time, he seemed difficult to handle, but I'm positive that he can be guided into a positive light. - Sat Oct  3 04:29:39 2015
<br><br><font color=teal>*Reguel(Airide) says: His glory may or may not have injured to members of our village. - Sat Oct  3 04:30:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Speaking of injured members, has anyone seen Hideki or Mariana lately?  - Sat Oct  3 04:33:04 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: And to add on, I haven't seen Ushinawa in a while. Was he also on the list of injured? - Sat Oct  3 04:33:04 2015
<br><br><font color=teal>*Reguel(Airide) says: I don't remember. - Sat Oct  3 04:34:46 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I see.. - Sat Oct  3 04:34:46 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Well, I should go back to my physical training. The Raikage has high expectations of me in regards to the material that I've learned. - Sat Oct  3 04:35:37 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Mamoru, you still haven't told me why Yukio refused to teach you. - Sat Oct  3 04:36:28 2015
<br><br><font color=teal>*Reguel(Airide) says: I should do some physical training, I just don't know where to start. - Sat Oct  3 04:36:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Perhaps running? - Sat Oct  3 04:36:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Or exercise your muscles. - Sat Oct  3 04:37:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm or I'll just go beyond my perscripted regiment and push my limits. - Sat Oct  3 04:38:11 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Don't injure yourself. - Sat Oct  3 04:38:11 2015
<br><br><font color=teal>*Reguel(Airide) says: I won't - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: In terms of Yukio. - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm not interested in the monk way of life. - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm not pacifist. - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh....and.... - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Ushinawa died. - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Reguel(Airide) says: Ah, was that the body Hideki was crying over the other day. - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Reguel(Airide) says: Before that one person came in and called me a mongrel. - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Reguel(Airide) says: You were there, I saw you at the courner of my eye after leaving. - Sat Oct  3 04:40:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Ushinawa died. - Sat Oct  3 04:41:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Mariana was put into a coma from Tetsujin. - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I think Ushinawa suicided from grief. - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Reguel(Airide) says: I see. - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That's what I hear. - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: What a foolish choice. - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Mariana died. - Sat Oct  3 04:43:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Tetsujin successfully killed both the dad and the mother. - Sat Oct  3 04:43:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: One directly and one indirectly. - Sat Oct  3 04:43:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Orphaning a child. - Sat Oct  3 04:43:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: A -monster.- - Sat Oct  3 04:43:18 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmph. - Sat Oct  3 04:44:09 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Don't try to convince me he isn't a monster. - Sat Oct  3 04:44:09 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No matter how far your veer off the path. - Sat Oct  3 04:45:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: There's no excuse for the death of two people--especially the parents of a young child. - Sat Oct  3 04:45:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...... - Sat Oct  3 04:50:59 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I believe the child is with Hideki. - Sat Oct  3 04:51:50 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: And the graves? - Sat Oct  3 04:51:50 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ? - Sat Oct  3 04:57:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not sure. - Sat Oct  3 04:58:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: But we can look around. - Sat Oct  3 04:58:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: This is Hanabi's grave. - Sat Oct  3 04:59:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not sure where the other's are. - Sat Oct  3 04:59:31 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I figured. - Sat Oct  3 04:59:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's ask at Ushinawa's house. - Sat Oct  3 04:59:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Come. - Sat Oct  3 04:59:31 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I remember Hideki coming this way a few times. - Sat Oct  3 04:59:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He visits her. - Sat Oct  3 04:59:31 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Why are you doing this? - Sat Oct  3 05:01:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Pushing me away. - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sat Oct  3 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hideki. - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you doing well? - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Kuro wanted to ask you something. - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What. - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I did? - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru...How is your jaw? - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I did? -repost- - Sat Oct  3 05:09:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Sat Oct  3 05:10:36 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Why are you all here? - Sat Oct  3 05:10:36 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: omit - Sat Oct  3 05:11:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why are you all here? - Sat Oct  3 05:11:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: My jaw? It's getting better. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Mamoru brought me here. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You all have fun now. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Do you need another dose? - Sat Oct  3 05:13:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't worry - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Probably might need one. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I won't let them sell you. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Thank you. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord approves of the black market - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: Look.... - Sat Oct  3 05:16:35 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: At all of the worms in this room right now. - Sat Oct  3 05:16:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ..... - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord Also approves of worms - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I'm in a damn wheel chair. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: With broken bones. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is this really happening to me. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I seek a couple of bodies. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: Anatomical research and purposes. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: You will all fit this agenda nicely. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Will those purposes be used for evil deeds? - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord approves of evil deeds - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: -------- - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: ..... - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: It appears..... - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: The father is here. - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ..D..Daddy? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Oh. Him. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Papa...? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You lied. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: That is not papa. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....Who are you? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I'm Reign. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: It's only proper for me to give you my name after all, seeing as you're going to fall to me. You can ruminate over the meaning of my name when I sentence you to purgatory. - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Will I get to see the lord? - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....Fall? - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: To you? - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: In my current state..I can't do much. - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...You think I'm a pushover... - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I don't think you're a pushover. I know you're a pushover. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see... - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Lord Niza. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let me handle him.  - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: That does not answer my question. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'd like to see something first. - Sat Oct  3 05:21:42 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) suddenly, Mamoru yanks his saber straight out of its sheathe. He shines it in front of himself. It shines with a glimmering light akin to Reign's Kubikirihoucho. "I don't know what that blade is, but it won't stand a chance to my chakra saber." Mamoru thought to himself. He zooms forward over at Reign, eagerly engaging him into combat. He shifts his weight and changes his position immediately.

He was mimicking all that he had been taught with his trusty comrade Chiharu by his side.

"Hiten Mitsurugi Ryu." Mamoru closes the distance between him and Reign and unleashes a flurry of strikes, aiming to distract him and allow Niza to use his technique.

"Dragon Nest Flash!"* - Sat Oct  3 05:34:30 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Tch. - Sat Oct  3 05:41:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: He blocked it somehow. - Sat Oct  3 05:41:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: That blade's huge. I can't believe he can carry it around so easily. - Sat Oct  3 05:41:20 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) removes himself from the fray, leaping back to stop the standstill of clashing blades. "Answer Kuro. Why have you come here? We've done nothing to you, but you wish to seize our bodies." Mamoru steadies his blade, breathing heavily. He was sweating as well.* - Sat Oct  3 05:47:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Fuck... my bones. - Sat Oct  3 05:47:18 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Almost there!! - Sat Oct  3 05:49:00 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) // Suddenly, Mamoru jerks for his holster. He withdraws five shuriken in each of his hands. His fingers seem to twirl and jerk themselves, before firing the shuriken towards Reign. He follows the shuriken immediately, carrying his saber in hand. Upon nearing Reign, he swings laterally on the left side and the right side, aiming to carve a wound in both sides of Reign's body. Should he do so, he would leap into the air and somersault wildly. 

"Chakra Saber - White Light!" -He thought to himself, hoping that he could catch Reign off guard with one of the strikes. He was expecting to at least get some damage in, for his allies. * - Sat Oct  3 06:01:48 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Did I mention...I really hate when Kuro talks about pece shit. - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: peace* - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why is Kuro so much smarter than Hideki.... - Sat Oct  3 06:03:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:03:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:04:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fam - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Give me time. - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: If only Hideki actually taught me jutsus... - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I thought I was useless.. - Sat Oct  3 06:15:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: I'm as useless as Hideki... - Sat Oct  3 06:16:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Atleast I'm not being sold on the blackmarket... - Sat Oct  3 06:17:10 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) had no time to waste. He lands on the ground immediately. Chiharu was thrown at him in a spinning arc. His dominant hand quickly reaches out to grab hold of Chiharu. In a moment's notice, he had unsheathed her and was prepared for the assault of his opponent. Mamoru's entire body is heaved against his opponent, trying to engage him. He was going to try and outspeed him with the speed of his blade.

He'd try to tackle Reign with his shoulder and disrupt the potential arcing of the Kubikirihoucho.

"I won't let you use that weapon of yours anymore. It's too large, and you won't be able to avoid this attack!" Mamoru stated, attempting to thrust his blade through Reign's chest. If it had struck him, Mamoru's blade would be yanked straight out, and following his strike, would be a decapitating blow to the head.

"Cloud-Style, Crescent Moon Beheading!"* - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: Well since we are going to die anyway might as well make the most of it. - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Skunk hair lookin ass..... - Sat Oct  3 06:19:44 2015
