<br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) fondles evil Samurai* - Fri Dec  4 21:09:45 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) blinks, This women could feel her? That was a shocker! She would grin and focus her fingers on one very spacific point on the necromancer's body. Her most tender of places between her legs! She was enjoying the brief bit of interaction between someone other then Sanoke!* - Fri Dec  4 21:26:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How long would I have to practice to learn something like this Auntie? - Fri Dec  4 21:30:14 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Pretty long. - Fri Dec  4 21:30:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Antie? How's that your antie? - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Isn't she your Aunt? - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah. - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Then she is my Auntie!~ - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: We're.....not married.... - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Not yet. - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Wow... - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Then that isn't your antie yet. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Kiddo.~ - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Kid getting ahead of himself. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: That...? - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I plan for the future baby. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ouch. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hah... cute! - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Psh, Antie Lera you never even  chat with me! - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You're an it! - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Already planning f-for kids? - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Uh huh. Hey, my family is huge. I can't chat with all of you. - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I mean that is going to happen eventually Momu. - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *winks at Nami* - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: My family is your family, remember? - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yup.. - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh...I guess..u-uhm...I p-plan to have a b-baby in the future. - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well that is between you and Hanai. - Fri Dec  4 21:33:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I could fly here all day. . . . .  - Fri Dec  4 21:34:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm. - Fri Dec  4 21:37:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ahhh, then yes. You'll need to talk to Sanoke for that. - Fri Dec  4 21:38:46 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) smiles and intensives her movements, aiming to bring a large amount of pleasure to the girl in a sudden wave of polter-gasmic movements! She was immensely enjoying herself, even though in life she had been very repressed about her sexual desires! She had even died a Vergin! * - Fri Dec  4 21:38:46 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I see, Am I able to remain within this village as I wait? - Fri Dec  4 21:39:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well I'm going to train. - Fri Dec  4 21:39:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I don't se why not. - Fri Dec  4 21:39:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Bye Nami!~ - Fri Dec  4 21:39:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Just tell 'em Lera said you could. - Fri Dec  4 21:40:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You're coming with me, Hiro. - Fri Dec  4 21:40:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Come on. - Fri Dec  4 21:40:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Better listen to the future wife Kiddo. - Fri Dec  4 21:40:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hush up Auntie. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I would love to, but I can't baby. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hah. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm sorry. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mmk. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-How're you? - Fri Dec  4 21:43:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm...Bit of a headache coming on. No idea why though. - Fri Dec  4 21:43:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yourself? - Fri Dec  4 21:43:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm fine..uhm... - Fri Dec  4 21:43:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I got some w-weapons for 700k.. - Fri Dec  4 21:43:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna see them? - Fri Dec  4 21:44:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sure~ - Fri Dec  4 21:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Auntie, can you buy me a sword? - Fri Dec  4 21:45:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: When I get a little more money. Sure. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'll put my money into it. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I just spent a fair amount on some other stuff and I'm paying for my own wedding too... - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh. Like... - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Talk to Marco - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Get a price. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Who're you m-marrying..a-again? - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Kiyoko. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mmk. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..S-She's nice! - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Guess I should go and train on my own then. - Fri Dec  4 21:47:18 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm, she is~ - Fri Dec  4 21:47:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well uhm.. - Fri Dec  4 21:47:18 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) was really getting into it now! She couldn't feel the moisture, but she could tell she was having an obvious effect upon Mitsunara. She would smile happily and continue her ghostly focus! Only now, one hand would work upon masterbaiting Mitsunara while her other hand focused on fondleing her breast! * - Fri Dec  4 21:49:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Maybe I should go out somewhere... - Fri Dec  4 21:49:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Mitsu appears to be getting off on her training... - Fri Dec  4 21:49:52 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Hi Sanoke! - Sat Dec  5 06:57:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: ...I sense a disturbance in the force... - Sat Dec  5 06:58:33 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Oh! - Sat Dec  5 06:58:33 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: The girl ghost masterbated! - Sat Dec  5 06:58:33 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) floats over and fondles Mistsunara!* - Sat Dec  5 06:58:33 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Can I come in? - Sat Dec  5 06:59:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. - Sat Dec  5 06:59:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who are you? - Sat Dec  5 06:59:24 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Whew. Well, I can't take on an entire village by myself, so I'll have to accept your answer. - Sat Dec  5 07:00:16 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) swings her fan at Zhen! Useless at it may seem!* - Sat Dec  5 07:00:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. Mrm.. guy seems creepy.... like all he wants is to fight whoever killed Edge.. - Sat Dec  5 07:00:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Right. You can leave now. - Sat Dec  5 07:00:16 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Looks like Sanokes got this... - Sat Dec  5 07:09:39 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) whispers: 'bad' guy huh. - Sat Dec  5 07:32:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Eh. He's the enemy, in the Kage's eyes, it seems. What else matters..? - Sat Dec  5 07:33:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) whispers: Aye. - Sat Dec  5 07:33:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... - Sat Dec  5 07:36:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Seems this guy is getting the fight with the Kage he wanted after all. - Sat Dec  5 07:36:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mmhm. He must have rubbed him the wrong way. - Sat Dec  5 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Y - Sat Dec  5 07:47:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: wonder if I need to blast him.... - Sat Dec  5 07:48:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey Sanoke, need some help? - Sat Dec  5 07:48:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Meh...I never get any fun.. - Sat Dec  5 07:52:19 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Wooo! Go Sanoke! - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Defending Suna like a boss! - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey Aunt lera I have somethign cool to show you. - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: After this. - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh? Sure. - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Phew! - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I think I. . Um. Caught a terrorist? - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji! - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: How did I do Lord Kazekage? - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Take him to jail or whatever, and like interrogate him. He can't really move ith this receiver in his body. - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Very good. I'm proud at how brave you were -- same with you, Mitsunara. - Sat Dec  5 07:57:26 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ohh can I help with the intergation. - Sat Dec  5 07:58:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We're not torturin', people. - Sat Dec  5 07:59:08 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) fondles Mitsunara once more!* - Sat Dec  5 07:59:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And it's up to Koji to decide. He's captain. - Sat Dec  5 07:59:08 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) floats right out of that rice bottle!* - Sat Dec  5 08:00:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Aunt Lera! - Sat Dec  5 08:00:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhmmm? - Sat Dec  5 08:00:51 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Come let me show you my cool stuff. - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I guess.. - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Lead away - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll be there in a few. - Sat Dec  5 08:05:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Thanks for the back up, though. - Sat Dec  5 08:11:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ....... - Sat Dec  5 08:13:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm> - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: > - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ?* - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's nothing. - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: 'Course it is. - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No. - Sat Dec  5 08:15:21 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) walks into Mitsunara!* - Sat Dec  5 08:17:55 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I wish I had a body again. .  - Sat Dec  5 08:20:28 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I'd likely take this girl out on a date. .  - Sat Dec  5 08:20:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: Mrm... - Sat Dec  5 08:22:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: Somethin feels funny.. - Sat Dec  5 08:22:11 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) shivers inside Mitsunara!* - Sat Dec  5 08:23:02 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Interim Kazekage Sama Senpai Kun. - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Hi Sanoke. .  - Sat Dec  5 08:49:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Not going to look like a crazy person.. - Sat Dec  5 08:51:12 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: . . .  - Sat Dec  5 08:51:12 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Come on man! - Sat Dec  5 08:51:12 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: You are LITTERALLY the only person wh- - Sat Dec  5 08:51:12 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Thank you..  - Sat Dec  5 08:51:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Lera. - Sat Dec  5 08:51:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey.. - Sat Dec  5 08:51:12 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) sighs softly and smiles. She then waves to lera, uselessly* - Sat Dec  5 08:51:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He's sleeping. Let's come back later, Mirai - Sat Dec  5 08:52:03 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Ok. - Sat Dec  5 08:52:54 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) whispers: (turn on learning ) - Sat Dec  5 08:55:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: 9nope0 - Sat Dec  5 08:58:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: *yawn* How long we all gonna stand here and watch this guy sleep? - Sat Dec  5 09:40:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah.. - Sat Dec  5 09:41:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Guess 'm done. - Sat Dec  5 09:41:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Call me in if he wakes up, yeah? - Sat Dec  5 09:41:32 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) whispers: Teach me Light weight rock please ) - Sat Dec  5 09:42:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Lera, wanna go hang for a bit? - Sat Dec  5 09:43:15 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sure. - Sat Dec  5 09:43:15 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I'll call ya. - Sat Dec  5 09:44:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm, my thoughts exactly... though, she really is a bit shy about these kinda things, huh? - Sat Dec  5 09:44:57 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sort of...you would be surprised. - Sat Dec  5 09:44:57 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Gods I miss you all. .  - Sat Dec  5 09:52:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey, thanks for coming out today. Not alot of peopl come to the front line - Sat Dec  5 09:55:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Koji. - Sat Dec  5 09:55:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I was literally hoping for a chance to fight. - Sat Dec  5 09:55:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: A day where I get to take a life? That's a /great/ day. - Sat Dec  5 09:55:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mmm, it's a pain for me to take a life.. even a wasted one.But I'm young.. - Sat Dec  5 09:57:45 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) Yells out in rage as a surge of chakra surrounds her in a green ring. In a blink of en eye Marrisa would return to life infront of them all!* - Sat Dec  5 09:57:45 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Yan.. You may be gone but your rent aint. RIP my brother..  - Sat Dec  5 10:01:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Look at all these poor plebs...ahhh its good to be rich. - Sat Dec  5 10:01:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah, well.. - Sat Dec  5 10:02:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyway.. now what, I guess? - Sat Dec  5 10:04:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hrmmm... - Sat Dec  5 10:04:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Sat Dec  5 10:15:40 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Hey Lera! Will you teach me the shadow clone? - Sat Dec  5 10:21:39 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hrm? Maybe later. - Sat Dec  5 10:22:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: MMkay - Sat Dec  5 10:22:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Can anoyone here teach me anything? - Sat Dec  5 10:22:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Also, i am willing to seal stuff away for people! - Sat Dec  5 10:23:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ..ah.. - Sat Dec  5 10:23:21 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hmm...I think I'll go take a nap. - Sat Dec  5 10:36:09 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: See you guys later. - Sat Dec  5 10:36:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah.... Night.. - Sat Dec  5 10:36:09 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Because I never said it. - Thu Dec 10 02:48:06 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Indeed you did not you are  a sharp one indeed so like what is your name? - Thu Dec 10 02:48:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ... - Thu Dec 10 02:48:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: My name is Gon. - Thu Dec 10 02:49:48 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: NO SHIT!? - Thu Dec 10 02:50:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Aunt lera you say.. hmm Abra go retrive my hunt please. - Thu Dec 10 02:50:40 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: MY NAME IS KILLUA! - Thu Dec 10 02:50:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: And gon that a cool name I am Trilliam Q hassan. - Thu Dec 10 02:50:40 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) thinks: Hassan... - Thu Dec 10 02:51:31 2015
