<br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Y - Sat Dec  5 07:47:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-San-oke. - Sat Dec  5 23:18:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . ? - Sat Dec  5 23:18:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Your name. - Sat Dec  5 23:18:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: San...oke. - Sat Dec  5 23:18:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're weird. Since your friend is here, I won't embarrass yah and make you eat mud! - Sat Dec  5 23:18:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-That's my fiance.. - Sat Dec  5 23:18:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Fiance. - Sat Dec  5 23:18:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Dude, you're twelve. - Sat Dec  5 23:18:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Fourteen. - Sat Dec  5 23:19:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. - Sat Dec  5 23:19:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Shinobi don't l-live long usually..s-so.. - Sat Dec  5 23:19:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Look twelve. How old are you, Mr.Chef? - Sat Dec  5 23:19:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph.. - Sat Dec  5 23:19:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9this - Sat Dec  5 23:19:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Sat Dec  5 23:19:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sat Dec  5 23:19:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well? - Sat Dec  5 23:19:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sat Dec  5 23:21:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: THat awkward silence. - Sat Dec  5 23:21:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You two kids have some fun -- But too much, m'kay? - Sat Dec  5 23:22:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Shokutsu! What up? - Sat Dec  5 23:22:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Sat Dec  5 23:22:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh hanai. - Sat Dec  5 23:22:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What should w-we name our kids? - Sat Dec  5 23:22:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Sat Dec  5 23:22:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Huh? - Sat Dec  5 23:22:27 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: So how i it that shinobi to this training... - Sun Dec  6 00:42:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Hey, Mitsunara. Is Chikyu resting? - Sun Dec  6 00:42:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I should ask some one... - Sun Dec  6 00:43:31 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Who trains alot... - Sun Dec  6 00:43:31 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Koji... Hiro... - Sun Dec  6 00:44:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Thats all i know of really... - Sun Dec  6 00:44:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Wait that necro trains alot... I should disown myself for asking a necro for help but  desparate times I suppose... - Sun Dec  6 00:46:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Say, Mitsunara - Sun Dec  6 00:47:47 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: How do you train - Sun Dec  6 00:48:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Sun Dec  6 00:49:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sounds rather boring - Sun Dec  6 00:49:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hmm... - Sun Dec  6 00:50:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Laps might work... - Sun Dec  6 00:50:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Very well, your information is valuable I will take my leave now - Sun Dec  6 00:51:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see - Sun Dec  6 00:51:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? - Sun Dec  6 00:52:03 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Go fish. - Sun Dec  6 00:52:03 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well im gone for a bit, if anyone gets hurt tell me later - Sun Dec  6 00:52:03 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: darn it! - Sun Dec  6 00:52:54 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Because I will be busy of course - Sun Dec  6 00:52:54 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Is that a problem? - Sun Dec  6 00:53:45 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Curses. - Sun Dec  6 00:54:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I have the ability to instantly heal most wounds in a matter of seconds and people cant wait until I finish training?  - Sun Dec  6 00:58:01 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: Three more pairs, right? - Sun Dec  6 00:58:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Fine... - Sun Dec  6 00:58:52 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Do I go again? - Sun Dec  6 01:00:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yup, - Sun Dec  6 01:06:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Trill and marco... - Sun Dec  6 01:08:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: There goes that odd woman/cat/hybrid... thing... - Sun Dec  6 01:09:07 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: abomination... - Sun Dec  6 01:09:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm.. - Sun Dec  6 01:10:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I guess there busy... - Sun Dec  6 01:11:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Who? - Sun Dec  6 01:12:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Why you and Trill of course - Sun Dec  6 01:12:32 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Did you addres us? - Sun Dec  6 01:13:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes - Sun Dec  6 01:13:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Repeat. - Sun Dec  6 01:13:23 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Hm? - Sun Dec  6 01:14:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Can you lend me some of your material... I want to make a obsticale course - Sun Dec  6 01:14:14 2015
<br><br><font color=teal>*Mai(Fat Trel) says: Hm.... - Sun Dec  6 01:14:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Sun Dec  6 01:15:05 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . . An  obstacle course on? - Sun Dec  6 01:15:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Just random hinderances on the ground - Sun Dec  6 01:17:39 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I suppose. - Sun Dec  6 01:27:02 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: It's nothing on my back. - Sun Dec  6 01:27:02 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: It's no problem. - Sun Dec  6 01:27:53 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Also, Trilliam. This guy is pretty dull. - Sun Dec  6 01:27:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Great... - Sun Dec  6 01:29:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Sun Dec  6 01:30:27 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I just need a good course set up for my training - Sun Dec  6 01:33:52 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: This game. - Sun Dec  6 01:33:52 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Rather. - Sun Dec  6 01:33:52 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Any other games? - Sun Dec  6 01:38:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yeah you win. - Sun Dec  6 01:38:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmmm. - Sun Dec  6 01:38:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Strip poker? - Sun Dec  6 01:38:08 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . . . - Sun Dec  6 01:38:59 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'm not playing strip poker with some twelve year old boy.. - Sun Dec  6 01:39:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Sun Dec  6 01:40:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well back to training - Sun Dec  6 01:41:32 2015
<br><br><font color=teal>*Mai(Fat Trel) thinks: This is boring... - Sun Dec  6 02:02:01 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: EH. - Sun Dec  6 02:21:39 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: ... - Tue Dec  8 19:33:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Thanks for the info.  - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But yeah.... - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll be on the lookout for them. - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Becareful please... - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Oh! - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I will. - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Can I borrow funds for a caravan home? - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Don't you die over there Geo. - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I spent my last to get here and train with Hiroshi and Kina- Of course not Hiro. - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Thank you a great deal First Lady Kazekage. - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey Uh, Geo. - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're from Kirigakure aren't you? - Wed Dec  9 02:40:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yeah I am. - Wed Dec  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Then we can travel together, I have enough money for a caravan.~ - Wed Dec  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I kinda' need your help. - Wed Dec  9 02:40:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Oh that's grea- You do? With what? - Wed Dec  9 02:40:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I swear. . . It is always something. - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Alwayz sumztin! - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  You understand already Manami. - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Gotta' kick em out.~ - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Byagugan! - Wed Dec  9 02:42:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Byakugan! - Wed Dec  9 02:42:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is that? - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Yo, Blue! - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Welp! - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Let's get going. - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sup Bones. - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Not a whole lot. You heading somewhere? - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nah not right now Bones. - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why what's up? - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Bones? - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: You available to help a buddy out? - Wed Dec  9 02:47:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What do you need? - Wed Dec  9 02:47:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: What is this madness?. . .  - Wed Dec  9 02:50:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What do you need Bones? - Wed Dec  9 02:50:14 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Well, I feel like I've fallen behind on my training. - Wed Dec  9 02:50:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So what do you want me to do? - Wed Dec  9 02:51:05 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: More training stuff huh? - Wed Dec  9 02:51:05 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Uh......teach me how to kick ass like you? - Wed Dec  9 02:51:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  I guess I could try and help you with that. - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh yea, this right here is my bro Hiroshi. - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oi, how goes it? - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hi - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sup, Fuji. - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Hi there. - Wed Dec  9 02:52:48 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: I had no idea that you had a brother. - Wed Dec  9 02:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  We aren't blood related, but this is my Bro right here. - Wed Dec  9 02:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Right Green? - Wed Dec  9 02:52:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So whats going on here? Little small talk? - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Basically. - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Yeah~ but close enough to blood brothers right? - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh, Iza ran off to Kirigakure to help them fight some terrorist Fuji. - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Im not yo dada thats Sanoke - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Where Dada? - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Wonder where Sanoke is. . .  - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Kid wants to see the father hm? - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He's a busy man now a days. - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sure are Green. - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: He's busy. - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: I want tell dada I gah eyes. - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come on Bones, if you want to train lets go. - Wed Dec  9 02:55:21 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Right. I'm following you now. - Wed Dec  9 02:57:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come on Green, you can train too. - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Awh~ okay~ - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, speaking of family...Any of you seen Izanami? - Wed Dec  9 02:57:55 2015
<br><br><font color=yellow>*Shokutsu(King Scrub) follows the other two shinobi.* - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright, what do you want to start with Bones? - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You use Taijutsu right? - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: That's right. - Wed Dec  9 02:59:37 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: I've been wanting to learn something outside of taijutsu though. - Wed Dec  9 02:59:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm well I can't help you with all of the bone stuff. - Wed Dec  9 02:59:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm sure you know that. - Wed Dec  9 03:00:28 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Bone stuff? - Wed Dec  9 03:00:28 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: That part I've been slowly discovering by myself. - Wed Dec  9 03:00:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup. - Wed Dec  9 03:00:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Show him really fast Bones. - Wed Dec  9 03:00:28 2015
<br><br><font color=yellow>*Shokutsu(King Scrub) nods in agreement with Hiro's request to show his ability. With a sudden movement of his right arm and a slight gritting of his teeth, Shoku manipulated his skeletal structure. It seemed as if the boy hadn't done it in a while but one could clearly see the activity just below the surface of his arm. Splitting his skin just about at the wrist, Shoku would extend a foot-long, pointed bone that grew vertically, following the hand and extending just passed it.* - Wed Dec  9 03:03:53 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: See? - Wed Dec  9 03:03:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: And that is why I call him Bones. - Wed Dec  9 03:04:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: OoooOo... cool - Wed Dec  9 03:04:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmm. - Wed Dec  9 03:04:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Do you know a technique called Dynamic Entry? - Wed Dec  9 03:04:44 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Sure do. - Wed Dec  9 03:07:18 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: I've actually mastered utilizing that technique. - Wed Dec  9 03:07:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. .  - Wed Dec  9 03:08:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Tell me what you know. - Wed Dec  9 03:08:09 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Let's see...I was taught the Dynamic Entry technique, The Leaf Whirlwind, The Throat Striking technique and the Shunshin technique. I've done all I could with what I've learned and I feel like there's so much more I could be doing. - Wed Dec  9 03:09:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wow. .  - Wed Dec  9 03:11:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ummm. .  - Wed Dec  9 03:11:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damn. - Wed Dec  9 03:11:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: All I can do is fight you so you can get stronger. - Wed Dec  9 03:11:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh yea Green, how is your jutsu that I taught you coming along? - Wed Dec  9 03:15:50 2015
