<br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Are you a sex slave? - Thu Oct  1 02:47:15 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: No, The mission I currenly have is to escort a blacksmith, who has not arrived yet. So I am challanging you on my own terms. - Thu Oct  1 21:19:08 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Everyone has a weakness. You just have to hide it - Thu Oct  1 21:22:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: I wonder what her weakness is... - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: and his... - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: And you're a master hide and seek player, yes?\ - Thu Oct  1 21:26:49 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Exactly. . . - Thu Oct  1 21:26:49 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Tempted to test that myself, but laziness is a hell of a drug. - Thu Oct  1 21:27:40 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: It affects many but being lazy stops you from figuring out the truth about people too. . . - Thu Oct  1 21:28:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Reisen says: It affects many but being lazy stops you from figuring out the truth about people too. . . - Thu Oct  1 22:06:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Erebus. - Thu Oct  1 22:07:47 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Hmm? - Thu Oct  1 22:10:20 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: The truth about people.. - Thu Oct  1 22:10:20 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Haha, you won't figure that out.. - Thu Oct  1 22:10:20 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mind if I train out here? - Thu Oct  1 22:10:20 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I.. don't care - Thu Oct  1 22:10:20 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: It doesnt matter if I figure out or not. . .I do not care that much to try and figure things out like that. I hide my own yet some people reveal weakness easy as I said. - Thu Oct  1 22:11:12 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Right. - Thu Oct  1 22:11:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 22:38:30 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Yet I have one question mainly. . . - Thu Oct  1 22:53:52 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: My ears are open. - Thu Oct  1 22:53:52 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Why do you wish to talk about this? - Thu Oct  1 22:53:52 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I'm a being that wishes to simply understand. - Thu Oct  1 22:54:43 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Has anything ever gone wrong when an understanding was formed? - Thu Oct  1 22:54:43 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Not, but its just reasoning behind that. - Thu Oct  1 22:54:43 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: As such why do you wish to understand? - Thu Oct  1 22:55:34 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I was never given the chance to be understood. I was labeled a religious brute before my story was ever told. In turn, I seek the understanding of the mindset your mortals harbor. - Thu Oct  1 22:56:25 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Then, and only then, I will come to my decision on what I will do next. - Thu Oct  1 22:56:25 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: My morals are as my fighting style. . .Flexable. - Thu Oct  1 22:56:25 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: They chance depending on the person and the situation. . . - Thu Oct  1 22:57:16 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Morals alter with life experiences, I suggest not relying on them too much. - Thu Oct  1 22:57:16 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: They'll end up being your downfall. - Thu Oct  1 22:57:16 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) shook his head and chuckled to himself on the inside a little, all the while thinking, "Adults are so silly..."* - Thu Oct  1 22:58:08 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: Morning, master... - Thu Oct  1 23:00:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: master..? - Thu Oct  1 23:00:41 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Its not just morals I'm referencing to, its just overall in anything - Thu Oct  1 23:03:15 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: .... - Thu Oct  1 23:04:06 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Yes. . . - Thu Oct  1 23:04:57 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: ichigo got the 3? - Thu Oct  1 23:06:40 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: mm.. - Thu Oct  1 23:08:22 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hi. - Thu Oct  1 23:08:22 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: Where you from? - Thu Oct  1 23:10:04 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: She's from Kirigakure. She's a Konohagakure shinobi now, Yumiko. - Thu Oct  1 23:10:56 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Allow her to keep her background to herself. - Thu Oct  1 23:11:47 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: It's best for her. - Thu Oct  1 23:11:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Am I allowed to spar someone..? - Thu Oct  1 23:12:38 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Why are you asking me that..? - Thu Oct  1 23:13:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 23:13:29 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I don't care what you do... - Thu Oct  1 23:13:29 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: But.. - Thu Oct  1 23:13:29 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: He confuses me.. - Thu Oct  1 23:13:29 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I been told you to progress yourself at your own rate. - Thu Oct  1 23:13:29 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Just don't leave the village. - Thu Oct  1 23:13:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: ...Why does the Hokage have...slaves..? - Thu Oct  1 23:13:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: ...I wonder if I should ask... - Thu Oct  1 23:15:12 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: Yes, master. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 23:17:45 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) walks over to and taps the orange haired female on the arm.* - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...Why do you... - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why do you call him master..? - Thu Oct  1 23:19:28 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) points to Erebus.* - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: Why does it concern you?... - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: It's not nice to point.. - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...It's just...weird... - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: Hmph.. - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: It's nothing he forced me to say. - Thu Oct  1 23:20:19 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...So you just call him master because you feel like it..? - Thu Oct  1 23:21:10 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: Because it's how I see him. - Thu Oct  1 23:21:10 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...As a mentor..? - Thu Oct  1 23:21:10 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: No, as a master..Someone whom has earned my loyalty.. - Thu Oct  1 23:22:01 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 23:22:01 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That... - Thu Oct  1 23:22:01 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Doesn't...make sense... - Thu Oct  1 23:22:01 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: Neither does the shit a shinobi does. - Thu Oct  1 23:22:01 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: And time to go back to training. - Thu Oct  1 23:22:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That's not...true... - Thu Oct  1 23:22:52 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: A shinobi would kill another because he or she felt insulted...I'm just living life the way I pleasse. - Thu Oct  1 23:22:52 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: So leave me alone. - Thu Oct  1 23:23:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...That's not what a...Shinobi is... - Thu Oct  1 23:23:44 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: You can sure fool me...I've been around for much longer than you think..I've seen what they do. - Thu Oct  1 23:24:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...You must have been seeing wrong... - Thu Oct  1 23:24:35 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: I've seen it all.. - Thu Oct  1 23:24:35 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: From Ame to here To Kiri and Kumo. - Thu Oct  1 23:24:35 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: So please, leave me alone... - Thu Oct  1 23:25:26 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: I don't think it'd benefit my master anyhow, this talk. - Thu Oct  1 23:25:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 23:25:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You don't make much sense... - Thu Oct  1 23:25:26 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: You're questioning her beliefs as if you're some higher power, Takeda. - Thu Oct  1 23:26:17 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Ease yourself. - Thu Oct  1 23:26:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...But her beliefs...don't make sense... - Thu Oct  1 23:26:17 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: And yours do? - Thu Oct  1 23:26:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: More than hers... - Thu Oct  1 23:27:08 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Beliefs change person to person. . .It's nice to take them all into mind. - Thu Oct  1 23:27:08 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: As much as her beliefs don't make sense to you, yours might not make sense to her. - Thu Oct  1 23:27:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 23:29:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Mine still make more sense though... - Thu Oct  1 23:31:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 23:49:20 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Thu Oct  1 23:50:11 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: ... - Thu Oct  1 23:51:02 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: ... - Thu Oct  1 23:52:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Fri Oct  2 00:02:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 00:14:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Fri Oct  2 00:15:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: He doesn't look too happy...maybe I said something wrong... - Fri Oct  2 00:15:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: Whore - Fri Oct  2 00:24:19 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Flexible isn't a fighting ability. Unless you literally, bend over back during battle. - Fri Oct  2 00:24:19 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Is that what it is? - Fri Oct  2 00:25:10 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Fri Oct  2 00:27:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Paper? - Fri Oct  2 00:27:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Your body is made of paper? - Fri Oct  2 00:27:44 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) had quite an inquisitive mind and because of that, his attention was immediately attracted to the woman turning her body into paper and moving around freely as she did. He wondered what could cause such a thing, ninjutsu?, Genjutsu?, Fuuinjutsu? He couldn't quite decided but to him it seemed like a genjutsu...she couldn't really be turning her body into paper could she?

"...Doesn't that make you very vulnerable..?" he would ask, trying to subtly prode around for more information.* - Fri Oct  2 00:33:42 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Fri Oct  2 00:36:16 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) watched the display of the so called power of paper...or whatever that was made of. He confirmed in his head that this wasn't a genjutsu but some kind of Ninjutsu...though one thing was still bothering him. "That's paper right? Doesn't that make it vulnerable to...everything..?" he asked timidly.* - Fri Oct  2 00:38:49 2015
<br><br><font color=teal>*Sarutobi, Yumiko(Senna1234) says: Hm... - Fri Oct  2 00:39:40 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: It's not exactly. . ."Paper" - Fri Oct  2 00:40:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...Elaborate... - Fri Oct  2 00:40:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You ask alot of questions. - Fri Oct  2 00:41:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I like to know things. - Fri Oct  2 00:41:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: It's rude to not ask nicely. - Fri Oct  2 00:41:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I did ask nicely... - Fri Oct  2 00:42:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You didn't say please. - Fri Oct  2 00:42:14 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mm.. - Fri Oct  2 00:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't need to say please... - Fri Oct  2 00:42:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Then you're not being polite. - Fri Oct  2 00:42:14 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Atleast someone has manors. . . - Fri Oct  2 00:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...This has nothing to do with you anyway... - Fri Oct  2 00:43:05 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Fri Oct  2 00:43:05 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: What? - Fri Oct  2 00:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What does me asking her questions have to do with you..? - Fri Oct  2 00:43:05 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) didn't really understand how one so young was so confident around utter strangers...especially when he wasn't, and he was older. He could sense the tension coming from the boy, it was rather strange, what had annoyed him so? "I don't even know you...or her...why are you being like this..?" he asked again, a little more timid than before now.* - Fri Oct  2 00:49:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 01:01:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Whatever, I'm going. - Fri Oct  2 01:02:43 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) turned and began walking off, wanting no more part in that convosation. How can one talk about manners when they in turn tell someone they don't know how to live their life and talk to others? That's just rude and hypocritical in his mind, and he wanted none of that. He didn't feel like escalating the situation anymore so decided to remove himself from it and do something else.

If he had been allowed to leave of course.* - Fri Oct  2 01:06:08 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) left the previous situation he was in as quickly as possible, making his way over to the taining field. He still had his fireball jutsu to work on so that's what he'd be doing. Now that he could form a fireball it was time to increase its size and power. He had already been building up chakra so was ready to begin the technique. He formed each handseal and pushed his chakra to his chest. He exhaled and release all his chakra, pushing it out and trying to form it into a fireball. He increased the size of the fireball he made but expended a lot of chakra.

he began again, holding up a halfseal with one hand as he focused on building up chakra within himself. After a few seconds he was ready and began once more. He formed each handseal for the jutsu and pushed his chakra up to his chest. He released all his chakra at once in one big exhale, focusing on it to mould it into a fireball. Again he increased the size of the fireball, still expending a lot of chakra to do so.

Once the fireball had died out he began working on focusing and building up his chakra in preperation once again. Now that he had done this twice it took him only a few seconds to prepare before he found himself executing the handseals to the jutsu. Again he pushed all of the chakra he had built up and out, concentrating hard on moulding it into a large fireball. This time the fireball was muh larger but was looking more and more unstable.

He kept going once that fireball had died down, not wanting to stop until he needed a proper rest. He built up chakra as quickly as he could and found himself zipping through each handseal again. He pushed his chakra up and out all at once as he exhaled, focusing on it to mould it into a fireball. The resulting fireball came out just a bit bigger than he was before dissipating from his lack of control.

He began again, now feeling tired but no where near as tired as when he first started using this jutsu, his training clearly paying off. Once again he repeated the process of building up his chakra and forming each handseal quickly. He then gathered all his chakra to his chest and released it in one burst as he exhaled, concentrating on it to mould the shape into a fireball. This time he made one that was twice his size but it quickly burned out from his lack of control, that would be his next thing to practise.* - Fri Oct  2 10:59:12 2015
<br><br><font color=teal>*Shin(Yaori) says: Today is boring - Fri Oct  2 13:03:47 2015
<br><br><font color=teal>*Shin(Yaori) thinks: They disappeared back here - Fri Oct  2 13:12:19 2015
<br><br><font color=teal>*Shin(Yaori) thinks: What in the world could ae happened. - Fri Oct  2 13:12:19 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: What an interesting thing to walk into... - Fri Oct  2 16:28:35 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: So like.. - Fri Oct  2 16:28:35 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Anyone got a few bottles of water? - Fri Oct  2 16:28:35 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I'm kind've on fire here. - Fri Oct  2 16:28:35 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) took note of the small glimpse of fire he saw surrounding the body of Kohaku, along with how Erebus seemed to shrug it off, how interesting.* - Fri Oct  2 16:30:17 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Guess not. - Fri Oct  2 16:31:08 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I'm going to go jump in a pond or something. - Fri Oct  2 16:31:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 16:32:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Excuse me...Mr. Hokage. - Fri Oct  2 16:32:51 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Yo'? - Fri Oct  2 16:32:51 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) walks up closer to erebus, acting timid as usual.* - Fri Oct  2 16:32:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I...I can fix that fire... - Fri Oct  2 16:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Kinda... - Fri Oct  2 16:33:42 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Ohh? - Fri Oct  2 16:33:42 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Show me what you got. - Fri Oct  2 16:33:42 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) started by kneading chakra within his stomach as best he could, he couldn't do this jutsu that well yet but this would be good practise for him. Once he was done kneading chakra, which did take a little longer than usual. He formed a few handseals and arched himself forward, pushing his chakra up and out, spitting a weak water spout from his mouth all over the fire that was still burning on Erebus. It would be weak since he was new to this jutsu, but hopefully it'd be enough.* - Fri Oct  2 16:36:16 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I owe you one, Takeda. - Fri Oct  2 16:38:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...It was nothing... - Fri Oct  2 16:38:49 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm.. - Fri Oct  2 16:39:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I think you're a bit to strong for me, Erebus. - Fri Oct  2 16:39:40 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Right, right. - Fri Oct  2 16:40:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Anyway...I'll just uh...get back to training if you don't need anything else... - Fri Oct  2 16:41:23 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) noted said tattoo, but did think much of it other than it was a little unorthodox.* - Fri Oct  2 16:41:23 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Do you. - Fri Oct  2 16:41:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...Um...Other than mission stuff...no... - Fri Oct  2 16:42:14 2015
<br><br><font color=teal>*Valencia White(Rosevine) says: Umh.. - Fri Oct  2 16:42:14 2015
<br><br><font color=teal>*Valencia White(Rosevine) says: Same here. - Fri Oct  2 16:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: M-Mr. Erebus...sir. - Fri Oct  2 16:46:30 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Hmm? - Fri Oct  2 16:48:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: D-Do you know...anyone that could train me..? - Fri Oct  2 16:49:04 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: In ninjutsu..? - Fri Oct  2 16:49:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah... - Fri Oct  2 16:50:46 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I mean, there's a ton of people that use ninjutsu in the village. - Fri Oct  2 16:50:46 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I rather you talk with them and form bonds rather than me asking them to train you. - Fri Oct  2 16:50:46 2015
