<br><font color=teal>*Lera(Bailey42) whispers: heh, you could call it that yes. - Sun Nov  8 10:58:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: .... - Sun Nov  8 11:30:20 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Are you trying to change the game, Lera-chan? - Sun Nov  8 11:30:20 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Not at all. - Sun Nov  8 11:30:20 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Well that's good... that would be wildly inappropriate with our fellow shinobi sitting beside us. - Sun Nov  8 11:31:12 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: hahaha, what are you suggesting? - Sun Nov  8 11:31:12 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Mhmmmmm. Nothing huh. - Sun Nov  8 11:32:03 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: It sounded an awful lot like something to me~ - Sun Nov  8 11:32:03 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Did it? Maybe that's just you being hopeful. - Sun Nov  8 11:32:03 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Oh my. Thats a sharp tongue you have. - Sun Nov  8 11:32:54 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: When I need it to be. - Sun Nov  8 11:32:54 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: So I see. - Sun Nov  8 11:32:54 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hmm...it seems I might have to revise some of my early opinions. - Sun Nov  8 11:33:45 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Oh? - Sun Nov  8 11:33:45 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: And what were those? - Sun Nov  8 11:34:36 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I vaguely remember saying I had two people I cared for in this village. I'll have to make that three I think. - Sun Nov  8 11:34:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I... don't think that's what I asked... b-but that's nice. - Sun Nov  8 11:35:28 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Who would this third person be? - Sun Nov  8 11:35:28 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I think you already know who it is. - Sun Nov  8 11:35:28 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Aw, but I do love a good tease. - Sun Nov  8 11:36:19 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Do you now. Maybe I'll let you figure it out then~ - Sun Nov  8 11:36:19 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Heh. - Sun Nov  8 11:36:19 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: So I do make you nervous... - Sun Nov  8 11:38:01 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...perhaps. - Sun Nov  8 11:38:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Ah ha! She admits it. - Sun Nov  8 11:38:01 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I am sitting on a woman's lap I have only met one other time befor--err.g.. - Sun Nov  8 11:38:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I said before right? You don't need to be nervous with me. - Sun Nov  8 11:39:44 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: D-did you? - Sun Nov  8 11:39:44 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I don't recall that. - Sun Nov  8 11:39:44 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Mhm. - Sun Nov  8 11:39:44 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: H-heh.. - Sun Nov  8 11:39:44 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I can't really  help it. - Sun Nov  8 11:39:44 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Ah....jeez. Its because I'm attractive isn't it...curse these good looks! Pfft. - Sun Nov  8 11:40:35 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Well I was joking, but that certainly makes things more interesting. - Sun Nov  8 11:41:26 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hehehe, I really don't mind. You can be as forward as you want with me. - Sun Nov  8 11:42:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I... mean.. it's not.. like... like a MAJOR factor.. - Sun Nov  8 11:42:17 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I seeee. - Sun Nov  8 11:42:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Oh jeez.. - Sun Nov  8 11:42:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I'm going to shut up. - Sun Nov  8 11:42:17 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: You're quite cute when you're nervous. - Sun Nov  8 11:42:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Y-yeah...? That's... a nice way to l-look at it. - Sun Nov  8 11:43:08 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: You did change the game... you devil. - Sun Nov  8 11:43:08 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I'm not making you too uncomfortable am I? - Sun Nov  8 11:43:08 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: hehehehe - Sun Nov  8 11:43:08 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...not... -too- uncomfortable...no. - Sun Nov  8 11:44:00 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Ahhh...but I am making you uncomfortable...interesting... - Sun Nov  8 11:44:00 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...N-no! - Sun Nov  8 11:44:00 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I mean... - Sun Nov  8 11:44:00 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I'm perfectly comfortable. - Sun Nov  8 11:44:00 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Are you now. lets make things a little more comfortable then shall we? - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: W-whaa? - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Is that better? - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: U-uhm... y-yeah... - Sun Nov  8 11:45:42 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Mhmmhmmm... - Sun Nov  8 11:45:42 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: You're nice and warm. - Sun Nov  8 11:45:42 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Are...uh... is this okay for people to see you like...this in public? - Sun Nov  8 11:46:33 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I feel like I'm going to pass out...shit. - Sun Nov  8 11:46:33 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: To see me? Whatever do you mean? We're just two close friends sharing an intimate moment no? But...if it bothers you, we can go talk in more...privacy. - Sun Nov  8 11:47:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...U-uhm... i-its up to you...really...  - Sun Nov  8 11:47:24 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Well...I leave the choice to you, I stopped caring about peoples view of me a long time ago. - Sun Nov  8 11:48:16 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I found that more often than not, you should just do whatever you want to do. - Sun Nov  8 11:48:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: It seems you just want to know what I would decide. - Sun Nov  8 11:49:07 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Not at all~ - Sun Nov  8 11:49:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...you aren't bluffing huh? - Sun Nov  8 11:49:07 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Nope. - Sun Nov  8 11:49:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I... suppose...if you ...in the off chance wanted to keep...holding me this way... I am not all that public of a person.... - Sun Nov  8 11:49:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: The most I would show in public normally would be a handshake...or maybe a hug... - Sun Nov  8 11:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I see, so you want to go into private. Well alright then, just sit tight and we'll go somewhere quieter. - Sun Nov  8 11:50:49 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You made it here safe? - Sun Nov  8 14:34:40 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm. - Sun Nov  8 14:34:40 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Come with me for now. - Sun Nov  8 14:34:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Hiya. - Sun Nov  8 16:04:16 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Damn, hocus pocus XD - Sun Nov  8 16:21:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello Yan. - Sun Nov  8 16:50:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How are ya, Lera? It's good to see you back... - Sun Nov  8 16:51:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm...actually pretty good. - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks. - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yourself? - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, I'm doing good. I am a little hung over from a night of drinking but I enjoyed myself. - Sun Nov  8 16:53:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh there you are Yan. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hey Chikyu. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: You and me both. - Sun Nov  8 16:55:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mind if I watch? - Sun Nov  8 17:05:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't see why not. Everyone watches spars. - Sun Nov  8 17:06:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I won't be showing anything particularly secret...not that I really have anything. heh. - Sun Nov  8 17:06:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) whispers: Sir. - Sun Nov  8 18:27:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhmm.. - Sun Nov  8 18:39:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hi. - Sun Nov  8 18:39:34 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Does anyone know...Where I can find the one known as Muhhamed? - Sun Nov  8 18:39:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh well. - Sun Nov  8 18:42:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: S-Some guy came in my h-house and said he was you, and t-threatened hanai, j-just to let you know. - Sun Nov  8 18:42:59 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: .... - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I've seen you before... - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Kirigakure? - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see. - Sun Nov  8 18:53:13 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Do you know where, The Kazekage might be? - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sleeping in his office ususally. - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see.. - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello Momura - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) thinks: Red Hair? And she's stuttering. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Have you now. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Apologies though, no time to talk...someone i've been waiting for  has just arrived. - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Eh...Momura was it? - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: What does one do for fun here? - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see. - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Do you know when the Kazekage is usualyl around? - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: usually* - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Are you nervous? - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: You're stuttering. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: It's usually a nervous tick. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: That's a girl.. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Is this... - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: How Sunagakure is all the time? - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Unfortunately. - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: srs this nigga poisoned me and it aint even doing anything to my constitution - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Why are you pointing at the sky..? - Sun Nov  8 20:40:44 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'm not pointing at the sky. - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He said he knew lightning jutsu, maybe hes doing it right now. - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Is a bolt of lightning going to hit. *eyes sparkling* - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: That sounds... interesting. - Sun Nov  8 20:42:27 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: patchou - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: shlposh - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew u ded chikyu - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pewp epwp ew - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pewwwwwww. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pachow - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew pew - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vroooom. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Tets I need to speak with you if you havee time. - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vroooooom - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: akakakak - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..I think that guy is mentally ill. He needs a psyche check. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyway...would you care to follow me Yan? I'll teach you the basics now. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Can you have some guards get him and take him to the institution? - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: And uh...That other girl. Mizora right? - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: nuk nuk nuk - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: I can teach you all three of those elements. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: If you're interested. - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vfffgfgfg - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well I'll take him to prison. We need a medic to diagnos him. - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: Then follow along. - Sun Nov  8 20:48:25 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) turned towards Lera, "Were you trying to tell me somethin' yesterday?" he'd ask while focusing on her. Though he'd turn towards Koji after hearing his voice, "What?"* - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Not its fine Jiki. - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Kurt(Zygman) says: Could I get some of your names here? I am interested in meeting all of you since i'm still pretty new. - Sun Nov  8 20:50:08 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: ackackack. - Sun Nov  8 20:50:08 2015
<br><br><font color=teal>*Kurt(Zygman) says: My name is Kurt, Pleasure to meet you. - Sun Nov  8 20:50:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm... Hey, Kurt. It's been a while. - Sun Nov  8 20:51:50 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm, Hello again. - Sun Nov  8 20:51:50 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) blinked twice, "And.. What will I do with that he-*sigh* All right." once recieving said scroll he'd inspect it incase of any visible bombs. Nope, he wasn't going to be blown up.* - Sun Nov  8 20:52:41 2015
<br><br><font color=teal>*Kurt(Zygman) says: I am doing pretty good, What about you? - Sun Nov  8 20:52:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I am.. quite well. - Sun Nov  8 20:53:32 2015
<br><br><font color=teal>*Kurt(Zygman) says: I see you have taken a liking to Kenjutsu, Are you aiming to increase your skill in the usage of a Katana? - Sun Nov  8 20:53:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um... Koji you know more techniques of our clan right? Do you have their descriptions written in a scroll or anything? - Sun Nov  8 20:54:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: You could say that. I think if you want to really understand why I'm carrying a sword, we'd have to spar. Heh. There is a fine arena not too far away.. - Sun Nov  8 20:54:24 2015
<br><br><font color=teal>*Kurt(Zygman) says: We can spar if you'd like then. - Sun Nov  8 20:54:24 2015
<br><br><font color=teal>*Kurt(Zygman) says: I might be a bit short on time but I'll make due. - Sun Nov  8 20:54:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... I think that'd be worth doing. Shall we head on over, then..? - Sun Nov  8 20:54:24 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm. Let's get going then. - Sun Nov  8 20:55:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I'll go finish up that drill after this... - Sun Nov  8 20:55:15 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I am. - Sun Nov  8 20:55:15 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Do you see the world the same way? - Sun Nov  8 20:56:06 2015
<br><br><font color=teal>*Shira(Osmanesanogo) whispers: What's going on? - Sun Nov  8 20:56:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: What do you mean by that? - Sun Nov  8 20:57:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I guess you don't then.  - Sun Nov  8 20:57:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I know Koji sees the same as I. - Sun Nov  8 20:58:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Sun Nov  8 20:58:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Sun Nov  8 20:58:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) whispers: Level a village ... ? - Sun Nov  8 20:58:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Are you talking about doujutsu? - Sun Nov  8 20:58:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -The- doujutsu rather? - Sun Nov  8 20:58:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Kojiiii.... - Sun Nov  8 20:59:31 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I feel weird interacting with people today... - Sun Nov  8 20:59:31 2015
<br><br><font color=teal>*Shira(Osmanesanogo) whispers: Is as all very interesting information. - Sun Nov  8 21:00:22 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Perhaps. - Sun Nov  8 21:01:13 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Just... give me the damn scroll." he'd say holding out an arm for Koji to hand over the scroll to him.* - Sun Nov  8 21:02:04 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'll be back later.. - Sun Nov  8 21:02:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Want to give me a scroll of pure destruction... fucking... *sigh* - Sun Nov  8 21:02:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Jiki seems the trustworthy type. - Sun Nov  8 21:04:38 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) recieved said scroll, he'd shake koji's hand. After doing so, he'd leave."I'll just go bury this thing." he'd thought while leaving.* - Sun Nov  8 21:06:20 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) with the scroll over his shoulder, he'd make one little detour first. Towards one of the many houses in sunagakure, after this he'd remain in there for a while. Why didn't he come out?* - Sun Nov  8 21:08:54 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) entered his step father's home, on the table there were a total of sic scrolls. He'd turn around to face Paine once the female continued to follow him, he'd ask while turning towards her "Why are you following me?"* - Sun Nov  8 21:16:35 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: i d-dont know where the j-jail c-cell is - Sun Nov  8 21:16:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Why the jail cell? - Sun Nov  8 21:17:26 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: t-this person was s-sopost to be s-sent there - Sun Nov  8 21:18:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its... south of the village, near the west. - Sun Nov  8 21:18:17 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Except, you only listened to the bad half - Sun Nov  8 21:18:17 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: The bad half of the story. - Sun Nov  8 21:19:08 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: t-thank you - Sun Nov  8 21:20:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No problem.. - Sun Nov  8 21:20:51 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) waved as Paine left the house.* - Sun Nov  8 21:21:42 2015
