<br><font color=teal>*Alastor(LordxPatrick) says: Would you like to hear it? - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sensei, who's in charge? - Thu Oct  8 04:25:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well if you are christin then I can baptise you - Thu Oct  8 04:26:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Shh... - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Saying its a mission gives me away... - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: This dude is crazy. - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well, lets do this. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm doing well. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm glad to have actually meant her. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She's interesting and seems to have some insight on our clans fighting style. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Guessin' the training is gonna be put on hold. - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We gonna handle that favor now? - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji! How much longer will you be awake? - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sensei. - Thu Oct  8 04:35:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I will follow. - Thu Oct  8 04:53:07 2015
<br><br><font color=teal>*Ai(Sennalove) says: Yep... - Thu Oct  8 04:58:14 2015
<br><br><font color=teal>*Ai(Sennalove) says: Day dreaming.. - Thu Oct  8 04:58:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I will be with you Yan - Thu Oct  8 05:40:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Bahhk* - Thu Oct  8 05:44:19 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: He's training so hard..mhmm. - Thu Oct  8 06:09:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Guess i'll do my own training. - Thu Oct  8 06:09:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Thu Oct  8 07:48:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo. Violet, what did you and Lera talk about earlier? - Thu Oct  8 07:49:45 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Nothing important... just about Koeki... - Thu Oct  8 07:52:19 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Did you go back to Kirigakure? - Thu Oct  8 07:55:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not yet. - Thu Oct  8 07:56:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: One more question on a ... unrelated note... who is that girl that is always with you - Thu Oct  8 07:57:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mirai? That's girlfriend. Why? - Thu Oct  8 07:59:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: .... oh... just asking... I was curious - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Girlfriend? Eheheh. - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What's with the tone? - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im sorry tone? - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. You're speaking like. . . this. . . - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I used to have a girlfriend... RIP my love... - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Nothing... im just ... thinking - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I used to have one...DAMN YOU EDGEEE!!!! -omit- - Thu Oct  8 08:01:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Have you ever lost something precious to you - Thu Oct  8 08:01:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . ? Plenty of times. - Thu Oct  8 08:03:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Have you felt like it was all your fault and you could have prevented it> - Thu Oct  8 08:04:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Always. - Thu Oct  8 08:04:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: How so you cope with it? - Thu Oct  8 08:05:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. You just have to deal with it. - Thu Oct  8 08:05:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I... dont think I can... - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Indeed. I try to look at the positive things. . . and use it to empower myself. - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Just deal with it - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ? - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He's right. - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To make me grow stronger as motivation. - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Motivation... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Use it as a driving tool... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I thank you two for your help... - Thu Oct  8 08:08:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I think I know what to do now... - Thu Oct  8 08:08:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No problem.. - Thu Oct  8 08:08:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: He is very wise for a child... but then again he looks like a seasoned warrior... someone that been through years of pain... - Thu Oct  8 08:10:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Sanoke... he defected from kirigakure... he left but he loved it. I wonder why... I shall trust his judgement alway - Thu Oct  8 08:11:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Sanoke, a smart ninja even when he plays around alot. He was loyal to Kiri but left kiri... As a long standing member I will respect his in world - Thu Oct  8 08:14:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Really? Good to hear. - Thu Oct  8 21:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So I was talkin' to Mirai earlier. She wasn't interested in a festival. What would you guys think? - Thu Oct  8 21:08:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: lol - Thu Oct  8 21:09:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Festival? What kind of festival? - Thu Oct  8 21:10:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: omit__ - Thu Oct  8 21:10:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: A festival? Sounds fun - Thu Oct  8 21:11:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'unno. I just gave the idea. - Thu Oct  8 21:11:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I ain't gonna do everything. - Thu Oct  8 21:11:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Leeches. Tch. - Thu Oct  8 21:11:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Doesnt Hassan have that big chunin exam coming up? - Thu Oct  8 21:12:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What's that? - Thu Oct  8 21:12:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Isnt that what the colisseum is for... - Thu Oct  8 21:13:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You dont know what the chuunin exams are for? - Thu Oct  8 21:13:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Its a test of skill... - Thu Oct  8 21:14:27 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Where genins battle it out to test their skill intelligence and  combat against  one another to be ranked up from genin to chuunin - Thu Oct  8 21:15:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Boring... - Thu Oct  8 21:16:09 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well Brither Tetsumi arent you past the rank of chuunin? - Thu Oct  8 21:16:09 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother* - Thu Oct  8 21:17:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Thu Oct  8 21:17:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hey Iza...Any reports? - Thu Oct  8 21:18:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: The leader got away,but the tunnels they were digging are more or less destroyed. - Thu Oct  8 21:20:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You are to find the leader eventually before its too late. - Thu Oct  8 21:21:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Chunnin exams? - Thu Oct  8 21:23:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Can't let the drug smuggler get too far can we? Anywho...Back to my business. - Thu Oct  8 21:23:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Fuji - Thu Oct  8 21:24:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Thu Oct  8 21:24:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Have you seen Sister Devil? - Thu Oct  8 21:25:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's asleep right now. - Thu Oct  8 21:25:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oi. Mirai, I'm going to check how good you are at your Kai in a bit already? - Thu Oct  8 21:25:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see alright then - Thu Oct  8 21:26:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: alright* - Thu Oct  8 21:26:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *nods and leaves* - Thu Oct  8 21:26:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep. - Thu Oct  8 21:29:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's gonna be one of those days. - Thu Oct  8 21:29:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Of what? - Thu Oct  8 21:30:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: hmmm. - Thu Oct  8 21:31:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A quiet day. - Thu Oct  8 21:31:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... It'll pick up a little bit later. - Thu Oct  8 21:32:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats a good thing - Thu Oct  8 21:34:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sir Hassan is it true you are not kage anymore - Thu Oct  8 21:36:38 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Can I get a mission Lord Kazekage? - Thu Oct  8 21:36:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll tag along as per usual. - Thu Oct  8 21:37:29 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhh..who you got in mind please dont tell me its that White Eyed Devil Koji. - Thu Oct  8 21:40:03 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh my squad is unshambles as Alastor went rogue - Thu Oct  8 21:40:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Wonder if I can tag along on a mission as well.. - Thu Oct  8 21:40:54 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ok, well while we are being fixed can I go on a few missions with a some squards... I need more experience in the field - Thu Oct  8 21:42:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Thank you. - Thu Oct  8 21:43:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: My squad leader is like inactive. - Thu Oct  8 21:48:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who is the leader/ - Thu Oct  8 21:48:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I've only seen him one time. - Thu Oct  8 21:48:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Some Fuuinjutsu user. - Thu Oct  8 21:48:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Hrm? I only know of Fujitora. Didn't know the village had another fuuinjutsu user. - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: There are more than 3 squards? - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Squads* - Thu Oct  8 21:50:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .I forgot. What was I going to do before this again? <@Mirai> - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm not sure. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Work with me on my kai? - Thu Oct  8 21:55:24 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Since there isn't much to do around here..I guess i'll train." the teen thought before releasing a depressing sigh. He'd push himself off of the seat where he once stod, with any words to the group he'd leave venturing off for training.* - Thu Oct  8 21:55:24 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) ventured off in the direction of his training spot, that place was always peaceful. On his way over he'd notice the blade weilding female violet, for this reason he'd move some ways over from his original traning location. Once finding where he'd train for this session he brought his hands up to the mid-section of his body, forcefully he clapped his hands. This caused the iron cork on his gourd to slacken, a poping sound was heard as the cork flew into the air. It soon was greeted by a miniature eruption of blackened sand, this sand was concentrated out infront of the teen. 

The sand soon took form, it shifted molding into an extact copy of Tetsumi's identity, every detail of him even his sleepless eyes. More of the material ejected out of his gourd at a fast pace, the once arriving at the clone the sand began binding it, cloaking it in sand itself preventing movement. It first went for the clone's hands, then from his feet up consuming its being completely.

A few seconds passed, time ticked he had to improve on how quickly he executed his sand techniques. An open palm was extended outward aimed at the cloaked clone within the coffin of iron. The sand reeked of blood for some odd reason, forcefully he closed the open palm causing pressure to crush the clone from every possibly place of the coffin. The pressure rose and rose until the sand itself imploded destroying the clone, as well as sending the blackened material across the training grounds. An emotionless gaze was focused on the sand, at this time he noticed Beth approach, though he hadn't done anything as yet or reacted to the newcommer."Mhmm?" the teen questioned, a bit intrigued why someone disrupted his training session.* - Thu Oct  8 22:21:00 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) gaze shifted from the newcommer Trilliam to Beth's figure, in appearance he..well she looked like a male."Its a girl.." the teen thought in his mind, a bit shocked  though it was only her voice that gave it away, though he wasn't one hundred percent sure it was a female. His gaze ceased from the of them for a moment, a portion of the blackened sand retracted returning back infront of his figure. While that portion of the sand was recalled, a portion of the sand of what remained of the clone comprised of the material reformed out of it. 

A yawn was heard from the iron sand clone, "You can at least do better than that, Tetsu c'mon." the teen's stare intensified by just hearing and focusing on the iron sand clone. Swiftly the same amount of iron sand from before glided by, once again it repeated the same detainment plan, it was a patern in its own way. First a section of the sand broke apart rushing and binding the clone's hands, while the remaining sand began at its feet until it comsumed it entierly. 

Tetsumi's left hand was extended outward, his palm open for a couple of seconds. He tried to work out these kinks, delays in his techniques something he'd seen from the first man to obliterate his iron sand shield in combat, Zetsumo. His open palm closed forcefully, sending pressure through out the sand coffin increasing the pressure until it imploded. Sand was scattered about the area like rain in a sense, it littered the area his trained eye on the clone ceased as it returned on the two that deared to interupt his training..Maybe he should make it his training to catch these two with his sand, though it was only wishful thinking he wouldn't do it.* - Thu Oct  8 22:41:29 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) brought an idle hand up under and up to the side of his chin, he'd scratch slightly."Err...A couple hours? Lost track of time." * - Thu Oct  8 22:52:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Why'd you ask? - Thu Oct  8 22:54:17 2015
<br><br><font color=teal>*Beth(Ej900) says: Was just wondering is all. - Thu Oct  8 22:56:51 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm...I guess. - Thu Oct  8 22:57:42 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Why're you here, Trill? - Thu Oct  8 22:58:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I got bored> - Thu Oct  8 23:00:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Was lokking for some where to make a nice sucluptre. - Thu Oct  8 23:01:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Humph! All right. - Thu Oct  8 23:01:07 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "How about, we play a game?" his eyes shifted at the two individuals who were basically in his training area."How about, I try to catch you two with my sand. You both can do anything to try and get away, though once I bind you you're out...Seems fun enough? Doesn't it beat just staring at me train?" the teen questioned, he did find it a bit..odd that these two chose to stare at him instead of doing something constructive with their lifes.* - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I need to practice either way... - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm sound like fun.. Sure. - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You can use any techniques you may possess. - Thu Oct  8 23:07:05 2015
