<br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: ........... - Wed Oct  7 03:46:59 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: No idea where they went. - Wed Oct  7 04:11:44 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Ah well. - Wed Oct  7 04:11:44 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Kirie. - Wed Oct  7 04:11:44 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You good? - Wed Oct  7 04:12:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Wed Oct  7 04:12:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I just dislike males touching me - Wed Oct  7 04:12:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You seen where Suitengu went? - Wed Oct  7 04:12:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh wow. So if I was female, would be okay? - Wed Oct  7 04:12:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Wed Oct  7 04:13:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Where? - Wed Oct  7 04:13:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hold on, Random Citizen. - Wed Oct  7 04:13:26 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:14:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Tensions are rising. - Wed Oct  7 04:14:17 2015
<br><br><font color=teal>*Ai(Sennalove) says: ....Alot of new faces around. - Wed Oct  7 04:20:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Wed Oct  7 04:39:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: I have a deal for you... - Wed Oct  7 04:39:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Someone here knows. - Wed Oct  7 04:39:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: No idea. - Wed Oct  7 04:39:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: .....I don't want to hear it. - Wed Oct  7 04:40:44 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: Really now? It would defintily be a nice deal... - Wed Oct  7 04:40:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: ...I'm not intrested. Doubt it'd be worthwhile for me. - Wed Oct  7 04:42:27 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: There are several S-rank shinobi in the village who are looking for your life. I have arranged a way to avoid conflict. Still not interested? - Wed Oct  7 04:42:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: ...Is....That a threat? I fear no one. - Wed Oct  7 04:43:18 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: No. It's not. If you fight here, though, innocents will be caught in cross-fire. - Wed Oct  7 04:43:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then give it to me.  - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am going to kill that cowardly bastard. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ........Just give me a week. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then I want him to be banned from the village and to be arrested on sight.. - Wed Oct  7 04:45:52 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) grumbled a little before positioning himself away from the fellow manipulator. This conversation between the two got under his skin to an extent, though he didn't show it out the surface.* - Wed Oct  7 04:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He murdered our comrade. I will have his head for it. - Wed Oct  7 04:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who are these shinobi that I do not recognize. - Wed Oct  7 04:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Did they come with Baen? - Wed Oct  7 04:46:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: I would prefer to avoid confrontation. I am not allied with these savages. I do, however, have people dear to me who will die if I do not get this deal through. I beg you...Please... - Wed Oct  7 04:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Wed Oct  7 04:48:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: I'm not afraid of your threats. I don't care. - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi? - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Huh? - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So you'll let innocents die for your ego? - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: She's going to die...Like Sensei... - Wed Oct  7 04:51:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Count..to three Tetsu.. - Wed Oct  7 04:51:50 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'm with who? I'm not with anyone.  - Wed Oct  7 04:52:41 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Are you a Sunagakure shinobi? - Wed Oct  7 04:52:41 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: No. - Wed Oct  7 04:53:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How did you get past the guards? - Wed Oct  7 04:53:32 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'm just a peddler. - Wed Oct  7 04:53:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I'll have to deal with this now heh.. - Wed Oct  7 04:53:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hmph, sorry then. - Wed Oct  7 04:53:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That man puts me on edge. - Wed Oct  7 04:53:32 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: It's understandable. - Wed Oct  7 04:54:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What do you sell? - Wed Oct  7 04:54:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd see your wares. - Wed Oct  7 04:54:24 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Are you really so heartless you would rather let people die without a second thought? - Wed Oct  7 04:54:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Oct  7 04:54:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Ignore him... - Wed Oct  7 04:55:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alastor, what's your issue? - Wed Oct  7 04:55:15 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Me? - Wed Oct  7 04:55:15 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I sell weapons. - Wed Oct  7 04:55:15 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Like shuriken and kunai. - Wed Oct  7 04:55:15 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Recently my wares have not been popular in Konoha. - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Ever since the attack. - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: So I came here in search of business. - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We have a store here, that supports the economy of suna. HOw do you make money off something that is readily avaibable here? - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: My weapons are usually much more refined. - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Show me. - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I produce my weapons out of pure steel, versus just iron. - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I might be interested in spending some of my savings. - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I've nothing on me at the moment, but I can produce something for you should you give me an anvil. - Wed Oct  7 04:56:06 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I usually produce custom weapons for people. - Wed Oct  7 04:56:57 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: They detail what they want from me.  - Wed Oct  7 04:56:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 04:56:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Ehh..It wouldn't be beneficial to me. - Wed Oct  7 04:56:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I already bought one blacksmith an anvil and it wasn't fruitful. - Wed Oct  7 04:56:57 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Well, hopefully what I get for you will be fruitful. - Wed Oct  7 04:57:48 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'm fairly experienced. - Wed Oct  7 04:57:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Oct  7 04:57:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi, what is his problem? - Wed Oct  7 04:57:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He shouldn't be talking to a Jounin like that. - Wed Oct  7 04:58:40 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll be off then. - Wed Oct  7 04:58:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* Nothin'. - Wed Oct  7 04:58:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its nothing important. - Wed Oct  7 04:58:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Just innocent lives. - Wed Oct  7 04:58:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Nothhing important. - Wed Oct  7 04:58:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Explain yourself more. - Wed Oct  7 04:58:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Or be quiet, Alastor. - Wed Oct  7 04:59:31 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Oh? I'm sorry. - Wed Oct  7 04:59:31 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: People are coming to destroy Sunagkure due to Tetsumi. - Wed Oct  7 04:59:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who? - Wed Oct  7 04:59:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Wed Oct  7 05:00:22 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: A very strong group of shinobi. - Wed Oct  7 05:00:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And what do you expect him to do about it? - Wed Oct  7 05:00:22 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: They want what's inside the boy: Shukaku. - Wed Oct  7 05:00:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .......... - Wed Oct  7 05:01:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He is a shinobi of this village. He will be defended just like you'd be defended. - Wed Oct  7 05:01:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: What... in the hell.. Is a shukaku. - Wed Oct  7 05:01:13 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If he'd listen, we could avoid the pointless blood-shed. - Wed Oct  7 05:01:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Listen to what? - Wed Oct  7 05:01:13 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It's pointless. He's too stuck into himself. - Wed Oct  7 05:02:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Oct  7 05:03:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You're Suitengu right? I remember you from Kirigakure no Sato. - Wed Oct  7 05:05:29 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .. I don't remember meeting you?.. - Wed Oct  7 05:05:29 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) instead of the guards retrieving the fellow known as Yan, a jounin appeared from the cluster of shinobi on guard duty. A giant gourd was visible on the teen's back, an eye brow raised while both hands were crossed and pressed against his chest.* - Wed Oct  7 05:10:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: What? - Wed Oct  7 05:11:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: The hell is she crying?.. - Wed Oct  7 05:11:28 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Wha?" the teen thought, his eyes caught indications of blood on her clothing as well as the wounded shinobi she carried. At this exact time a timid shinobi walked up behind of him whispering in his air."I see.. You two are allowed in." he was only following orders, though he'd seen that female before. * - Wed Oct  7 05:20:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm? - Wed Oct  7 05:21:42 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Baen says.. and I quote.. "Tell him I killed Flexus, bwah-hah-hah". - Wed Oct  7 05:21:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Excuse me Ms.Shinobi...would you like to buy some rice cakes and sushi plates? - Wed Oct  7 05:21:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yet he's scared to come face me. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Don't talk like that to my dad. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: AMirai - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A grown shinobi. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: @* - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You have no idea what happened. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, it is true. I am sorry. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I hear he is fighting Tetsujin. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You weren't even there - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He told me himself. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Mm.. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And now he's acting as though he doesn't even remember. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We couldn't do anything!  - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's the truth! - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: If he doesn't remember, he doesn't remember. - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't accept that. - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: ....... - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: What are you all talking about? - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not going to sit here and let you call my dad stupid, or a coward! - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Because he isn't! - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Meat pies anyone? - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll take a meat pie. - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Yup..Fuji is a coward.. - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Meat Pie?... - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: 30 Yen! - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Thirty yen? - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: That's criminal. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'm almost stealing it from you. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll pay. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: For a 20 pounder? - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: How much will twenty million buy? - omit - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: You got yourself a deal sir. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Nice business! - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, I don't mean to offend you. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: What is a Meat Pie? - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I do not respect the man, but as I respect you, I won't say it anymore. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: It's heavy. - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Baen is the man I truly blame and he will face me one day. - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: ...... - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: A pie stuffed of meat. - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: What's the news? - Wed Oct  7 05:26:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: ...Maybe this isn't the world I thought it was. I do not see anyone that cares about other people. - Wed Oct  7 05:26:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts. - Wed Oct  7 05:26:49 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: Ah.. I recognize her.. - Wed Oct  7 05:27:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Koeki is.....dead... - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The Mizukage..? - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... Hn. - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who killed her? - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yes... and edge is as well... - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Edge.. - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Is dead? - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Edge is dead? - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Who's Edge? - Wed Oct  7 05:29:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sounds like an Edgy feller.. - Wed Oct  7 05:29:23 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: And another man is dead as well - Wed Oct  7 05:29:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Why is the man important to mention? - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: He has purple eyes - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: He is usually followed by a woman... - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: I don't know many others with these eyes.. Taiga?.. Edge?.. - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: . . . . - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Purple eyes?.. - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: He died.. in Kirigakure? - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Like him? - Wed Oct  7 05:31:05 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Wed Oct  7 05:31:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Fuji-Hana special! Wanna live ..On Edge?" Try my new Empress Plate! Contains sliced and Diced meats, asian corn, sliced bell pepers and rice so pure it cleans the soul.. - Wed Oct  7 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Omg dad shutup - Wed Oct  7 05:31:05 2015
