<br><font color=teal>*Hanae(Ej900) says: This shell is nothing to me now. - Mon Nov  9 13:04:38 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) brightened up once seeing Zenaki, "HEY!" he'd even put on a smile just for Zenaki, but the smile faded away rather quickly. It wasn't her, it just was difficult being as cheerful as he once were in his younger years. He'd look at her stomach, "Ummm... How are you today? Just checkin' on you." he'd say at the door, a bit skeptical if to enter or not.* - Mon Nov  9 17:36:00 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Ehh.. I guess if I stayed a little while to keep her company..." the teen thought while walking in, he'd shut and lock the door behind of him as he did this. Walking into the room he'd taken a seat over at the table, he'd sit on one of the many mats on the floor.* - Mon Nov  9 17:41:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I-I thought I'd keep you company for a change, ya'know. - Mon Nov  9 17:41:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Don't you get lonely all alone? - Mon Nov  9 17:41:58 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) placed his right hand under his chin, "Oh?... I guess its for a good cause?.." honestly he doubted it, but he was just a little bit resentful about Fujitora still. "I know how it is to be.. a little lonely.. Well... really lonely! Its not a good feeling." while saying this he'd look down at the table, his eyes looking away from Zenaki as he spoke.* - Mon Nov  9 17:47:05 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) looked up at Zenaki and smiled, maybe she wasn't bad after all. Though she still had that.. odd factor about her, especially with the statue in the room.. Either way, he'd look past that for a second or two."Thank You, Zenaki."* - Mon Nov  9 17:53:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm. - Mon Nov  9 17:54:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: No problem.. You're family. Family is dear to me. - Mon Nov  9 17:55:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Besides... You will have two more brothers or sisters soon. Hm. - Mon Nov  9 17:55:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh.. I didn't test out the syringe... I didn't get the opportunities to test it out. - Mon Nov  9 17:56:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well.. my family died young, so I appreciate it. - Mon Nov  9 17:56:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: While I was young* - Mon Nov  9 17:57:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Killed by the village... - Mon Nov  9 17:57:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hehe, is that so? - Mon Nov  9 18:01:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Mon Nov  9 18:02:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That's good to know. - Mon Nov  9 18:03:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Why so?  - Mon Nov  9 18:04:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Because, it means you're truely thinking of me as family ya'know. - Mon Nov  9 18:05:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: An' the others as well.. - Mon Nov  9 18:05:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: But mainly me.. - Mon Nov  9 18:05:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm.  - Mon Nov  9 18:05:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But.. - Mon Nov  9 18:06:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I may go to do some research soon.. - Mon Nov  9 18:07:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Find ways to make my sand a little more... - Mon Nov  9 18:07:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmm... - Mon Nov  9 18:07:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Useful? - Mon Nov  9 18:08:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hmm...  - Mon Nov  9 18:09:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehh... Its just wishful thinking I guess.. - Mon Nov  9 18:12:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Bryson made me think about it.  - Mon Nov  9 18:12:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: So i'll do just that. - Mon Nov  9 18:12:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Just test it with the poison first. If it works and you don't feel any effects.. I can help you out with making poisons yourself. - Mon Nov  9 18:13:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm. Thanks. - Mon Nov  9 18:15:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Though with that amount of poison.. I'll probably be able to point two shuriken at best. Mhmm.. - Mon Nov  9 18:16:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Poison* - Mon Nov  9 18:16:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'll try it out later, on someone that's willing to fight... - Mon Nov  9 18:17:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Since I can't try it out on myself.. - Mon Nov  9 18:18:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Aye.  - Mon Nov  9 18:26:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Perhaps Master can spar wih you.  - Mon Nov  9 18:26:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Mon Nov  9 18:28:03 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well.. If he was free. - Mon Nov  9 18:28:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm...  - Mon Nov  9 18:29:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He is. - Mon Nov  9 18:30:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Mon Nov  9 18:30:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But.. Mhmm.  - Mon Nov  9 18:34:01 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I know where i'll test it out.. - Mon Nov  9 18:34:52 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) slowly rose to his feet, "I'll go run the test now. I'll give you feed back, maybe this won't take long." once up, he'd make his way towards the door.* - Mon Nov  9 18:35:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: All right.. see you in a few.. If you don't pass out.. - Mon Nov  9 18:36:35 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Mon Nov  9 18:37:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm really concerned ya'know. - Mon Nov  9 18:37:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *leaves* - Mon Nov  9 18:37:26 2015
<br><br><font color=teal>*Hanae(Ej900) says: Oh. - Mon Nov  9 18:37:26 2015
<br><br><font color=teal>*Hanae(Ej900) says: Well, well. - Mon Nov  9 18:38:17 2015
<br><br><font color=teal>*Hanae(Ej900) says: That must be a interesting life to live. - Mon Nov  9 18:38:17 2015
<br><br><font color=teal>*Kikumi(Kawaiimanyu) says: It's fun heh.  - Mon Nov  9 18:38:17 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Just gonna' visit Hassan. - Mon Nov  9 18:51:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I guess I could always learn that other technique... - Mon Nov  9 18:56:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Everyone seems so distant. - Mon Nov  9 18:56:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Wonder if anyone would spar.. - Mon Nov  9 19:02:11 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: Back hurts. - Mon Nov  9 19:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... Won't ask you to spar then, since your back hurts.. - Mon Nov  9 19:03:02 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: I don't think I'm allowed to spar or use jutsu. - Mon Nov  9 19:04:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm?... - Mon Nov  9 19:27:47 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) stopped infront of Koji once he stepped in his way. He'd arch an brow questioning his action."Mhmm.  I haven't. I'm not.. keen, to having someone take my gourd away. Though i'll visit him soon."* - Mon Nov  9 19:32:03 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *slides in Hanae's DM* Hey giiirrrllll. - Mon Nov  9 19:33:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *slides finger against chest, until it stopped her the center* You know what I want." - Mon Nov  9 19:35:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *wink* - Mon Nov  9 19:35:28 2015
<br><br><font color=teal>*Hanae(Ej900) says: Death? - Mon Nov  9 19:36:19 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: S-omit- - Mon Nov  9 19:36:19 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. Guess we'll see. - Mon Nov  9 19:38:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Until those arrangements are made, I'll be about my own business. - Mon Nov  9 19:38:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Eat a dick!!! -omit - Mon Nov  9 19:39:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I'll just visit him with that technique.. Not an issue. - Mon Nov  9 19:39:44 2015
<br><br><font color=teal>*Hanae(Ej900) says: -cough-  - Mon Nov  9 19:39:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch.... - Mon Nov  9 19:39:44 2015
<br><br><font color=teal>*Hanae(Ej900) says: I never seen a man so dark...but pull off that green headband so well. -omit- - Mon Nov  9 19:40:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mmm... What to do?... What to do?... - Mon Nov  9 19:40:35 2015
<br><br><font color=teal>*Hanae(Ej900) says: So - Mon Nov  9 19:41:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmm? - Mon Nov  9 19:41:26 2015
<br><br><font color=teal>*Hanae(Ej900) says: Still toting that large thing around on your back I see. - Mon Nov  9 19:41:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yup.. - Mon Nov  9 19:41:26 2015
<br><br><font color=teal>*Hanae(Ej900) says: I would thought by now you could just.. I don't flick your wrist and bam magic. - Mon Nov  9 19:42:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm... Wish it worked like that. It doesn't bother me anyway. - Mon Nov  9 19:42:17 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: Guess this one does not inbody the spirit of gaara-omit- - Mon Nov  9 19:43:08 2015
<br><br><font color=teal>*Hanae(Ej900) says: I know the feeling to walk around with something on your back all day. - Mon Nov  9 19:43:08 2015
<br><br><font color=teal>*Hanae(Ej900) says: -sighs- - Mon Nov  9 19:43:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I inbody the spirit of deez nutz in yo mouth-omit- - Mon Nov  9 19:43:08 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: Don't tease-omit- - Mon Nov  9 19:43:08 2015
<br><br><font color=teal>*Hanae(Ej900) says: So how good are you with your well sand. - Mon Nov  9 19:44:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmm... I can see, I did hear you speakin' to Sanoke about increasing it. Well the w-Mmm? Who knows. - Mon Nov  9 19:44:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Would you like to find out? - Mon Nov  9 19:44:51 2015
<br><br><font color=teal>*Hanae(Ej900) says: I mean why ells would I be asking your questions? - Mon Nov  9 19:44:51 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Because you're bored? - Mon Nov  9 19:44:51 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: Not like you got game like that nigga-omit- - Mon Nov  9 19:44:51 2015
<br><br><font color=teal>*Hanae(Ej900) says: Bored yeah. But for other reasons. - Mon Nov  9 19:45:42 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: In bed though, ten inch dick bitch. Extendo!!! -omit- - Mon Nov  9 19:45:42 2015
<br><br><font color=teal>*Hanae(Ej900) says: Its more of I'm bored of all stuff I have to do. - Mon Nov  9 19:45:42 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh.. I see. Then, lead the way. - Mon Nov  9 19:45:42 2015
<br><br><font color=teal>*Hanae(Ej900) says: It's just such a drg. - Mon Nov  9 19:46:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm. - Mon Nov  9 19:46:33 2015
<br><br><font color=teal>*Hanae(Ej900) says: Oh so kind of you. - Mon Nov  9 19:46:33 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) follows behind of him? Her? Shim? One of those genders or things.* - Mon Nov  9 19:47:24 2015
<br><br><font color=teal>*Hanae(Ej900) says: Go ahead I'll watch. - Mon Nov  9 19:48:16 2015
<br><br><font color=teal>*Hanae(Ej900) says: -smiles- - Mon Nov  9 19:49:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You may have t-... - Mon Nov  9 19:49:07 2015
<br><br><font color=teal>*Hanae(Ej900) says: Need me to move? - Mon Nov  9 19:49:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes, if you'd like. - Mon Nov  9 19:49:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I've never seen... Her smile.. - Mon Nov  9 19:49:07 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: nice few of his ass. - Mon Nov  9 19:49:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Weird... - Mon Nov  9 19:49:58 2015
<br><br><font color=teal>*Hanae(Ej900) says: Well go on. - Mon Nov  9 19:49:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Soo.. Uhh...  Aren't you attackin' first?.. - Mon Nov  9 19:49:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: . . . . . - Mon Nov  9 19:49:58 2015
<br><br><font color=teal>*Hanae(Ej900) says: No, no. - Mon Nov  9 19:49:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Why?... - Mon Nov  9 19:50:49 2015
<br><br><font color=teal>*Hanae(Ej900) says: Just show off your skills. Do some tricks. - Mon Nov  9 19:50:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehh.. Skills? Heh. That won't come easy. - Mon Nov  9 19:50:49 2015
<br><br><font color=teal>*Hanae(Ej900) says: I'm sure you can thing of sometihng. - Mon Nov  9 19:50:49 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) turns towards Hanae.* - Mon Nov  9 19:50:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmm.. How about I show em' off on you? - Mon Nov  9 19:51:40 2015
<br><br><font color=teal>*Hanae(Ej900) says: Tsk I rather not put my self in something like that. - Mon Nov  9 19:52:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: We could train somewhere else privately, if you're concerned. - Mon Nov  9 19:52:32 2015
<br><br><font color=teal>*Hanae(Ej900) says: Concerned oh no. - Mon Nov  9 19:52:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh? - Mon Nov  9 19:52:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Then what? - Mon Nov  9 19:52:32 2015
<br><br><font color=teal>*Hanae(Ej900) says: I just want to see your abilities is all. - Mon Nov  9 19:52:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh. *yawn* To bad. That doesn't come easy. - Mon Nov  9 19:53:23 2015
<br><br><font color=teal>*Hanae(Ej900) says: Thats a bore. - Mon Nov  9 19:53:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *weak smile* - Mon Nov  9 19:53:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Either way... Guess i'll be going.. If this'll be equally as borin'. - Mon Nov  9 19:54:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm. - Mon Nov  9 19:54:14 2015
<br><br><font color=teal>*Hanae(Ej900) says: Would you be happy with clones? - Mon Nov  9 19:54:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: A clone? What type of clone? - Mon Nov  9 19:55:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If they aren't as durable, its a joke. - Mon Nov  9 19:55:05 2015
<br><br><font color=teal>*Hanae(Ej900) says: Oh these are more then durable. - Mon Nov  9 19:55:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh? - Mon Nov  9 19:55:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If I destroy em' in one go. - Mon Nov  9 19:55:56 2015
<br><br><font color=teal>*Hanae(Ej900) says: I think you'll find it interesting to try and defeat them. - Mon Nov  9 19:55:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: What will I get? - Mon Nov  9 19:55:56 2015
<br><br><font color=teal>*Hanae(Ej900) says: I'll give you hundred thousand. - Mon Nov  9 19:55:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh? Sounds good enough. - Mon Nov  9 19:56:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Prepare the clone. - Mon Nov  9 19:56:48 2015
<br><br><font color=teal>*Hanae(Ej900) says: . . . - Mon Nov  9 19:56:48 2015
<br><br><font color=teal>*Hanae(Ej900) says: Can I help you? - Mon Nov  9 19:56:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh... - Mon Nov  9 19:56:48 2015
<br><br><font color=teal>*Kurt(Zygman) says: Oh, Don't mind me. - Mon Nov  9 19:56:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Guess she's... not okay with others watching... - Mon Nov  9 19:57:39 2015
<br><br><font color=teal>*Hanae(Ej900) says: Hmmm. - Mon Nov  9 19:58:30 2015
<br><br><font color=teal>*Hanae(Ej900) says: I didn't think someone would have followed. - Mon Nov  9 19:58:30 2015
<br><br><font color=teal>*Hanae(Ej900) says: Oh well. - Mon Nov  9 19:59:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Is it Mist Servant? Cause I'll know the seals, if it is.) - Mon Nov  9 20:06:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Or just earth clones?) - Mon Nov  9 20:06:11 2015
<br><br><font color=teal>*Hanae(Ej900) whispers: (it is but that wont matter. XD its not being used normally as others migh tuse the jutsu) - Mon Nov  9 20:07:02 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Those hand seals.." the teen observed the seals that Hanae formed, he knew them. They were the handseals for the Mist Servant technique, which meant they were most likely genjutsu.. He couldn't hurt them, the more he even tried to attack the clones, they'd multiply."You sly little..." the teen mumbled, there were two clones behind of him, one clone taking Hanae's place while the real Hanae was above.

"I guess if you want to play like that.." a smirk was visible on the teen's face." Clasping his hands, he gathered chakra. While he did this, he thought up of a strategy, as well as going along with it for Hanae's sake. The gathered chakra was converted into magnetic forces, enabling his magnetic field. The iron cork on the teen's gourd flew off of his gourd, blackened sand erupted from the teen's gourd. As it was released, the expelled sand morphed into ten shuriken each. 

Four shuriken were sent behind of him, two for each clone behind. While a total of six shuriken raced forward. As the shuriken raced forward, Tetsumi clasped his hands together. Once formed, he'd inhale oxygen from the air around him while churnning wind natured chakra inside of him. The chakra multiplied inside of him, parting his lips he'd blow outward releasing a powerful gale of wind towards the shuriken made of iron sand. In mixing these two, he'd increase the weapon's speed, and sharpness making it a little more deadly. Plus, they were manipulated each of the six imbued with wind natured chakra. Two of the wind infused shuriken were aimed for the hanae on the ground, the others banked upward at a fast pace aiming to impale Hanae at her mid-section. 

If his hunch was right, maybe this'd stop the technique and he'd win? If not, he'd be horribly wrong and he'd lose some cash.* - Mon Nov  9 20:19:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *Yawn* I did. But, I figured it wouldn't work. - Mon Nov  9 20:33:29 2015
<br><br><font color=teal>*Hanae(Ej900) says: Oh. -smiles- - Mon Nov  9 20:38:36 2015
<br><br><font color=teal>*Hanae(Ej900) says: So you ready to pay up hmm? - Mon Nov  9 20:38:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No really, that was a cheap trick. Tch. - Mon Nov  9 20:38:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Not* - Mon Nov  9 20:38:36 2015
<br><br><font color=teal>*Hanae(Ej900) says: Hey now you agreed. - Mon Nov  9 20:39:28 2015
<br><br><font color=teal>*Hanae(Ej900) says: -chuckles- - Mon Nov  9 20:39:28 2015
<br><br><font color=teal>*Kurt(Zygman) says: You know what the golden rule is? - Mon Nov  9 20:39:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch... - Mon Nov  9 20:40:19 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Is there another way?... - Mon Nov  9 20:40:19 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: To make up for my loss? - Mon Nov  9 20:41:10 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Even though... that was a cheap trick.. - Mon Nov  9 20:42:01 2015
<br><br><font color=teal>*Hanae(Ej900) says: You could if we ever bet on something again. - Mon Nov  9 20:42:01 2015
<br><br><font color=teal>*Kikumi(Kawaiimanyu) thinks: Oh.. It's Hanae.. Heh..  - Mon Nov  9 20:42:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: All right! I'm making another bet. - Mon Nov  9 20:42:52 2015
<br><br><font color=teal>*Hanae(Ej900) says: Now come on pay up. - Mon Nov  9 20:42:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I won't pay up, not after being played like that. - Mon Nov  9 20:44:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You promised, that the clones would be durable.. - Mon Nov  9 20:44:35 2015
<br><br><font color=teal>*Hanae(Ej900) says: They were. -smiles- - Mon Nov  9 20:44:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Not tangible. - Mon Nov  9 20:44:35 2015
<br><br><font color=teal>*Hanae(Ej900) says: Durable to with stand your mind. - Mon Nov  9 20:45:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hah. - Mon Nov  9 20:45:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Trust me, I was two steps a head of you. - Mon Nov  9 20:45:26 2015
<br><br><font color=teal>*Hanae(Ej900) says: I'm sure you were. - Mon Nov  9 20:45:26 2015
<br><br><font color=teal>*Hanae(Ej900) says: For that I'll give you another chance some other time but I need you to pay up. - Mon Nov  9 20:46:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: That sarcasm.. - Mon Nov  9 20:46:17 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) made a hand gesture, each shuriken of iron returned to the teen. As the raced back to the teen, each one of the ten deconstructed back into iron sad. The blackened sand seeped back into the teen's gourd, the iron cork from before. That too, was returned to the top of his gourd, sealing it off for future use. He'd begin to walk away.. He was obvious pissed, nope he wasn't going to pay Hanae. Not at all, he was shammed.* - Mon Nov  9 20:48:51 2015
<br><br><font color=teal>*Hanae(Ej900) says: Hey come on don't be a pour sport. - Mon Nov  9 20:49:42 2015
<br><br><font color=teal>*Hanae(Ej900) says: poor* - Mon Nov  9 20:49:42 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "......" continued to walk away.* - Mon Nov  9 20:49:42 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) sighed and continued to walk away."Why do I ever trust people?" he'd mumble while attempting to leave the area.* - Mon Nov  9 20:51:24 2015
<br><br><font color=teal>*Hanae(Ej900) says: I guess I'll wait to collect what you owe then. - Mon Nov  9 20:52:16 2015
<br><br><font color=teal>*Kikumi(Kawaiimanyu) says: ... Uh..  - Mon Nov  9 20:52:16 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) leaves!* - Mon Nov  9 20:53:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *mumbles* Fucking tricky bitch... I'll tear her fucking head off. *mumbles* - Mon Nov  9 20:53:58 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: Eh... - Mon Nov  9 20:53:58 2015
