<br><font color=yellow>*Katsune(Shimizu3598) picks up the glass and eyes it absent-mindedly for a while as she speaks.

"Never wearing a headband again. I get restless sometimes though. Been to war. . .been forced to kill a lot of people. That made me restless." she says, careful to not say "bloodthirsty."

She reaches up to pour tea into her mouth. Eyes wander while she sips, visibly gulping once or twice. Her glass is emptied by an inch or two, showing that she really did drink it.

She sets the glass down afterwords.* - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Already have. - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ah.. - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Well then.. - Sun Oct  4 05:52:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But...I should go sleep. - Sun Oct  4 05:52:51 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns to wander off, at a lazy pace. "Plus...you're probably tired of entertaining me." she says.

"I know the feeling, as someone who used to have to watch her mouth. It takes energy, doesn't it?"

Her hand finds the doorknob to the door, and she opens it up. The girl remains in the doorway though for long enough to hear his response.

Her back's to the door in the mean time, and she's watching him.* - Sun Oct  4 05:54:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's exhausting. - Sun Oct  4 05:54:33 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods, with a glance over at the hand that's holding the door open. With that she lazily walks through the door.

"Mhmmm...." she says.
"Good night."* - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Still better than Amegakure. - Sun Oct  4 15:07:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: True. - Sun Oct  4 15:08:22 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Taiga. - Sun Oct  4 15:20:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We should get moving now. - Sun Oct  4 15:20:19 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: I got some business in Kumogakure . . . You up to come with me? - Sun Oct  4 15:27:08 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) literally just tossed those scrolls on the ground. It's canon.

It's all canon.* - Sun Oct  4 15:28:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Does anyone feel like a short spar..? - Sun Oct  4 15:28:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: No. Stay safe. - Sun Oct  4 15:28:51 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Alright. - Sun Oct  4 15:28:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: -- Actually what. . .exactly....are you doing? - Sun Oct  4 15:28:51 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Well, I'm going with Taiga then. - Sun Oct  4 15:28:51 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Finding Ushinawa's will. - Sun Oct  4 15:28:51 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: And most likely talking to Niza. - Sun Oct  4 15:29:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I see. - Sun Oct  4 15:30:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Well, yeah. Stay safe. Finding Ushinawa's will is none of my business and. . . - Sun Oct  4 15:30:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I dunno how Niza feels about me/ - Sun Oct  4 15:31:24 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: I can ask him if you're interested. - Sun Oct  4 15:31:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Do what you want to. And hey. - Sun Oct  4 15:32:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: -- Never mind. What -you- do to Hideki is none of my business. Just know...he has family. - Sun Oct  4 15:32:16 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: I do know that. See you later. - Sun Oct  4 15:32:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Taiga. - Sun Oct  4 15:32:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Let's get going. - Sun Oct  4 15:32:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sure. - Sun Oct  4 15:33:07 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kang, You up to join us as well? - Sun Oct  4 15:33:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Where are you going? - Sun Oct  4 15:33:58 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kumogakure temporarily. - Sun Oct  4 15:33:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hm. - Sun Oct  4 15:34:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And why is that? - Sun Oct  4 15:36:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Some business. - Sun Oct  4 15:36:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: If you're not up to come then it's fine. - Sun Oct  4 15:36:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: She'll be leaving anyway. - Sun Oct  4 15:37:23 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) is turning her head a bit and lifting an eyebrow before Zenaki's finger even touches her. She'd sensed her.

The girl allows the tapping, though.* - Sun Oct  4 15:59:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Heya.. Didn't see you in quite a time. - Sun Oct  4 16:01:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: How are you? - Sun Oct  4 16:01:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Hm. Good. - Sun Oct  4 16:01:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: You? - Sun Oct  4 16:01:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Mhm.. Kinda aye. Why are you here? Same reason as Kilm? - Sun Oct  4 16:02:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Whatever Kilm told you it was probably not the truth. - Sun Oct  4 16:02:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Well, the environment here is... different. - Sun Oct  4 16:02:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I told him to be subtle and lie. He's not good at it. - Sun Oct  4 16:02:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I was being hunted by Erebus. He went mad. Thought I was manipulating to him and lying. - Sun Oct  4 16:02:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: -- I wasn't. - Sun Oct  4 16:03:50 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: He said something about running away from Erebus. - Sun Oct  4 16:03:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Heard reports about you apparently being possessed in some way. Enslaved. - Sun Oct  4 16:03:50 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Hm.. Oh? - Sun Oct  4 16:03:50 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Doesn't seem too lively compared to Kirigakure... - Sun Oct  4 16:03:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Sent Erebus after you. Hoped he could get you and we could find out if you really were in trouble. - Sun Oct  4 16:03:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: But, I ended up having to watch my own back before I could ever do anything about it. - Sun Oct  4 16:04:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I assume Fujitora told you all of this. - Sun Oct  4 16:04:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: I.. I do not remember him telling anything. Erebus came to get me. And I got in Konoha.. Then that fight with eh.. Hanabi. And I went away again because my Master needed me.  - Sun Oct  4 16:05:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Needed Hanabi. Too bad she died. - Sun Oct  4 16:06:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Erebus was an idiot. Never met someone so stupid in my life. - Sun Oct  4 16:06:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: And I've met a lot of stupid people. - Sun Oct  4 16:06:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: He killed everyone that could have helped us and did nothing that benefitted Konoha. - Sun Oct  4 16:06:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: He's dead now though. - Sun Oct  4 16:07:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: He died? How? - Sun Oct  4 16:07:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Gezo Knight. - Sun Oct  4 16:07:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I'm stll skeptical considering he was immortal but....I'm leaning towards believing it. - Sun Oct  4 16:07:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Person who told me about it wouldn't lie and apparently Erebus was made into minced meat. Even as an immortal...he's gotta be dead. - Sun Oct  4 16:08:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Mmm.. I see.. - Sun Oct  4 16:08:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I was forced to be his figurehead Hokage for a while. I wanted the position but not so soon. - Sun Oct  4 16:08:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Wanted to wait until I was strong enough to do the job right. That -idiot-....-retard-....was a backseat Hokage the entire time. - Sun Oct  4 16:09:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: He ruined everything with that. - Sun Oct  4 16:09:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Mhm. - Sun Oct  4 16:09:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: You are happy, though? - Sun Oct  4 16:09:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Not enslaved? - Sun Oct  4 16:09:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Enslaved? Why would I be?  - Sun Oct  4 16:10:40 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) glances up at her. Afterwords she whispers something.

If not interupted, the girl then turns and walks away.* - Sun Oct  4 16:11:31 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) just glances up at her, actually.* - Sun Oct  4 16:12:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Wanted to check you for seals but. . . - Sun Oct  4 16:12:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Not quite willing to strip search you Zenaki. . . - Sun Oct  4 16:12:22 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns her head to stare up at her and walks up to where she's in front of her.

With that, she whispers a request. Eyes stare at her lips in specific.* - Sun Oct  4 16:13:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Open your mouth? - Sun Oct  4 16:13:13 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) reaches up to gently place a finger on Zenaki's chin. Her hands are inside gauntlets anyway.

She gently pulls her head down if allowed, to see her tongue. The tiny teen stands on her tippy toes to try and see said tongue.* - Sun Oct  4 16:14:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Lift your tongue. - Sun Oct  4 16:15:47 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) glances back for forth to check insides of cheeks too.* - Sun Oct  4 16:15:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Actually let's....go somewhere. - Sun Oct  4 16:17:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Alright? - Sun Oct  4 16:17:29 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods and turns to lead the way off, ignoring Bryson entirely.

She's not into the religious harrassment, even if this author is religious af.* - Sun Oct  4 16:18:20 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) is still ignoring outright.

Senses are focused on Zenaki to determine whether or not she's following.* - Sun Oct  4 16:24:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Oct  4 16:26:01 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yo. We're busy ruining someone's plans and I'm busy seeing whether or not I need to brutally murder someone. Do you -mind-? - Sun Oct  4 16:26:01 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns around and resumes walking off with that.* - Sun Oct  4 16:27:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, my apologies, I was waiting for your partner to answer but I guess thats it. I will not bother you then. Sorry... - Sun Oct  4 16:27:44 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Feel a little sorry for the guy - Sun Oct  4 16:27:44 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) leads Zenaki into a house with a sigh. Once there, both hands find her own hips. Kat's weight shifts a bit, and she turns her eyes to Zenaki's hands. She checks both, for gloves.

"Show me your hands?" she inquires.

"Palms, and backs of them."* - Sun Oct  4 16:32:00 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) is looking for fuuinjutsu seals though.

"Alright...feet?" she inquires.* - Sun Oct  4 16:33:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Telling you already. I'm looking for fuuinjutsu seals. - Sun Oct  4 16:34:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I do not have any. - Sun Oct  4 16:35:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You sure....? - Sun Oct  4 16:35:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Sun Oct  4 16:35:24 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow.* - Sun Oct  4 16:35:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well. That's what Fujitora said. - Sun Oct  4 16:35:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm? - Sun Oct  4 16:36:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just...need to be sure. Not a very good friend if someone tells me you're walking around with eyes out of focus and speaking in monotone and I....don't even look into it. - Sun Oct  4 16:36:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But..... - Sun Oct  4 16:37:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I guess...... - Sun Oct  4 16:37:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I won't bother you anymore. - Sun Oct  4 16:37:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'd like to see your spine but...won't press it. - Sun Oct  4 16:37:07 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's cheeks turn a very faint shade of pink. Eyes wander off, and her mouth falls very slightly agape.

Seeing the woman in that position isn't exactly what she was after. After a brief and silent sigh through the nose she nods.

"Right." she says.

An arm rises and with her right index finger she motions for Zenaki to turn around first. She's not exactly looking to see the woman's chest.* - Sun Oct  4 16:43:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Alright...! - Sun Oct  4 16:46:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Good enough for me. - Sun Oct  4 16:46:30 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. "Guess you're fine then." she says with a silent and subtle breath, once more looking her up and down. Kat's eyes are out of focus for the moment, as if....there's something about this that still doesn't seem quite right.

At a lazy pace, she turns and begins making her way to the door.

"Just let me know if you ever need anything, alright?" she inquires. The girl's hand finds the doorknob and she opens it, to let Zenaki out. She holds it for her.* - Sun Oct  4 16:51:37 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I should tell Zenaki right now instead of Fujitora . . . She might pass it to him when she sees him. - Sun Oct  4 16:53:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Seen Fujitora, Zenaki? - Sun Oct  4 16:54:11 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) wanders out too. Both arms are behind her back, with one hand holding the opposite arm.* - Sun Oct  4 16:55:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: He is asleep.  - Sun Oct  4 16:55:53 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright . . . Mind if you tell him something when you see him? - Sun Oct  4 16:55:53 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns to wander off.* - Sun Oct  4 16:56:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Tell him I've found Ushi's will . . . - Sun Oct  4 16:56:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Just like he wanted. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh? - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: How? - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I've talked in Kumogakure. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And Niza confirmed it. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: What Ushinawa always wanted. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm? - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Sun Oct  4 16:57:36 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) comes to an abrupt stop upon hearing something someone said.* - Sun Oct  4 16:58:27 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) resumes walking after a long pause. Her head's shaking.

Disappointment.* - Sun Oct  4 16:59:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: It's not like I'll tell you it right now. - Sun Oct  4 16:59:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: His ears only. - Sun Oct  4 16:59:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do you know the Shadow Clone Technique? - Sun Oct  4 17:19:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? I do. - Sun Oct  4 17:19:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Cool. - Sun Oct  4 17:20:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *Yawn* - Sun Oct  4 17:21:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm paying 100,000 for D ranks, 200,000 for C ranks, 300,000 for B ranks and 500,000 for C rank Techniques. Donations appreciated. - Sun Oct  4 17:21:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Creating a Personal Library of sorts. - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So, how's everyone doing? - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not bad, - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Good. - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Think I want to do a mission. - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm doing well. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A mission? - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Ahuh. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd be willing to, go on it with her. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's a skilled Shinobi. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hassan, sir. You told me that you'd ask the Gezo to bring me a weapon if I improved, right? - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's my charge afterall. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I think I've improved a bit. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---Hassan, There are new weapons on the market as well. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And a strong katana would really help me out. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Diamond Weapons the Gezo are selling them. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sound expnsive. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fifty Million for a Kunai. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: This village was a bandit camp 2 months ago - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: A diamond bible.... No! Temptataion will not get the best of me... - Sun Oct  4 17:24:54 2015
