<br><font color=yellow>*Katsune(Shimizu3598) slowly pulls herself off of Index. Carefully, Kat then rolls over to face the east. Kat pulls her legs close. Once they're close, she reaches forwards and wraps her arms around them snuggly.

For a brief moment, Kat burries her face into her legs.

"I thought I could trust Kilm. After...Zetsumo beated me...one time. A really bad beating. Kilm was the only one I could turn to....even though I knew he was twisted."* - Wed Nov  4 02:48:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can face them, without shame. - Wed Nov  4 02:56:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can tell them how it was. - Wed Nov  4 02:56:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Then....they'll just.... - Wed Nov  4 02:56:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Understand. - Wed Nov  4 02:56:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I don't have to fight off entire armies because of this. - Wed Nov  4 02:56:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I still feel guilty. - Wed Nov  4 02:58:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But...I was a kid back then. - Wed Nov  4 02:58:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I think I can forgive myself. - Wed Nov  4 02:58:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Actually that was recent, wasn't it? - Wed Nov  4 02:59:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But...I'm calm now. - Wed Nov  4 02:59:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can stay calm. - Wed Nov  4 02:59:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Wed Nov  4 03:00:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I blew a hole in the walls.... - Wed Nov  4 03:00:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Of the base. - Wed Nov  4 03:00:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: With my landmine fist. - Wed Nov  4 03:00:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was so crazed and....needing, of Kilm's death. - Wed Nov  4 03:00:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I wasn't thinking about consequences. - Wed Nov  4 03:00:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I mean.... - Wed Nov  4 03:00:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: As I executed him... - Wed Nov  4 03:00:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: The wall got a hole in it. - Wed Nov  4 03:00:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Should we....close that hole up? - Wed Nov  4 03:01:45 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah... - Wed Nov  4 03:01:45 2015
<br><br><font color=teal>*Index(Jjking217) says: I think we can do that. - Wed Nov  4 03:01:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Okay. Yeah we got some earth jutsus. Maybe we can figure something out. - Wed Nov  4 03:02:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Middle of the desert. Middle of nowhere. No one heard the blast. - Wed Nov  4 03:02:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Actually.... - Wed Nov  4 03:02:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Let's not do that. - Wed Nov  4 03:03:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Right now.... - Wed Nov  4 03:03:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I need Kilm off of my mind. - Wed Nov  4 03:03:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you returning back to Sunagakure though? - Wed Nov  4 03:03:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Um.... - Wed Nov  4 03:06:01 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Index.... - Wed Nov  4 03:06:01 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: There's something I need to tell you. - Wed Nov  4 03:06:01 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) slowly sits up in the bed. She's left with legs sprawled out underneath her form. Palms are rested on the matress inbetween her legs. Kat silently takes a breath, and then sighs.* - Wed Nov  4 03:06:52 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) pulls a shakey hand to her mouth. The left hand. She covers her lips.

Kat's not sure she can keep from puking. For several long seconds, she takes deep and silent, but very slow and subtle breaths.

And then, she speaks.

"I...got raped." Kat says.

"But Zetsumo."* - Wed Nov  4 03:09:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: By* - Wed Nov  4 03:09:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: By* - Wed Nov  4 03:09:26 2015
<br><br><font color=teal>*Index(Jjking217) thinks: Why....Kat...Of all....People? - Wed Nov  4 03:12:51 2015
<br><br><font color=teal>*Index(Jjking217) thinks: Why did she deserve that..? - Wed Nov  4 03:12:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I... - Wed Nov  4 03:13:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's funny, almost. - Wed Nov  4 03:13:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Everyone's always wanted me more than 'anyone' else. I made it that way. - Wed Nov  4 03:13:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Zetsumo was one of those people. - Wed Nov  4 03:13:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I wanted him....to like me, so he'd stop beating me. - Wed Nov  4 03:13:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well....he did start liking me. - Wed Nov  4 03:13:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: A bit too much. - Wed Nov  4 03:13:42 2015
<br><br><font color=teal>*Index(Jjking217) says: But.....But to do that.... - Wed Nov  4 03:14:33 2015
<br><br><font color=teal>*Index(Jjking217) says: What kind of....Monster.... - Wed Nov  4 03:14:33 2015
<br><br><font color=teal>*Index(Jjking217) says: Sick...-fucking- bastard... - Wed Nov  4 03:14:33 2015
<br><br><font color=teal>*Index(Jjking217) says: Would -dare-....touch you....Do...that....to you? - Wed Nov  4 03:14:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Let's....see. - Wed Nov  4 03:15:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Now I remember why it bothered me. - Wed Nov  4 03:15:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He killed Orokuru...only a few days before. I was mourning at the time. - Wed Nov  4 03:15:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: At the time.....I needed people....to comfort me. - Wed Nov  4 03:16:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And he raped. - Wed Nov  4 03:16:16 2015
<br><br><font color=teal>*Index(Jjking217) says: How...Could he.... - Wed Nov  4 03:16:16 2015
<br><br><font color=teal>*Index(Jjking217) says: I...I... - Wed Nov  4 03:16:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I wonder.... - Wed Nov  4 03:17:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: If this is why he killed Orokuru. - Wed Nov  4 03:17:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No. - Wed Nov  4 03:17:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's not it. - Wed Nov  4 03:17:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It wasn't bad. - Wed Nov  4 03:17:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I kind've liked it. - Wed Nov  4 03:17:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: .....But. - Wed Nov  4 03:17:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No. - Wed Nov  4 03:17:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It wasn't right. - Wed Nov  4 03:18:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He'd just killed Orokuru. - Wed Nov  4 03:18:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It felt like..... - Wed Nov  4 03:18:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was disrespecting Orokuru's death. - Wed Nov  4 03:18:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Even though it was forced on me. - Wed Nov  4 03:18:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Now I get it. - Wed Nov  4 03:18:49 2015
<br><br><font color=teal>*Index(Jjking217) says: Kat...I'm sorry.... - Wed Nov  4 03:19:40 2015
<br><br><font color=teal>*Index(Jjking217) says: That you had to go through that. - Wed Nov  4 03:19:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And Orokuru's death....was my fault. So. - Wed Nov  4 03:19:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That all adds up... - Wed Nov  4 03:19:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was a coward. - Wed Nov  4 03:20:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So I let Orokuru defend himself. - Wed Nov  4 03:20:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Take care of himself. - Wed Nov  4 03:20:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Even though I wanted him to live. - Wed Nov  4 03:20:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That.....is why.... - Wed Nov  4 03:21:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I get so anxious....when I think you might die. - Wed Nov  4 03:22:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm worried....I might be a coward again. - Wed Nov  4 03:22:14 2015
<br><br><font color=teal>*Index(Jjking217) says: Kat.. - Wed Nov  4 03:22:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So I get very aggressive. - Wed Nov  4 03:22:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's about me being a coward. Me trying to not be a coward anymore. - Wed Nov  4 03:22:14 2015
<br><br><font color=teal>*Index(Jjking217) says: You aren't a coward...You're the strongest person I know. - Wed Nov  4 03:23:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm not....posssessive, or anything. - Wed Nov  4 03:23:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: When I get anxious about your safety it's... - Wed Nov  4 03:23:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: About me wanting to be brave. - Wed Nov  4 03:23:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's about me. - Wed Nov  4 03:23:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Okay. - Wed Nov  4 03:24:48 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. Eyes wander.

"Now....that everything makes sense. I think, I'll be fine."* - Wed Nov  4 03:25:39 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. "I'll be fine, now that I know what I did to Kilm and why."* - Wed Nov  4 03:34:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Orokuru....he got raped too. - Wed Nov  4 03:34:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He said I'd lose my smile. - Wed Nov  4 03:34:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That might be related.... - Wed Nov  4 03:35:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: To why he wanted to fix Konoha. - Wed Nov  4 03:35:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: People.... - Wed Nov  4 03:35:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Shouldn't have to hide anything, to stay alive. Maybe that's what Orokuru was wanting to make. - Wed Nov  4 03:35:53 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe... - Wed Nov  4 03:36:44 2015
<br><br><font color=teal>*Index(Jjking217) says: I wish... - Wed Nov  4 03:36:44 2015
<br><br><font color=teal>*Index(Jjking217) says: I would've met him.. - Wed Nov  4 03:36:44 2015
<br><br><font color=teal>*Index(Jjking217) says: Kat... - Wed Nov  4 03:37:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Wed Nov  4 03:37:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hm? - Wed Nov  4 03:37:36 2015
<br><br><font color=teal>*Index(Jjking217) says: Why did you stop me earlier? - Wed Nov  4 03:37:36 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) looks over her shoulder in his general direction, lifting an eyebrow.

When his actual question comes out, her eyes slowly wander off.

She sighs silently.

"Didn't know why." Kat says.

"Now I do."* - Wed Nov  4 03:38:27 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods.

"Good." Kat says.

"Because I killed my best friend...and all my other friends are afraid of me now. I don't have....anyone else to talk to."* - Wed Nov  4 03:48:41 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's head is facing the east now, so she's kissed on the neck.

The girl nods in response to his words.* - Wed Nov  4 04:02:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Wed Nov  4 04:05:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not sure. - Wed Nov  4 04:05:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Killing....or training.... - Wed Nov  4 04:05:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Don't need those. - Wed Nov  4 04:05:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not now. - Wed Nov  4 04:05:45 2015
<br><br><font color=teal>*Index(Jjking217) says: Then... - Wed Nov  4 04:06:36 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe a few drinks and relaxing? - Wed Nov  4 04:06:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That'd work. - Wed Nov  4 04:06:36 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) takes the bottle in hand with a nod. Eyes wander off as she brings it to her lips. Afterwords, Kat lifts the bottom of it up, and begins pouring alchohol into her mouth. More than once, she gulps.

When Kat pulls the bottle away, she does so with a silent sigh.

"Now I remember why I started drinking." Kat says.

She passes the bottle back.* - Wed Nov  4 04:15:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was to hide my stress....about the rape... - Wed Nov  4 04:15:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: From Kilm. - Wed Nov  4 04:15:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's why I wasn't able to talk to him. - Wed Nov  4 04:15:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: To open up to him. - Wed Nov  4 04:16:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was hiding it. - Wed Nov  4 04:16:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So.... - Wed Nov  4 04:16:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What it turned into.... - Wed Nov  4 04:16:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Was me keeping him close, while keeping him in the dark. - Wed Nov  4 04:16:00 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes wander over to meet Index's.

"You see?" she inquires.

She looks relatively calm despite the topic.

Rape.* - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's.... - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What drove him mad, Index. - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: The rape. - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It all.....goes back....to the rape. - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He desperately.... - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wanted.... - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: To help me. - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But I couldn't let him. - Wed Nov  4 04:17:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Couldn't let anyone know I got raped. - Wed Nov  4 04:17:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He knew something was wrong. - Wed Nov  4 04:17:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He just never knew what. - Wed Nov  4 04:17:42 2015
<br><br><font color=teal>*Index(Jjking217) says: But....you let me know..? - Wed Nov  4 04:17:42 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes slowly wander off.

"Yeah..." she says.* - Wed Nov  4 04:18:33 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. "You're right." she says.

"No more sake."

Slowly Kat lies back down. She turns to face away from Index, and she lies on her side. Legs are pulled close to her form. Once there, Kat reaches up to wrap her arms around her legs, snuggly.

"Truth is, I -wanted- to talk to Kilm. I didn't...pretend to like him. I wanted his help. So he tried. He could tell I wanted help. It's why he tried. It wasn't evil."* - Wed Nov  4 04:24:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -He-....wasn't evil. - Wed Nov  4 04:25:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: See.... - Wed Nov  4 04:26:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: The first time I ever drank sake? - Wed Nov  4 04:26:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was in front of Kilm. - Wed Nov  4 04:26:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I did it so I could talk to him without him reading me. - Wed Nov  4 04:26:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He was trying to date me at the time. - Wed Nov  4 04:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: At the time.... - Wed Nov  4 04:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'd been considering it. - Wed Nov  4 04:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But then after I got raped.... - Wed Nov  4 04:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I didn't want to anymore. - Wed Nov  4 04:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Didn't wanna date anyone. - Wed Nov  4 04:27:05 2015
<br><br><font color=teal>*Index(Jjking217) says: So what did you do? - Wed Nov  4 04:27:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I.... - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hm. - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was mean to him. - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: For -that- reason. - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So that he'd stop liking me. - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I chased him away. - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But then I realized I needed someone to talk to. - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And he was -so- nice.... - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So willing. - Wed Nov  4 04:28:48 2015
<br><br><font color=teal>*Index(Jjking217) says: So you gave him a bone? - Wed Nov  4 04:29:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I guess. But I needed it too. - Wed Nov  4 04:29:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It wasn't his fault. - Wed Nov  4 04:29:39 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you regret it? - Wed Nov  4 04:30:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I regret....being raped. - Wed Nov  4 04:30:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: None of this was my fault. - Wed Nov  4 04:30:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see that now. - Wed Nov  4 04:30:30 2015
<br><br><font color=teal>*Index(Jjking217) says: That's not what I meant.. - Wed Nov  4 04:30:30 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you regret being mean to Kilm? - Wed Nov  4 04:30:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hm. - Wed Nov  4 04:31:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not being mean to Kilm.... - Wed Nov  4 04:31:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Would've meant talking to him. - Wed Nov  4 04:31:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Like this. - Wed Nov  4 04:31:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Exactly like this. - Wed Nov  4 04:31:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I wasn't mature enough....back then. - Wed Nov  4 04:31:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So, I was mean. Just mean enough...that he'd stop trying to date me. - Wed Nov  4 04:33:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But nice enough, that he'd be my friend. - Wed Nov  4 04:33:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Without expecting anything. - Wed Nov  4 04:33:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I see. - Wed Nov  4 04:33:55 2015
<br><br><font color=teal>*Index(Jjking217) says: You know. - Wed Nov  4 04:33:55 2015
<br><br><font color=teal>*Index(Jjking217) says: I had a pet hamster. - Wed Nov  4 04:33:55 2015
<br><br><font color=teal>*Index(Jjking217) says: It was pretty cool and all. - Wed Nov  4 04:33:55 2015
<br><br><font color=teal>*Index(Jjking217) says: It ran on a treadmill... - Wed Nov  4 04:33:55 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Kilm.... - Wed Nov  4 04:34:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He always wanted me to teach him how to be like me. - Wed Nov  4 04:34:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: To talk like me. In a way, that makes it easy for everyone to understand me. To get the message I want them to get. - Wed Nov  4 04:35:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I could tell, he wanted that. - Wed Nov  4 04:35:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was a role model. - Wed Nov  4 04:35:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: As he died.... - Wed Nov  4 04:35:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I talked to him. - Wed Nov  4 04:35:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I cried. Told him I loved him. - Wed Nov  4 04:35:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But that I had to kill him. To be happy. - Wed Nov  4 04:35:37 2015
<br><br><font color=teal>*Index(Jjking217) says: .... I..see. - Wed Nov  4 04:35:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You see.... - Wed Nov  4 04:36:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He.... - Wed Nov  4 04:36:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Knew what was wrong with me. But he wasn't able to talk to me. - Wed Nov  4 04:36:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He didn't have the skill. - Wed Nov  4 04:36:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He wasn't able to defend himself. - Wed Nov  4 04:36:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: With words. - Wed Nov  4 04:36:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So. - Wed Nov  4 04:37:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: My best friend. . . - Wed Nov  4 04:37:20 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes water up.

"He died, trying to help me. Even during his last breath." she explains.

Tears begin sliding down the surface of her face.

"As he died, he told me 'I'll let you do this....if it makes you happy.'"* - Wed Nov  4 04:38:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He even said.... - Wed Nov  4 04:39:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: "If you find a way to bring me back...." - Wed Nov  4 04:39:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: "I'll be happy to fight by your side again." - Wed Nov  4 04:39:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He didn't blame me at all. - Wed Nov  4 04:39:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He said.... - Wed Nov  4 04:39:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well. - Wed Nov  4 04:39:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He begged me. He asked for a favor. A dying wish. - Wed Nov  4 04:39:53 2015
<br><br><font color=teal>*Index(Jjking217) says: Kat. - Wed Nov  4 04:40:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He asked me to let him kill Edge before he died. - Wed Nov  4 04:40:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- No. - Wed Nov  4 04:40:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I need to respect Kilm. - Wed Nov  4 04:40:44 2015
<br><br><font color=teal>*Index(Jjking217) says: But would he have wanted me to know? - Wed Nov  4 04:40:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Wed Nov  4 04:40:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yes. He would. - Wed Nov  4 04:40:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He wanted you to make me happy. - Wed Nov  4 04:40:44 2015
<br><br><font color=teal>*Index(Jjking217) says: I see.. - Wed Nov  4 04:42:27 2015
