<br><font color=yellow>*Katsune(Shimizu3598) looks over at him.

"I did?" she asks.

"Who?"* - Mon Oct  5 02:05:26 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That kid is always getting beat up. - Mon Oct  5 03:00:03 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Poor him. - Mon Oct  5 03:00:03 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hello all - Mon Oct  5 03:00:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But yeah, If you want to make some free Cash, That's a good way. You could use this cash to expand your combat potential. - Mon Oct  5 03:00:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: *cough* - Mon Oct  5 03:00:54 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Do you know hand to hand combat technqiues? - Mon Oct  5 03:01:45 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: I have no desire to utilize my chakra. - Mon Oct  5 03:01:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Not quite. - Mon Oct  5 03:01:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Mon Oct  5 03:02:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll live. - Mon Oct  5 03:02:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Her jutsu is still young. - Mon Oct  5 03:02:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm just in pain. - Mon Oct  5 03:02:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Get Kang some medical atention. - Mon Oct  5 03:02:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Who is in pain - Mon Oct  5 03:02:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Tetsu is. - Mon Oct  5 03:04:19 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns to face Tetsu and motions towards him with her head. A glance is sent to Bryson.

At this time she remembers him discussing lessons with Zenaki, so she guesses he's a medic.

Logic. Not metagame, fools.* - Mon Oct  5 03:04:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Let me go! - Mon Oct  5 03:05:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Koji. You alive? - Mon Oct  5 03:05:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you desire for it later Izutora. - Mon Oct  5 03:05:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll be around. - Mon Oct  5 03:05:10 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: That I am very much so. - Mon Oct  5 03:06:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have some business to attend to, I'll be back later. - Mon Oct  5 03:06:01 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Let go of her. Sabara... - Mon Oct  5 03:06:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. How's the training been going? - Mon Oct  5 03:06:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Fight me! - Mon Oct  5 03:07:44 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Where is this young girl's parents. - Mon Oct  5 03:07:44 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: It is not youthful of me to ignore the young! - Mon Oct  5 03:10:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: He did it again! First it was Flexus, now he let this guy just walk away after hurting somone! - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I dont get it! I DONT GET IT! - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You outsider. - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Step away from my pet. - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She's an outsider no? - Mon Oct  5 03:14:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: Huh? - Mon Oct  5 03:14:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: Your pet? - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pet? - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Bahahahahaha - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sanoke's a pet? - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's a term of endearment. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh god thats the best thing i've heard in ages. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uh huh, sure. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sir Hassan you are injured? - Mon Oct  5 03:16:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Don't worry about me. - Mon Oct  5 03:16:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Focus on Kang. - Mon Oct  5 03:16:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Get him back in tip top shape. - Mon Oct  5 03:16:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ok sir - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Training, Koji. - Mon Oct  5 03:17:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You kinda ditched us in that last training succession. - Mon Oct  5 03:17:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: She didn't want to train earlier. I want to know what changed. - Mon Oct  5 03:17:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: You got hurt pops? - Mon Oct  5 03:18:49 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not really. - Mon Oct  5 03:18:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What. . Ya actually declined training, Mirai? - Mon Oct  5 03:18:49 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Cause he didn't pick me. - Mon Oct  5 03:18:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Mon Oct  5 03:19:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: You sure? - Mon Oct  5 03:19:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I well heal you anyway sir... there is not much I can do for kang now... he needs rest - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Positive. - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: It's silly to hold such a grudge. - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Iza just hit me with a jutsu. - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: He wants to heal you. - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: So you go- - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: You -are- hurt. - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Her jutsu is still fairly weak. - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She's young. - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. Hah. - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But you should really get some training in, Mirai. - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (it's tier 2) - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm sure he has some moves you'll need. - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (u know that one's description right?) - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: Yeah)) - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (alright) - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (i also have no idea what tier 3 description is) - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (lol) - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm ready to train now. - Mon Oct  5 03:26:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: If Koji still isn't upset. - Mon Oct  5 03:26:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Do you like my new outfit pet? - Mon Oct  5 03:26:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm serving princess jasmine - Mon Oct  5 03:26:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: No problem sir, I do what I can... - Mon Oct  5 03:28:12 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) kneels down to pick Tetsu up with a silent sigh through the nose. With that, the girl walks away, taking him to the hospital.

I mean if she can jump thirty feet up into the air surely she can carry a 5'2'' tall dude right????* - Mon Oct  5 03:30:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks...uh... - Mon Oct  5 03:31:37 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: What was his name?!?! - Mon Oct  5 03:31:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Bryson! Thanks for healing pops. - Mon Oct  5 03:31:37 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) allows this with a nod.

They move very slowly. . .* - Mon Oct  5 03:32:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yes thanks for healing gramps. - Mon Oct  5 03:32:28 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: That man was an exception! Next time I see him my growth shall be astounding. If anyone intends to hurt my comrades they'll face the wrath of my burning, youthful fury! - Mon Oct  5 03:35:02 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. Arms cross, and weights shifts a bit. She watches the nurses work, with a fairly blank expression on her face. Guarded as always.* - Mon Oct  5 03:43:34 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) glances over at Bryson. "We're friends." she says,* - Mon Oct  5 04:00:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Are they a couple? - Mon Oct  5 04:00:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Friends with benifits? - Mon Oct  5 04:00:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see well he will be fine... - Mon Oct  5 04:01:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He just needs rest - Mon Oct  5 04:01:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Nothing we can do - Mon Oct  5 04:01:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ...Hey. - Mon Oct  5 04:03:12 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) clears her throat a bit, into her fist, and averts her eyes.

"Sorry I was rude before." she says, already regretting opening her mouth.

Too late to stop talking, though.* - Mon Oct  5 04:04:54 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. She looks down at said hand blankly and shakes it.

Tsundere or not, life's forced her to learn how to be polite.

Even if it's literally painful.

She silently sighs through the nose.* - Mon Oct  5 04:12:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Oh. - Mon Oct  5 04:14:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm Katsune. - Mon Oct  5 04:14:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Zenaki's an old friend of mine. - Mon Oct  5 04:15:08 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) says this all with eyes averted.* - Mon Oct  5 04:15:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Are you ok young one? You seem uneasy - Mon Oct  5 04:16:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm.... - Mon Oct  5 04:17:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: sigh* Just stay rested and try not to talk... your lucky I was there to get you at that time...  - Mon Oct  5 04:18:33 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) glances down at him.

"World doesn't work that way." she says.

"We're shinobi. Intelligent shinobi get information on their targets before wrecklessly charging in. Those are the ones that actually live to be middle-aged."* - Mon Oct  5 04:18:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And um...I'm fine, Bryson. - Mon Oct  5 04:19:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Ninja will do anything to impress girls...  - Mon Oct  5 04:22:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Kang you want to get better right? - Mon Oct  5 04:22:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Limit your actions if you want to get better faster - Mon Oct  5 04:26:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: The results say you have not suffered a concussion but try to stay awake - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: And Kastune are you sure... you dont seem to be a fan of eye contact... do you have anxity? - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: L-eave Kat alone. - Mon Oct  5 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Mon Oct  5 04:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yes. - Mon Oct  5 04:28:48 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) is assuming people are getting tired of hearing her "war veteran, former slave" speech.* - Mon Oct  5 04:28:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, well i apologize for being so insensetive; I shouldnt think like that as a doctor - Mon Oct  5 04:30:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Kang, you continue to test my patience with your thirst - Mon Oct  5 04:30:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hm. - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Kang please, you need to follow doctors orders... - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I dont want to sedate him... - Mon Oct  5 04:33:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Don't get any ideas. - Mon Oct  5 04:35:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Mon Oct  5 04:48:25 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) says nothing.* - Mon Oct  5 04:51:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: H-ey Cat. - Mon Oct  5 04:54:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I only say this to help you cope... It will be ok... - Mon Oct  5 04:54:24 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow at Tetsu.* - Mon Oct  5 04:55:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm? - Mon Oct  5 04:55:15 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: W-wanna spar? - Mon Oct  5 04:55:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Did he just say that??? - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmph. - Mon Oct  5 04:56:57 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Nurse Ryua, please tell me he is joking - Mon Oct  5 04:56:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Lame. - Mon Oct  5 04:56:57 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) smiles a bit. She turns around, lazily, to hide the fact.

She ends up facing the southeast, just barely hiding her face.* - Mon Oct  5 04:57:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: He is not leaving that bed - Mon Oct  5 04:57:48 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I m-ean. - Mon Oct  5 04:58:40 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I think I can do better now than I could before. - Mon Oct  5 04:58:40 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Though, the bed might have to come with me, ya know, as transportation and such. - Mon Oct  5 04:59:31 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) was never talking to Bryson, though, when she said to not get any ideas.* - Mon Oct  5 04:59:31 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Pretty sure I'd win. - Mon Oct  5 04:59:31 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Wanna test it Kat? - Mon Oct  5 04:59:31 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I guess I over stayed my welcome... well back to waiting for my sister devil and  sitting around - Mon Oct  5 05:01:13 2015
