<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why do you believe that? - Sun Dec  6 21:38:46 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I heard we have a new Mizukage. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah. Kana. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh, Kana is the Mizukage now? Wow. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: .......Something is off, he's too nice. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You know Kana well? - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Not really. - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I've heard of her. - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn it, why did those two have to be asleep. - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Right, right. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: This was suppose to be a group activity, but noo. They had to be asleep.  - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I knew Kirie and Tethys. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oh, Kirie. Shame she died, it really is. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It is. We were close. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Right. I can't imagine how you felt, sorry for the loss. - Sun Dec  6 21:50:43 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: .........He's really too nice. - Sun Dec  6 21:50:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's ok. It's what happens when you take the title of Mizukage. Many people come after your head. - Sun Dec  6 21:51:34 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah, indeed. That's probably why we were attacked, I'm pretty sure Kana has plenty of enemies. - Sun Dec  6 21:51:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She's strong, so I don't think she'll be taken out so easily. - Sun Dec  6 21:52:25 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: I wonder what'll happen if I attack him. - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I -am- his squadmate. He hates me though. - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's sad.  - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Eh. It was of my own doing. - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I don't blame him. - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What happened for him to dislike being in a squad? - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I told him he was worthless because of how weak he is and that he was better off dead. Primarily because he refuses to work as a team and get stronger. - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: He only trains by himself. - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I was a bit pissed. I was out of line. - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Don't you think that was a bit harsh?  - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well, you guys will eventually make up, hopefully.  - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Squads are usually like that. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: A bit. But I wasn't too far off...If one doesn't get stronger in this world....Then worse things than death could very well occur. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Shut up Geo. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That is true..I've seen and heard terrible stories about what people can do to others. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: That doesn't need to be said to a stranger. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Fine by me. - Sun Dec  6 21:58:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: *clams up.* - Sun Dec  6 21:58:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: But I'm a shinobi from the village. - Sun Dec  6 21:58:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure you are. - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ....Huh? - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Until I can confirm that from Kana, I don't believe it. - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Confirm what? - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That he's truely a shinobi from this village. - Sun Dec  6 22:00:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh. - Sun Dec  6 22:00:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I can check. - Sun Dec  6 22:00:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Uh.... - Sun Dec  6 22:00:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: But that's only if you'll let me, stranger. - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Take off the mask, and we'll truely trust you. - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Simple. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I just need to touch you. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: And we'll go from there. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ..... - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Nothing harmful. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: I'd forcefully do it. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: He's either coming onto me, or he's going to use that jutsu Sanoke used.. Well, here goes nothing. - Sun Dec  6 22:02:40 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hrm... - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Um..Sure. As long as you don't do anything funny. I have someone already. - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I'm only seven, you'll be alright. - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Do us a favor and take off that mask, though. It's awfully creepy. - Sun Dec  6 22:16:19 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: No. I just don't trust many people. - Sun Dec  6 22:17:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It seems as if all youve done is attack me. - Sun Dec  6 22:18:01 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Mizukage. - Sun Dec  6 22:19:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Someone came here for you earlier. - Sun Dec  6 22:19:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Um, thank you.. - Sun Dec  6 22:19:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Her name was Lera Hassan. - Sun Dec  6 22:20:35 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: ... - Sun Dec  6 22:21:26 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And just like that she's asleep. - Sun Dec  6 22:21:26 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: A secret. - Sun Dec  6 22:21:26 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: No, I'm just ignoring you. - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Why? - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Then what would you prefer me to call you? - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because I am? - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Fine, be like that then. I was going to give you the money she gave me but whatever. - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Tengoku(Punka) says: ... - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Kana seems more...ignoring ever since the attack. - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Damn, and I'm the unsociable one. - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Hm. - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: These shinobi are pretty rude. If it was like how Tethys ran it, they'd have broken jaws.  - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Call me Hisoka, if you want a name to use. - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Oh well, not my problem. Except for Kyubishu.  - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. Pleasure to meet you Hisoka. I'm Rin. Rin Kitsugami. - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Right. - Sun Dec  6 22:26:33 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hello, Mizukage. - Sun Dec  6 22:27:24 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Can't you see I'm not in the mood to speak? - Sun Dec  6 22:30:49 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Nope. - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Asin(Thanatoz) thinks: Maybe if I kill someone I'll get a response... - Sun Dec  6 22:35:05 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: . . . - Sun Dec  6 22:35:56 2015
<br><br><font color=teal>*Tengoku(Punka) says: So... - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hiw's everyone's day so far? - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: ..... - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Well.. - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Besides being ignored.. - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Alright. - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: its an urgent matter - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: cant u ur whole browser - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: omit - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Tengoku(Punka) says: ... - Sun Dec  6 22:45:20 2015
<br><br><font color=teal>*Tengoku(Punka) says: I'm afraid of that spear, honestly. - Sun Dec  6 22:45:20 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I will not fight you with my spear. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Yumiko(Sekara) says: ......I'll do it. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I will fight you with whatever instrument you desire me to wield. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Whether it be fork or spoon. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Man does not need weapon--for man is weapon himself. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: .... - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Yumiko(Sekara) says: The spear itself will do. - Sun Dec  6 22:48:44 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Come. - Sun Dec  6 22:48:44 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Thy bravery is to be admired, child warrior. - Sun Dec  6 22:49:36 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: ...You guys should probably take the spar outside of the academy walls. - Sun Dec  6 22:52:09 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Thou shall be great sport for combat. - Sun Dec  6 22:52:09 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: If Yumiko misses..that'll be bad. - Sun Dec  6 22:52:09 2015
<br><br><font color=teal>*Roman(DagonWarhead) thinks: Take thy shot, ranger. - Sun Dec  6 22:54:43 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: Yumiko, why'd you have to accept this spar? - Sun Dec  6 22:54:43 2015
<br><br><font color=yellow>*Tengoku(Punka) would move out of the way of the fight, deciding to take a seat next to Heiwa.* - Sun Dec  6 22:57:16 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: Tch, Yumiko look what you got yourself into.. - Sun Dec  6 23:13:29 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Hello, everyone. - Sun Dec  6 23:14:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Hello. - Sun Dec  6 23:14:20 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Hi there~ - Sun Dec  6 23:16:54 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Greetings everyone. - Sun Dec  6 23:17:45 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I'm Fujiko. - Sun Dec  6 23:17:45 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: A wandering priestess. - Sun Dec  6 23:17:45 2015
<br><br><font color=teal>*Asin(Thanatoz) says: A..priestess? - Sun Dec  6 23:17:45 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Yes. - Sun Dec  6 23:18:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sounds dull. - Sun Dec  6 23:18:36 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: There is nothing dull about being a priestess. - Sun Dec  6 23:18:36 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: It's a tough job. - Sun Dec  6 23:18:36 2015
<br><br><font color=teal>*Asin(Thanatoz) says: No disrespect, but what do you do?~ - Sun Dec  6 23:19:28 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Fight demons. - Sun Dec  6 23:19:28 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Try to purify them. - Sun Dec  6 23:19:28 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sounds dull. - Sun Dec  6 23:20:19 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Demons you say? - Sun Dec  6 23:20:19 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Yes. - Sun Dec  6 23:20:19 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Say, you fought any yet?~ - Sun Dec  6 23:20:19 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I'm sure you are all aware of necromancers? - Sun Dec  6 23:20:19 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I have defeated a few in my time. - Sun Dec  6 23:20:19 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Necro-what? - Sun Dec  6 23:21:10 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Huh, I didn't think they existed.. - Sun Dec  6 23:21:10 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: They exist my dear. - Sun Dec  6 23:21:10 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Be ware. - Sun Dec  6 23:21:10 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sounds like a lie to scare a child. - Sun Dec  6 23:22:01 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: You would think a Shinobi would believe that demons exist. - Sun Dec  6 23:22:01 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Guess the lot of you really are close minded. - Sun Dec  6 23:22:01 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Maybe you're the close minded one. - Sun Dec  6 23:22:52 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Anywho... - Sun Dec  6 23:22:52 2015
<br><br><font color=teal>*Asin(Thanatoz) says: What brings you to our village? - Sun Dec  6 23:22:52 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I've come to slay any demons you may have. - Sun Dec  6 23:23:44 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Well, as far as I know, there aren't any here..But, while I was in Konohagakure, there was a very strange looking woman. Her skin was a sickly pale gray-blue, and her eyes were completely black. - Sun Dec  6 23:27:08 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Is that right? - Sun Dec  6 23:28:00 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: When my knight arrives I might have to visit this place you speak of. - Sun Dec  6 23:28:00 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: You can wait for you knight elsewhere. - Sun Dec  6 23:28:00 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Outside of my village, thank you. - Sun Dec  6 23:28:00 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I am native of this village miss. - Sun Dec  6 23:31:24 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: However if you want me to leave I will. - Sun Dec  6 23:31:24 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Your..knight? - Sun Dec  6 23:32:16 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Yes. - Sun Dec  6 23:33:07 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Why do you need one? - Sun Dec  6 23:33:07 2015
<br><br><font color=teal>*Asin(Thanatoz) says: You just have a guy following you around to fight? - Sun Dec  6 23:33:07 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Yes. - Sun Dec  6 23:33:58 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Get out. - Sun Dec  6 23:33:58 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Why does she have to leave? - Sun Dec  6 23:34:49 2015
<br><br><font color=teal>*Asin(Thanatoz) says: If she's from here? - Sun Dec  6 23:34:49 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because I don't like her presence? - Sun Dec  6 23:37:23 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: And I have a 'thing' against knights. - Sun Dec  6 23:38:14 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Well it seems as though I am being kicked out of the village. - Sun Dec  6 23:40:48 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Farewell my family. - Sun Dec  6 23:40:48 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: If you require me I will still vanquish demons for you. - Sun Dec  6 23:40:48 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Miss may I ask your name? - Sun Dec  6 23:42:30 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Katherine. - Sun Dec  6 23:45:04 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Okay. - Sun Dec  6 23:45:55 2015
<br><br><font color=teal>*Tengoku(Punka) says: Zoey as Mizukage = Kony 2015 - Sun Dec  6 23:45:55 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Farewell everyone. - Sun Dec  6 23:46:46 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I'll find somewhere to go. - Sun Dec  6 23:46:46 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Is it that woman you're killing? - Sun Dec  6 23:51:02 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: No and I suppose so. - Sun Dec  6 23:51:53 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Can I come help slaughter someone then? - Sun Dec  6 23:51:53 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: The mission will be handed over to your squad leader and no. - Sun Dec  6 23:52:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Boring, Why not? - Sun Dec  6 23:53:36 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because I don't want to? - Sun Dec  6 23:54:27 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ...oh. - Sun Dec  6 23:55:18 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: No. - Mon Dec  7 00:00:25 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Tch. - Mon Dec  7 00:04:41 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: Is it over..? - Mon Dec  7 00:12:22 2015
<br><br><font color=teal>*Yumiko(Sekara) says: That hit really hurt you know. - Mon Dec  7 00:18:20 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I held back due to your size. - Mon Dec  7 00:20:03 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: You are a competent warrior, child. - Mon Dec  7 00:20:03 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I should best remember not to hold back regardless of one's age. - Mon Dec  7 00:20:54 2015
<br><br><font color=teal>*Tengoku(Punka) says: You can hold back against me, if we ever spar. - Mon Dec  7 00:20:54 2015
<br><br><font color=teal>*Yumiko(Sekara) thinks: No no please don't hit me as hard as you can. I like breathing. - Mon Dec  7 00:21:45 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: You are strong. - Mon Dec  7 00:22:36 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: What is thy name? - Mon Dec  7 00:22:36 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Yumiko and yours? - Mon Dec  7 00:22:36 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Did you get the mission, Heiwa? - Mon Dec  7 00:24:19 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: My name is Roman. - Mon Dec  7 00:25:10 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Nice to meet you. Also um Heiwa before work time how do we get him out? - Mon Dec  7 00:28:35 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: . . . . - Mon Dec  7 01:14:40 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...... - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I-Is that a spear? - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: That it is. - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Thou art interested in a spar, is that it? - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah. - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I see. - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Unfortunate. - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: You look to be quite strong. - Mon Dec  7 01:16:22 2015
