<br><font color=teal>*Zenaki(Kumaki) says: Hm.. - Thu Oct  8 16:59:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: HE didn't report leaving recently. - Thu Oct  8 17:41:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Grandpa?  - Thu Oct  8 17:41:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah? - Thu Oct  8 17:42:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I uh..am missing a reward for a B-rank I completed. - Thu Oct  8 17:42:49 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Which B- Rank did you complete? - Thu Oct  8 17:43:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Well, it was one relating with bandit control. - Thu Oct  8 17:43:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: Wha...? He's not here. - Thu Oct  8 17:43:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, then iI'll search the village. Be back shortly. - Thu Oct  8 17:43:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Lera stahp im talking D: - Thu Oct  8 17:43:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Thu Oct  8 17:43:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then he left without my permission. - Thu Oct  8 17:44:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And I remember now Iza. - Thu Oct  8 17:44:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll add it to your record now. - Thu Oct  8 17:45:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thank youuu.~ - Thu Oct  8 17:45:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Thu Oct  8 17:45:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Lera. - Thu Oct  8 17:45:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I have no idea where he is. - Thu Oct  8 17:45:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: I want to go look for him, he's been gone for over a week.. - Thu Oct  8 17:45:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He left without telling anyone and didn't come back. - Thu Oct  8 17:45:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Who? - Thu Oct  8 17:45:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll send a search squad to find him. - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Deez nutz. - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: Please let me go too... - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You arent exactly a tracker. - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: I can get an aerial view. - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Just because you have feelings for him doesnt mean you have to go. - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. Lera, y'know any friends Seisuke liked to hang with before this? - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're needed for other things. - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Seisuke? - Thu Oct  8 17:46:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He disappeared huh.. - Thu Oct  8 17:47:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: Er...he usualy went to see Suitengu...but, I heard he's dead now. - Thu Oct  8 17:47:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Any other person? - Thu Oct  8 17:47:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's alive. - Thu Oct  8 17:47:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Poor Suitengu.. - Thu Oct  8 17:47:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: I...don't know, besides the Gezo. - Thu Oct  8 17:47:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. - Thu Oct  8 17:47:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: Poor Suitengu!!! That bitch killed Seisuke!! -omit- - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. Then the logical area to look is where ever this 'Suitengu' lived or inhabited. - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Konoha. - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I'm so smart. - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thats where I wanted to go first. - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Konoha was destroyed before he went missing. - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: I...don't know then, but I still want to look. - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Suitengu...That litle boy? - Thu Oct  8 17:48:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah... - Thu Oct  8 17:48:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mmm... - Thu Oct  8 17:48:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He reminded meof Zetsumo. - Thu Oct  8 17:48:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Did he really have to die? - Thu Oct  8 17:49:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Maybe we coulda'..fixed him. - Thu Oct  8 17:49:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Maybe he was just really confused.. - Thu Oct  8 17:49:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He was an enemy and a danger to the state. - Thu Oct  8 17:50:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We'll find news of him. - Thu Oct  8 17:52:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Maybe he wants to be left alone. - Thu Oct  8 17:52:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And take it from there. - Thu Oct  8 17:52:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...I hope your right... - Thu Oct  8 17:53:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: But...if theres nothing in one more week. - Thu Oct  8 17:53:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *Stares at Lera* - Thu Oct  8 17:53:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Please let me go look. - Thu Oct  8 17:53:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Thu Oct  8 17:55:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Thu Oct  8 17:56:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I should buy a detective hat... - Thu Oct  8 17:57:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So how did you grow so much? - Thu Oct  8 17:58:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . ? Nah. I think she just lost weight. - Thu Oct  8 17:58:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She isn't so fat anymore. - Thu Oct  8 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's because she's longer. - Thu Oct  8 17:58:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Thu Oct  8 18:00:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ergh. . Nevermind. - Thu Oct  8 18:03:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Zenaki? - Thu Oct  8 18:03:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You know doctor stuff, right? - Thu Oct  8 18:04:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yes? - Thu Oct  8 18:04:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Can you explain why she is growing so hard? - Thu Oct  8 18:04:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Who is? - Thu Oct  8 18:04:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Deez nuts - Thu Oct  8 18:04:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Uhm the woman in purple. - Thu Oct  8 18:04:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Katsune? - Thu Oct  8 18:05:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Growth spurt perhaps a late one? - Thu Oct  8 18:05:00 2015
<br><br><font color=teal>*Shi(Parris111) says: I'll kill all of you one day. - Thu Oct  8 18:05:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But wasn't she pretty short? - Thu Oct  8 18:05:52 2015
<br><br><font color=teal>*Shi(Parris111) says: Protip, don't eat Zenkai's pizza.s - Thu Oct  8 18:05:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: She grows. Just like a baby. - Thu Oct  8 18:06:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Your nephew is dead. - Thu Oct  8 18:07:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Thu Oct  8 18:07:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *continues to stare* - Thu Oct  8 18:07:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I think.. - Thu Oct  8 18:08:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll take your word for it doc. - Thu Oct  8 18:10:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Thu Oct  8 18:10:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: How would she grow then hm? - Thu Oct  8 18:10:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I don't know...Im just going wth what you said. - Thu Oct  8 18:11:50 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Thu Oct  8 18:12:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So wait, does that mean Iza will grow too? - Thu Oct  8 18:12:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yes, she will. - Thu Oct  8 18:12:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Of course. - Thu Oct  8 18:13:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Between ae 10 and 16. - Thu Oct  8 18:13:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: age* - Thu Oct  8 18:13:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: How old are you now Iza? - Thu Oct  8 18:13:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Seven. - Thu Oct  8 18:14:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Maybe one day, you'll be bigger than me. - Thu Oct  8 18:14:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Apparently you have 10 years to try and outgrow me. - Thu Oct  8 18:15:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhh...Idunno about that.~ - Thu Oct  8 18:15:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But it won't be easy, my body might be old but it doesn't like to lose. - Thu Oct  8 18:15:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: She'll grow like one and a half year. Boys grow two and half years.  - Thu Oct  8 18:15:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That's why boys are most of the times taller. - Thu Oct  8 18:16:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Right, like Sanoke. - Thu Oct  8 18:16:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He's huge. - Thu Oct  8 18:16:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Just as tall as I am? - Thu Oct  8 18:16:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Oh..I guess you're pretty big too.. - Thu Oct  8 18:17:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: That's what she said. - Thu Oct  8 18:18:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Zetsumo was also quite tal.. - Thu Oct  8 18:18:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Everyone of my family was. - Thu Oct  8 18:18:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Alright lets roll out Ravenscrotum. - Thu Oct  8 18:26:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I'm going to go train. - Thu Oct  8 18:26:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right... - Thu Oct  8 18:26:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ravenscrotum is reallly making me proud. - Thu Oct  8 18:27:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Thu Oct  8 18:30:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Grandpa. - Thu Oct  8 18:30:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I think I need a new squad... - Thu Oct  8 18:30:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yo? - Thu Oct  8 18:31:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Why? - Thu Oct  8 18:31:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Wait. - Thu Oct  8 18:31:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: All of them are dead. - Thu Oct  8 18:31:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Thu Oct  8 18:31:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah.. - Thu Oct  8 18:31:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah... - Thu Oct  8 18:32:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I dunno' what to do.. - Thu Oct  8 18:32:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll make it work. - Thu Oct  8 18:33:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Speaking of squads. . . - Thu Oct  8 18:34:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- I'll admit I intend to revive Konoha some day but not for at least five years or so. - Thu Oct  8 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Haven't seen Arashiyama in a while now. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Neither have I... - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I saw him briefly yesterday. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I'm convinced Arashiyama's squad is a bust since it's basically only me. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: The other woman doesn't really seem like she wants to be in the squad. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: True... - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I think it'd be a pain to start from scratch again since Ravenscrotum is doing so well.. - Thu Oct  8 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Could just put me in another squad. - Thu Oct  8 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Which is more active. - Thu Oct  8 18:43:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan needs a replacement.. - Thu Oct  8 18:44:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Who's in Yan's squad again? - Thu Oct  8 18:44:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Well, Kang..Ryuga and Bryson. - Thu Oct  8 18:45:07 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kang's dead . . . Not sure who Ryuga is and Bryson is a medic. - Thu Oct  8 18:45:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Bryson is knees deep in the medical corps. - Thu Oct  8 18:45:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Him and Zenaki. - Thu Oct  8 18:45:58 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . Sounds like that squad needs two replacements. - Thu Oct  8 18:45:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You and Izanami. - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Can replace them. - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello everyone! - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hello. - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hey Mirai. - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: How are you Kilm? - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Kazekage. - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Err . . . Good? - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That's great! - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: She's already off. She used to be so hateful towards everyone and now she seems to be good. - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Are you in a good mood today? - Thu Oct  8 18:57:55 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhmmm. - Thu Oct  8 18:58:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I've been a much better lately. - Thu Oct  8 18:58:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's good. - Thu Oct  8 18:58:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We need more strong individuals around here. - Thu Oct  8 18:58:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm working on becoming stronger and a valueable shinobi of the village. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good. - Thu Oct  8 19:01:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I guess the same applies for me. - Thu Oct  8 19:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yep. - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We got lucky. - Thu Oct  8 19:09:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hey, Koji. - Thu Oct  8 19:09:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The mission is complete Lord Hassan. - Thu Oct  8 19:09:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hello Mirai how are you? - Thu Oct  8 19:10:43 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm well. - Thu Oct  8 19:10:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Luck? C'mon. We had it in the bag. - Thu Oct  8 19:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Which mission? - Thu Oct  8 19:11:34 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We would've completed the mission anyways , but I feel like we got lucky cause we didn't have to fight much. - Thu Oct  8 19:11:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We ran an assignment for some farmer the other day. - Thu Oct  8 19:12:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He rewarded us. .  in cabbages. - Thu Oct  8 19:12:25 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The Scorpions that attacked citizens. - Thu Oct  8 19:13:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I also finshed that br ank mission with iza too i have yet to be rewaderd for that. - Thu Oct  8 19:14:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Give me an A rank. - Thu Oct  8 19:16:41 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I could probably handle an A rank now. - Thu Oct  8 19:17:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Things are gettin' quiet. - Thu Oct  8 19:18:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Mhm. - Thu Oct  8 19:18:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There should be a festival held here. . Like the one had in Kirigakure. - Thu Oct  8 19:18:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That shit was cash. - Thu Oct  8 19:18:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Too bad right now shit is going down around the world. - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We should wait for peaceful times before we do a festival - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Like what. . ? - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . The syndicate. - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: This is the shinobi world. There will never be peaceful time. - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The what? - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah . . . But shit is going down more than usual these days. - Thu Oct  8 19:20:06 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And I think i'm going to go to sleep now. - Thu Oct  8 19:20:06 2015
<br><br><font color=teal>*Kilm(Vysasi) says: See you later. - Thu Oct  8 19:20:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In a bit. . Uhm. Can I see you at my house? <@Mirai> Wanna show you something. - Thu Oct  8 19:21:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Cmon. - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright, let's go. - Thu Oct  8 19:38:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, yo. - Thu Oct  8 20:57:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who all is awake? - Thu Oct  8 20:57:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Thu Oct  8 20:59:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Taking that as no one! - Thu Oct  8 20:59:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I am. - Thu Oct  8 21:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. How ya feelin' kiddo? - Thu Oct  8 21:00:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ... - Thu Oct  8 21:06:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm okay.~ - Thu Oct  8 21:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Really? Good to hear. - Thu Oct  8 21:07:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thanks. - Thu Oct  8 21:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So I was talkin' to Mirai earlier. She wasn't interested in a festival. What would you guys think? - Thu Oct  8 21:08:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: lol - Thu Oct  8 21:09:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Festival? What kind of festival? - Thu Oct  8 21:10:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: omit__ - Thu Oct  8 21:10:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Thu Oct  8 21:10:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: A festival? Sounds fun - Thu Oct  8 21:11:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'unno. I just gave the idea. - Thu Oct  8 21:11:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I ain't gonna do everything. - Thu Oct  8 21:11:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Leeches. Tch. - Thu Oct  8 21:11:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Doesnt Hassan have that big chunin exam coming up? - Thu Oct  8 21:12:44 2015
