<br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yes, Master.. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Was notified to come by the gate here. - Wed Oct  7 19:59:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Wed Oct  7 19:59:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I hear you are trying to over-rule me. - Wed Oct  7 19:59:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Is this court?... - Wed Oct  7 19:59:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I was told to come here? - Wed Oct  7 19:59:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Zenaki, your nephew is here to visit with you. - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Knew it. - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Figured such. - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Can he come inside? - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's an affiliate of Ossa, Baen..... - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Can.. I go outside? - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who is wanted by this village. - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You can, of course. - Wed Oct  7 20:00:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That's why I called you here. - Wed Oct  7 20:01:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So will I then. - Wed Oct  7 20:01:29 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) followed along with Zenaki so that he may speak with Hideki as well.* - Wed Oct  7 20:02:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, I will not have that ninja in the village without Hassan's permission. - Wed Oct  7 20:04:03 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looking to the Unknown figure, Fujitora sensed the familiar chakra that shrouded around him, tilting his bladed hat up to catch a view.. A smirk and glare of playful jealousy could be seen "I'm jealous...Another ." he says simply and with a calmed tone, this Fuji looking back to Yan saying .

"Well of course...I can't avoid the laws placed..But I wont act hostile against these folks either..Consider it a harmless reunion.." he says , the villager just turned his attention back the the other two, glad to see Zenaki smile or happy to see Suitengu.* - Wed Oct  7 20:06:36 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: ..... - Wed Oct  7 20:07:28 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: I'd like to speak to you in private, however Fujitora. - Wed Oct  7 20:07:28 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) Kamui the bir-----Banned cuz  ooc shar (omit)* - Wed Oct  7 20:10:01 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: Noted, Suitengu. - Wed Oct  7 20:10:52 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) nods as this Fuji follows the Unknown to speak privately.* - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: Ur fkin dun kid - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: omit - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: I have one thing to tell you. - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: You too will one day have the same eyes as mine. - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: But in due time however....By unlocking these eyes come with great responsibility.. - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Responsibity?... - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: Yes.... - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Leading the clan within Suna? - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: There ocular powers can be used for good or evil. - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I see..That sort of responsibility eh. - Wed Oct  7 20:12:35 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: However, once you do unlock the eyes.....You must come find me. I will tell you the same thing Ushinawa told me. - Wed Oct  7 20:12:35 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Noted..When the day finally comes.. - Wed Oct  7 20:12:35 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: There is however...... - Wed Oct  7 20:12:35 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: A further stage......After unlocking the....Three tomoe's..... - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What?...How is that true?.. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>***Unknown**(Assassin241) thinks: .....Ushinawa was right, there is a greater power than three tomoe.. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: .... - Wed Oct  7 20:13:26 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) eyes widened towards this, seeing the new and next stage of the Sharingan to be the Mangekyou Sharingan, it was to him as a Uchiha a work of art..Fujitora felt a bit more discouraged, why the gods made it so difficult for him to awaken the very eyes laid dormant within himself.. But for some reason, happy for Hideki to have carried on a will greater than that of what Ushinawa left behind as well as the clan.. "Those eyes...They are so much more different from the standard pattern, just ..How have you and big brother Ushi advanced so far with them?.." he was curious..* - Wed Oct  7 20:18:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Wed Oct  7 20:20:16 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Wed Oct  7 20:21:07 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) placed a single hand on Hideki, not even sure of what just happend! He spoke " You okay?.." he assumed it worked like his fire shroud, having to take its toll of chakra .* - Wed Oct  7 20:21:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: (my shar jumps straight to tomoe 3 XD wonder what MS i'd even get ) - Wed Oct  7 20:23:40 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Zeno been saying that) - Wed Oct  7 20:23:40 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: You got all the reqs, you just need one tomoe lmao) - Wed Oct  7 20:23:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: (lol, i gotta play detective like a motha fucka) - Wed Oct  7 20:23:40 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Good Luck though.) - Wed Oct  7 20:24:32 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) whispered the last bit when he sensed a new figure coming in "But....How does one truly awaken them?..I've lost a wife..nearly died twice...I've trained to become as strong as I ever could..I've tried focusing chakra to my eyes as one would do to use them and the only clues I have, are little to no help." he spoke, trying to help Hideki up ..The whispering was over..Fujitora tried to remember, he knew of the eyes but his path seemed like a mighty long run...Perhaps a long run..A long struggle for something great.* - Wed Oct  7 20:27:05 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: We'll talk more later. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Tell Suitengu I went to Kumogakure.. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: And like I said, you can always send a bird. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Right. - Wed Oct  7 20:28:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Wed Oct  7 20:28:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes? - Wed Oct  7 20:28:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Er....You're from Kumogakure right? - Wed Oct  7 20:28:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes sir.. - Wed Oct  7 20:28:48 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) backs away to notify Suitengu, they departed, the Uchiha family for now.* - Wed Oct  7 20:28:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oi, Sui.. - Wed Oct  7 20:31:21 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hey again. Fujitora. - Wed Oct  7 20:31:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Amo fella is heading back to Kumo. - Wed Oct  7 20:31:21 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Right.  - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I don't believe they enjoy his company as I do. - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sadly.. - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---- - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hello again stranger.. - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: I'm going to just...turn around-- - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Omit - - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hi. - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm... He is stand sleeping.. - Wed Oct  7 20:33:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What do y' need Zen? - Wed Oct  7 20:33:55 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .. Stand sleeping, something that seems to happen alot. - Wed Oct  7 20:33:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Guards must be scary to most...Well, the way they are on high alert... - Wed Oct  7 20:34:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Another message... - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Mm? - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This time from Sabo?..Hm.. - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm.. - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Sabo, huh?? - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I need permission from Hassan to let Suitengu inside.  - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I need to check on him, Master.  - Wed Oct  7 20:37:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I've been getting letters from people a lot recently...And its fine Zen. - Wed Oct  7 20:37:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I wonder, if Hassan would allow me to take the fall for this one...Its not like he has an army with him..And only here to visit his aunt. - Wed Oct  7 20:38:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fujitora. - Wed Oct  7 20:39:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Suintengu. - Wed Oct  7 20:39:02 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Yan. - Wed Oct  7 20:39:02 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: As I said before, you shouldn't make friends with scum like Baen. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's not a good man. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Have you forgotten about our training? - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: There aren't many these days is there.. I'll be sure to remember that, Yan. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Thank you. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The trainings been complete...From what I rememner.. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It has not been completed. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Leaving so soon? @Kat. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm? - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It has Kirie...I can only show so much.. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We havent trained ever since you caused my leg to be broken. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And even then it was incomplete. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm. I get bored sitting around. I'm a restless person. Always have been. - Wed Oct  7 20:41:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's in my blood. - Wed Oct  7 20:41:36 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) chuckles lightly and simply gives Katsune a wave or nod whichever she'd see. "Come by again sometime.." he enjoyed the talk over tea without someone being hostile or such.

Now looking to Kirie he spoke "Another time..I doubt a farmer would make any good for a teacher..Less you wanna learn how to make Rice Cookies."* - Wed Oct  7 20:43:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ..... - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Farmer? - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You live in a desert.... - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Want to buy some rice cakes? - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Unless you have Suiton users feeding you water you can't harvest anything. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No I would like to train. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can use water myself...So how about a nice moist Rice Patty eh? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora. - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: .... - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who was the man that accompanied Suitengu? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That wanted to speak with you. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I asked you if you could use Suiton when I first met you and you said no. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh, just an old relative from the voice of such..No need to worry. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I want his name. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can't use it fluenty.. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Anyone can toss a waterbottle at something. - Wed Oct  7 20:47:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He did not give it to me directly..Not yet atlease. - Wed Oct  7 20:47:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You know his name, Fujitora. - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ..... - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Waterbottle.. - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You keep a rice paddy with waterbottles? - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: In all honesty..I do not..Just the face. - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is just about the stupidest thing you could have- - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Forget it. - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Did I train this woman... - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Who is this swordsmen fellow messaging me?.... - Wed Oct  7 20:50:08 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) would show that there was no Genjutsu...Fujitora stared at Yan blankly "Something wrong Shinobi Sir?"* - Wed Oct  7 20:51:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No....nothing. - Wed Oct  7 20:52:41 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) does the very same...Annoying hat phase.* - Wed Oct  7 20:52:41 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) kamuis into house! No Chill!  (omit)* - Wed Oct  7 20:54:24 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) le knocks on the door after he was finished with the business in front of the gates....No one realized yet that they forgot all about Alastor.* - Wed Oct  7 20:57:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Because I felt no need to save those who wished for their own death. - Wed Oct  7 21:16:35 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'll let you know, her death wasn't quick. - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: She was scalped, her heels cut. - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: So in a way. - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .... - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I did punish her like you said you were. - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Still didn't had to kill her..  - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: She's dead. Nothing else about the subject. - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Her body however, is free to come to you whenever you'd like. - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: He always saw you, Suitengu. But you know him. He doesn't show it. - Wed Oct  7 21:52:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: He never gave hugs right? - Wed Oct  7 21:52:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: But he would love to give one. - Wed Oct  7 21:52:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I had one.  - Wed Oct  7 21:53:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I promised not to tell anyone. But he would love to hug someone. - Wed Oct  7 21:53:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You aswell.. - Wed Oct  7 21:53:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: But he was just to stubborn to say it or do it. - Wed Oct  7 21:53:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hmph. Doesn't matter now, I guess. - Wed Oct  7 21:53:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: They are? - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Tell me everything you know. - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see a lot of people with those eyes. - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .. Alot of people? - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I can tell you how I managed to reach my second ring, if that is not something you already know. - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see. - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What about the rings. Where do they serve for? - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Three million for each one brought to me, dead. - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .. Well, - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I assume they signify ones progress in power. - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: As I have not gained this ability until I had my second ring for quite some time. - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It gives you extra ability's perhaps hm..  - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: My thoughts exactly. - Wed Oct  7 22:10:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm.. - Wed Oct  7 22:11:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Any other information? - Wed Oct  7 22:11:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Wonder what they're chatting about...Probably family stuff.. - Wed Oct  7 22:11:12 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Aside from the new limbs, and the way to additional rings? None yet. - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Alright.  - Wed Oct  7 22:13:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Are you having fun in Kumo? - Wed Oct  7 22:13:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Or well.. whatever. Where you are now. - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I won't be staying at Kumogakure any long. - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Longer* - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Considering the circumstances, I don't believe the Raikage will like my presence. - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And what about here? - Wed Oct  7 22:18:01 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Well. - Wed Oct  7 22:18:01 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'm not wanted here either it looks like, as you saw at the gates. - Wed Oct  7 22:18:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That was probably because of the one with you. - Wed Oct  7 22:19:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: He is not wanted inside, you were.  - Wed Oct  7 22:19:44 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Mm. - Wed Oct  7 22:20:35 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm? - Wed Oct  7 22:22:17 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Well. Do you think you could find anything about the arms themselves? - Wed Oct  7 22:24:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I would like to know the full extent of them. - Wed Oct  7 22:25:42 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I do not know if I can find anything about it.  - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hn.. Shame. - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I guess you have to find about it more yourself.  - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Sigh. - Wed Oct  7 22:33:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: That will take time. - Wed Oct  7 22:33:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Time is annoying to wait for. - Wed Oct  7 22:33:23 2015
