<br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: -like- - Fri Oct  2 08:23:02 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) yawns.* - Fri Oct  2 15:50:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm.. - Fri Oct  2 15:51:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You have a prison with prisonners? - Fri Oct  2 15:51:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Or.. Bandits? Or such? - Fri Oct  2 15:51:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I wonder how she'll taste like...  - Fri Oct  2 15:51:02 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. - Fri Oct  2 15:51:02 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: I dont think we need to do all of that now... - Fri Oct  2 15:52:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I need to. - Fri Oct  2 15:52:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Most medics I remember..Used dead bodies and prinsoners to research and heal...Atlease back when I was Genin..Even my  close friend ravae used a few. - Fri Oct  2 15:54:27 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ah. I miss my little dolls sometimes. - Fri Oct  2 15:55:18 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I doubt it'd be too harmful.------*yawn*-- - Fri Oct  2 15:55:18 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: But I must study up on medicine and the human body... Zenaki... are you familiar with anatomy? - Fri Oct  2 15:55:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ofcourse. - Fri Oct  2 15:55:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Medicine aswell. - Fri Oct  2 15:56:09 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Can you teach me? - Fri Oct  2 15:56:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Maybe. - Fri Oct  2 15:56:09 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Thats great, when will you be able to start a lesson? - Fri Oct  2 15:58:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Once I have time. - Fri Oct  2 16:01:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And finished some experiments. - Fri Oct  2 16:01:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You can watch, if you wish? - Fri Oct  2 16:01:16 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: I would rather stay by your side as you are more skilled than me if that would be ok - Fri Oct  2 16:02:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Fri Oct  2 16:02:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh, Master? Am I allowed to leave towards Konoha on a holiday some time soon after I ehm finished research? - Fri Oct  2 16:02:59 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) was pretty much sleep standing.  "Eh----Oh..Yes, but only if you truly will return..You are of Suna now..Can't have those shinobi trying to keep you hostage for power." he states, he cared for the safety of her, knowing the trickery Konoha would pull under the nose.* - Fri Oct  2 16:05:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I know you must miss your nephew. - Fri Oct  2 16:06:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I do. - Fri Oct  2 16:07:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Just a little check on him and the others. - Fri Oct  2 16:07:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I see. - Fri Oct  2 16:07:15 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) was about to flip a coin for if he should follow along or not, this coin was most likely rigged anyway, being pulled from his pocket at random <Heads I go, tails I stay?...> he flipped such a coin awaiting the result, probably ultimately being dragged along anyhow for the sake of research...Fujitora thought about some things for a moment, about those bandits and about the people in Konoha, when things weren't so bad before the Hokage went cray cray.. So now, the young man simply read his study, trying to perfect the sealing of his golem and more.* - Fri Oct  2 16:31:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Freeee...Free Fallin - Fri Oct  2 16:39:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Fri Oct  2 16:39:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: So uhh . . . Can someone show me around the place? I'm new. - Fri Oct  2 16:40:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh... - Fri Oct  2 16:43:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Welcome. - Fri Oct  2 16:43:05 2015
<br><br><font color=teal>*Durn(Vysasi) says: Thanks. - Fri Oct  2 16:43:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm not one for giving tours though. - Fri Oct  2 16:43:56 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hm . . . Okay. - Fri Oct  2 16:43:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Did you just graduate from the academy or did you travel ehre? - Fri Oct  2 16:43:56 2015
<br><br><font color=teal>*Durn(Vysasi) says: I travelled here. - Fri Oct  2 16:44:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: From? - Fri Oct  2 16:44:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: Amegakure . . . Hate the weather there. - Fri Oct  2 16:45:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Fri Oct  2 16:45:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Amegakure isn't a village we are allied with. - Fri Oct  2 16:45:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I remember when I came here from Amegakure as a child...Good times.. - Fri Oct  2 16:45:39 2015
<br><br><font color=teal>*Durn(Vysasi) says: Is there a big difference? - Fri Oct  2 16:45:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I dunno'. Hassan will decide. - Fri Oct  2 16:46:30 2015
<br><br><font color=teal>*Durn(Vysasi) says: Well, I hope i'll fit in. - Fri Oct  2 16:46:30 2015
<br><br><font color=teal>*Durn(Vysasi) says: What can I call you by? - Fri Oct  2 16:46:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I should write a book about my life... - Fri Oct  2 16:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Name's Yan. You? - Fri Oct  2 16:47:21 2015
<br><br><font color=teal>*Durn(Vysasi) says: Call me Lu. - Fri Oct  2 16:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Lu, huh/ - Fri Oct  2 16:47:21 2015
<br><br><font color=teal>*Durn(Vysasi) says: That's what I like to be called anyway. - Fri Oct  2 16:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You are a liar! - Fri Oct  2 16:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Fri Oct  2 16:47:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: A Wife..The Husband, A Master, his slave... Because at the rate its going, my stress is gonna conclude chapter eleven.. - Fri Oct  2 16:49:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hey Iza, how goes the training hm? - Fri Oct  2 17:00:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright. - Fri Oct  2 17:00:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Think ya ready for yer old man to teach ya another?..Called the Exploding Flame Shot.. - Fri Oct  2 17:01:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Exploding flame shot? - Fri Oct  2 17:01:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ..... - Fri Oct  2 17:01:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm ready.~ - Fri Oct  2 17:02:43 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon would begin the process of teaching her , showing the jutsu in much detail later on, but for now a ooc scroll to hold on to.* - Fri Oct  2 17:03:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Be careful though..I ended up burning your mothers arm by accident in a spar with this.. - Fri Oct  2 17:05:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: I'm looking to create a Mystic Flame verson of the fire shroud to defend and possibly heal... - Fri Oct  2 17:05:16 2015
<br><br><font color=teal>*Durn(Vysasi) says: Morning. - Fri Oct  2 17:12:57 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Shut up Durn. - Fri Oct  2 17:12:57 2015
<br><br><font color=teal>*Durn(Vysasi) says: So . . . Can I get the pleasure of meeting the rest of you guys? - Fri Oct  2 17:21:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hello Durn. Where are you from? I notice you have a gash on your arm. - Fri Oct  2 17:29:10 2015
<br><br><font color=teal>*Durn(Vysasi) says: I travelled here from Amegakure . . . Call me Lu though. - Fri Oct  2 17:31:44 2015
<br><br><font color=teal>*Durn(Vysasi) says: So, What can I call you by? - Fri Oct  2 17:39:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Evenin Everyone. - Fri Oct  2 17:44:32 2015
<br><br><font color=teal>*Durn(Vysasi) says: Evening. - Fri Oct  2 17:45:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: How're you doing young one? - Fri Oct  2 17:47:05 2015
<br><br><font color=teal>*Durn(Vysasi) says: You referring to me? - Fri Oct  2 17:47:56 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: Oh wait. - Fri Oct  2 17:47:56 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: He's probably referring to the girl. - Fri Oct  2 17:47:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Evening Lord Hassan.  - Fri Oct  2 17:47:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah you. - Fri Oct  2 17:47:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Evening. - Fri Oct  2 17:47:56 2015
<br><br><font color=teal>*Durn(Vysasi) says: I'm doing good. - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's exellent. - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I haven't seen much of you lately - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: I'm new. - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Are you knew to the military? - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: I came from a different village. - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Oh- That explains a lot. - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Where did the wind blow you from? - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: Amegakure. - Fri Oct  2 17:48:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mmmm. - Fri Oct  2 17:49:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I havent heard much of them since Zetsumo. - Fri Oct  2 17:49:39 2015
<br><br><font color=teal>*Durn(Vysasi) says: So you could say i'm not a shinobi of this village. - Fri Oct  2 17:50:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You arent. - Fri Oct  2 17:51:21 2015
<br><br><font color=teal>*Durn(Vysasi) says: I still feel like I should help out. - Fri Oct  2 17:53:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We actually have ton of helping hands now. - Fri Oct  2 17:54:46 2015
<br><br><font color=teal>*Durn(Vysasi) says: Doesn't mean you can't have another. - Fri Oct  2 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The military has increased 7 fold since my regime began. - Fri Oct  2 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I assure you we are fine. - Fri Oct  2 17:54:46 2015
<br><br><font color=teal>*Durn(Vysasi) says: Okay. - Fri Oct  2 17:55:37 2015
<br><br><font color=teal>*Keiko(Shimizu3598) thinks: Wonder if men have spines in Kirigakure. - Fri Oct  2 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So you girl. - Fri Oct  2 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Dreary clothes. - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Hmmm....? - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I saw you the other day hanging out with Kang. - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Yeah. - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What's your name? - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Ko. - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ko? - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Yep. - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A nice name. - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I knew a Koeki. - Fri Oct  2 18:00:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Well...Know.. - Fri Oct  2 18:00:44 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: The Mizukage? - Fri Oct  2 18:01:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  2 18:02:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I had to teach her a few things about leading. - Fri Oct  2 18:03:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I had to teach Noriko as well. - Fri Oct  2 18:03:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Haha. - Fri Oct  2 18:03:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: In fact I had to teach most of the Mizukages how to do a few things.. - Fri Oct  2 18:03:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I trained 3 of them as well. - Fri Oct  2 18:03:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hoohoo.. - Fri Oct  2 18:03:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm getting old. - Fri Oct  2 18:04:09 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Noriko. . . - Fri Oct  2 18:05:52 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Met her once. - Fri Oct  2 18:05:52 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: You didn't teach her very well. - Fri Oct  2 18:05:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mmm, how so? - Fri Oct  2 18:06:43 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: -- Well. I guess I could have chose my words more carefully. Not fair to say you didn't -teach- her well. - Fri Oct  2 18:06:43 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Still. If she'd been more humble...... - Fri Oct  2 18:07:34 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: She would have been much better at her job. - Fri Oct  2 18:07:34 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Had a way of...assuming people were lying. It was annoying. - Fri Oct  2 18:07:34 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: She was pretentious. - Fri Oct  2 18:08:25 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: I wonder...who was responsible for turning Kirigakure into a fortress. - Fri Oct  2 18:09:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A fortress? - Fri Oct  2 18:09:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Most likely one of the kages. - Fri Oct  2 18:09:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was there to watch all of them grow up. - Fri Oct  2 18:09:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I sat on the council. - Fri Oct  2 18:10:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: For 25 years. - Fri Oct  2 18:10:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I usually pulled some strings from the background. - Fri Oct  2 18:10:08 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: That's admirable. Too few shinobi realize the value of being subtle. - Fri Oct  2 18:10:59 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: And still call themselves shinobi. - Fri Oct  2 18:10:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Thank you. - Fri Oct  2 18:12:41 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: That may sound like a pretentious thing to say but I've seen very powerful people march straight to peoples' gates and slaughter hundreds before retreating when. . .they could've just sent an assassin. - Fri Oct  2 18:12:41 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Could've used bait. Could've planted spies. - Fri Oct  2 18:13:32 2015
