<br><font color=teal>*Sanoke(Gamuhz2) says: Come.. - Sat Nov  7 10:47:15 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Mhm. People. My father and brother to be specific. - Sat Nov  7 12:14:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Huh... still got your family, that's rare. - Sat Nov  7 12:15:08 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Ah well. They're quite resiliant. - Sat Nov  7 12:16:00 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled faintly, "Thats nice." <Okay, maybe she isn't crazy.>* - Sat Nov  7 12:16:00 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: What about you? hm? Do you have anyone you care for? - Sat Nov  7 12:16:51 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) blinked two times slowly and then lowered her head a half tick. "Uh... hah, I guess you can say that."* - Sat Nov  7 12:17:42 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Fairly demanding family. - Sat Nov  7 12:17:42 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I see.... - Sat Nov  7 12:18:33 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Demanding  is the nice word. - Sat Nov  7 12:18:33 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Truth be told, I'm actually adopted. My biological father is dead, dunno where my mother is. - Sat Nov  7 12:18:33 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: So...I suggest, you hold onto what you can get. - Sat Nov  7 12:19:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: It isn't blood that makes a person family. - Sat Nov  7 12:19:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...blood just holds on ...with more resiliance. - Sat Nov  7 12:19:24 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I suppose. You do have a point, I hated my biological family as well. - Sat Nov  7 12:20:16 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) peered over to Lera, "Then why tell me to hold onto mine?"* - Sat Nov  7 12:21:07 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Because as someone who's lost almost everything...even the smallest things are worth holding onto. - Sat Nov  7 12:21:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Hm... - Sat Nov  7 12:21:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: You don't look...very old to have lost so much. - Sat Nov  7 12:22:49 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Thats just the way of the shinobi world I suppose. - Sat Nov  7 12:23:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Makes me feel like I've wasted my life so far... we look similar in age. - Sat Nov  7 12:23:40 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I was just unlucky enough to be in the wrong places at the wrong times. - Sat Nov  7 12:25:23 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...but haven't you done more things you are proud of? - Sat Nov  7 12:26:14 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: ....No..not really. Like I said...I've never been where I was needed...things always seem to happen while I'm away... - Sat Nov  7 12:27:05 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) frowned slightly while watching her, "Then...why do you continue on the same path?"* - Sat Nov  7 12:27:05 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Because as most paths tend to be...its one way. - Sat Nov  7 12:27:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Then...find another? - Sat Nov  7 12:28:48 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Well. Quite simply I'm just not going to love anyone again, then i don't have to go through losing them again. - Sat Nov  7 12:29:39 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) heavily frowned now and looked at her quite seriously.* - Sat Nov  7 12:30:30 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: That's what this is about? - Sat Nov  7 12:30:30 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Mhm well. I suppose so. I'm just going to keep living I guess, I wouldn't say i'm better off alone...more like...people are better off without me. - Sat Nov  7 12:31:21 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...that's....just a -horrible- mentality. - Sat Nov  7 12:33:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: -Horrible-. - Sat Nov  7 12:33:04 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Yes it is, I don't want anyone to end up like me.  - Sat Nov  7 12:33:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Just because they are with you doesn't mean that he will end up like you. - Sat Nov  7 12:33:55 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: No I mean. Uh. I've been in two serious relationships. The first was the owner of this sword, he died while I was not there to help him. - Sat Nov  7 12:34:46 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: The second died while I was in the same village, I was asleep. Its not a nice feeling...to be so close while so useless. - Sat Nov  7 12:34:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Both of those cases sound like they -were not- your fault at all. - Sat Nov  7 12:35:37 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Maybe so, but it doesn't change the fact that I couldn't do anything. - Sat Nov  7 12:35:37 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hell I even failed to kill the man responsible. - Sat Nov  7 12:35:37 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Maybe you shoul learn that, bad things happen in life. You won't always be there to help but that doesn't make it your fault. Plus, if it did happen... maybe it was meant to happen. I know that sounds shitty but...I mean some people believe in that stuff. Destiny and what have you. - Sat Nov  7 12:37:20 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Ah well...destiny or not. This is the path i've chosen. I'm hoping to become strong enough to stop these sorts of things from happening again. - Sat Nov  7 12:38:11 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: You gave me the advice not to let go of that which I have. So you are saying if someone came along that potentially would mean something greater to you...you would avoid them? Is that not hypocritical? - Sat Nov  7 12:42:27 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I told you that because you shouldn't end up like me. - Sat Nov  7 12:42:27 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Soooooooo hypocritical?~ - Sat Nov  7 12:43:18 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smirked wryly at the woman.* - Sat Nov  7 12:43:18 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Pretty much. - Sat Nov  7 12:44:09 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I think you should get over this feeling that you shouldn't be happy and with someone. Things might look grim, may have been grim your entire life... but that doesn't mean it can't change. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Well, you might be right. But it doesn't matter, Whatever happens happens I guess. Right now though...I have no intentions of doing anything like that. - Sat Nov  7 12:46:43 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) nodded while in sollumn thought and then sat up straight and held her hand out towards Lera. "I'm Kiyoko."* - Sat Nov  7 12:49:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Kiyoko Nakano. - Sat Nov  7 12:50:08 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) had a slightly stronger handshake than Lera. "Nice to meet you, Lera." A sunny smile pulled up at her lips. "And... I assume... -he- has a name?" She peered down to the blade.* - Sat Nov  7 12:52:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh yes. - Sat Nov  7 12:53:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: His name is Samehada. - Sat Nov  7 12:53:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Samehada....what does that mean? - Sat Nov  7 12:53:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: It means Shark Skin - Sat Nov  7 12:56:06 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: .....heh... I get it. - Sat Nov  7 12:56:57 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Cute. - Sat Nov  7 12:56:57 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Mhmmm. - Sat Nov  7 12:56:57 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I must be pestering you, I'll head off. - Sat Nov  7 12:57:48 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Its fine. I don't mind at all. - Sat Nov  7 12:58:40 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) had been about to stand but as Lera responded she sat herself back down. "Oh."* - Sat Nov  7 12:58:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Honestly... I came over here because I thought you were crazy...talking to your 'club'...  - Sat Nov  7 12:59:31 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) glanced up towars Sanoke as he approached.* - Sat Nov  7 12:59:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hey Sanoke. - Sat Nov  7 12:59:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: I haven't seen you in a while... - Sat Nov  7 12:59:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ortho...no he is alive... - Sat Nov  7 13:01:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. . THen why did Kana tell me he wasn't. - Sat Nov  7 13:01:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you know where he is? - Sat Nov  7 13:01:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: No idea and no...he attacked me yesterday. - Sat Nov  7 13:01:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: I survived it seems...because he had a change of heart... - Sat Nov  7 13:02:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . A change of heart? So there's good in him. - Sat Nov  7 13:02:04 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) remained silent and just watched the two for now.* - Sat Nov  7 13:02:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They were my friends. - Sat Nov  7 13:02:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....Yes I know. - Sat Nov  7 13:02:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How are things back in Kiri now? - Sat Nov  7 13:03:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: I intend to finish him as well. Though...not quite yet. - Sat Nov  7 13:03:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's much more powerful than I thought. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) thinks:  . . Wow she is scary. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: And things are...okay I think. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. Good, no more attacks? - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: Theres a new Mizukage. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --New? What. . . - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: And besides Ortho's attempt on my life, no. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you know him? - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: No. I have no idea. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uhm. . . Well that's weird. Hrm. - Sat Nov  7 13:05:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: He seems sincere enough, he's been putting his own money into rebuilding. - Sat Nov  7 13:05:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: he also holds similar abilities to Zetsumo... - Sat Nov  7 13:05:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Those threads... - Sat Nov  7 13:05:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Something to investigate. I'll do something about it. I get the feeling if I go to Kiri bluntly, I'll be  attacked. - Sat Nov  7 13:05:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: No, I don't think so. - Sat Nov  7 13:05:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Things are quite stable now. - Sat Nov  7 13:05:29 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Say guys . . Have any of you seen Trill this day ? - Sat Nov  7 13:05:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Never hurts to be cautious. - Sat Nov  7 13:06:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: No I haven't seen him. - Sat Nov  7 13:06:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll need to perfect my new jutsu before all of that, though. - Sat Nov  7 13:06:20 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I see, Thanks. - Sat Nov  7 13:07:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. . .All of that chatter aside. - Sat Nov  7 13:07:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: WHat's up? I know things been hard on ya. But how are you? - Sat Nov  7 13:07:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...heh, you're about the seventh person to ask me that. - Sat Nov  7 13:08:03 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: All of that just went over my head. - Sat Nov  7 13:08:03 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm as well as I can be. - Sat Nov  7 13:08:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm, well alright. Stick around Suna a little longer. Things need to settle down in this world first. - Sat Nov  7 13:08:03 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) almost burst into laughter from her previous thoughts she had been hiding quite well, not to mention their conversation. Though decided to remain simply smiling and have Lera speak first.* - Sat Nov  7 13:09:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm? No, just someone I met recently. - Sat Nov  7 13:13:10 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) extended her hand out openly for a handshake, "Kiyoko Nakano."* - Sat Nov  7 13:14:01 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) blinked once, then twice. she pulled up her sleeve on her arm to show her Sunagakure headband wrapped about her wrist. "I mean if you really don't want to... I guess no harm done?" She lowered her hand back onto her lap.* - Sat Nov  7 13:18:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: This man. . Trying to gauge at my eyes? No. . Just paranoia. - Sat Nov  7 13:20:51 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) nodded a bit, "I just sort of graduated because the hospital got tired of me not being qualified for certain things they needed help with. I'm a nurse."* - Sat Nov  7 13:22:33 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: A medic huh... - Sat Nov  7 13:24:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, a medic. Good, we need some more of those. Mainly cause. . Uhm. Our current crop isn't always as reliable as it can be. - Sat Nov  7 13:24:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Why's that? - Sat Nov  7 13:24:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: One is sometimes busy. The other wants to be -paid- to heal. - Sat Nov  7 13:24:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . What else. Um, another is plain not in the area. Bryson is pretty neat, though. But he isn't even a real medic, he's a priest. - Sat Nov  7 13:25:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....there's only....two shinobi nurses? - Sat Nov  7 13:25:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Oh. - Sat Nov  7 13:25:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Two significant ones. - Sat Nov  7 13:25:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...I mean, I'm mostly just filling out reports and taking samples.... keeping the patient's comfortable. - Sat Nov  7 13:25:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: My fiance says she wants to dabble in being a medic, so that's cool. But she's eztra -- Oh..  . - Sat Nov  7 13:25:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Got my hopes up. - Sat Nov  7 13:25:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Eztra? - Sat Nov  7 13:27:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Extra. Slip of the tongue. - Sat Nov  7 13:27:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Extra lazy, I was going to say. - Sat Nov  7 13:27:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...You have a Fiance? Since when? - Sat Nov  7 13:27:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Who is--yeah. - Sat Nov  7 13:27:40 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I should learn guest speak so I could talk to Sanoke. - Sat Nov  7 13:28:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ahhh...I vaguely recognise that name. - Sat Nov  7 13:28:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll show ya her sometime. - Sat Nov  7 13:29:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Funny enough, I still haven't pinned when I can lock up the deal. But eh. . .  I ain't good with that type of stuff. - Sat Nov  7 13:30:14 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) was possessed because she's fodder. QQ* - Sat Nov  7 13:37:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...? - Sat Nov  7 13:38:46 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: KILM's GHOST AGAIN MAAAMAAA -omit- - Sat Nov  7 13:38:46 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Sanoke, I ain't joking. I saw you react to my pokes and me stepping in front of you. - Sat Nov  7 13:38:46 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Good morning ! - Sat Nov  7 13:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Duh. - Sat Nov  7 13:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You kinda just saw me. - Sat Nov  7 13:39:37 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: You even shifted your head to the side when I poked you from the right. - Sat Nov  7 13:39:37 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: What is happening ? - Sat Nov  7 13:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kiyoko. - Sat Nov  7 13:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You were. . LITERALLY. . . looking right at me. - Sat Nov  7 13:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: OoouuuOOOOUuuuuu. Spoooky. Kiyoko is possessed. - Sat Nov  7 13:41:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Maybe I should snatch the ghost out of her body. - Sat Nov  7 13:41:20 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Give me a second though. - Sat Nov  7 13:41:20 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: GET.THE.FUCK.OUT.OF.ME. - Sat Nov  7 13:42:11 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: DEMOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOON. - Sat Nov  7 13:42:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....... - Sat Nov  7 13:42:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: The hell? - Sat Nov  7 13:42:11 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) thinks: Sorry, I want to borrow your body for a bit. It's not fun just poking people. Everyone was uptight about my death anyway. - Sat Nov  7 13:43:53 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) notes she hits LIKE A GIRL.* - Sat Nov  7 13:44:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sanoke...whats going on? - Sat Nov  7 13:44:44 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: K-Klim? - Sat Nov  7 13:45:36 2015
