<br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Good evening. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: hm? - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...D-.. How long does it take for you to get dressed in the morning? - Thu Oct  8 19:24:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What does that have to do with anything of what we are talking about? - Thu Oct  8 19:24:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Everything. - Thu Oct  8 19:24:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: -- - Thu Oct  8 19:24:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Uhh...about hours, I guess, why? I'll say two, mhm.  - Thu Oct  8 19:25:13 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) thinks: Hopefully he doesn't know that I am actually wearing girl underwear... - Thu Oct  8 19:25:13 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I've seen. - Thu Oct  8 19:26:04 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your unmentionables. So... Yeah. - Thu Oct  8 19:26:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ... - Thu Oct  8 19:26:56 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'm not a girl, simple. - Thu Oct  8 19:26:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Would you prefer I call you a burly man? - Thu Oct  8 19:26:56 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Noo but you can call m--- sigh. - Thu Oct  8 19:27:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Compare you to Maloth, or myself, perhaps? Because that isn't an acc-.. Okay, look. - Thu Oct  8 19:27:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You are a male. - Thu Oct  8 19:27:47 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Not sense make. .  - Thu Oct  8 19:28:38 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But you have effeminate tendencies.- - Thu Oct  8 19:28:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'd hit. - Thu Oct  8 19:49:07 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Agreed - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Relax, Khalil.. In-case you haven't noticed... Maloth isn't the most... - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hm. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Observant. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Of humans. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Maloth is mean. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's just how he is. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is a lion mean for killing other animals? - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Yeah. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: And I am not showing, ew. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This doesn't bode well... This means I'm not special anymore. - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Bremusa(Ej247) says: I'm wearing all I need for combat. - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh? - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Brother and sister. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Greetings. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Bremusa(Ej247) says: No. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Not intrested. - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Bremusa(Ej247) says: interested - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: D'awww. - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Once oyur arm is healed come back. - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Bremusa(Ej247) says: your* - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nope. - Thu Oct  8 20:08:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Don't need it. - Thu Oct  8 20:08:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: So asian.... Look at that devotion... - Thu Oct  8 20:09:36 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Okay. - Thu Oct  8 20:10:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Pfft. - Thu Oct  8 20:11:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Slacker. - Thu Oct  8 20:11:18 2015
<br><br><font color=teal>*Bremusa(Ej247) says: I'm afriad if we were to spar you would lose. Because men cant focus on the fight at hand when they face a amazon. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't really need to focus. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's obvious. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Hmph.. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You fail to realize. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Am. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Black. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Okay. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Yet you are still a pintched male. - Thu Oct  8 20:13:52 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Ugh, we all know you are black Kojiro. - Thu Oct  8 20:13:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Ugh, what did this chick just call me? - Thu Oct  8 20:13:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Thu Oct  8 20:13:52 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oooooooooooooooh!~ A fight. - Thu Oct  8 20:17:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ?_ - Thu Oct  8 20:21:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I probably shouldn't be laughing seeing as he broke my fucking arm. - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What the fuck is happening. - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ---- - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Oh Kojiro is here. - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey...Kojiro - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup, friend. - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Coughs* - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Come here. - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ...Hmmn...? - Thu Oct  8 20:24:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ur fkin dun kid - Thu Oct  8 20:27:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Thu Oct  8 20:27:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hey Hideki. - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Didn't Kojiro shove his dick in your mouth? - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dman - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That ain't even happen though. - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: First he rubs one off on his sister while she is asleep - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And now this. - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He is on a roll. - Thu Oct  8 20:29:13 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Tired? From what perhaps? - Thu Oct  8 20:29:13 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I am never tired! My body is a fire coursing with youth! - Thu Oct  8 20:30:56 2015
<br><br><font color=teal>*Bremusa(Ej247) says: A amazon doesn't give out the location of her birth place. - Thu Oct  8 20:44:35 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is tell Maloth. .  - Thu Oct  8 20:45:26 2015
<br><br><font color=teal>*Bremusa(Ej247) says: What? - Thu Oct  8 20:46:17 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Tell Maloth! Wan' know. - Thu Oct  8 20:47:08 2015
<br><br><font color=teal>*Bremusa(Ej247) says: No. - Thu Oct  8 20:47:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Certain things. - Thu Oct  8 20:48:51 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Mostly private. - Thu Oct  8 20:48:51 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: What is private? - Thu Oct  8 20:49:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: The certain things--. - Thu Oct  8 20:49:42 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Is pedo! - Thu Oct  8 20:50:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Excuse me, Miss Misa. - Thu Oct  8 20:50:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: How may I help you? - Thu Oct  8 20:51:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Have you seen Ortho around? - Thu Oct  8 20:51:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: He left while we were training mysteriously and I haven't seen him since. - Thu Oct  8 20:51:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: He should be at the training grounds, if not return to me, I'll have one of my hawks scan the area. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: This will be.. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Interesting. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Is pedo! - Thu Oct  8 20:53:58 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I was at the training grounds, he wasn't there. - Thu Oct  8 20:54:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh and um...Nina was progressing nicely if you wanted to know. - Thu Oct  8 20:59:56 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Uh. - Thu Oct  8 21:28:57 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What's going on? - Thu Oct  8 21:28:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: A fight. - Thu Oct  8 21:28:57 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Why is there always a fight. . - Thu Oct  8 21:29:48 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 21:34:56 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: .... - Thu Oct  8 21:35:47 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: What're they doing..? - Thu Oct  8 21:44:19 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: t4 strength - Thu Oct  8 21:44:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: None of what I've just seen. - Thu Oct  8 21:45:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Needed to happen. - Thu Oct  8 21:45:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I'm getting so tired of this shit. - Thu Oct  8 21:45:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hrm. - Thu Oct  8 21:46:01 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Not even Vagene could cheer me up... - Thu Oct  8 21:46:01 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Heiwa, you want some Sake? - Thu Oct  8 21:46:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Isn't that the stuff that makes you stupid? - Thu Oct  8 21:46:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 21:47:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nevermind. - Thu Oct  8 21:47:44 2015
<br><br><font color=teal>*Storm(Sisbro55) says: ------ - Thu Oct  8 21:47:44 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: .... - Thu Oct  8 21:47:44 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Has anyone seen nizaaa? - Thu Oct  8 21:47:44 2015
<br><br><font color=teal>*Storm(Sisbro55) says: --- - Thu Oct  8 21:48:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nope. - Thu Oct  8 21:48:35 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Awe. - Thu Oct  8 21:48:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm... - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Maybe. - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If you take off your shirt. - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: And wriggle around. - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He'll come. - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Just a guess. - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: .... - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 21:49:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Everytime I come here...Every damn time - Thu Oct  8 21:50:17 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm Kojiro's sister. - Thu Oct  8 21:50:17 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Gene. - Thu Oct  8 21:50:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't know what I said. - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: When I'm Raikage, my dream is to imprison Kojiro! - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Im not Raizek chill with that shit - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh. I'm Heiwa. Uncle Hideki's nephew. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: You're so cute. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Thanks. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Oh, the kid. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's rude to stare. - Thu Oct  8 21:52:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is it because I'm black? - Thu Oct  8 21:52:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Damn chinks.. - Thu Oct  8 21:53:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What do you do? @Gene - Thu Oct  8 21:53:42 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm the head of the medical division, little one. - Thu Oct  8 21:54:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Like mom.. - Thu Oct  8 21:55:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Are you good?  - Thu Oct  8 21:55:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'd like to believe so, yes. - Thu Oct  8 21:55:24 2015
