<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's looking one-sided as fuck. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Alright. - Mon Oct  5 22:13:45 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . .. - Mon Oct  5 22:14:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Mm.. - Mon Oct  5 22:14:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo', Raikage man. - Mon Oct  5 22:14:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm? - Mon Oct  5 22:14:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: What kind'a regiment do you like to do? - Mon Oct  5 22:14:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I don't particularly do regiments. - Mon Oct  5 22:16:19 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do you lift? - Mon Oct  5 22:17:10 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Not really. - Mon Oct  5 22:17:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Aaah, a leg day kind'a guy then? - Mon Oct  5 22:18:01 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No. - Mon Oct  5 22:18:01 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Mon Oct  5 22:18:01 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Then what do you do? - Mon Oct  5 22:18:01 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Meditation. - Mon Oct  5 22:18:01 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ---. - Mon Oct  5 22:18:01 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Meditation. - Mon Oct  5 22:18:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes. - Mon Oct  5 22:18:52 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hi Lord Raikage. - Mon Oct  5 22:19:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hello. - Mon Oct  5 22:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Mon Oct  5 22:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Oh, -now- she talks. - Mon Oct  5 22:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: How many business days you think its been now? - Mon Oct  5 22:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Who knows. - Mon Oct  5 22:20:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I was hopin' it'd be you that knew. - Mon Oct  5 22:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's not in my job description. - Mon Oct  5 22:21:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Damn. - Mon Oct  5 22:21:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do they give a reciept? - Mon Oct  5 22:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No. - Mon Oct  5 22:23:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do they give an estimation' on how long it might be? - Mon Oct  5 22:23:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No. - Mon Oct  5 22:24:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Hm. - Mon Oct  5 22:24:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo'.. Raikage man. - Mon Oct  5 22:26:33 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes? - Mon Oct  5 22:27:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do'ya know anything about that sword that lady walked on out with? I asked Mammaries about buyin' it and he ain't give me a reply yet. - Mon Oct  5 22:28:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's not for sale. - Mon Oct  5 22:30:49 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But the guy said he'd think about it.. Hnn, people be lying. - Mon Oct  5 22:31:40 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Mon Oct  5 22:41:04 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: I'm pretty sure I come from the same place as she does.  - Wed Oct  7 04:54:24 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Don't think anyone takes honor in being in her presence..... - Wed Oct  7 04:54:24 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) loldipped back to Konoha.* - Fri Oct  9 01:05:42 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ................ - Fri Oct  9 02:13:58 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) stepped on healing pill by mistake.* - Fri Oct  9 02:14:49 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Damn..... - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Well. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: What happened here? - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: We got destroyed. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Deez nutz. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Does that mean I can get his jacket? - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: @Kojiro* - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ........... - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: To soon? - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: .................. - Fri Oct  9 02:24:12 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Anyone stoppiong me? - Fri Oct  9 02:33:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Why? - Fri Oct  9 02:33:36 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Alright then. .  - Fri Oct  9 02:33:36 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . - Fri Oct  9 02:42:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Well. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This was a very interesting day. - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I bet no one saw this coming when they woke up this morning. - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: So I don't get the jacket? - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Kill...yourself. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Atleast no one di-..Atleast we've still go the vi-...At least we've still got..each oth-....Atleast we still have our healt-...At least we still have our m-memories..? - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You should rebuild. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Nice save. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I try. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: .... - Fri Oct  9 02:58:20 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: I thought he already took a pill...... - Fri Oct  9 02:59:12 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: My name is Marrisa. . I know of no one with the skill to save you. . Shall I make it swift? - Fri Oct  9 03:06:01 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ........ - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Someone, help Niza. - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Hahaha. - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: He has a hole in his chest. . I seriously doubt anyone could save him at this point. - Fri Oct  9 03:07:44 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Fri Oct  9 03:07:44 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Then why did you give him a pill? - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Mild anastheic - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: The pill won't reach is stomach if there is a hole in his chest. - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . . .  - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Admitidly, I hadn't thought of that - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Wait so yall were giving him pills not knowing that? - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Pfft. - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Move him, and he'll bleed to death - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: rip - Fri Oct  9 03:19:40 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Miss. - Fri Oct  9 03:23:56 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Can you treat Lord Niza afterwards for me? - Fri Oct  9 03:23:56 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . - Fri Oct  9 03:29:55 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: That doesn't tell me what's wrong! - Fri Oct  9 03:29:55 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Someone took the Raikage on a fan. - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How...how am I suppose to find him? - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I think that is a personal problem. - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Or a village problem. - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Either way, I don't know. - Fri Oct  9 03:31:37 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:31:37 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: She said move him and he will die. - Fri Oct  9 03:32:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Then shruged. - Fri Oct  9 03:32:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Then fly off. - Fri Oct  9 03:32:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I think rape is next. But I don't know. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ..... - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: We need to find Lord Niza. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'll go look for him. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Treat the girl. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Should have stopped the girl before she took him in the first place....... - Fri Oct  9 03:34:11 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Anything Orange Haired guy? - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you find the Raikage? - Fri Oct  9 03:38:27 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I was not able to locate Lord Niza. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'll check the mansion. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you check every house? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: How was the crater? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I take that as he found out the mansion wasn't a thing anymore. - Fri Oct  9 03:40:09 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: So. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: How goes life? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I think we should worry about the lives that we lost rather than our own. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Huh? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I think I know where the Raikage is....I can't fight by myself. - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Heiwa...can you fight? - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Why would you need to fight? - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Then ask someone who was just weined like how many months ago. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I can..use my genjutsu. Why? - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: I wonder if I should tell them that the girl was trying to help the Raikage out...... - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Naw gonna let this play out. - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:51:15 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... Mmn. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... *Face twitch.* - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck this guy.. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: OneTwoThreeFour... - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: The hospital's messed up. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm a shinobi of Kumogakure. I'm taking her to my house so she can rest. She's battered up. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: H-Hideki.... take me to your home.... - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I hope you didn't think I had malicious intentions. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You never know nowadays.. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm loyal to Kumogakure. I never, and never will betray my comrades. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Easier said than done. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: That's a self-rule I'll abide by. Especially if I plan on becoming Raikage some day. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Right. - Fri Oct  9 04:04:03 2015
