<br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Ugh...Better go find Kana. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: If he were here to kill us, I doubt we'd be talking right now. - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Oh and we were attacked recently. - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Really!? By who? - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No idea. - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Some rogue group. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Was anyone hurt? - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: .....Nope. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Wait, not that i know of. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: A few guards died, other than that no. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's pretty scary. - Sun Dec  6 21:43:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Scary? - Sun Dec  6 21:43:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Try having your eye and tongue taken out, for some sick reason. - Sun Dec  6 21:43:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We are shinobi, we aren't supposed to be scared. - Sun Dec  6 21:44:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Woah! Is that why you have your headband covering your eye, and writing on the ground? - Sun Dec  6 21:45:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's pretty sickening.Who would do such a thing? - Sun Dec  6 21:45:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Some dude name Ichiro and Kida. - Sun Dec  6 21:45:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ichiro and Kida? Never heard of them. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll keep an eye out on them. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Right. They've disappeared since then. So, what brings you back in Kirigakure, after leaving for so long? - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I was out on a mission, and I was training. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I heard we have a new Mizukage. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah. Kana. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh, Kana is the Mizukage now? Wow. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: .......Something is off, he's too nice. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You know Kana well? - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Not really. - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I've heard of her. - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn it, why did those two have to be asleep. - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Right, right. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: This was suppose to be a group activity, but noo. They had to be asleep.  - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I knew Kirie and Tethys. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oh, Kirie. Shame she died, it really is. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It is. We were close. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Right. I can't imagine how you felt, sorry for the loss. - Sun Dec  6 21:50:43 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: .........He's really too nice. - Sun Dec  6 21:50:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's ok. It's what happens when you take the title of Mizukage. Many people come after your head. - Sun Dec  6 21:51:34 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah, indeed. That's probably why we were attacked, I'm pretty sure Kana has plenty of enemies. - Sun Dec  6 21:51:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She's strong, so I don't think she'll be taken out so easily. - Sun Dec  6 21:52:25 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: I wonder what'll happen if I attack him. - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I -am- his squadmate. He hates me though. - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's sad.  - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Eh. It was of my own doing. - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I don't blame him. - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What happened for him to dislike being in a squad? - Sun Dec  6 21:55:50 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I told him he was worthless because of how weak he is and that he was better off dead. Primarily because he refuses to work as a team and get stronger. - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: He only trains by himself. - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I was a bit pissed. I was out of line. - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Don't you think that was a bit harsh?  - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well, you guys will eventually make up, hopefully.  - Sun Dec  6 21:56:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Squads are usually like that. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: A bit. But I wasn't too far off...If one doesn't get stronger in this world....Then worse things than death could very well occur. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Shut up Geo. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That is true..I've seen and heard terrible stories about what people can do to others. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: That doesn't need to be said to a stranger. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Fine by me. - Sun Dec  6 21:58:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: *clams up.* - Sun Dec  6 21:58:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: But I'm a shinobi from the village. - Sun Dec  6 21:58:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure you are. - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ....Huh? - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Until I can confirm that from Kana, I don't believe it. - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Confirm what? - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That he's truely a shinobi from this village. - Sun Dec  6 22:00:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh. - Sun Dec  6 22:00:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I can check. - Sun Dec  6 22:00:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Uh.... - Sun Dec  6 22:00:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: But that's only if you'll let me, stranger. - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Take off the mask, and we'll truely trust you. - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Simple. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I just need to touch you. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: And we'll go from there. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ..... - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Nothing harmful. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: I'd forcefully do it. - Sun Dec  6 22:01:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: He's either coming onto me, or he's going to use that jutsu Sanoke used.. Well, here goes nothing. - Sun Dec  6 22:02:40 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hrm... - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Um..Sure. As long as you don't do anything funny. I have someone already. - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I'm only seven, you'll be alright. - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Do us a favor and take off that mask, though. It's awfully creepy. - Sun Dec  6 22:16:19 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: No. I just don't trust many people. - Sun Dec  6 22:17:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It seems as if all youve done is attack me. - Sun Dec  6 22:18:01 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Mizukage. - Sun Dec  6 22:19:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Someone came here for you earlier. - Sun Dec  6 22:19:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Um, thank you.. - Sun Dec  6 22:19:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Her name was Lera Hassan. - Sun Dec  6 22:20:35 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: ... - Sun Dec  6 22:21:26 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And just like that she's asleep. - Sun Dec  6 22:21:26 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: A secret. - Sun Dec  6 22:21:26 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: No, I'm just ignoring you. - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Why? - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Then what would you prefer me to call you? - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because I am? - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Fine, be like that then. I was going to give you the money she gave me but whatever. - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Tengoku(Punka) says: ... - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Kana seems more...ignoring ever since the attack. - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Damn, and I'm the unsociable one. - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Hm. - Sun Dec  6 22:23:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: These shinobi are pretty rude. If it was like how Tethys ran it, they'd have broken jaws.  - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Call me Hisoka, if you want a name to use. - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Oh well, not my problem. Except for Kyubishu.  - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. Pleasure to meet you Hisoka. I'm Rin. Rin Kitsugami. - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Right. - Sun Dec  6 22:26:33 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hello, Mizukage. - Sun Dec  6 22:27:24 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Can't you see I'm not in the mood to speak? - Sun Dec  6 22:30:49 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Nope. - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Asin(Thanatoz) thinks: Maybe if I kill someone I'll get a response... - Sun Dec  6 22:35:05 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: . . . - Sun Dec  6 22:35:56 2015
<br><br><font color=teal>*Tengoku(Punka) says: So... - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hiw's everyone's day so far? - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: ..... - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Well.. - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Besides being ignored.. - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Alright. - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: . . . . - Mon Dec  7 01:14:40 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...... - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I-Is that a spear? - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: That it is. - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Thou art interested in a spar, is that it? - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah. - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I see. - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Unfortunate. - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: You look to be quite strong. - Mon Dec  7 01:16:22 2015
<br><br><font color=teal>*Shiba, Takiji(Kizuzan12) says: Me? - Mon Dec  7 01:16:22 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Not you. - Mon Dec  7 01:16:22 2015
<br><br><font color=teal>*Shiba, Takiji(Kizuzan12) says: Oh, ok. - Mon Dec  7 01:16:22 2015
<br><br><font color=teal>*Shiba, Takiji(Kizuzan12) thinks: Bitch..... - Mon Dec  7 01:16:22 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Spearman. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Hm? - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: What does thou want? - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Wish to engage in combat? - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I do. - Mon Dec  7 02:26:20 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: This is the person I'm looking for. - Mon Dec  7 02:46:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've got next. - Mon Dec  7 02:46:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Heiwa, do me a favor. - Mon Dec  7 02:48:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Pull out this spear from me? - Mon Dec  7 02:49:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Does he not see we are in the middle of something? - Mon Dec  7 02:50:14 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Why does Nori -want- to do it? - Mon Dec  7 02:54:30 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But who? - Mon Dec  7 02:55:21 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: .......But why? - Mon Dec  7 02:56:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) whispers: Can you teach me how to use a spear? - Mon Dec  7 03:25:13 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: They're just going to execute that man as he is? A poor death. - Mon Dec  7 03:27:47 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: If he should die, he should do so on his feet, not grovelling on the floor. - Mon Dec  7 03:28:38 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) thinks: Lame. - Mon Dec  7 03:28:38 2015
<br><br><font color=teal>*Roman(DagonWarhead) whispers: I see no reason not to. - Mon Dec  7 03:29:29 2015
<br><br><font color=teal>*Kyubishu(Dillion13) whispers: I'll have to first, get this spear out my stomach. - Mon Dec  7 03:33:45 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ..... - Mon Dec  7 03:41:26 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Squad one doesn't look very happy to be doing this. - Mon Dec  7 03:46:33 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ..... - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Death. - Mon Dec  7 03:58:30 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) slowly travaled from the academy to the waterfall in order to think about his recent thoughts, who was the person that weared a mask? It was obvious that certain 'vibe' had been coming from him and the fact that he just mysteriously showed up without actually showing him face didn't make him feel right, as he walked out of the area of the academy and went toward the beaten path that was upward. A small release of oxygen had flown out of his system and into the air, he was now awfully close to his destination before his training for the day could actually begin.

He stopped after finally reaching the waterfall, simply stopping infront of the tree and reaching out his fingers toward the dent that he had put into a specific tree, the bandages that were thouroughly wrapped around his hands after bruising it against the trunk of that specific trunk, Kyubishu had thought extremely hard about the self-training that he needed to do in order to become stronger and after finally coming to a decision.

It was obvious that he -needed- to go through with this, he couldn't effectively deal out a large amount of damage at once. Dealing with getting hit and dodging might've been a problem at one point but after he finally started to react occordingly it obviously wasn't a big deal anymore, he unwrapped the headband that was slanted across his missing eye and took it off. The weight that had been pressured against the missing eye was now lifted and Kyubishu's expression had changed.

He went from curious to sad, about the fact that he was unable to do anything against Kida and Ichiro. The fact that they still hadn't been caught and brought to justice, the people of Kirigakure had kilt an innocent man in his eyes due to the simple fact that he didn't know this man's crimes, but they couldn't find two people who actually did assault him. So he'd just have to them on his own and deal with them his own way, which meant he needed to become generally stronger on his own.

After Roman had accepted to teach him how to use a spear another thing had came into play. The fact that he still didn't have the spear on him, which meant going through extreme pain in order to take it out of his body, the lifeless eye that had been taken, a sudden empty feeling was within the same empty eye socket, Kyubishu wrapped his headband back around the missing eye socket and begun to smash against the tree.

Gritting his teeth due to simple train.* - Mon Dec  7 21:20:25 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: o - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Hi there. - Mon Dec  7 22:26:08 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hey, Roman. Should we begin? - Tue Dec  8 03:12:00 2015
<br><br><font color=teal>*Lysias(Zakku) says: .... - Tue Dec  8 03:15:24 2015
<br><br><font color=teal>*Lysias(Zakku) says: Are you talking to me? - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Shiba, Takiji(Kizuzan12) says: Wrong person. - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: No. I did say Roman... - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Wait. - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oops. - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What? - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I suppose I am. - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Lysias(Zakku) says: I am not Roman. - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Shiba, Takiji(Kizuzan12) says: Roman is a different person. - Tue Dec  8 03:17:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: .....Why do you look so similar? - Tue Dec  8 03:17:07 2015
<br><br><font color=teal>*Lysias(Zakku) says: Is that a legitimate question? - Tue Dec  8 03:17:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ......Yup. - Tue Dec  8 03:17:07 2015
<br><br><font color=teal>*Lysias(Zakku) says: A properly thoughtful guess will give you the right idea. So, what do you think? - Tue Dec  8 03:17:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Brother? Or Relative atleast. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>*Lysias(Zakku) says: You are correct. I am his brother, Lysias. - Tue Dec  8 03:24:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You're his brother, or relative? - Tue Dec  8 03:33:20 2015
<br><br><font color=teal>*Lysias(Zakku) says: I am his brother. - Tue Dec  8 03:37:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...I see, are your skills with that weapon better or equal to his? - Tue Dec  8 03:38:27 2015
<br><br><font color=teal>*Lysias(Zakku) says: I am unsure. - Tue Dec  8 03:38:27 2015
<br><br><font color=teal>*Lysias(Zakku) says: Though, I'm inclined to believe he is more practiced with it than I. - Tue Dec  8 03:39:18 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I see. - Tue Dec  8 03:41:00 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) had eventually became one step closer toward his actual end-goal.  Kyubishu had eventually pounded on the trunk of a tree so much that the durability of his fist had generally became more resistant to the type of material that he was pounding upon, each time that he repeatedly pounded on a tree he would've wrapped his knuckles in bandages to make sure he could've properly recovered.
Time seemed to be passing him by quicker and in order to leave the person that he used to be BEHIND, he needed to make a change and fast. Something that would've been easy to do and didn't end up being too difficult and complicated for him to do, also taking up a short duration of time to do. A lightbulb had flashed inside his head and he took a small trip to Konohagakure.
It might've taken him a day or two to make it from Kirigakure to his actual destination but he needed to do this in order to let go of The Weaker Kyubishu that had been beaten up by Ichiro and Kida, leaving immediately after the idea had came up into his head and he packed himself up, he would've begun walking. He left the village often without Kana's permission so doing it now obviously wouldn't have made a difference. After taking a day or two, Kyubishu had finally made it.
Walking into the barber and cutting his more long-style hair into something short and spikey like his previous relative that was killed by the also ironic, PREVIOUS Mizukage, he stopped just outside if Konohagakure and found himself a quick spot to rest. It's been a day or two since he trained and his knuckles also might've paired themselves all the same, but Kyubishu had stopped infront of a tree. This task had became easier each time he done this, pounding on a tree in order to increase his striking power.

A encurled finger which was formed into a knuckle had been thrusted out toward the tree as it clashed against the brown bark, instantly smashing the wood and leaving splinters in the tree. He wasn't playing around anymore, his striking prowess had generally became stronger since previously before and he was able to dish out damage way easier than before. A left hook had came for the side of the tree branch, snapping it once again, leaving an echoing sound that ringged out across the outside of Konohagakure. Kyubishu's face had lit up before he constantly struck at the tree once again.

Rapidly as it had gone on, eventually all around the tree it was almost toward the middle, constant dents through punches.
* - Tue Dec  8 03:41:00 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Hm? - Tue Dec  8 03:42:43 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Customers? Complaint? - Tue Dec  8 03:45:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yes. - Tue Dec  8 03:45:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What's the complaint. - Tue Dec  8 03:46:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I've a complaint about a shinobi named Ryo.  - Tue Dec  8 03:46:08 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ....Damn it, Ryo. - Tue Dec  8 03:46:08 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What'd he do this time? - Tue Dec  8 03:46:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We were threatened and mistreated, and he even attacked one of our own. Of course, reacted in self defense, but he instigated a confrontation with us mere merchants. - Tue Dec  8 03:46:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'll have our Mizukage deal with it. - Tue Dec  8 03:46:59 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let it be known that he almost caused your village to enter a decline. - Tue Dec  8 03:48:41 2015
