<br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Mon Nov  2 23:36:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But.. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Spar...Me.. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No thanks. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I have a scroll to read. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But.. - Tue Nov  3 02:10:59 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 02:10:59 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No. - Tue Nov  3 02:10:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Fine.. - Tue Nov  3 02:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mizukage-Senpai..H-Hanai.. - Tue Nov  3 02:11:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Huh> - Tue Nov  3 02:22:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Sorry. - Tue Nov  3 02:22:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And This male tried to kill me - Tue Nov  3 02:22:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mizukage-Senpai. - Tue Nov  3 02:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can we talk alone in p-private..? - Tue Nov  3 02:22:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Sure, - Tue Nov  3 02:24:38 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Come with me. - Tue Nov  3 02:24:38 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ....... - Tue Nov  3 02:26:20 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: What a scene.. - Tue Nov  3 02:56:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Is this. . mess going to be cleaned up? - Tue Nov  3 02:56:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm back everybody!~ - Tue Nov  3 03:11:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:11:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Who is this girl? - Tue Nov  3 03:11:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well jeez, don't everyone go deaf at once. - Tue Nov  3 03:12:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:13:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Huh. I guess no one remembers me here, Ortho. - Tue Nov  3 03:14:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You've been gone for a while. - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: These are mostly new faces. - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Jeez, come on guys. Don't be so lame! - Tue Nov  3 03:17:32 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:18:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You are? - Tue Nov  3 03:18:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I am Nina! The best genin in Kirigakure!~ - Tue Nov  3 03:19:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:20:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Tue Nov  3 03:20:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Thaenan. - Tue Nov  3 03:20:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: A pleasure I guess. - Tue Nov  3 03:20:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Who's the other guy? - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No clue. - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You're not shit. - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see. - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: We- Excuse me? - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: That's rude. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You are not the best Genin in Kirigakure. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I don't give a fuck, I'm not nice by nature. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I am always open to someone proving me wrong. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I hope the girl kills him, I could use another to add to my collection. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Are we gonna do this right here? - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sure. - Tue Nov  3 03:26:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anywho. - Tue Nov  3 03:26:04 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) stepped toward the side. He awaited for Nina to make the first action, it was just a simple act of being himself. Kyubishu dind't like people who tried to self-proclaim something that wasn't true, he wasn't somebody that doubted people and maybe some people seen it at a different perspective, but it was just simple. It's not like she didn't have the talent to become "The Best Genin in Kirigakure", but at the moment that wasn't sufficent enough for him to believe.

Even if he lost this battle, he wouldn't sweat it. Because she wasn't shit compared to anyone else. At this very moment he was in his weakest condition because he wasn't able to uitlize his clan abilities to their fullest potential, but once he learned everything and got a good amount of mastery over them, he might've been unstopabble and reached Baen's level and possibly higher.

A small drift of his left hand was made before it headed toward his right leg, and then back toward his side.* - Tue Nov  3 03:28:38 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: He had all killing ash bones - Tue Nov  3 03:32:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mizukage. - Tue Nov  3 03:32:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I finished your scroll. - Tue Nov  3 03:32:03 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Elon. - Tue Nov  3 03:38:01 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Hm? - Tue Nov  3 03:38:01 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: .  . - Tue Nov  3 03:38:01 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Do you buy any chance happen to know what happened to the body that was here? - Tue Nov  3 03:38:01 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: by* - Tue Nov  3 03:38:52 2015
