<br><font color=teal>*Hiroshi(Marchie15) thinks: I got chakra for days~ *nods* - Fri Dec  4 19:39:18 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Thanks - Fri Dec  4 20:59:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: It's funny. *laughs* - Fri Dec  4 20:59:31 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ah, Hey there Mitsu~ - Fri Dec  4 21:01:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Why do I get the feeling that Suna is just me, Sanoke, My Bro, Ai, Bry, Trill, and like 20 women? - Fri Dec  4 21:01:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey Mitsu. - Fri Dec  4 21:01:13 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Lera. - Fri Dec  4 21:01:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Tell me about it! Its damn hard to get a guy to jizz in a cup for you. - Fri Dec  4 21:02:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hows things? - Fri Dec  4 21:02:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Good~ - Fri Dec  4 21:02:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: hrm...looking forward to dinner with her and Kiyoko... - Fri Dec  4 21:04:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. - Fri Dec  4 21:05:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good good Mitsu. - Fri Dec  4 21:07:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Everything is going good. - Fri Dec  4 21:07:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You look like you are working hard over there Mitsu. - Fri Dec  4 21:14:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Nrn.. Yeah. - Fri Dec  4 21:14:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How the hell? - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Auntie you floating. - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How the hell? - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hn? - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah. - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Its a thing I can do. - Fri Dec  4 21:17:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wanna float. - Fri Dec  4 21:17:26 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ...Put your hand on my shoulder. - Fri Dec  4 21:17:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Holy shit. . . I am floating. . .  - Fri Dec  4 21:19:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: This is amazing!!!!! - Fri Dec  4 21:20:51 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Eh...? - Fri Dec  4 21:20:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Its a Doton technique. - Fri Dec  4 21:20:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Really? - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can do Doton. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Its quite advanced. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit. .  . - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Gravity manipulation. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Not easy to do. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Look Nami, I can fly! - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hahahahaahahaha - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How long would I have to practice to learn something like this Auntie? - Fri Dec  4 21:30:14 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Pretty long. - Fri Dec  4 21:30:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Antie? How's that your antie? - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Isn't she your Aunt? - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah. - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Then she is my Auntie!~ - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: We're.....not married.... - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Not yet. - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Wow... - Fri Dec  4 21:31:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Then that isn't your antie yet. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Kiddo.~ - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Kid getting ahead of himself. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: That...? - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I plan for the future baby. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ouch. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hah... cute! - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Psh, Antie Lera you never even  chat with me! - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You're an it! - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Already planning f-for kids? - Fri Dec  4 21:31:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Uh huh. Hey, my family is huge. I can't chat with all of you. - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I mean that is going to happen eventually Momu. - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *winks at Nami* - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: My family is your family, remember? - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yup.. - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh...I guess..u-uhm...I p-plan to have a b-baby in the future. - Fri Dec  4 21:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well that is between you and Hanai. - Fri Dec  4 21:33:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I could fly here all day. . . . .  - Fri Dec  4 21:34:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm. - Fri Dec  4 21:37:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ahhh, then yes. You'll need to talk to Sanoke for that. - Fri Dec  4 21:38:46 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I see, Am I able to remain within this village as I wait? - Fri Dec  4 21:39:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well I'm going to train. - Fri Dec  4 21:39:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I don't se why not. - Fri Dec  4 21:39:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Bye Nami!~ - Fri Dec  4 21:39:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Just tell 'em Lera said you could. - Fri Dec  4 21:40:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You're coming with me, Hiro. - Fri Dec  4 21:40:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Come on. - Fri Dec  4 21:40:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Better listen to the future wife Kiddo. - Fri Dec  4 21:40:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hush up Auntie. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I would love to, but I can't baby. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hah. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm sorry. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mmk. - Fri Dec  4 21:41:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-How're you? - Fri Dec  4 21:43:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm...Bit of a headache coming on. No idea why though. - Fri Dec  4 21:43:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yourself? - Fri Dec  4 21:43:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm fine..uhm... - Fri Dec  4 21:43:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I got some w-weapons for 700k.. - Fri Dec  4 21:43:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna see them? - Fri Dec  4 21:44:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sure~ - Fri Dec  4 21:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Auntie, can you buy me a sword? - Fri Dec  4 21:45:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: When I get a little more money. Sure. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'll put my money into it. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I just spent a fair amount on some other stuff and I'm paying for my own wedding too... - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh. Like... - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Talk to Marco - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Get a price. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Who're you m-marrying..a-again? - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Kiyoko. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mmk. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..S-She's nice! - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Guess I should go and train on my own then. - Fri Dec  4 21:47:18 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm, she is~ - Fri Dec  4 21:47:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well uhm.. - Fri Dec  4 21:47:18 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Maybe I should go out somewhere... - Fri Dec  4 21:49:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Mitsu appears to be getting off on her training... - Fri Dec  4 21:49:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Turning me on...jeez.. - Fri Dec  4 21:49:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You can do it, Mitsunara. Ganbare! Ganbare! - Fri Dec  4 22:36:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hah.... - Fri Dec  4 22:37:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I don't have any stronger attacks than the one that just did nothing. - Fri Dec  4 22:37:39 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well then, spar to get some training in, not to win. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Besides, that's what I'm doing. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: What a drag.... Come on then, we're not done yet, are we? - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hello. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, question first. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh..? - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Could I use your sword? I'm kind of new at kenjutsu, but I'd like to get some practice here. - Fri Dec  4 22:39:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna go do s-something b-bestie? - Fri Dec  4 22:40:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Do something, sure! What you got in mind? - Fri Dec  4 22:41:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm.. - Fri Dec  4 22:43:37 2015
<br><br><font color=yellow>*Kaiko(Lostlolidragon) rushes forward, throwing open an empty containment scroll, and sealing the trurtle shell away into it!* - Fri Dec  4 22:44:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I dunno - Fri Dec  4 22:47:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We can go d-do intense training s-sessions. - Fri Dec  4 22:49:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-In my house. - Fri Dec  4 22:49:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have tons o-of stuff r-ready.. - Fri Dec  4 22:49:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh, I don't  know if I can do that with my chest like it is. - Fri Dec  4 22:50:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Then you c-can assist m-me - Fri Dec  4 22:52:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Come on. - Fri Dec  4 22:55:34 2015
<br><br><font color=yellow>*Kaiko(Lostlolidragon) brings her finger forth and allows her chakra to flow into it once more! The purple sheen upon it would mark the activated jutsu! She would then carve the Lotus seal formula into the side of the well! Once this was done she would walk away!* - Fri Dec  4 23:20:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Mmm. . I could give tips. Does she not see ho-- No.. - Sat Dec  5 03:20:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: K-KINAMI! - Sat Dec  5 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-BELIEVE IN THE US T-THAT BELIEVES IN THE Y-YOU THAT B-BELIEVES IN THE ME T-THAT BELIEVES IN THE YOUUUUUUUUU! - Sat Dec  5 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-YOU CAN DO I-IT! - Sat Dec  5 03:22:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Dont die you too! <best shot at motivation of a law less priest> - Sat Dec  5 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-SHOW AI Y-YOU'RE BETTER! - Sat Dec  5 03:24:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ai your going overboard again - Sat Dec  5 03:27:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: --I'm still holding back, come on! - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: She'll be fine. - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Pull back... stun not kill - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: We will drink after wards - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Fuck it, fine, I'll try to bind her and end this. - Sat Dec  5 03:29:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Sat Dec  5 03:30:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: YOU WILL FIGHT ME FOR CHUUNINS - Sat Dec  5 03:53:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Sat Dec  5 03:55:05 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I can fight in her stead!  - Sat Dec  5 04:01:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Neat fight... - Sat Dec  5 04:01:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Where's hideo? - Sat Dec  5 04:01:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I'll have to beat a-ai later.. - Sat Dec  5 04:01:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: F-For kinami.. - Sat Dec  5 04:01:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I think h-hideo ran off.. - Sat Dec  5 04:05:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Really Trill? - Sat Dec  5 04:05:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. .  - Sat Dec  5 04:05:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hideo has approximately.. - Sat Dec  5 04:06:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Five minutes to arrive. - Sat Dec  5 04:06:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If not, he'll be DQ'd. - Sat Dec  5 04:06:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Then who do I-I fight? - Sat Dec  5 04:06:11 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Let me spar her in his place. - Sat Dec  5 04:09:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: At least you can see what she can do in battle. - Sat Dec  5 04:09:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: She can get the win and her points, and I can actually get a fair fight out of it. - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: All you people do is spar. - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: This is the Chuunin's right? - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mhm. . Although, it's going bad. - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Many of our fighters failed to show. - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Shin(Yaori) thinks: How did one nigga get so ugly - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Thats enough ugly for three people - Sat Dec  5 04:11:18 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Sanoke! - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yes Bryson! - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Let me fight miss Momura! - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <@Kaiko> - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nope. - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Why not! - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I can do it! - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shame I missed the earlier parts.. - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah, well. - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: He just flat out ignored me. Didn't even give me a response. - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I don't wanna become a Chunin! I just wanna fight Momoura! - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Hm... - Sat Dec  5 04:13:52 2015
