<br><font color=teal>*Higashi, Nori(Shawn45) says: Why? - Sun Nov  8 01:01:26 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Smoking plants? Sounds nasty. - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: It makes you relaxed. - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Is that all it does? - Sun Nov  8 03:40:09 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . . It also makes you hungry a lot and your eyes become red, almost like you haven't slept in a while. That's if you smoke a lot of it, though. - Sun Nov  8 03:45:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Basically, I call it happy medicine. .. And hungry. . - Sun Nov  8 03:45:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: So it's relatively worthless. - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Maybe the other ones won't be.  - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Anyways, in the morning we'll head out to gather these plants. - Sun Nov  8 03:53:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You can have the bottommost bed. - Sun Nov  8 03:53:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Yumiko, you can keep the top. - Sun Nov  8 03:53:48 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: It helps for pain due to it's relaxing nature. - Sun Nov  8 03:58:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Not a lot of hte pain, but it helps to bare with it. - Sun Nov  8 03:58:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Which is something to take into account for if you have injuries. - Sun Nov  8 03:58:04 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Right. - Sun Nov  8 04:01:29 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Heiwa where will you sleep? - Sun Nov  8 04:01:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'll take the pillows. - Sun Nov  8 04:04:03 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure about that? - Sun Nov  8 04:11:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: There are only two beds. - Sun Nov  8 04:12:35 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Then take one. I don't mind taking the pillows. - Sun Nov  8 04:14:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. I'd rather you two have it. - Sun Nov  8 04:15:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'll be fine.  - Sun Nov  8 04:20:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I don't mind sharing a bed with who ever. - Sun Nov  8 04:20:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Morning. - Sun Nov  8 15:09:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Morning. - Sun Nov  8 15:15:37 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Sleep well? - Sun Nov  8 15:18:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Well enough. Did Nori stay here? - Sun Nov  8 15:20:44 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Sun Nov  8 15:48:03 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *yawns* - Sun Nov  8 16:23:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Morning. - Sun Nov  8 16:31:34 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Morning. - Sun Nov  8 16:33:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Got those pictures ready?  - Sun Nov  8 16:37:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We can go get those plants. - Sun Nov  8 16:39:15 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? Oh, yeah. I have them. - Sun Nov  8 16:52:54 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) took said pictures of herbs. Presumably they'd also come with some instruction upon how to cut them.

"Alright. This it? You know where they are?"* - Sun Nov  8 17:26:11 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: The first five should be in the village. They are medicinal drugs. The other two would need some searches outside of the village. Not in dry climates, I believe. - Sun Nov  8 17:29:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Fair enough. What'll you be doing? - Sun Nov  8 18:07:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well, for one I am going to try and get word from the Hokage about a few things along with turn in the missions. I still want to know more on what you want me to actually do when the Hokage is around. - Sun Nov  8 18:37:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I don't believe that you could work in that aspect. Missions are relatively easy, and you only can get around three per mission. She was hoping for you to help us acrue funds through work. - Sun Nov  8 18:47:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: More I think your abilities as a medic could be more helpful than that. - Sun Nov  8 18:48:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Explain. - Sun Nov  8 19:06:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Explain what? - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: How your abilities could be helpful? - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Mhm. - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Stitching our wounds after something bad happens. Helping to prevent infection. I don't know really how much I have to explain. It's well valued. - Sun Nov  8 19:12:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Your research into plants could also help as well. - Sun Nov  8 19:13:42 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *sighs* - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Something wrong? - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Thinking. I already ran low on the herbs I have already. - Sun Nov  8 20:37:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Once I got the others, I can study them a bit more. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Probably find some ways to plant them as well. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: That's a start. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Which ones are you focusing on? - Sun Nov  8 21:24:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Mainly the ones to help with not just injuries or bare with pain, but for things like common colds and sickness. Small remedies for them. - Sun Nov  8 21:26:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I see. Why are you doing that? - Sun Nov  8 21:54:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Because no one else is a medic and it's either I do it, or someone else does it. . And it might be a while before someone else does it. - Sun Nov  8 22:06:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: That's your only reason? - Sun Nov  8 22:46:11 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I want to do it. You don't need a reason as a medic to need to do something that's beneficial to survival. - Sun Nov  8 22:52:09 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . .Why? - Sun Nov  8 23:20:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I was curious of your motivations. Wondering what you were loyal to. - Sun Nov  8 23:25:26 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Would you cease being a medic the moment someone else comes around? - Sun Nov  8 23:25:26 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . Why? - Sun Nov  8 23:28:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You stated that was your reason. - Sun Nov  8 23:29:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The lack of anyone else. - Sun Nov  8 23:29:42 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah, there is no medics. Probably none in Kirigakure either. And I know there was none in Kumogakure. - Sun Nov  8 23:33:58 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *are - Sun Nov  8 23:35:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Likely are a few in Sunagakure. - Sun Nov  8 23:36:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Would you quit the moment that someone else becomes a medic here? - Sun Nov  8 23:36:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Your cause for being a medic no longer necessary. - Sun Nov  8 23:36:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I would be glad that there is another medic, because  now I have someone that could help me and I can help them. - Sun Nov  8 23:39:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Why would you stay?  - Sun Nov  8 23:40:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Clearly there is more to your reasoning than just what you stated. - Sun Nov  8 23:41:39 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Why quit being a medic? - Sun Nov  8 23:41:39 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I don't know if you're asking me if I will quit being a medic or quit being a shinobi for this village. - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Being a medic. - Sun Nov  8 23:44:12 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) narrows his eyes, his expression hardening. "That does not detail why you're a medic, however." he states, a tint of annoyance passing by in his voice. "Are you saying you endeavor to be a medic because you are already on the path of it? And the reason you stepped on the path is due to others not being medics?"* - Sun Nov  8 23:51:02 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: You don't pick a profession for an artificial reason such as that. It's to help people.That's pretty much it. - Sun Nov  8 23:52:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: That's what I was asking. - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's important to know why you're doing things. - Sun Nov  8 23:57:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: To know what you're loyal to. - Sun Nov  8 23:57:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Only two things: Honesty and Loyalty.. - Sun Nov  8 23:57:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well aware of that. - Mon Nov  9 00:08:06 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Are you loyal to the hokage? - Mon Nov  9 00:12:22 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I don't even talk to him a lot. .I only met him two or three times and third time was to ask for a mission. - Mon Nov  9 00:16:38 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What're you loyal to? - Mon Nov  9 00:17:29 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmm. . Loyalty in a way can be in linked with respect, right? - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hrm? - Mon Nov  9 00:49:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Can it? - Mon Nov  9 01:04:25 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I do not believe it is required. - Mon Nov  9 01:05:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hm. Then I guess I am loyal to people with a drive for something. - Mon Nov  9 01:12:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: If that makes sense. - Mon Nov  9 01:16:22 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Loyal to those with a drive for something? - Mon Nov  9 01:36:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Could you explain more? - Mon Nov  9 01:36:51 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: They have a drive. - Mon Nov  9 01:57:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Motivation. - Mon Nov  9 01:57:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: They have a goal for something. - Mon Nov  9 01:57:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I see. - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I mean, I'm loyal to close friends. But if they mess up, I will point it out to them. - Mon Nov  9 02:45:58 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I won't be blindly loyal to people though. - Mon Nov  9 02:51:05 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: If that is where we are going with it. - Mon Nov  9 02:51:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Not fully. My questions were more to - what are your ideals you remain loyal to? - Mon Nov  9 03:26:56 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhm. - Mon Nov  9 04:00:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: My ideals? Hm. .  I uh .. Still don't follow much. - Mon Nov  9 04:01:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *don't follow - Mon Nov  9 04:01:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What in life do you remain loyal to. The cause that strives you forward. - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oh, uh. I guess my own morals and uh. . . not much of a family person,and uh. . some other stuff. . - Mon Nov  9 04:26:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Other stuff? - Mon Nov  9 04:41:10 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Mhm. - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Morning. - Mon Nov  9 15:24:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Morning. - Mon Nov  9 15:27:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: How are you? - Mon Nov  9 15:44:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Fine. - Mon Nov  9 15:57:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The hokage is definitely more absent than the mizukage was. - Mon Nov  9 15:57:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Doing missions for the village from Nori wouldn't work. - Mon Nov  9 15:57:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: She hardly can get missions herself. - Mon Nov  9 15:58:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm I see.... - Mon Nov  9 15:59:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I've also heard this is somewhat true for Sunagakure. - Mon Nov  9 16:03:50 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Are the Kage's dying or something? - Mon Nov  9 16:04:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'm unsure of why they're absent. - Mon Nov  9 16:04:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I doubt it's death.. - Mon Nov  9 16:04:41 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mmm. - Mon Nov  9 16:07:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Much of this means we're likely in the clear to leave this house. - Mon Nov  9 16:09:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Up for some ramen? - Mon Nov  9 16:10:40 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Mon Nov  9 16:13:13 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) nodded, reaching down and pushing himself up off of the floor. "I'll leave a note for Nori when she wakes up," he says, turning to the counter and quickly scribbling out information for her. It'd be left on said counter afterwards.

"Ready?"* - Mon Nov  9 16:20:03 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) entered the ramen house, his hand moving to disentangle itself from Yumiko's just shortly before they moved past the curtains. It'd be empty at this time of day, and the man behind the counter would barely even see Heiwa due to the child's measure of stature. 

"I'll pay," he responds back to Yumiko with, before stepping up and scrambling onto the stool. There he'd order for himself a small bowl of miso ramen.* - Mon Nov  9 17:06:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'm up for some training after this. You want to come? - Mon Nov  9 17:29:10 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Of course. - Mon Nov  9 17:31:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Good. I was thinking of working on elemental ninjutsu today. - Mon Nov  9 17:35:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I could help with that only with suiton however. - Mon Nov  9 17:37:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: That's fine. You're probably far more knowledgable in the field than I am. - Mon Nov  9 17:38:33 2015
<br><br><font color=teal>*Yumiko(Ekario) says: It is what I studied first. - Mon Nov  9 17:42:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. I wasn't even expected to be a shinogi at this age - wasn't even put through the academy. - Mon Nov  9 17:48:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If Fujitora doesn't come would you be against returning to Kirigakure? At least to see how it has fared. - Mon Nov  9 20:20:41 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Yeah.. - Mon Nov  9 20:26:40 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Ready to head out? - Mon Nov  9 20:33:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Yeah. I am. - Mon Nov  9 20:36:54 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Also if we do travel to Kirigakure we can take samples of flowers here to there. - Mon Nov  9 20:42:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And take Nori too. - Mon Nov  9 20:46:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: So we can actually make use of those flowers. - Mon Nov  9 20:46:17 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Mon Nov  9 20:47:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Lets go. - Mon Nov  9 21:41:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Alright. - Mon Nov  9 22:03:05 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Seems like there really isn't anyone around today. - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ... - Mon Nov  9 22:42:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ...You ok there..? - Mon Nov  9 22:43:12 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Mon Nov  9 22:43:12 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) stopped in his tracks as he caught sight of the man, images of it all flashing quickly through his mind. His expression would harden, much of his growing anger being shown in his narrowed onyx eyes. 

<He's here..> many possibilities for why passed through his mind, but none of them were good. The child's mouth opens somewhat, whispering something low to the girl beside him as he keeps his eyes focused upwards onto the man.* - Mon Nov  9 22:48:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: We need to leave. - Mon Nov  9 22:49:10 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Mon Nov  9 22:55:08 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) echoed the nod, a lack of enthusiasm being expressed within the rigidity of his movements. 

Throughout it he'd keep his eyes on Ortho, catching a full gander of his doujutsu as he continued on moving to pass him by. As much as he wanted to say something, the child kept himself reared in moving alongside Yumiko.* - Mon Nov  9 23:03:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: He doesn't deserve those eyes. - Mon Nov  9 23:03:40 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) disentangled his hand from Yumiko, stopping in place once more. "Yeah - since you killed hundreds in Kirigakure." he says aloud. It was probably rather well known either way.* - Mon Nov  9 23:19:53 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: ...I've got myself caught up in some kind of feud... - Mon Nov  9 23:19:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Are you going to be doing the same here now? - Mon Nov  9 23:37:48 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: This village hasn't betrayed me. - Mon Nov  9 23:37:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: How did Kiri ever betray you? - Mon Nov  9 23:39:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: This is getting a little too tense... - Mon Nov  9 23:39:31 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: The one known as Kirie. She and I had a deal. She broke the deal then 'died'. - Mon Nov  9 23:42:04 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Now, you may ask what that has to do with all of Kirigakure.. - Mon Nov  9 23:42:04 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: But it was all of Kirigakure that tried to frame me as the person that aided in Koeki's death, - Mon Nov  9 23:42:56 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I told Kirie, either keep my name out of Kirigakure affairs or Kirigakure falls. - Mon Nov  9 23:42:56 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: The last thing she did before 'dying' is frame me again. - Mon Nov  9 23:43:47 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Elon and Violet lying to defend their beloved Kage. - Mon Nov  9 23:43:47 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I came to Kirigakure that day to assassinate Kirie and go about my business. - Mon Nov  9 23:44:38 2015
