<br><font color=teal>*Tengoku(Punka) thinks: Oi.~ A mock mission encounter? - Tue Dec  1 03:18:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Again - interesting. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You'll work well in the team then. Only one who still has difficulty from what I've seen if Nori herself.~ - Tue Dec  1 05:49:26 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Thanks. - Tue Dec  1 05:51:08 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) took a step back. He hadn't seemed to be in as nearly of a mood as he normally took. The brisk bit of exercise and interactive learning left him feeling better. "That'll do then," he says, ending his statement with a nod. "Of course, there will be some more training to come. Formation training could work for tomorrow. As well, you all will need to keep up with your individual exercises."* - Tue Dec  1 05:52:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We'll do some together, but much of that is reliant on you personally. - Tue Dec  1 05:52:51 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm okay. - Tue Dec  1 05:57:58 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah . . . Wait, difficulty in what? - Tue Dec  1 05:59:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Finding your way around the mist. - Tue Dec  1 06:00:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oh, uh. . That kinda. . wasn't something I expected. - Tue Dec  1 06:05:39 2015
<br><br><font color=teal>*Yumiko(Ekario) says: If only Nori ran my way. - Tue Dec  1 06:11:37 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I didn't know where you were. .! - Tue Dec  1 06:12:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Which was the problem in its use.  - Tue Dec  1 06:13:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah. . - Tue Dec  1 06:16:44 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Eh? Where did the tag go-- oh right. I picked it up. - Tue Dec  1 06:17:36 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ... - Tue Dec  1 06:21:52 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hello there.~ - Tue Dec  1 06:22:43 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: That's the Mizukage? - Tue Dec  1 17:15:31 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: So she is Kana? - Tue Dec  1 17:15:31 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . .? - Tue Dec  1 18:27:12 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: What do you want, little boy? - Tue Dec  1 18:36:35 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Sorry, I don't speak brokanese. - Tue Dec  1 18:38:17 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: That's better. - Tue Dec  1 18:38:17 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I see pain in his future. - Tue Dec  1 18:40:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: So hello everyone. - Tue Dec  1 18:47:40 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: It's too quiet. - Tue Dec  1 19:44:51 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Ryo. - Tue Dec  1 19:54:14 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I want you to spar Geo Dude. - Tue Dec  1 19:54:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Huh? - Tue Dec  1 20:03:37 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No. - Tue Dec  1 20:50:33 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Why not? - Tue Dec  1 20:51:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Pointless. - Tue Dec  1 20:51:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: What is pointless? Sparring me? - Tue Dec  1 20:53:07 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Yes. - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Why would you feel that way? - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Weak. - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Who? Me? I wasn't even fighting at full power... - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Me. - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: ...That's why you should spar me..To get stronger. - Tue Dec  1 20:55:40 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I could even help you. You fight similarly to me..So I'm sure I could give you some pointers. - Tue Dec  1 20:55:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No. - Tue Dec  1 20:57:23 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't need help. - Tue Dec  1 20:58:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You clearly do if you think -I'm- too strong. - Tue Dec  1 20:58:14 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sparring someone that outmatches me doesn't make me stronger, it makes me weaker. - Tue Dec  1 20:58:14 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I just need to train harder. - Tue Dec  1 20:58:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hmm..Unless you can break your limits you'll never be on par with me....You think you can fight without assistance...You'll never defeat me that way. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You need allies to grow. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I do not. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Whatever you say... - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Allies make you weak, they make you rely on them. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: If you have to rely on them, you can't rely on yourself. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: That's so backwards.... - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You've clearly been hurt in the past..I'm sorry. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: If that happens, you're weak. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Well you're alone and weak. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: What's your excuse? - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I haven't trained enough. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I like being alone. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: A spar -is- training. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: It isn't. - Tue Dec  1 21:02:30 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: It is though...I fought you wearing weights the entire time....Had I fought you with them off. The fight would have been much shorter. - Tue Dec  1 21:02:30 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Exactly, that isn't training. - Tue Dec  1 21:02:30 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But I fought you -with- weights. So that I can increase my speed and stamina. - Tue Dec  1 21:03:21 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: If you train with weights on...You get stronger. - Tue Dec  1 21:03:21 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't have anyway. - Tue Dec  1 21:03:21 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You can get them in the training area. - Tue Dec  1 21:05:04 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Inside the academy. - Tue Dec  1 21:05:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Whatever, I'll train the way I want to train. - Tue Dec  1 21:05:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't need you or anyone else. - Tue Dec  1 21:05:04 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Very well...Would you like to see the results of my training? That is..Training the way I train? I don't intend on causing you distress...But I'd really like to show you the benefits of it... - Tue Dec  1 21:05:55 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No. Go away. - Tue Dec  1 21:05:55 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Very Well. Where is Lady Mizukage? - Tue Dec  1 21:06:46 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Gone. - Tue Dec  1 21:06:46 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure. - Tue Dec  1 21:18:43 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You can begin. - Tue Dec  1 21:19:34 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...W-What?! - Tue Dec  1 22:26:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You have the nerve to come back here, Ichiro?! - Tue Dec  1 22:27:50 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) whispers: (making the gen pills now cus of dis) - Wed Dec  2 01:47:31 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hey... - Wed Dec  2 02:24:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Hm? - Wed Dec  2 02:24:12 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You want to go eat now? I want to get to training so I'll need energy.. - Wed Dec  2 02:24:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh, I mean sure, like a snack? - Wed Dec  2 02:25:55 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: *Power snack? - Wed Dec  2 02:25:55 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yeah. That'd be cool. - Wed Dec  2 02:25:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm bored. - Wed Dec  2 02:29:20 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Evening everyone. - Wed Dec  2 03:10:17 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I like lines. - Wed Dec  2 03:11:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Same. - Wed Dec  2 03:12:00 2015
<br><br><font color=teal>*Tengoku(Punka) says: When he come at you - Wed Dec  2 03:12:51 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? - Wed Dec  2 03:20:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hey, Yumiko. - Wed Dec  2 03:23:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: What's up?~ - Wed Dec  2 03:23:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Was thinking of some training - you and Nori up for it? - Wed Dec  2 03:29:55 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Wed Dec  2 03:30:46 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure. - Wed Dec  2 03:30:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Alright. Lets head out. - Wed Dec  2 03:46:08 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) stopped in a position just outside of their house, nodding after leading the group here. "Alright - what're you two working on?" he'd ask, trying to get an understanding for what they were going for. Teaching was, still, something he hadn't any experience in.* - Wed Dec  2 03:55:31 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Those three are close friends, it's obvious... maybe I'm intruding on their group... why did they put me in the squad if it works better between them three? - Wed Dec  2 04:32:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I think he spaced out, Yumi. . - Wed Dec  2 04:38:11 2015
<br><br><font color=teal>*Yumiko(Ekario) says: He might have. Oh well. - Wed Dec  2 04:39:02 2015
<br><br><font color=teal>*Yumiko(Ekario) says: And hello there.~ - Wed Dec  2 04:39:53 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? Oh, hiya! And not really. We were just about to. - Wed Dec  2 04:45:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh, cool. - Wed Dec  2 04:45:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Can I join? - Wed Dec  2 04:45:00 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure. I don't mind. You, Yumi? - Wed Dec  2 04:49:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Of course not. - Wed Dec  2 04:49:16 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Mkays. - Wed Dec  2 04:50:59 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: What we gonna do? - Wed Dec  2 04:50:59 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmmm. . Yumi, got any ideas? - Wed Dec  2 04:50:59 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I still want to practice with my bow. Do you two think you can avoid my shots? - Wed Dec  2 04:52:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Make sure to tone down the power of your attacks.. - Wed Dec  2 04:53:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I can try. - Wed Dec  2 04:53:32 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I can try. - Wed Dec  2 04:55:15 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: --- - Wed Dec  2 04:55:15 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: That was weird. - Wed Dec  2 04:55:15 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Why did I just say the same thing she did. - Wed Dec  2 04:55:15 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Because dodging arrows is as hard as dodging your first crazy ex. *omit* - Wed Dec  2 04:56:57 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm alright then.~ - Wed Dec  2 04:57:48 2015
<br><br><font color=teal>*Yumiko(Ekario) says: You two should spread out. - Wed Dec  2 05:02:04 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I just got lucky that time. That's all. - Wed Dec  2 06:08:38 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Training. - Wed Dec  2 06:16:19 2015
<br><br><font color=teal>*Yumiko(Ekario) says: We were playing a game of dodge the arrows. - Wed Dec  2 06:21:26 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I mean. . She did dodge a lot better than I did. I only dodged because I kept on running. . - Wed Dec  2 06:33:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Eh.. you did good Nori-chan. - Wed Dec  2 06:34:14 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: No, no. You did a lot better than me. Haha. - Wed Dec  2 06:37:39 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well, being a medic has it's good times. Can you stand on it now? It wasn't that serious, right? - Wed Dec  2 06:47:02 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Yeah, I'm good. - Wed Dec  2 06:49:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Sorry about that. - Wed Dec  2 06:53:00 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) stepped up, finally making himself active on the scene. Somewhat, at least. He'd find a position next to Yumiko and open his mouth, some words appearing to be made. However, the actual sound would be reasonably small, especially from such a distance for most people. If many details could be made about his face, it'd be a small measure of annoyance - his brow furrowed across his eyes.* - Wed Dec  2 06:53:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: I told you to hold back on the power - at least until aiming is easier.. - Wed Dec  2 06:53:52 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: I did. - Wed Dec  2 06:54:43 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) sighed, his expression returning to a state of indifference. There'd be a nod as he continued speaking.* - Wed Dec  2 06:56:25 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: ...I see. We'll need to work on your accuracy some more then. - Wed Dec  2 06:57:16 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: He doesn't look happy. - Wed Dec  2 06:58:59 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Uh...yeah... - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Jeez, they are acting weird. - Wed Dec  2 07:05:48 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) noticed the approaching Sekitsui, his eyes trailing down to the former cut. Seeing it gone he'd turn his head to Nori, nod his head, and return it back on the Inuzuka. 

"Almost dodged that one," he says, his tone seeming more than just a hint of artificially reasuring. Nigga was only six, he ain't got that lie game mastered yet.* - Wed Dec  2 07:10:56 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: What did I do? - Wed Dec  2 07:13:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Not every dodge happens..Besides, I'd rather not have both of you injured from a spar being lead like that. - Wed Dec  2 07:15:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Especially if Yumiko can't keep her power lower - her arrows are too powerful. - Wed Dec  2 07:15:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I mean...it wasn't that bad? Would she have actually hurt me badly if I took the full hit? - Wed Dec  2 07:16:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Probably. If you had managed to hit Tengoku in the mist, do you think he'd be hurt too? - Wed Dec  2 07:16:54 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: He'd be hurt but I was using a rotation that was slow enough only to cause his body to hurt. - Wed Dec  2 07:17:45 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: And I wouldn't have made him pass out. - Wed Dec  2 07:17:45 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I would have paused to let him admit defeat. - Wed Dec  2 07:18:36 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: You told her to hold back, she was holding back yeah? - Wed Dec  2 07:19:28 2015
