<br><font color=teal>*Thaenan(Chaos Commander2015) says: You're joking right? - Fri Nov  6 01:50:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Your laughing said otherwise. - Fri Nov  6 01:56:54 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Because it was 'ironic' after the effort he put in to take Kiri, he gives it to you. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Plus. I can't defend and lead a village if I can't protect myself. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And I refuse to be a figure head. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: .... why? - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Maybe you don't need to be physically strong to be kage and rebuild the village. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'd simply be a stand in for Ortho. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Even if you were, it would be helping him and Nina. Do you want that? - Fri Nov  6 01:59:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm unsure what I want anymore. - Fri Nov  6 02:00:19 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Well I think you should do it. - Fri Nov  6 02:01:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? And why is that? - Fri Nov  6 02:01:10 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Honestly... I don't think you belong out here. You belong in there... and you have a dream to be the kage, and I think if you have the opportunity now you should take it. If you don't, maybe the opportunity won't ever come along again. - Fri Nov  6 02:02:52 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: You will have help. - Fri Nov  6 02:06:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Again. - Fri Nov  6 02:06:17 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Kirigakure needs a leader, and you are the only one with the inspiration to rebuild it. - Fri Nov  6 02:07:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It'd make me but a figure head. - Fri Nov  6 02:07:08 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) turned around to face him, "and maybe inspiration is all that village needs. I'm asking you as someone from Kirigakure, do it for the people who live there....who aren't shinobi. Just like me, who are starving and injured because of the raider attacks that no one takes care of and allow to go on. They need leadership, even if that leadership is under prepared."* - Fri Nov  6 02:08:00 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) shook her head, "Ortho didn't kill the kage, and there have been other attacks on Kirigakure." She stepped forward and reached out to place a hand on his shoulder. "You think that it matters if you can be beat on your own, but that isn't what it means to be a kage. A kage bings a village together and makes them strong as a unit. You just show them the direction, with them beside you... you -are- strong." A tiny bit of energy went through her body as she stood there, and soon after she lowered her hand from his shoulder.* - Fri Nov  6 02:13:58 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) smiled lightly, "I'm giving you the point of view as a civilian of Kirigakure. Not a view you can have of your own as a shinobi, I bet you don't even remember being a civilian."* - Fri Nov  6 02:17:23 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Are you... human? - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Of course. - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Are you sure? - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just. . .different. - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Mn. - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: At least. - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I can say at one point I was. - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: So you aren't anymore? - Fri Nov  6 02:21:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. . . - Fri Nov  6 02:21:39 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I'm...not human either. - Fri Nov  6 02:25:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Fri Nov  6 02:25:04 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I never met anyone different...so ...I thought I could tell you. - Fri Nov  6 02:25:04 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Don't tell anyone though. - Fri Nov  6 02:25:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And. . .do tell. - Fri Nov  6 02:25:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: How aren't you human? - Fri Nov  6 02:25:55 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I'm uh.... - Fri Nov  6 02:25:55 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I can't die. - Fri Nov  6 02:25:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Fri Nov  6 02:25:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Technically. . .I can't exactly either. . .if I maintain. - Fri Nov  6 02:25:55 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) shook her head, "I don't eat, drink, sleep, anything. I was ... made."* - Fri Nov  6 02:26:46 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I told you why I told you.... because you are like me. Different. - Fri Nov  6 02:27:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Fri Nov  6 02:28:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Who made you? And what are you exactly then? - Fri Nov  6 02:28:28 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I can't tell you what I am.... - Fri Nov  6 02:29:20 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I .... I don't know. - Fri Nov  6 02:29:20 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I don't know what I am... or who made me. - Fri Nov  6 02:29:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Fri Nov  6 02:29:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I assume. - Fri Nov  6 02:30:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It's nature related. - Fri Nov  6 02:30:11 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: What? - Fri Nov  6 02:30:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. - Fri Nov  6 02:30:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You've been listening to plants haven't you? - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Oh... I guess... I thought that was just something I was good at and everyone else was bad. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Not exactly. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Normal people can't talk to plants. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: So will you take it? - Fri Nov  6 02:31:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Depends. - Fri Nov  6 02:32:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Are you going to be around as well? - Fri Nov  6 02:32:44 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Yes, I will be in Kiri a lot. - Fri Nov  6 02:32:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: If that's the case, then sure. - Fri Nov  6 02:33:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It'll be easier with someon I can trust around. - Fri Nov  6 02:33:36 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) smiled wide, "good. Do you want to go see if they are done? It's been a while."* - Fri Nov  6 02:33:36 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) nodded and started to walk back North.* - Fri Nov  6 02:35:18 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Well this is boring. - Fri Nov  6 02:42:59 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Aren't they done yet? - Fri Nov  6 02:43:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Before I change my mind. - Fri Nov  6 02:43:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright, Nina. - Fri Nov  6 02:45:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You did good, but it's time you and I just talked. - Fri Nov  6 02:45:32 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: ................ - Fri Nov  6 02:46:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Open your eyes. - Fri Nov  6 02:46:24 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: We were gone a long time. - Fri Nov  6 02:46:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And explain to me.. what you are feeling now.. - Fri Nov  6 02:46:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: How do you feel about Violet's death? - Fri Nov  6 02:48:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright. I'm going to need you to hold back on the whole 'defensive' attitude and be straight up with me. - Fri Nov  6 02:49:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Everything I ask you and tell you is for your own good. - Fri Nov  6 02:49:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Now, lets try this again. - Fri Nov  6 02:49:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: How do you feel about Violet's death? - Fri Nov  6 02:50:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Should we interupt? - Fri Nov  6 02:50:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Nah. - Fri Nov  6 02:50:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..You're making this shit pointless.. - Fri Nov  6 02:51:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You really are.. - Fri Nov  6 02:51:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Anyways. - Fri Nov  6 02:51:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Who are you going to exact revenge on? - Fri Nov  6 02:51:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I had you to take care of before we found a village to live in.. - Fri Nov  6 02:52:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I couldn't afford to have emotions. - Fri Nov  6 02:52:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Now, once again, it's just you and me. - Fri Nov  6 02:52:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: So again.. who are you planning to exact revenge on? - Fri Nov  6 02:53:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I see. Once you exact your revenge on me and who ever else, what then? - Fri Nov  6 02:54:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Doing what? - Fri Nov  6 02:54:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do you have an idea where? - Fri Nov  6 02:54:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're going to end up committing suicide. - Fri Nov  6 02:55:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're driven by revenge and don't know what you're going to do afterward. - Fri Nov  6 02:56:38 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm going to be honest with you.. fuck Violet. - Fri Nov  6 02:57:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Fuck her life, her motives and her death. - Fri Nov  6 02:57:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're breathing right..? - Fri Nov  6 02:58:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That's your letter. - Fri Nov  6 02:58:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're welcome. - Fri Nov  6 02:58:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You think you would've made it past Kumogakure without me..? - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You think -anyone- would've given you a chance? - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Hideki, Takeda and I made SURE you were good. - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Who the hell you think TOLD Violet and Lera to look after you? - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You little girl charm? - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Your* - Fri Nov  6 03:00:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Business turned affection, that's what happened between you and your 'moms'. - Fri Nov  6 03:00:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And you think that you protected me because of it? - Fri Nov  6 03:00:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You think that you're helping me by killing the people that I love? Is that it? - Fri Nov  6 03:00:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yet.. you're alive still. - Fri Nov  6 03:00:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yet.. You're alive. - Fri Nov  6 03:01:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I'm not living like I want to. - Fri Nov  6 03:01:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Fuck your wants. You're living like you -need- to. - Fri Nov  6 03:02:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're too damn innocent. - Fri Nov  6 03:02:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The only thing that needs to remain innocent about you is your virginity. Anything else, grow up. - Fri Nov  6 03:02:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..tch. - Fri Nov  6 03:03:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm not going anywhere for you so do not ask me for anything. - Fri Nov  6 03:04:19 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If you kill Lera, I kill you. - Fri Nov  6 03:04:19 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And then I'll see about suicide. - Fri Nov  6 03:04:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yeah, yeah. Maybe I'll have her send a messenger bird before her last breath. - Fri Nov  6 03:04:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Since a stupid messenger bird makes you happy. - Fri Nov  6 03:05:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Should we interupt now? - Fri Nov  6 03:06:01 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: No. - Fri Nov  6 03:06:52 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: Nina will leave. - Fri Nov  6 03:06:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: I'm a bit impatient. - Fri Nov  6 03:09:26 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: I really think we shouldn't interupt. - Fri Nov  6 03:09:26 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) nodded, "I convinced him."* - Fri Nov  6 03:10:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. - Fri Nov  6 03:10:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Let us go. - Fri Nov  6 03:11:08 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Ain't that about a bitch... - Fri Nov  6 03:14:33 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: What's she doing here? - Fri Nov  6 03:14:33 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ...You wouldn't have happened to have seen Chi around...have you? - Fri Nov  6 03:14:33 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Chikyu? - Fri Nov  6 03:15:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No. Now stand back.. - Fri Nov  6 03:15:24 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Guy in the middle looks familiar...and I know the one closest. - Fri Nov  6 03:15:24 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Huh? - Fri Nov  6 03:15:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Been a while since I've seen Mana. - Fri Nov  6 03:15:24 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Man...bridge... - Fri Nov  6 03:19:40 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Step back from bridge... - Fri Nov  6 03:19:40 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Man glaring intently at bridge... - Fri Nov  6 03:19:40 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Bridge go bye bye? - Fri Nov  6 03:19:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I really want to catch up with Mana. . .but I likely am going to have a lot of work. - Fri Nov  6 03:21:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You two.. - Fri Nov  6 03:22:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Stay here. - Fri Nov  6 03:22:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll be right back. - Fri Nov  6 03:23:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 03:23:05 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Two...? - Fri Nov  6 03:23:05 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: I'm so lost... - Fri Nov  6 03:23:05 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Where the fuck is Chi? - Fri Nov  6 03:23:05 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) looked at Ortho like she had no fucking clue who he was. "Uh..... okay?"* - Fri Nov  6 03:23:05 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: But seriously is it Chikyu you are looking for? - Fri Nov  6 03:23:56 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: No...it's my best friend; Chi. - Fri Nov  6 03:23:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .You finally made more friends? - Fri Nov  6 03:23:56 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Ouch. I always had her as a friend. - Fri Nov  6 03:25:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh. - Fri Nov  6 03:25:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It wasn't meant to hurt your feelings. - Fri Nov  6 03:25:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: The way you spoke to me made it seem no one else talked to you. - Fri Nov  6 03:25:39 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I'm so confused by life right now... - Fri Nov  6 03:25:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Hm? - Fri Nov  6 03:26:30 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Why are you here? I thought you went to Suna for refuge? - Fri Nov  6 03:26:30 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Came back for Chi. - Fri Nov  6 03:26:30 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Ended up running into your trio. - Fri Nov  6 03:27:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You should come back for good. . .soon. - Fri Nov  6 03:27:21 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Uh... I'm not with that other guy. - Fri Nov  6 03:27:21 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: He just sort of walked up between us while we were traveling. - Fri Nov  6 03:27:21 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: He's the one that killed the mizukage...along with Elon and Violet... - Fri Nov  6 03:28:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: How do you knwo he killed the Mizu> - Fri Nov  6 03:28:12 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: ...You are saying that's Ortho? He didn't kill the Mizukage from what I'm aware. - Fri Nov  6 03:28:12 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: It's what everyone said. - Fri Nov  6 03:28:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: There wasn't any proof, I was there. I looked everywhere. - Fri Nov  6 03:28:12 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Didn't see it with my own eyes; however, so it could be wrong. That's my bad. - Fri Nov  6 03:29:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: A random explosion killed her. - Fri Nov  6 03:29:04 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Oh. I guess rumors are already spreading. - Fri Nov  6 03:29:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: From what I can pick up. - Fri Nov  6 03:29:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It's -unkown- - Fri Nov  6 03:29:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Who did it. - Fri Nov  6 03:29:04 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I was there too. - Fri Nov  6 03:29:55 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: That's my error then. - Fri Nov  6 03:29:55 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Nobody saw...good...good. - Fri Nov  6 03:30:46 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) smiled faintly and walked over to the tree. Playing with some low growing branches that likely would break off in a week's time from weather, they weren't meant to grow this low after all but were so determined. Gently she pet over the leaves.* - Fri Nov  6 03:32:28 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: She seems...gentle. - Fri Nov  6 03:32:28 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: You think your friend is here? - Fri Nov  6 03:33:20 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I'unno... - Fri Nov  6 03:34:11 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Where else have you looked? - Fri Nov  6 03:35:02 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: She never arrived in Suna after we evacuated. That's why i've come, but I have reason to believe she may be tied with Ortho... - Fri Nov  6 03:35:53 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: He was just here and I let him pass. - Fri Nov  6 03:35:53 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Why do you think she is tied to him? Is she ...bad? - Fri Nov  6 03:36:44 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: If she's bad then i'm bad. - Fri Nov  6 03:37:36 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Are you then? - Fri Nov  6 03:37:36 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I don't think so. - Fri Nov  6 03:37:36 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) peered over to the redhead.* - Fri Nov  6 03:37:36 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I've never caused harm to anyone. - Fri Nov  6 03:37:36 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: So...you took Violet's body. - Fri Nov  6 03:41:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I did. - Fri Nov  6 03:41:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Why? - Fri Nov  6 03:41:00 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Any reason for that? - Fri Nov  6 03:41:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I gave it Nina. - Fri Nov  6 03:41:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Being, Violet was basically a mother to her. - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I figured she should be the one to bury her. - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Adopted mother. - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Who is Nina? - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Ortho's sister. - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I see... - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I know what you are thinking, it's alright though. She wants to kill Ortho. - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Regardless. - Fri Nov  6 03:42:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Why? - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Are people spreading rumors of me as well? - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I watched him kill my older cousin and Violet. - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I tried to stop him, but that attempt didn't work. - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I was simply no match. - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Hopefully none of them saw my attempt... - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: It was pitiful. - Fri Nov  6 03:44:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Next time, perhaps not jump onto a snake? - Fri Nov  6 03:44:25 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ... - Fri Nov  6 03:44:25 2015
