<br><font color=teal>*Index(Jjking217) whispers: Since you're free. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..Ehh, can't give you an answer. - Sun Nov  8 00:33:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Why not? - Sun Nov  8 00:33:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: He's a fill in Kage. If I was in his position, I would've believed it. If I was myself and the kage, I wouldn't. - Sun Nov  8 00:34:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Hm... - Sun Nov  8 00:34:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You don't mind if I buy myself a few bottles of sake, do you? - Sun Nov  8 00:34:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Uh...no. - Sun Nov  8 00:34:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: He's drinking more and more... - Sun Nov  8 00:34:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright. - Sun Nov  8 00:34:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Is...that a good idea? - Sun Nov  8 00:34:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...I meant is it a good idea for you to be drinking that much sake? - Sun Nov  8 00:41:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Oh.. - Sun Nov  8 00:41:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Don't have a answer. - Sun Nov  8 00:41:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Ortho..... - Sun Nov  8 00:41:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Something is wrong. - Sun Nov  8 00:41:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Do you....want me away from you for a while? - Sun Nov  8 00:42:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Why would I want that? - Sun Nov  8 00:42:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: You... look like me. - Sun Nov  8 00:42:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: The real me. - Sun Nov  8 00:42:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I.. don't see it. - Sun Nov  8 00:43:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...emotionally....rather the lack of emotion at all. - Sun Nov  8 00:43:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Wonder where everyone is.. - Sun Nov  8 00:44:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Lack of emotions..? - Sun Nov  8 00:44:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: That's how it seems for real? - Sun Nov  8 00:44:22 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ....you...yeah...it seems like nothing... you aren't even looking at me like you  normally do. - Sun Nov  8 00:45:13 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sun Nov  8 00:57:10 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) looked South and remained silent, she didn't prefer him lying to her.* - Sun Nov  8 00:57:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes? - Sun Nov  8 01:00:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I.. - Sun Nov  8 01:01:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm.. going to be honest with you.. - Sun Nov  8 01:01:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're.. aware that you're free to do as you please, right? - Sun Nov  8 01:02:17 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Sun Nov  8 01:02:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And you're aware.. that any point.. you wish to walk a different path.. You're free to, right? - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ......yes. - Sun Nov  8 01:03:08 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) stared out still to the South, "I do not stay at your side out of gilt, I doubt I can feel guilt."* - Sun Nov  8 01:15:05 2015
<br><br><font color=teal>*Ziare(Meekee) says: Huh? - Sun Nov  8 01:17:39 2015
<br><br><font color=teal>*Ziare(Meekee) says: Oh hey there. - Sun Nov  8 01:18:30 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) felt her wrist grabbed but also heard Ziare approaching. "You really should keep your hands to yourself, mister." Jerking her arm away if he allowed her to break free, she wasn't exactly strong.* - Sun Nov  8 01:19:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm, you know my name? - Sun Nov  8 01:21:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: We've met be- - Sun Nov  8 01:21:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Forget it.. - Sun Nov  8 01:21:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: My bad. - Sun Nov  8 01:21:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It was a lucky guess. - Sun Nov  8 01:21:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right, it must be a common name. - Sun Nov  8 01:21:55 2015
<br><br><font color=teal>*Ziare(Meekee) says: What's your name? - Sun Nov  8 01:21:55 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm Owari. - Sun Nov  8 01:21:55 2015
<br><br><font color=teal>*Ziare(Meekee) says: Nice to meet you. - Sun Nov  8 01:24:28 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: How have things been, Ziare? - Sun Nov  8 01:25:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Same ol.. - Sun Nov  8 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: I've just been around. - Sun Nov  8 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: I had to break up a fight earlier today. - Sun Nov  8 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's about it/ - Sun Nov  8 01:26:11 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I haven't seen the Hokage in a long time, where is he? - Sun Nov  8 01:27:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: No idea. - Sun Nov  8 01:27:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: He comes and goes - Sun Nov  8 01:27:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: He really needs an assistant. - Sun Nov  8 01:27:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Or someone to help him out. - Sun Nov  8 01:27:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn.... - Sun Nov  8 01:29:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Sun Nov  8 01:37:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Oh nothing, I was just curious. - Sun Nov  8 01:37:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Tell me, Ziare. Has Konohagakure made any advancements recently? - Sun Nov  8 01:38:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not that I know of. - Sun Nov  8 01:38:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I see. - Sun Nov  8 01:41:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well, if you may so excuse us. - Sun Nov  8 01:42:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah sorry about the intrusion. - Sun Nov  8 01:42:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No apology needed. - Sun Nov  8 01:42:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Sun Nov  8 01:43:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Or that.. - Sun Nov  8 01:43:15 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What had you been saying? - Sun Nov  8 01:44:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .. - Sun Nov  8 01:46:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was saying.. - Sun Nov  8 01:46:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Guilt riddles me.. since you took the fall for me.. - Sun Nov  8 01:46:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Or.. in the efforts to stop the battle between Index and I. - Sun Nov  8 01:47:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Honestly.... that's fuckin' stupid. - Sun Nov  8 01:47:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You shouldn't feel guilty for -me- of all things. - Sun Nov  8 01:47:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You know if I hadn't done that you would be dead. - Sun Nov  8 01:48:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I feel guilt for someone I care about. - Sun Nov  8 01:48:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I rather feel my soul leave my body then to see you in that state again. - Sun Nov  8 01:48:22 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But you are guilty about something I did out of my free will and wanted to do to keep you living. - Sun Nov  8 01:48:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: A vow is a vow, no matter if the person the vow is made for denies it. - Sun Nov  8 01:50:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...a vow? What vow? - Sun Nov  8 01:50:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The vow that as you walk this path with me, your 'life' will not be compromised. - Sun Nov  8 01:50:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....How long is it going to take you to realize? - Sun Nov  8 01:50:56 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) looked seriously at him, "The  only threat to me is the Gezo...." pausing and then wobbling her head back and forth, "well... and really smart scientists... or doctors."* - Sun Nov  8 01:53:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...maybe Sanoke too. - Sun Nov  8 01:53:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: If that will make you cease this blank persona of your's, it's rather boring. I honestly don't know what you all find so interesting about me. - Sun Nov  8 01:57:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You'll figure that last part out soon. - Sun Nov  8 02:00:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Here.. seems fine, no? - Sun Nov  8 02:02:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Where are we? - Sun Nov  8 02:03:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: East of Konoha. - Sun Nov  8 02:04:35 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm.. - Sun Nov  8 02:04:35 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded and started to walk towards the bed of water. She was undoing the buttons high up on the neck of her dress in the front. Diagonally going down following the buttons until much of her cleavage was showing and then she slipped it over her shoulders and let the cotton dress fall to the grass below her feet. Slipping out of the slippers at the same time she left them under the dress and stepped forward as she continued walking and began to pull off her panties and bra, leaving them scattered on the way to the river.* - Sun Nov  8 02:06:17 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) looked up and down his body shamelessly as he stepped up beside her. Stepping into the water and turning once the water was up to her belly button with her breasts fully exposed and looking more human than he had ever seen her before with color about her aerola and nipples, not to mention her sex when she was walking into the river. "You are going to end up killing yourself drinking that stuff so often. Will you show me how to swim?"* - Sun Nov  8 02:33:36 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked a few times as he was pulling her in towards him. Her hands brought up to his shoulders as she stared up at him from her tiny weak frame. She really did feel quite a long weaker in this body form after all. "What about your hopes...dreams...goals?" Her tone was lowering into a hush for them to speak in a more cozy conversation.* - Sun Nov  8 02:46:24 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) closed her eyes gently and smiled faintly, "that sounded what humans call romantic... but do you really believe it?"* - Sun Nov  8 02:54:04 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked a few more times as he kissed down her neck, she knew this was working endorphines throughout his whole system but she felt nothing but the pressure of his lips and the wet warmth of his saliva cooling on her 'flesh'. "I can tell you are enjoying yourself, but what you say... does that mean you are ceasing everything you have worked for? You killed so many people for this cause but you are ready to give it up for a woman who isn't even human...who can't -feel-."* - Sun Nov  8 03:01:45 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) sighed gently at his mention of her meager emotions in the time of conflict, "yes...but that's not -physically- feeling. I feel no pleasure, no pain...."* - Sun Nov  8 03:12:51 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) folded her brow faintly as he stared at her so intently, ".... not in the sense  a human would...does that ruin it for you? I have it go on because I know you enjoy my form, and I.... like when you are pleased so I want it to happen."* - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Why should I? - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Resist that is. - Sun Nov  8 03:32:28 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) wrapped her arms around the back of his neck and locked them together with fingers interlocking. She braced her thighs around his hips and crossed her ankles as she held onto him wondering what he was about to do, this was a position that hadn't been in the plastic book after all. "If I say why should I resist, is that not an answer enough that I will let you? I'm yours, at least from what I assumed I was yours, with how you act around me. Unless you do not follow the common human tradition of one male and one female."* - Sun Nov  8 03:40:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: That feels strange, he's inside of me. - Sun Nov  8 03:44:25 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) squirmed for a moment in trying to get used to something foreign, and living, being inside of her. It felt rather strange needless to say, after all this was the first time for her to experience anything but a weapon piercing her. She peered across at him and her eyes shown how she was curious but estranged to what was going on. * - Sun Nov  8 03:46:08 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) watched him carefully in silence, seeing the pleasure this brought him. Such a simple human action and yet he already looked ten times better than he was in Konoha or on the Kirigakure cliffside. He looked... refreshed.* - Sun Nov  8 03:51:15 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) kissed him back trying to learn from what he was doing, she squirmed in his arms, helplessly unable to control her movement due to the thrusting. Each time she felt the pressure inside of her it made her body want to morph but she forced it to hold form against him. Honestly this was time spent that she could ask him questions or him her, but she knew this was going to give him some relief and hopefully more focus on his goal. * - Sun Nov  8 04:06:36 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) imitated a gasp for air as they broke the kiss and closed her eyes leaning back as he kissed down her neck. Making everything easy for him to access to do with as he pleased. As his words sounded she peeked through her lashes to him and spoke in a hushed tone, "yes?"* - Sun Nov  8 04:15:08 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) widened her eyes as his length was removed from her. Gasping again and making a short sound that sounded like a whine as he turned her around. She was surprised how much the pressure of being pushed into could affect her. As she pressed her hands against her lower thighs over her knee's to support her upper body weight and heard his words it made her smile and for a second she felt a flicker of happiness that he was finally feeling accomplished in something.* - Sun Nov  8 04:38:11 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: repost - Sun Nov  8 04:50:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: I don't understand....how is he able to feel so deeply for me? A science creation... - Sun Nov  8 04:51:50 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) exhaled out and peered over her shoulder to him as he gripped her chest. She didn't dare question him now, she didn't want to ruin his moment. She would wait until after, allowing him to sate his passions in whatever way he needed so that she could rest easy knowing he wasn't conflicted.* - Sun Nov  8 04:56:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: That sound he made... - Sun Nov  8 05:10:36 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) widened her eyes as she peered up at him from over her shoulder. Watching him through the entire climax and feeling the burst of fluids inside of her. She swallowed hard while in thought of what she had just given him but at the same time it wasn't any different than them walking to another village, sitting in a tea shop, or him teaching her... it was just another activity to her that he enjoyed.* - Sun Nov  8 05:12:19 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was wraped around him with her legs and arms as he rest against the bank. She shifted to lay atop him and glance down to his awe filled face. "In reference to what?"* - Sun Nov  8 05:30:14 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) 's eyes opened wider and she said nothing, she did nothing but lower her head down onto his chest.* - Sun Nov  8 05:32:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: What is it? - Sun Nov  8 05:45:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: When I fall victim to fate.. just let everyone know.. I wasn't a complete asshole, ahah. - Sun Nov  8 05:48:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I will... I'll do that for you. - Sun Nov  8 05:49:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: And... I don't know what I will do when you die.... I will just have to see. - Sun Nov  8 05:50:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Good, good.. - Sun Nov  8 05:53:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Ya'know.. There's some truth in what Index says about me.. - Sun Nov  8 05:53:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: As much as I hate to admit it.. - Sun Nov  8 05:53:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: What is that? - Sun Nov  8 05:53:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: The thing about the Gezo..? - Sun Nov  8 05:53:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: It started off with me planning to go to war with him.. - Sun Nov  8 05:54:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: With him at my side.. - Sun Nov  8 05:54:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Brothers against the world.. - Sun Nov  8 05:54:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Doing what our sensei thought was best for us.. for the shinobi world.. - Sun Nov  8 05:54:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I don't think he ever thought of it that way... - Sun Nov  8 05:54:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Once upon a time.. he did. - Sun Nov  8 05:54:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He told me your sensei...and his sensei before him commited suicide. - Sun Nov  8 05:54:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Yes, that is true.. - Sun Nov  8 05:55:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Everything.. changed around that time.. - Sun Nov  8 05:55:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: We drifted apart.. - Sun Nov  8 05:55:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: We both knew it, but failed to acknowledge it.. Tension was high and egoes were thick. - Sun Nov  8 05:56:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: In turn, I decided to continue on Hideki's path, but from a different point of view. - Sun Nov  8 05:56:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: That.. is where my political standing came into play. - Sun Nov  8 05:56:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Maybe.. - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Did you? - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Honestly..? I don't think so. - Sun Nov  8 05:59:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I.. never thought, and still don't.. think of it as betraying him or Hideki.. - Sun Nov  8 05:59:15 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: What did you do? - Sun Nov  8 06:00:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: There.. - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: There was a conflict between Katsune and.. Marrisa. - Sun Nov  8 06:04:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Apparently Marrisa caught word of Katsune killing someone and because Marrisa knew, Katsune tried to silence her. - Sun Nov  8 06:05:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: With force.. - Sun Nov  8 06:05:13 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ......seriously? - Sun Nov  8 06:05:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I happened to come up on the verbal conflict.. - Sun Nov  8 06:05:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Yes.. - Sun Nov  8 06:05:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: When I walked in, Index was verbally attacking Marrisa with Index.. - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I stepped in and eased the conflict down. - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ....if it's verbal....no harm done. - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: So I thought. - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: At a later date Index came to me and assured me that there was no problems between he and I.. - Sun Nov  8 06:06:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: And that he was planning to do anything means necessary for Katsune.. - Sun Nov  8 06:06:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I cut him off and told him whatever beef Marrisa and Katsune have, leave it between them. - Sun Nov  8 06:07:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Him and I should not get involved.. for it'll be a decision between brothers and their spouses. - Sun Nov  8 06:07:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: From then.. when I didn't choose to take his side, but remain neutral.. - Sun Nov  8 06:07:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Things changed.. - Sun Nov  8 06:08:38 2015
