<br><font color=teal>*Index(Jjking217) whispers: But maybe  I should. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm...I'm sorry Ume.. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Index(Jjking217) says: If I answer that. - Sat Nov  7 13:30:14 2015
<br><br><font color=teal>*Index(Jjking217) says: Swear on your life. - Sat Nov  7 13:30:14 2015
<br><br><font color=teal>*Index(Jjking217) says: You won't repeat this. - Sat Nov  7 13:30:14 2015
<br><br><font color=teal>*Index(Jjking217) says: Not to Ortho. - Sat Nov  7 13:30:14 2015
<br><br><font color=teal>*Index(Jjking217) says: Not to anyone. - Sat Nov  7 13:30:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...you have my word, I haven't shared your other secret. - Sat Nov  7 13:30:14 2015
<br><br><font color=teal>*Index(Jjking217) says: I am... - Sat Nov  7 13:30:14 2015
<br><br><font color=teal>*Index(Jjking217) says: Isealean. - Sat Nov  7 13:31:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...what? - Sat Nov  7 13:31:05 2015
<br><br><font color=teal>*Index(Jjking217) says: Humans.....That's a name...The Gezo gave us....We're cattle. - Sat Nov  7 13:31:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Our true name, Is Iselean. - Sat Nov  7 13:31:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What the fuck is an Iseal...-...thing...--- - Sat Nov  7 13:31:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....So....you are human... - Sat Nov  7 13:31:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Does that change anything? - Sat Nov  7 13:32:48 2015
<br><br><font color=teal>*Index(Jjking217) says: If I am Human or not, Does that effect your decision? - Sat Nov  7 13:33:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Why would you refer to yourself as a name that calls you cattle? - Sat Nov  7 13:33:39 2015
<br><br><font color=teal>*Index(Jjking217) says: The other name... - Sat Nov  7 13:33:39 2015
<br><br><font color=teal>*Index(Jjking217) says: If you're caught saying it. - Sat Nov  7 13:33:39 2015
<br><br><font color=teal>*Index(Jjking217) says: Telling anyone. - Sat Nov  7 13:33:39 2015
<br><br><font color=teal>*Index(Jjking217) says: Your loved ones. - Sat Nov  7 13:33:39 2015
<br><br><font color=teal>*Index(Jjking217) says: Your friends. - Sat Nov  7 13:34:30 2015
<br><br><font color=teal>*Index(Jjking217) says: Your 'aquantinces'  - Sat Nov  7 13:34:30 2015
<br><br><font color=teal>*Index(Jjking217) says: Will be wiped off this planet. - Sat Nov  7 13:34:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....w-what? - Sat Nov  7 13:34:30 2015
<br><br><font color=teal>*Index(Jjking217) says: It's part of a Dark History which has been wiped away. - Sat Nov  7 13:34:30 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) lowered down the blade and sat it on the table. "I was never going to kill you, or even harm you, I just wanted my question answered effectively." She sat her hand in her lap then. "I'm not human, you had asked before but I wasn't ready to tell you. The fact you deducted it so quickly worried me."* - Sat Nov  7 13:37:55 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) glanced at him, "do you not find it ironic you asked a woman you killed if she trusts you?"* - Sat Nov  7 13:43:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn.... to be fair, at least you didn't have to sit over my body...carry it for miles...then when you are about to bury me I wake up. - Sat Nov  7 13:46:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And...he knew I couldn't die... but after I didn't get up right afterwards, he thought I was really dead. - Sat Nov  7 13:47:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He told me never to do that.... - Sat Nov  7 13:47:18 2015
<br><br><font color=teal>*Index(Jjking217) says: ...He knew? - Sat Nov  7 13:47:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yeah, I made him kill me. - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Index(Jjking217) says: .... - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Index(Jjking217) says: That was an act he put on then? - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No...he thought what you did was enough to kill me. - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: When I didn't get up a few seconds or even minutes after it happened. - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You ... sort of took a lot of my body away. - Sat Nov  7 13:49:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It took hours to regenerate. - Sat Nov  7 13:49:00 2015
<br><br><font color=teal>*Index(Jjking217) says: And....You...You've healed fully? - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Index(Jjking217) says: That's....Amazing.. - Sat Nov  7 13:50:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...not really.... - Sat Nov  7 13:51:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: At least not to me. - Sat Nov  7 13:51:34 2015
<br><br><font color=teal>*Index(Jjking217) says: You're unique. - Sat Nov  7 13:51:34 2015
<br><br><font color=teal>*Index(Jjking217) says: It's definately amazing to me. - Sat Nov  7 13:52:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And I wasn't henged... I made it look like I was. - Sat Nov  7 13:52:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can change everything about myself. - Sat Nov  7 13:53:16 2015
<br><br><font color=teal>*Index(Jjking217) says: You're pretty amazing, But did you want to know..How I deduced...The differences then? - Sat Nov  7 13:53:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...differences? - Sat Nov  7 13:53:16 2015
<br><br><font color=teal>*Index(Jjking217) says: You said you were worried when I deduced you weren't like everyone else. - Sat Nov  7 13:53:16 2015
<br><br><font color=teal>*Index(Jjking217) says: If you want my help, I can help you improve your disguise if possible..? - Sat Nov  7 13:54:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....yeah, you figured it out off a whim of me just saying I was younger than I looked. - Sat Nov  7 13:54:08 2015
<br><br><font color=teal>*Index(Jjking217) says: There was actually a bit more to it. - Sat Nov  7 13:54:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...improve? How could you improve the fact I have everything different about myself up to my chakra signature? - Sat Nov  7 13:54:59 2015
<br><br><font color=teal>*Index(Jjking217) says: It's a chance but. - Sat Nov  7 13:54:59 2015
<br><br><font color=teal>*Index(Jjking217) says: N...Nevermind. - Sat Nov  7 13:54:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...what is it? - Sat Nov  7 13:55:50 2015
<br><br><font color=teal>*Index(Jjking217) says: If you don't mind me asking... - Sat Nov  7 13:57:32 2015
<br><br><font color=teal>*Index(Jjking217) says: How much are you able to control..? - Sat Nov  7 13:57:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Control? - Sat Nov  7 13:58:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Be more specific. - Sat Nov  7 13:58:24 2015
<br><br><font color=teal>*Index(Jjking217) says: Your body. - Sat Nov  7 13:58:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I am entirely in control of every cell. - Sat Nov  7 13:59:15 2015
<br><br><font color=teal>*Index(Jjking217) says: Your appearance...Your structure. - Sat Nov  7 13:59:15 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Every part of me. - Sat Nov  7 13:59:15 2015
<br><br><font color=teal>*Index(Jjking217) says: I was wondering...You're a bit shorter now aren't you? - Sat Nov  7 14:00:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes... several inches. - Sat Nov  7 14:00:57 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you able....To control cells placed into yo - Sat Nov  7 14:00:57 2015
<br><br><font color=teal>*Index(Jjking217) says: you* - Sat Nov  7 14:00:57 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Huh? - Sat Nov  7 14:00:57 2015
<br><br><font color=teal>*Index(Jjking217) says: Have you ever tried? - Sat Nov  7 14:01:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Having cells implimented into your body? - Sat Nov  7 14:01:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I...don't think that would be a good idea. - Sat Nov  7 14:01:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Huh? - Sat Nov  7 14:01:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...all that blood you saw...was fake. - Sat Nov  7 14:02:40 2015
<br><br><font color=teal>*Index(Jjking217) says: Fake...? - Sat Nov  7 14:02:40 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you not bleed? - Sat Nov  7 14:02:40 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) took up the kunai and sliced open her palm. Bright white shown, but it did not flow as a liquid, soon after it closed again.* - Sat Nov  7 14:03:31 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded and let him guide her hand.* - Sat Nov  7 14:06:56 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) did not react at all, she had no nerves to react, she only felt pressure. Her skin though, was likely the softest thing he had ever felt... it was surreal.* - Sat Nov  7 14:10:20 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) watched in silence and not being bothered by what he was doing at all. "No, I smell like nothing. I am forcing myself to have a scent with perfumes... humans don't have -no scent-."* - Sat Nov  7 14:17:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You aren't pestering me, it's alright. As for my sleep, I never sleep, it's not necessary...when I was regenerating...yes, I was very drained. - Sat Nov  7 14:23:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: All my body can focus on is producing cells. - Sat Nov  7 14:23:08 2015
<br><br><font color=teal>*Index(Jjking217) says: To restructure yourself... - Sat Nov  7 14:23:08 2015
<br><br><font color=teal>*Index(Jjking217) says: How long did it take? - Sat Nov  7 14:23:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...like I said, hours. - Sat Nov  7 14:23:08 2015
<br><br><font color=teal>*Index(Jjking217) says: I mean...Not to regenerate. - Sat Nov  7 14:24:00 2015
<br><br><font color=teal>*Index(Jjking217) says: But to change your appearance. - Sat Nov  7 14:24:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...less than a minute. - Sat Nov  7 14:24:00 2015
<br><br><font color=teal>*Index(Jjking217) says: Wow. - Sat Nov  7 14:24:00 2015
<br><br><font color=teal>*Index(Jjking217) says: You told me before...You were a lot younger than you looked. - Sat Nov  7 14:24:51 2015
<br><br><font color=teal>*Index(Jjking217) says: When I asked how old you said you weren't sure. - Sat Nov  7 14:24:51 2015
<br><br><font color=teal>*Index(Jjking217) says: But what is your earliest memory? - Sat Nov  7 14:24:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I'm...two years old... - Sat Nov  7 14:24:51 2015
<br><br><font color=teal>*Index(Jjking217) says: Only two years...? - Sat Nov  7 14:24:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I was made. - Sat Nov  7 14:24:51 2015
<br><br><font color=teal>*Index(Jjking217) says: Made? - Sat Nov  7 14:25:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't know...I just was...made. - Sat Nov  7 14:25:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Something happened and ...they left me. I was unfinished, untrained. - Sat Nov  7 14:26:33 2015
<br><br><font color=teal>*Index(Jjking217) says: 'They'....? You look...Pretty 'finished' to me. - Sat Nov  7 14:26:33 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm untrained...I'm not a weapon. - Sat Nov  7 14:26:33 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you -want- to be a weapon? - Sat Nov  7 14:27:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...not for them... - Sat Nov  7 14:27:24 2015
<br><br><font color=teal>*Index(Jjking217) says: Then for who?  - Sat Nov  7 14:27:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: They aren't human either.... - Sat Nov  7 14:27:24 2015
<br><br><font color=teal>*Index(Jjking217) says: Yourself? - Sat Nov  7 14:27:24 2015
<br><br><font color=teal>*Index(Jjking217) says: ...Who are they? - Sat Nov  7 14:27:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Gezo. - Sat Nov  7 14:27:24 2015
<br><br><font color=teal>*Index(Jjking217) says: .... - Sat Nov  7 14:28:16 2015
<br><br><font color=teal>*Index(Jjking217) says: The Gezo...created you? - Sat Nov  7 14:28:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I...think so. - Sat Nov  7 14:28:16 2015
<br><br><font color=teal>*Index(Jjking217) says: I see. - Sat Nov  7 14:29:07 2015
<br><br><font color=teal>*Index(Jjking217) says: You said you're able to change your chakra Signature. - Sat Nov  7 14:29:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't really know what I am... - Sat Nov  7 14:29:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yeah... - Sat Nov  7 14:29:58 2015
<br><br><font color=teal>*Index(Jjking217) says: You are unique Ume....Owari. - Sat Nov  7 14:29:58 2015
<br><br><font color=teal>*Index(Jjking217) says: You are something new. - Sat Nov  7 14:29:58 2015
<br><br><font color=teal>*Index(Jjking217) says: You are the embodiment of  'change'. - Sat Nov  7 14:29:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I shouldn't exist... - Sat Nov  7 14:30:49 2015
<br><br><font color=teal>*Index(Jjking217) says: You should. - Sat Nov  7 14:30:49 2015
<br><br><font color=teal>*Index(Jjking217) says: You weren't created. - Sat Nov  7 14:30:49 2015
<br><br><font color=teal>*Index(Jjking217) says: You were born of a 'need'. - Sat Nov  7 14:30:49 2015
<br><br><font color=teal>*Index(Jjking217) says: You're this world's child. - Sat Nov  7 14:30:49 2015
<br><br><font color=teal>*Index(Jjking217) says: Never say you shouldn't exist, Owari. - Sat Nov  7 14:31:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....it's 'flower'.... - Sat Nov  7 14:31:40 2015
<br><br><font color=teal>*Index(Jjking217) says: I guess you could say that. - Sat Nov  7 14:31:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: That's what Ortho calls me. - Sat Nov  7 14:31:40 2015
<br><br><font color=teal>*Index(Jjking217) whispers: --He calls you his flower? - Sat Nov  7 14:31:40 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) shrugged, "Yeah, but I keep telling him I'm not a flower I'm a tree. That's why I made him kill me. To show him."* - Sat Nov  7 14:32:32 2015
<br><br><font color=teal>*Index(Jjking217) says: Man, that guy is really hopeless at times. - Sat Nov  7 14:33:23 2015
<br><br><font color=teal>*Index(Jjking217) says: I've been meaning to ask.. - Sat Nov  7 14:33:23 2015
<br><br><font color=teal>*Index(Jjking217) says: If you maintain a single form for a long period of time, Will you age? - Sat Nov  7 14:33:23 2015
<br><br><font color=teal>*Index(Jjking217) says: And grow? - Sat Nov  7 14:33:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I will never age. - Sat Nov  7 14:34:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I will just...*shrug* regenerate. - Sat Nov  7 14:34:14 2015
<br><br><font color=teal>*Index(Jjking217) says: So your cells maintain a constant 'youth'. - Sat Nov  7 14:34:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And I pick an age that it's proper to stop growing in height. - Sat Nov  7 14:34:14 2015
<br><br><font color=teal>*Index(Jjking217) says: This is an odd question---You'll probably be annoyed. - Sat Nov  7 14:35:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I mean of course they die...but they are replaced so quickly it's like they never left. - Sat Nov  7 14:35:05 2015
<br><br><font color=teal>*Index(Jjking217) says: Well...A series of odd questions. - Sat Nov  7 14:35:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Go ahead... - Sat Nov  7 14:35:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you produce Saliva? You don't produce waste due to not eating do you?  Do you -need- oxygen to survive?  Is it possible for you to get sick? - Sat Nov  7 14:36:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: None of those, but... I'm unsure about the ill part... I don't know if I can or not. - Sat Nov  7 14:37:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: if you havent had issues with it... i honestly wouldn't waste my time on that - Sat Nov  7 14:38:30 2015
<br><br><font color=teal>*Index(Jjking217) says: I see. - Sat Nov  7 14:39:21 2015
<br><br><font color=teal>*Index(Jjking217) says: Could you tell me about this persona? - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: My persona doesn't become me, I'm faking it. - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's pretend. - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I know. - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I am very good at mimicking behavior. - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can become you. - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Index(Jjking217) says: But I'm curious as to how far you've thought into this persona?--- - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Really? - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: There are several people I'm capable of becoming. - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Index(Jjking217) says: 'Several'? - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can become you, Ortho, Sanoke, Chikyu, Thaenan, and Nina. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: That ability must have limitations then? - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: I would've thought. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: You could mimic Lera. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: You did see her. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: But those people are those who've touched you right? - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Sanoke touched your cheek. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I have not touched Lera. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Chikyu Hugged you? - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Index(Jjking217) says: If you copy someone, do you gain their abilities? - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Not yet. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm.. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But I attain their chakra signature. - Sat Nov  7 14:43:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you able to simultaneously, copy two peopl--- - Sat Nov  7 14:43:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Wow. - Sat Nov  7 14:43:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Do you mean be two people at the same time? - Sat Nov  7 14:44:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah. - Sat Nov  7 14:45:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't think so...but how would that even work? - Sat Nov  7 14:46:11 2015
<br><br><font color=teal>*Index(Jjking217) says: No clue. - Sat Nov  7 14:47:02 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe like half your body? - Sat Nov  7 14:47:02 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Sat Nov  7 14:47:02 2015
<br><br><font color=teal>*Index(Jjking217) says: Wait... - Sat Nov  7 14:47:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Why would I do that? - Sat Nov  7 14:47:02 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't know... - Sat Nov  7 14:47:02 2015
<br><br><font color=teal>*Index(Jjking217) says: But if you can... - Sat Nov  7 14:47:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That would look silly. - Sat Nov  7 14:47:02 2015
<br><br><font color=teal>*Index(Jjking217) says: Copy someone... - Sat Nov  7 14:47:02 2015
