<br><font color=teal>*Index(Jjking217) whispers: I'll explain everything when it's time. - Sun Nov  8 14:08:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ngn...scientists... - Sun Nov  8 14:16:44 2015
<br><br><font color=teal>*Index(Jjking217) says: This could be... - Sun Nov  8 14:16:44 2015
<br><br><font color=teal>*Index(Jjking217) says:  Your only way to get answers. - Sun Nov  8 14:17:36 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) looked over to Ortho.* - Sun Nov  8 14:17:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But I don't think it's possible... - Sun Nov  8 14:17:36 2015
<br><br><font color=teal>*Index(Jjking217) says: If I knew any other way, I wouldn't have reccomended this... - Sun Nov  8 14:18:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't have a brain... - Sun Nov  8 14:18:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm... - Sun Nov  8 14:18:27 2015
<br><br><font color=teal>*Index(Jjking217) says: We can try. - Sun Nov  8 14:18:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm just one big solid mass... - Sun Nov  8 14:18:27 2015
<br><br><font color=teal>*Index(Jjking217) says: Even if we fail, we've tried. - Sun Nov  8 14:18:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ortho... - Sun Nov  8 14:18:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yo'? - Sun Nov  8 14:19:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...a-are you listening? - Sun Nov  8 14:19:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yeah. - Sun Nov  8 14:19:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Your thoughts? - Sun Nov  8 14:20:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The guy has a point. At least you tried. - Sun Nov  8 14:20:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Same thing I said, he just said it better. - Sun Nov  8 14:21:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...so .. you think I should do it? - Sun Nov  8 14:21:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Even with all the risks? - Sun Nov  8 14:21:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, I don't think you should run up to the Gezo.. I do think that you should do as much as you can to meet that goal. - Sun Nov  8 14:21:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The Gezo, and everyone affiliated with them, are scum. - Sun Nov  8 14:21:52 2015
<br><br><font color=teal>*Index(Jjking217) says: That definately hurts. - Sun Nov  8 14:22:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: --- - Sun Nov  8 14:22:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Anyways. - Sun Nov  8 14:22:43 2015
<br><br><font color=teal>*Index(Jjking217) says: It's a slim chance. - Sun Nov  8 14:22:43 2015
<br><br><font color=teal>*Index(Jjking217) says: But if you win one of their 'death tournaments', You could wish for her freedom as well. - Sun Nov  8 14:23:34 2015
<br><br><font color=teal>*Index(Jjking217) says: Or attempt to. - Sun Nov  8 14:23:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Too bad we live in a world of thickness. - Sun Nov  8 14:23:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No it's not a slim chance..there's a chance of me being reported, of a scientist kidnapping me for his own, of death fromm experiments going wrong, or even the scientists doing things that anyof us three ordain. - Sun Nov  8 14:23:34 2015
<br><br><font color=teal>*Index(Jjking217) says: Owari. - Sun Nov  8 14:24:25 2015
<br><br><font color=teal>*Index(Jjking217) says: If you don't want to. - Sun Nov  8 14:24:25 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll drop the subject. - Sun Nov  8 14:24:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm...just looking at all the sides. - Sun Nov  8 14:24:25 2015
<br><br><font color=teal>*Index(Jjking217) says: If it makes you feel better. - Sun Nov  8 14:25:16 2015
<br><br><font color=teal>*Index(Jjking217) says: I keep them on a secure island with only one exit, which is heavily guarded. They're watched around the clock, and any mail or messages are moderated by yours truly. - Sun Nov  8 14:26:08 2015
<br><br><font color=teal>*Index(Jjking217) says: They have no way of meeting you directly. - Sun Nov  8 14:26:08 2015
<br><br><font color=teal>*Index(Jjking217) says: Or reporting you. - Sun Nov  8 14:26:08 2015
<br><br><font color=teal>*Index(Jjking217) thinks: And I plan on killing them all after they serve their purpose. - Sun Nov  8 14:26:59 2015
<br><br><font color=teal>*Index(Jjking217) says: It's your life though. - Sun Nov  8 14:26:59 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm only suggesting this as a friend. - Sun Nov  8 14:27:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What was that shaking of your head? - Sun Nov  8 14:28:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Maybe it's just my point of view, but if I know something is a 'slim' chance for a 'friend', I don't make that 'friend' have it as an option. - Sun Nov  8 14:30:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But hey.. I could be wrong. - Sun Nov  8 14:30:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: So you think I shouldn't do it? - Sun Nov  8 14:32:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The Gezo? Nah, a different way, yeah. - Sun Nov  8 14:33:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...well like he said, they aren't Gezo...right? - Sun Nov  8 14:36:22 2015
<br><br><font color=teal>*Index(Jjking217) says: The Gezo has been keeping a monopoly on scientists, They aren't -in- the Gezo, And I'm keeping them from sending messages to the outside world. - Sun Nov  8 14:38:04 2015
<br><br><font color=teal>*Index(Jjking217) says: It's fine though. - Sun Nov  8 14:38:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...S-see? - Sun Nov  8 14:38:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...could they.... - Sun Nov  8 14:38:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Could they find out what I am? - Sun Nov  8 14:38:56 2015
<br><br><font color=teal>*Index(Jjking217) says: I believe they could. - Sun Nov  8 14:39:47 2015
<br><br><font color=teal>*Index(Jjking217) says: It may be a few months, or even a year or two, But it's possible. - Sun Nov  8 14:39:47 2015
<br><br><font color=teal>*Index(Jjking217) says: I believe in them. - Sun Nov  8 14:40:38 2015
<br><br><font color=teal>*Index(Jjking217) says: They're the smartest people I know. - Sun Nov  8 14:40:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd put my life in their hands. - Sun Nov  8 14:40:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: O-ortho...can you please...give more input? - Sun Nov  8 14:41:29 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) sighed out heavily, "I'll do it...."* - Sun Nov  8 14:44:03 2015
<br><br><font color=teal>*Index(Jjking217) says: Alright.... - Sun Nov  8 14:44:03 2015
<br><br><font color=teal>*Index(Jjking217) says: If at any point. - Sun Nov  8 14:44:03 2015
<br><br><font color=teal>*Index(Jjking217) says: You decide other wise. - Sun Nov  8 14:44:03 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll destroy the research myself. - Sun Nov  8 14:44:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...if there is even a curiousity of any of them having ill intentions.... - Sun Nov  8 14:44:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I want them killed... - Sun Nov  8 14:44:54 2015
<br><br><font color=teal>*Index(Jjking217) says: You have, My word. - Sun Nov  8 14:44:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't care how ambitious they might be. - Sun Nov  8 14:44:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Owari, I would -not- put you in danger by leaving them to their own devices. - Sun Nov  8 14:45:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Okay.. - Sun Nov  8 14:45:45 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll end them without hesitation. - Sun Nov  8 14:45:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I guess I should tell you both...the last thing I know that I kept from you. - Sun Nov  8 14:46:36 2015
<br><br><font color=teal>*Index(Jjking217) says: Huh? - Sun Nov  8 14:46:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: The only thing I can eat...enjoyably.... - Sun Nov  8 14:46:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I...I sort of....can eat human bodies. - Sun Nov  8 14:46:36 2015
<br><br><font color=teal>*Index(Jjking217) says: Human f-- - Sun Nov  8 14:46:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: In a matter of minutes.... - Sun Nov  8 14:47:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...yes. - Sun Nov  8 14:50:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: The healthier...the...better. - Sun Nov  8 14:50:52 2015
<br><br><font color=teal>*Index(Jjking217) says: So... - Sun Nov  8 14:52:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Do different parts taste better then? - Sun Nov  8 14:53:26 2015
<br><br><font color=teal>*Index(Jjking217) says: Like the arms or legs? - Sun Nov  8 14:53:26 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....I eat all of it. - Sun Nov  8 14:53:26 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Sun Nov  8 22:41:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I checked on the sword for you, Nina. - Sun Nov  8 22:50:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Uh huh? - Sun Nov  8 22:51:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I got word on a supply heading to  Kirigakure, but I'm laying low until. - Sun Nov  8 22:51:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: A supply, what makes them special though? - Sun Nov  8 22:51:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I don't know. - Sun Nov  8 22:51:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Hence why I'm laying low to check it out.. - Sun Nov  8 22:52:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Right, right. - Sun Nov  8 22:52:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: When are you going to teach me to use two jutsu at once? - Sun Nov  8 22:52:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..How are you able to switch topics so fast, but not jutsu's..? - Sun Nov  8 22:53:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Same way you're able to switch who you love so fast. - Sun Nov  8 22:53:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Marrisa and I drifted apart, both of us agreed on that. - Sun Nov  8 22:57:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, I kissed one guy and one ass, if you're included in that. - Sun Nov  8 22:58:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, ha! - Sun Nov  8 22:58:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And one girl, but I haven't seen her since. - Sun Nov  8 22:58:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: At least the people I've kissed are in a relationship with me, not some sport. - Sun Nov  8 22:59:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Eww, we're not in a relationship. You're a liar. - Sun Nov  8 23:00:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You and I are siblings, you fool. - Sun Nov  8 23:01:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Haha, how can you even -think- I'm talking about you. - Sun Nov  8 23:02:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I wonder why I grew up so fast. - Sun Nov  8 23:13:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: *cough cough* - Sun Nov  8 23:13:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I do too. - Sun Nov  8 23:13:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm... - Sun Nov  8 23:14:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: We may never know. - Sun Nov  8 23:15:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I blame the one who was never here named Ortho. - Sun Nov  8 23:16:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't know if you heard of him or not, but he was never around. - Sun Nov  8 23:16:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh. That sucks. - Sun Nov  8 23:21:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Did you ever unlock your birth right with his help? - Sun Nov  8 23:21:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If not, he's shitty. - Sun Nov  8 23:21:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Completely shitty. - Sun Nov  8 23:22:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You should kill him. - Sun Nov  8 23:22:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The next time you see him. - Sun Nov  8 23:22:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, I probably should kill him. - Sun Nov  8 23:22:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Quick, do it. - Sun Nov  8 23:22:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Just stab him in the back as soon as I get that special sword. - Sun Nov  8 23:22:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Maybe he wants to die. - Sun Nov  8 23:22:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, no. That's too far. - Sun Nov  8 23:22:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nope, not too far at all. - Sun Nov  8 23:22:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do it as soon as possible. - Sun Nov  8 23:22:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Just slap him with his favorite ice cream. - Sun Nov  8 23:22:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No. Kill him. - Sun Nov  8 23:23:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Quick. - Sun Nov  8 23:23:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nahh. - Sun Nov  8 23:23:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: That'd be too easy on him. - Sun Nov  8 23:23:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Living is hard enough. - Sun Nov  8 23:28:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: He actually wants to die. - Sun Nov  8 23:28:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: So just do what you want to do. - Sun Nov  8 23:28:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And kill him. - Sun Nov  8 23:28:51 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No. - Sun Nov  8 23:29:42 2015
<br><br><font color=teal>*Nina(Ninasky115) says: He has a job to do. - Sun Nov  8 23:29:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And that job revolves aroung you, right? - Sun Nov  8 23:36:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yep, for not being around ever. - Sun Nov  8 23:37:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Right, right. Of course. - Sun Nov  8 23:38:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm. Don't worry though. - Sun Nov  8 23:39:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You only have to do it for seventy years. - Sun Nov  8 23:39:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: My ass. - Sun Nov  8 23:39:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, that's involved as well. - Sun Nov  8 23:39:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Anyway, who's your new girlfriend? - Sun Nov  8 23:39:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Sun Nov  8 23:41:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Right.. - Sun Nov  8 23:41:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Her name is Owari. - Sun Nov  8 23:41:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Why her? - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Why her what? - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Why her.  - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Wow, Nina. You're so very absolutely descriptive. My word, you should be a writer. - Sun Nov  8 23:43:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm so very jealous. You pick up a pen and write, so very much accomplishing. - Sun Nov  8 23:45:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What's next, you're going to be a artist? - Sun Nov  8 23:45:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No, I'm going to be a kage. - Sun Nov  8 23:46:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And rule a village. - Sun Nov  8 23:46:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, and kill those giant snakes of yours. - Sun Nov  8 23:47:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Is that so? - Sun Nov  8 23:47:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ...Whatever.. - Sun Nov  8 23:49:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Thanks for leaving me hanging. - Sun Nov  8 23:49:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh you're welcome.~ - Sun Nov  8 23:50:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Payback. - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: How glorious it will be. - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Just like you hold everything against me, I'm going to start doing the same thing. - Sun Nov  8 23:55:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Congratulations. I'll have a reason to leave. - Sun Nov  8 23:55:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And go where? To the house you can't seem to figure out is exactly left of the Raikkage's mansion? - Sun Nov  8 23:56:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nope, I'll be out with my husband and my three kids. - Sun Nov  8 23:58:43 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm, mhm. - Sun Nov  8 23:58:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Wonder how many husbands you'll have by time you're ready to take my lives. - Sun Nov  8 23:59:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I say bout.. - Sun Nov  8 23:59:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Uhh. - Sun Nov  8 23:59:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Maybe ten? - Sun Nov  8 23:59:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Fifteen? - Sun Nov  8 23:59:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll have one, because I'm not a jackass like you. - Mon Nov  9 00:00:25 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm the jackass, you're the bitch. - Mon Nov  9 00:00:25 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Perfect siblings. - Mon Nov  9 00:00:25 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Too bad you're more focused on hating me than working together. - Mon Nov  9 00:00:25 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Working together? That's actually a nice idea. - Mon Nov  9 00:01:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yeah. Right. Until I can't put my full attention on you, then you go and fuck around with my bestfriend. - Mon Nov  9 00:01:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And pull the "i was lonely" card. - Mon Nov  9 00:01:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't even know who your best friend is.  - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You were never -around- to tell me. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Was.. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Index. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Brother-like figure. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But hey. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How was I supposed to know that. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I barely talked to him. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But when he was around we had bestfriend times. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: More than you, anyway. - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yet you kissed him. Then he goes around gloating he fucked "Ortho's little sister" around Sunagakure. - Mon Nov  9 00:02:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ever since he and I fought in Kirigakure. - Mon Nov  9 00:02:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Smart, Nina. Smart. - Mon Nov  9 00:02:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Maybe you shouldn't have fought then, smart ass. - Mon Nov  9 00:02:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That little 'games' he play is just a hit list. - Mon Nov  9 00:02:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Maybe I shouldn't have fought? He attacked me. - Mon Nov  9 00:03:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Or were you too blinded by Ortho Hate - Mon Nov  9 00:03:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: To see that? - Mon Nov  9 00:03:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And then when we calmed you both down, what happened? - Mon Nov  9 00:03:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You shot a fireball at him. - Mon Nov  9 00:03:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Instead of calming the hell down. - Mon Nov  9 00:03:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Right. - Mon Nov  9 00:03:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Nina allows to throw a fit when shit don't settle for her. - Mon Nov  9 00:04:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But when Ortho gets tired of something and throws a fit. - Mon Nov  9 00:04:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: He's wrong. - Mon Nov  9 00:04:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yep. - Mon Nov  9 00:06:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Anyway, stop fighting and lets "work together" as you suggested. - Mon Nov  9 00:06:24 2015
