<br><font color=teal>*Haruna(ZenoKuthric) says: ye - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: No. - Mon Oct  5 04:21:58 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Fine. - Mon Oct  5 04:21:58 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) 's brigade suddenly moved forward, as the woman proceeded with her retreat. With immediation, lead by the tiki-masked puppet, whose disjointed arm quickly followed the woman as she proceeded with her retreat; as she stopped, its swing curved - instead of a stabbing wound, its intention was to initiate a direct cut at her Achilles' tendon, with intention to sever it.

Shortly afterwards, the Reaper puppet began its encroach, again attempting to release a black smog around her position through its right arm. It was at this moment that the Asura puppet attemptedly flanked her at her rear, where its arms folded back, and wire-bound kunai were shot forth, aimed at various points along the woman's torso - though in nonlethal areas, they seemed intent on further slowing the female down.* - Mon Oct  5 04:35:37 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Anyone dead yet? - Mon Oct  5 04:50:59 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) thinks: Oh look. - Mon Oct  5 04:51:50 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) thinks: It's like playing battleship. - Mon Oct  5 04:51:50 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) thinks: Both people are fucking blind. - Mon Oct  5 04:51:50 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) 's assumption had been correct that the woman would minorly evade his attacks, much to his pleasure. As the arm passed her, and was assumedly disregarded, the the wire's tention suddenly stiffened, and the arm was swung backwards, this time aimed at the joint of her legs. Hopefully, in conjunction with the crippling pain she should have been feeling by -now-, he might do some damage - enough to slow her down such that the next attack took full-well effect. After doing so, it simply retracted its arm and lied in wait.


The attacks proceeded in accordance, except for one which was stockpiled through the Reaper pupppet. As the smog stopped being produced, another attack was added - with suddenness, the marionette's arms produced extensions, through which a multitude of arms were created. The sheer number of arms produced seemed quite daunting, especially as they headed towards the woman's position.

Their aimed was simple - crush in powerful numbers; his best efforts were made to ensure the safety of the head, and vital regions of the torso - but little more could be said for the rest of her body.

(In the same turn as before, due to Stratagem of Wind Perk)* - Mon Oct  5 05:02:04 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: So I won. - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Remove the seal. - Mon Oct  5 05:14:01 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) 's Parasite puppet immediately came through towards the mass of arms; indeterminate of her position and current status, it quickly leaned its head forward, and from atop its head came five thick metal cables, shot forth with sufficient speed, such that they attemptedly skewered what was untouched of the female. 

The Asura puppet proceeded with its six-kunai attack, as expected of it from before, while the Reaper puppet simply shot forth six of its own kunai - each aimed at positions along the woman's torso.* - Mon Oct  5 05:20:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) thinks: So many puppets. - Mon Oct  5 05:20:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9fun - Mon Oct  5 05:59:15 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9ype - Mon Oct  5 06:00:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: k - Mon Oct  5 06:00:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: k - Mon Oct  5 06:00:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: k - Mon Oct  5 06:00:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: k - Mon Oct  5 06:00:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: k - Mon Oct  5 06:00:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: kk - Mon Oct  5 06:00:57 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: . . . . . . . - Mon Oct  5 06:01:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: A fairly impressive display, Sin'ichi. - Mon Oct  5 06:01:48 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Thank you. - Mon Oct  5 06:01:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I am very impressed. - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Also, I didn't get hit, so I think that's a bump in pay, yes? - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I didn't think I'd see a puppeteer. - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I don't normally go back on promises. - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: So yes, that'd be a bump in pay. - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: You're seeing -the- puppeteer. - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: -The-. - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll keep it in mind. - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I think you'll have great potential. - Mon Oct  5 06:02:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Pandora would work nicely together with you, I'm sure. - Mon Oct  5 06:03:31 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: If not Hiro. - Mon Oct  5 06:03:31 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You can store your puppets in scrolls if you'd like--should you have the capacity to use Fuuinjutsu. - Mon Oct  5 06:03:31 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Hm. - Mon Oct  5 06:03:31 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: And as for your puppets. Seems like they could use a mending. - Mon Oct  5 06:03:31 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I'd hope so. - Mon Oct  5 06:04:22 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll handle Kohaku in the meantime. - Mon Oct  5 06:04:22 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sin'ichi. - Mon Oct  5 06:04:22 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: If you want me to. - Mon Oct  5 06:04:22 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll work on your puppets. - Mon Oct  5 06:05:13 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I've created weapons of my own before. - Mon Oct  5 06:05:13 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: A puppet shan't be too different. - Mon Oct  5 06:05:13 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Good idea. - Mon Oct  5 06:05:13 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sin'ichi. - Mon Oct  5 06:20:35 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Yeah? - Mon Oct  5 06:20:35 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll work on what puppets you need me to work on. - Mon Oct  5 06:20:35 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Preferably just one at a time. - Mon Oct  5 06:20:35 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: That's uhm, fine. - Mon Oct  5 06:21:26 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I can work on it here or in there. - Mon Oct  5 06:21:26 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Doesn't matter to me. - Mon Oct  5 06:21:26 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Anywhere you want is fine. - Mon Oct  5 06:21:26 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) reached a hand out; within said hand was clutched a scroll, and had the label "Reaper" scrawled across its breadth.* - Mon Oct  5 06:22:17 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Alright. - Mon Oct  5 06:24:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll take it from you for now. - Mon Oct  5 06:24:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: When I'm done. - Mon Oct  5 06:32:32 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll return it to you. - Mon Oct  5 06:32:32 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: It's a lot of money though. - Mon Oct  5 06:32:32 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I expect you to do your job for me. - Mon Oct  5 06:33:23 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll have many missions for you all. - Mon Oct  5 06:33:23 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I will, fully. - Mon Oct  5 06:33:23 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Most of them aren't lighthearted enough to qualify as painting a wall or something Genin may do. - Mon Oct  5 06:33:23 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: That's fine by me - so long as they pay well. - Mon Oct  5 06:34:14 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Of course. - Mon Oct  5 06:35:05 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: The tougher it is, the more money it'll reel in. - Mon Oct  5 06:35:05 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: That's perfect. - Mon Oct  5 06:35:56 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Once I upgrade your puppet. - Mon Oct  5 06:36:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Try using it. - Mon Oct  5 06:36:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'm going to upgrade it with a lightweight alkaline-earth metal. - Mon Oct  5 06:36:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: And I'll reinforce it with a gray primer. - Mon Oct  5 06:36:48 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: You seem to know a lot. - Mon Oct  5 06:36:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Probably edit some of your weapons if they seem outdated to me. - Mon Oct  5 06:36:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Well you see. - Mon Oct  5 06:36:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I make guns in my spare time. - Mon Oct  5 06:36:48 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . Interesting. - Mon Oct  5 06:37:39 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: So I'm fairly experienced with weaponry. - Mon Oct  5 06:37:39 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: At least the -designing-. - Mon Oct  5 06:37:39 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I can't actually create a customized weapon like some blacksmiths. - Mon Oct  5 06:37:39 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Like those swords of the mist. - Mon Oct  5 06:37:39 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) thinks: Curb your enthusiasm, Sin. - Mon Oct  5 06:37:39 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: You can't? - Mon Oct  5 06:37:39 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Not really. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: But I'll be able to buy some. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: And incorporate them into your puppet. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I'm somewhat of a blacksmitih myself. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: That's a cheaper way. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You can create some weapons. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: And I'll put them in after reinforcing it. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Your puppet's name is...."Reaper". - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Perhaps you could create a scythe. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I have one on it. - Mon Oct  5 06:38:30 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I see. - Mon Oct  5 06:39:21 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll edit it and see what I can do for you. - Mon Oct  5 06:39:21 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Thank you. - Mon Oct  5 06:39:21 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Huh? - Mon Oct  5 23:47:37 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I've finished the remodeling. - Mon Oct  5 23:47:37 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Take it back. - Mon Oct  5 23:47:37 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: And then test him out. - Mon Oct  5 23:47:37 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I installed a gun into its mouth. - Mon Oct  5 23:47:37 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) received the scroll, and passed a tinge of chakra through its being, producing the marionette contained within said scroll. * - Mon Oct  5 23:49:20 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . Incredible. - Mon Oct  5 23:49:20 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: It cost quite a bit.... - Mon Oct  5 23:50:11 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: How much do I owe you? - Mon Oct  5 23:50:11 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Two million. - Mon Oct  5 23:50:11 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: But I don't expect you to pay in money. - Mon Oct  5 23:50:11 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I expect you to pay in missions. - Mon Oct  5 23:50:11 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . Okay, you'll do the same with the others then? - Mon Oct  5 23:50:11 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Eventually. - Mon Oct  5 23:50:11 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I can't just keep spending money all on you, after all. - Mon Oct  5 23:51:02 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Be content with what I've done with your puppet. - Mon Oct  5 23:51:02 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I am. - Mon Oct  5 23:51:02 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Come to my office later. - Mon Oct  5 23:51:02 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I'm just . . . wondering. - Mon Oct  5 23:51:02 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll do it eventually. - Mon Oct  5 23:51:02 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'm sure. - Mon Oct  5 23:51:02 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Alright. - Mon Oct  5 23:51:02 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Ah, Sin'ichi. - Tue Oct  6 00:08:57 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I have a mission for you. - Tue Oct  6 00:08:57 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: It's a scouting reconaissance mission. - Tue Oct  6 00:09:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I want you to infiltrate Sunagakure no Sato. - Tue Oct  6 00:09:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Infiltrate the mansion and try and take documents regarding their village's army size. - Tue Oct  6 00:09:48 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sin'ichi, I'll have the details written for you in scroll. - Tue Oct  6 00:13:13 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Alright, that's fine. - Tue Oct  6 00:22:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Good luck. - Tue Oct  6 00:23:28 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You can depart when you are ready. - Tue Oct  6 00:23:28 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Do not be caught. - Tue Oct  6 00:23:28 2015
