<br><font color=teal>*Kuro(Ichigo10101) says: He could have been talked to. - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: How about some takoyaki? - Sat Oct  3 21:14:52 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) nodded, reverting and seating herself beside Mamoru.

"I've never tried takoyaki before but I've heard it's great!" Chiharu stated, smiling toward him. She completely forgot about the boob-touching ordeal.* - Sat Oct  3 21:15:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So what's your favorite food? Just wondering. - Sat Oct  3 21:19:08 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm... - Sat Oct  3 21:21:42 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I don't know, I like cinnamon buns a lot, though. - Sat Oct  3 21:22:33 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think that's a bit sweet. - Sat Oct  3 21:23:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm not much of a sweet tooth. - Sat Oct  3 21:23:24 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I like anything that's sweet. - Sat Oct  3 21:25:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So we differ on that a little. - Sat Oct  3 21:25:58 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeah. But that won't stop us from being partners..~ - Sat Oct  3 21:27:40 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) smiled lightly toward him, her hands clasped to the table.

"I like you." She'd state. The girl thought about what she'd just said,  her face flushing. "I-I-I mean that in..li-like... I like you as a partner... or a friend.. not like... not like like..." She'd murmur.

<I think I don't..>* - Sat Oct  3 21:34:30 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) nodded. She'd lift one of the sticks with fried batter containing octopus up. The female would take a small bite, chewing slowly. The flavor filled her tastebuds with delight and yearning for more, her eyes noticeably widening as she gulped down the treat.

"Waaaw... derishush.." She'd state with part of the stick in her mouth, the reasoning her wording was distorted.* - Sat Oct  3 21:42:11 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) wasn't even aware of his actions. She was caught up in just how great the food was. Chiharu continued 'nomming' on the takoyaki, gulping down the fried balls of octopus and batter with delight. Her tastebuds were being overloaded by the pure deliciousness of the food. "Itz sho'good.." She'd say, lurching her head forth toward the stick in front of her with one ball left. Her pair of orbs drifted over to the plates of takoyaki nearby.

The Tokisaki girl plucked the last ball from off of the stuck, chewing it. Her shoulders tensed, her hands tightened slightly, and her eyes shut. "Mmmmmmnnn.." She'd moan in satisfaction, her belly full just from that single stick of takoyaki. "That was delicious! I can't believe I've never eaten something so good.." Chiharu said after she returned the world of bliss that the treat immersed her in.

She would attempt to clasp Mamoru's hands with her own, a smile on her features. She ate in small portions, but did it nimbly, and was neat and organized while doing it. "From now on you're in charge with referring me to foods, okay..?~" She'd state. Her eyes glistened with passion and gratitude.* - Sat Oct  3 21:54:59 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Thank you so much Mamoru, honestly! Honestly I've never tried foods like this. I don't know why either. - Sat Oct  3 22:00:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You should get out more. Lots of foods are discovered that way. - Sat Oct  3 22:01:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's probably getting late. - Sat Oct  3 22:01:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want me to walk you home?  - Sat Oct  3 22:01:48 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Um... I'll be fine. I don't have to go far. - Sat Oct  3 22:02:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sat Oct  3 22:02:40 2015
<br><br><font color=teal>*Reguel(Airide) says: Heard any news so far? - Sat Oct  3 22:03:31 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: News..? - Sat Oct  3 22:04:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: On what? - Sat Oct  3 22:04:22 2015
<br><br><font color=teal>*Reguel(Airide) says: On anything. - Sat Oct  3 22:04:22 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I haven't. - Sat Oct  3 22:05:13 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm, I see. - Sat Oct  3 22:06:04 2015
<br><br><font color=teal>*Reguel(Airide) says: Ah, right Chiharu, Mamoru, have any of you seen Misa around? - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I've seen Misa. - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: She was treating me yesterday for injuries. - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Reguel(Airide) says: I mean today. - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Nope. - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm not going to wait on her for too long then, I'll just train by myself. - Sat Oct  3 22:09:29 2015
<br><br><font color=teal>*Reguel(Airide) says: Then I'll pester the Raikage. - Sat Oct  3 22:10:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Good luck on your training.~ - Sat Oct  3 22:12:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....Hm? - Sat Oct  3 22:14:36 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) nodded. She'd wave toward the male as he made his departure, regardless if he saw her.

"Uhuh! Bye, Reguel."* - Sat Oct  3 22:14:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Later Chiharu. - Sat Oct  3 22:14:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So. - Sat Oct  3 22:15:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I guess we part ways now? - Sat Oct  3 22:15:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Where're you heading? - Sat Oct  3 22:15:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I was going to head home. - Sat Oct  3 22:15:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I wanted to laminate a poster and hang it up on my wall. - Sat Oct  3 22:16:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Then do some exercise. - Sat Oct  3 22:16:19 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Ah... alright. - Sat Oct  3 22:17:10 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I'll probably be at the mansion, in that case. - Sat Oct  3 22:17:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll see you later, Chiharu. - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Stay safe. - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I will.~ - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Bye, Mamoru. - Sat Oct  3 22:18:01 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) stood up, attempting to leave the restaurant.* - Sat Oct  3 22:18:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Hello, Mister Raikage. - Sat Oct  3 22:58:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hello Heiwa. - Sat Oct  3 22:58:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Have you seen Uncle Hideki? - Sat Oct  3 23:00:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No, I haven't. - Sat Oct  3 23:00:41 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: Hi. - Sat Oct  3 23:01:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hello. - Sat Oct  3 23:01:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh. Okay. Could I test something on you then? - Sat Oct  3 23:02:24 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: I'm Gin. - Sat Oct  3 23:02:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Uncle Hideki said he'd help when he wasn't busy. - Sat Oct  3 23:02:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Sure, I can spare some time. - Sat Oct  3 23:03:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Okay. I'll go set it up. - Sat Oct  3 23:04:06 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm Raikage. - Sat Oct  3 23:13:29 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...Yes? - Sat Oct  3 23:14:20 2015
<br><br><font color=teal>*Reguel(Airide) says: I'll need basic Taijutsu training soon. - Sat Oct  3 23:14:20 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....That's a lesson you should've recieved in the academy... - Sat Oct  3 23:14:20 2015
<br><br><font color=teal>*Reguel(Airide) says: I have, but I want to be more useful, at least as far as combat goes, I am still a medic. - Sat Oct  3 23:15:12 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....Right. - Sat Oct  3 23:16:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes. - Sat Oct  3 23:17:45 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Huh? - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You doing well? - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeah. - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to go do something together? - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Sure, it's your decision on where we should go. - Sat Oct  3 23:34:49 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Great. - Sat Oct  3 23:37:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I was figuring we could go to the mall or something. - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I'd buy you something. - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You seem to like clothes. In a way. - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeah. I planned out this outfit. - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm.... - Sat Oct  3 23:39:05 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Also I figured out that my clothes affect how I look in katana form. - Sat Oct  3 23:39:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's honestly pretty interesting. - Sat Oct  3 23:39:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: While we're at the mall, I figure I'd get a wardrobe change too. - Sat Oct  3 23:39:05 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh? - Sat Oct  3 23:39:56 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I wonder what I should wear.. what do you think? - Sat Oct  3 23:45:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 23:50:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You'd look great in a lot of things. - Sat Oct  3 23:50:11 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Huh? I would? - Sat Oct  3 23:50:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sat Oct  3 23:51:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You'd look amazing, I'm sure. - Sat Oct  3 23:51:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe you'd go to the beach with me sometime?  - Sat Oct  3 23:51:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If we ever go to Kirigakure. - Sat Oct  3 23:51:53 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Sure! - Sat Oct  3 23:53:36 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) clasped the male's hand, deciding that she'd rather walk with him instead of transform into a katana as she usually did.

(Grab plz)* - Sat Oct  3 23:55:18 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) nodded. She'd approach the store. The girl would enter the store holding Mamoru's hand, taking a look around.

"Hmmm.."* - Sat Oct  3 23:59:34 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) nodded, pointing to a pale-green open-chest turtleneck sweater. "How about that..?" She'd state. It seemed the female liked the style of it.* - Sun Oct  4 00:02:59 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) peered at the price. It seemed to be half off, making it less expensive than it originally was.

"It's not much.. I can pay for it though." She'd state.* - Sun Oct  4 00:10:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sun Oct  4 00:16:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I should probably buy some tools while we're at the mall though. - Sun Oct  4 00:18:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You think bombs might work with our combination? - Sun Oct  4 00:18:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: What type..? - Sun Oct  4 00:19:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Smoke bombs probably. - Sun Oct  4 00:20:03 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm... - Sun Oct  4 00:20:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It should work, right?  - Sun Oct  4 00:21:45 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Maybe.. I'm thinking. - Sun Oct  4 00:21:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 00:22:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...Hm? - Sun Oct  4 00:22:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Where's Niza. - Sun Oct  4 00:22:36 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Um... he may be at the training field. - Sun Oct  4 00:23:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 00:23:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Sun Oct  4 00:23:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I'm not sure, otherwise. - Sun Oct  4 00:23:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sun Oct  4 00:24:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Well. - Sun Oct  4 00:24:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll buy a couple just incase. - Sun Oct  4 00:24:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What else should we buy? - Sun Oct  4 00:27:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Terms of clothes. - Sun Oct  4 00:27:44 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm.. - Sun Oct  4 00:27:44 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: How about matching black scarves for both of us..? - Sun Oct  4 00:32:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I don't know. - Sun Oct  4 00:32:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Sun Oct  4 00:32:51 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's buy them. - Sun Oct  4 00:40:32 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) nodded. She'd remove one the many black scarves hung up, trying it on then proceeding to purchase it. The black haired girl would purchase the open-chest turtleneck in the process. Chiharu would purchase a black pair of leggings to go along with the outfit.* - Sun Oct  4 00:44:48 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: How do I look? - Sun Oct  4 00:49:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You look great, Chiharu. - Sun Oct  4 00:50:46 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Really? Why thank you..~ - Sun Oct  4 00:50:46 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah, haha... - Sun Oct  4 00:51:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You want to go get something to eat? - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Like a dessert? - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmm... sure. - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I know a place that has some nice shortcakes. - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Weren't you going to change your wardrobe? - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I got a scarf, didn't I? - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think it's enough change for now. - Sun Oct  4 00:54:11 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Alright.. - Sun Oct  4 00:54:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . . . . . . . - Sun Oct  4 00:56:44 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: What're they arguing about..? - Sun Oct  4 01:00:09 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) whispers: It's not any of our business. - Sun Oct  4 01:00:09 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That...That made no sense! - Sun Oct  4 01:00:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It does. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: It totally doesn't. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I just want the fuck out of here. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Just accept it before he engulfs you in black flames. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: -omit- - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What Chiharu said - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: omit - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ........ - Sun Oct  4 01:03:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why does he suddenly hate me... - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: When did he get so dumb... - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: He got so complicated.... - Sun Oct  4 01:05:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ughhh...... - Sun Oct  4 01:05:16 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) approached the girl. She'd whisper to her faintly.* - Sun Oct  4 01:08:41 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: Um... are you okay..? - Sun Oct  4 01:08:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: I feel...Unwanted.. - Sun Oct  4 01:08:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: How can someone say they like you...and then treat you like a common stranger the next day? - Sun Oct  4 01:09:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you.... - Sun Oct  4 01:10:24 2015
