<br><font color=teal>*Index(Jjking217) says: Lord Kazekage. - Fri Oct 30 23:08:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What? - Fri Oct 30 23:13:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps did you but my order in? - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Index(Jjking217) says: You said earlier you were going to handle the situation regarding Saeza's death, Right? - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Index(Jjking217) says: I know you hate this request, But I'd like to tell you what happened, But I'd rather do it away from the interjection of peers. - Fri Oct 30 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't care if you tell them later. - Fri Oct 30 23:15:37 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I want to tag along, I was told of what happened personally. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Index(Jjking217) says: It isn't my place to ask, But I feel the need to. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Or rather,I would like to tag along. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Kilm, If you weren't there, Your information isn't the the most reliable. If I was a cop, I wouldn't even interrogate you. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I appreciate it though. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: No,I just want to hear more about it. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Not give information. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Because, I was told of what happened. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: By you know who. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll tell you myself. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi Index. - Fri Oct 30 23:18:11 2015
<br><br><font color=teal>*Index(Jjking217) says: Hey, Nina. - Fri Oct 30 23:19:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I've been getting better, you know. - Fri Oct 30 23:20:44 2015
<br><br><font color=teal>*Index(Jjking217) says: That's good. - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) says: Up for some catching up? - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sure thing. - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) says: You hungry? - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Not really. - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) says: I would ask you to grab a drink, But you don't look hardly the drinking age. - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) says: But, I do plan on getting me something to eat, So even if you don't intend to, care to tag along so we can talk? - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm, sure. - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: .... - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Would tag along but it seems private. Have fun you two. - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Index(Jjking217) says: Not neccessarily private. - Fri Oct 30 23:25:52 2015
<br><br><font color=teal>*Index(Jjking217) says: But one student to another. - Fri Oct 30 23:25:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: .. . Borin'. - Fri Oct 30 23:48:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Who penetrating Tets?? -omit- - Fri Oct 30 23:52:19 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: This line though. - Fri Oct 30 23:54:52 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Yeah, haha. - Fri Oct 30 23:55:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hm, I might go back to bed. - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hassen, any missions? - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Enjoy your day then Ai - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I will..Just need to sleep a little, ya know? - Fri Oct 30 23:57:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I understand - Fri Oct 30 23:58:17 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yo ! - Thu Nov  5 11:29:55 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: WHYY !!! - Thu Nov  5 18:06:43 2015
<br><br><font color=teal>*Shin(Yaori) says: Do you really want to know why? - Thu Nov  5 18:06:43 2015
<br><br><font color=teal>*Shin(Yaori) says: Some secrets are better left untold - Thu Nov  5 18:06:43 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Not about my brother. - Thu Nov  5 18:06:43 2015
<br><br><font color=teal>*Shin(Yaori) says: Are you sure? - Thu Nov  5 18:07:34 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yes . . . - Thu Nov  5 18:08:25 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Stop creeping me ! - Thu Nov  5 18:08:25 2015
<br><br><font color=teal>*Shin(Yaori) says: Kilm is dead - Thu Nov  5 18:09:16 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: That isn't funny you know. - Thu Nov  5 18:10:08 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: So where is he ? - Thu Nov  5 18:10:08 2015
<br><br><font color=teal>*Shin(Yaori) says: He's dead - Thu Nov  5 18:10:59 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: How is he dead ? - Thu Nov  5 18:10:59 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: He was strong . . - Thu Nov  5 18:10:59 2015
<br><br><font color=teal>*Shin(Yaori) says: He was killed by who we thinka re Katsune and Index - Thu Nov  5 18:10:59 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Plus ! NO HE ISN't ! - Thu Nov  5 18:10:59 2015
<br><br><font color=teal>*Shin(Yaori) says: If he wasn't dead - Thu Nov  5 18:10:59 2015
<br><br><font color=teal>*Shin(Yaori) says: Why isn't he here? - Thu Nov  5 18:10:59 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Training ? - Thu Nov  5 18:11:50 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: He told me he was going to train for some months. - Thu Nov  5 18:11:50 2015
<br><br><font color=teal>*Shin(Yaori) says: That was a good lie - Thu Nov  5 18:12:41 2015
<br><br><font color=teal>*Shin(Yaori) says: I think he knew he was going to die - Thu Nov  5 18:12:41 2015
<br><br><font color=teal>*Shin(Yaori) says: Unfortunately, your brother is lost - Thu Nov  5 18:13:32 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: . . . - Thu Nov  5 18:14:24 2015
<br><br><font color=teal>*Shin(Yaori) says: My condelnces Zole - Thu Nov  5 18:14:24 2015
<br><br><font color=teal>*Shin(Yaori) says: We are all at a loss - Thu Nov  5 18:15:15 2015
<br><br><font color=teal>*Shin(Yaori) says: In Kilm's death - Thu Nov  5 18:15:15 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) After hearing the sad news about his brother, the news he didn't want to believe in the beginning, he slowly was dropped on the ground, he lost his only brother, he lost his family in one go, he lost the brother he looked up to be like and the brother that he lived with, soon after remembering his brother sad life and his own sad life, tears started to fall off his eyes, he was crying on the ground all alone without a helping hand, without anyone to help him anymore. He lost the only hand that helped him to train, to live, and to have fun. It was like losing his only purpose of living.

He couldn't stop crying, he was trying very hard not to cry, but tears were just falling like a river from his eyes, his eyes were filled with tears, tears of sadness and agony, why did he have to lose his brother, the brother that he couldn't live with him in his parents house, he couldn't even live with him in his own house, why did he have to lose Kilm right after meeting with him, it didnt even pass one year and he was dead, then he stood up and started to wipe off the tears off his face, then he started to remember all the happy times he had with his brother, when he grabbed him when he talked to the Kazekage in a bad way, or when he chose girls over training, and started to cry once again, tears just came down on their own.

Hatred and sadness started to emerge, the old funny and talkative Zole started to change from happy to sad from a loving person to a hating person. The two names that were in his head, the names of the two people that killed his brother, he wasn't sure of it, but he didn't care, they were the only names mentioned that killed him, his hatred toward these two people started to increase, He was still crying at the death of his brother, as he was consumed in his anger and hatred he started to think of revenge to avenge his brother " I swear . . I will train harder and harder . . .to kill these two people to avenge you brother . . .you didn't have to die YOU DIDN'T HAVE TO DIE ! " He said to him self as tears rolling down his face, then he took of the Academy grounds, heading to the training grounds to master the two justus that he was taught by his brother.* - Thu Nov  5 18:28:54 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Time to train . .  - Thu Nov  5 18:31:28 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Without stopping.  - Thu Nov  5 18:31:28 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) thinks:  For you . . .Brother, Kilm . . . . - Thu Nov  5 18:31:28 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) He slowly moved to where the people use to stand there and talk with each other, and in a sad tone he looked at everyone " Hello . . . Guys . .. "* - Thu Nov  5 19:15:50 2015
<br><br><font color=teal>*Mashai(Novaraven747) thinks: Oh not me. - Thu Nov  5 19:15:50 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Say . . Lyan. - Thu Nov  5 19:17:32 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: You know anyone strong enough ? that I can train with ? - Thu Nov  5 19:17:32 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) looks at Chikyu giving her a faint smile " . . Hi "* - Thu Nov  5 19:18:24 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Is that a ... No. or yes ? - Thu Nov  5 19:20:57 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Who ? - Thu Nov  5 19:23:31 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I don't know alot about this village. - Thu Nov  5 19:23:31 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: So could you help me find a fuck- I mean a good ninja to train me ? - Thu Nov  5 19:24:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: What type of fighter are you - Thu Nov  5 19:24:22 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Ninjutsu. - Thu Nov  5 19:24:22 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: And dem stuff . . . - Thu Nov  5 19:24:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Yan can help - Thu Nov  5 19:24:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Maybe Brother Trill - Thu Nov  5 19:24:22 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Who and where are them ? - Thu Nov  5 19:25:13 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I will ask them my self. - Thu Nov  5 19:25:13 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Maybe brother Trill - Thu Nov  5 19:26:56 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yes, you said that before. - Thu Nov  5 19:26:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes and maybe Brother Fujitora can help you out - Thu Nov  5 19:28:38 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Okay okay. - Thu Nov  5 19:28:38 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Where can I find any of them ? - Thu Nov  5 19:28:38 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I gotta stop wasting time. - Thu Nov  5 19:28:38 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: and train harder than before . . - Thu Nov  5 19:28:38 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: to . . . - Thu Nov  5 19:28:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Trill is in his shop, and Yan is on a mission currently - Thu Nov  5 19:30:20 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Where is his shop ? - Thu Nov  5 19:30:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Residents district.... house on the far left - Thu Nov  5 19:31:12 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Can you take me there ? . . . - Thu Nov  5 19:32:03 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... sure - Thu Nov  5 19:32:03 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Thanks . . . - Thu Nov  5 19:32:54 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) thinks:  I wish he trains me . . I gotta train and be waaay stronger than I am right now otherwise I wont do it . . . - Thu Nov  5 19:32:54 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) follows him to that Trill guy.* - Thu Nov  5 19:33:45 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: This is it ? - Thu Nov  5 19:34:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Ahhhh ! - Thu Nov  5 19:38:01 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Calm down - Thu Nov  5 19:38:52 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I am . .  - Thu Nov  5 19:39:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Can I help you guys? - Thu Nov  5 19:41:26 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yes. - Thu Nov  5 19:42:17 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes... this man wants to train with you - Thu Nov  5 19:42:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm with me.. Cool. - Thu Nov  5 19:42:17 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) Slowly moves toward Trilliam " So, you're Trill ? " He asked him, then he looked at the ground and then stared straight in his eyes " Can you . . train me ?! " He asked him again in a sad tone.* - Thu Nov  5 19:44:00 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: What is wrong with me ? - Thu Nov  5 19:45:42 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Nothing . .  - Thu Nov  5 19:45:42 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I Want to get stronger. - Thu Nov  5 19:45:42 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: and stronger than anyone. - Thu Nov  5 19:45:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm.I have a simalar dream. I wish to become stronger than all of my teachers and my grandfather put together I'm  a little bummed out because one of my teachers recently died. - Thu Nov  5 19:48:16 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: . . . - Thu Nov  5 19:48:16 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Who is he ? - Thu Nov  5 19:48:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He was the 2nd coolest one actaully he could like fly he was going to teach me too or at least i planned on bugging him to show me how. - Thu Nov  5 19:49:58 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: His name was Kilm. - Thu Nov  5 19:49:58 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: . . . .  - Thu Nov  5 19:49:58 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: why . .  - Thu Nov  5 19:49:58 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Why did you mention his name ?! - Thu Nov  5 19:49:58 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) After hearing Kilm's name again, he sat on the ground putting his hands on his face as he started to cry again " Why . . did he have to die ! WHY !!! " He shouted, then he tried to stop actting like a little child, then he slowly gets up again wiping the tears of his face " So . . . he was your teacher . . "* - Thu Nov  5 19:51:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well im here... - Thu Nov  5 19:56:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I will be in the plaza if you need mw - Thu Nov  5 19:56:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: me* - Thu Nov  5 19:56:48 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: . . . - Thu Nov  5 19:58:30 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Katsune killed him ? - Thu Nov  5 19:58:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Huh so you already know who did it. - Thu Nov  5 20:01:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah it was her. - Thu Nov  5 20:01:04 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Which is why I want to train and be stronger. - Thu Nov  5 20:01:04 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: To kill that fuckin girl . . - Thu Nov  5 20:01:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I already told you she is as good as Dead. - Thu Nov  5 20:01:04 2015
