<br><font color=teal>*Kyubishu(Dillion13) says: You've got to be kidding me. - Sun Nov  1 21:50:17 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Black hair step up. - Sun Nov  1 22:15:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You may step back. - Sun Nov  1 22:15:53 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Pink step up. - Sun Nov  1 22:16:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I said step up. - Sun Nov  1 22:17:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Now. - Sun Nov  1 22:17:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Step back. - Sun Nov  1 22:19:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Kyubi step up. - Sun Nov  1 22:19:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Heiwa. - Sun Nov  1 22:22:43 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Step up - Sun Nov  1 22:22:43 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: What was I doing again? - Sun Nov  1 22:23:34 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Red head. - Sun Nov  1 22:24:25 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Step up to receive your missions. - Sun Nov  1 22:25:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What is your name? - Sun Nov  1 22:26:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Step up to receive your missions. - Sun Nov  1 22:26:59 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Nori Higashi. - Sun Nov  1 22:26:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: A newbie, eh? - Sun Nov  1 22:37:13 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You're still a newbie too. - Sun Nov  1 22:39:47 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are all now free to go on about your day. - Sun Nov  1 22:39:47 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm a strong newbie. - Sun Nov  1 22:42:20 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Pff... - Sun Nov  1 22:42:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Better leave before they start to fight like Kojiros. - Sun Nov  1 22:43:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm? - Sun Nov  1 22:53:26 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Come with me. - Sun Nov  1 22:53:26 2015
<br><br><font color=teal>*Mana(Mirandawashere) whispers: I've been one for a short while overall. I'm still trying to decide what i'm going to do with my life other than random ass missions that obviously accomplish nothing. - Sun Nov  1 22:53:26 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Not at the moment. Maybe later though. - Sun Nov  1 22:55:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. . . - Sun Nov  1 22:55:08 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Evening. - Sun Nov  1 23:50:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hello. - Sun Nov  1 23:51:28 2015
<br><br><font color=teal>*Inobu(Punka) says: Hey. - Sun Nov  1 23:51:28 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: How are things? - Sun Nov  1 23:51:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You missed, Kirie yelling at us to pick up trash and she handed out missions... Nothing much. - Sun Nov  1 23:56:35 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: That's it? - Mon Nov  2 00:00:51 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yep. - Mon Nov  2 00:01:42 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Unfortunate. I would expect the life of shinobi to be. . . A bit more glamarous. - Mon Nov  2 00:03:24 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah...yeah, I'm glad its not. I'm already sick of 'fun' and 'exciting' shinobi adventures. - Mon Nov  2 00:05:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Hello Momura-san. - Mon Nov  2 00:26:27 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Quiet, you two are. - Mon Nov  2 13:35:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yo'. - Mon Nov  2 14:19:18 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hello... - Mon Nov  2 14:21:52 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Salutations. - Mon Nov  2 14:21:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: How's it been? - Mon Nov  2 14:25:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The same as always. - Mon Nov  2 14:26:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Good. - Mon Nov  2 14:26:59 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: OH... Kirie, mind handing my missions for the day. - Mon Nov  2 14:26:59 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Sure Jirun. - Mon Nov  2 14:26:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Attend to your shinobi. You're going to have a drink with me, Mizukage. - Mon Nov  2 14:26:59 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: That is a negative Ortho. - Mon Nov  2 14:28:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I am busy today. - Mon Nov  2 14:28:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yeah, yeah. - Mon Nov  2 14:29:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I hope this guy doesn't destroy the village, because of one turned down request. - Mon Nov  2 14:30:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Mizukage stuff- - Mon Nov  2 14:30:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Nah, maybe later kid. - Mon Nov  2 14:30:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Not now. - Mon Nov  2 14:30:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Unlikely. - Mon Nov  2 14:30:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I hope. - Mon Nov  2 14:31:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Anyways. Come, Kirie. Before the remainder of your sh- - Mon Nov  2 14:31:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Oi, this is home.. kind've. - Mon Nov  2 14:31:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I won't be destroying it. - Mon Nov  2 14:31:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Now lets go before the remainder of your shinobi awake. - Mon Nov  2 14:31:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: A single drink each can't take too much time, now can it? - Mon Nov  2 14:31:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I told you no. - Mon Nov  2 14:32:06 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are the same as Index. - Mon Nov  2 14:32:06 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: He always wants to play games. - Mon Nov  2 14:32:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Haha, Index. - Mon Nov  2 14:32:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I am not as childish as him. - Mon Nov  2 14:32:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I just enjoy conversation over a cup of sake. - Mon Nov  2 14:32:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Or tea, whichever you prefer. - Mon Nov  2 14:32:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But you seem to be as persistant as he is. - Mon Nov  2 14:32:57 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Look, we don't joke about that around here. Its already happened once. - Mon Nov  2 14:32:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) thinks: It might happen again very soon. - Mon Nov  2 14:33:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: My life  - Mon Nov  2 14:33:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Is at the whim of Kirigakure. - Mon Nov  2 14:33:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It falls, so do I. - Mon Nov  2 14:33:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It stands, I hold my chest high. - Mon Nov  2 14:33:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah, well I'm not depressed. I'm a very specific neutral. - Mon Nov  2 14:34:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: My statement stands. - Mon Nov  2 14:35:31 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Though, last time drinking went horrible. Why, don't you go have one drink with him. Not like anybody around here is going to be too active for awhile, and it better then having him bug you about it all day. - Mon Nov  2 14:37:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you wish to speak Ortho you may do it here. - Mon Nov  2 14:37:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If it is something private then you may step into one of my offices and we will speak about it. - Mon Nov  2 14:38:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I will return when I am done with my work. - Mon Nov  2 14:44:03 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Jirun you know the drill. - Mon Nov  2 14:44:03 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: The drill..yes... stand here until I get the energy to do my missions. - Mon Nov  2 14:52:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 16:08:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: .... - Mon Nov  2 17:35:34 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: So. ..  - Mon Nov  2 18:19:05 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: So what. - Mon Nov  2 18:31:53 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: ikaro popcicle - Mon Nov  2 19:04:19 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: uses your body as the component for the mirror - Mon Nov  2 19:05:10 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) opened up the first mission scroll with a sigh, that could be heard for miles. He shook his head, before rolling it back up. He shouldn't have been surprised to get again, another mission that involved being order to pick up the garbage...again. He didn't mind, it was something he guess he was well deserving of his talents. He once again gloved up and bought some trash bags before heading out.

This time unable to abuse the previous areas, he had already swept tidy. The genin decided to head to the farther outskirts of the village. While, the main streets were always just layered with discarded objects. He also knew the genin would be always swiftly picking it up thanks to all their shared tasks. Instead of the popular choice, his lesser traveled path was quite successful. Those of broken materials from the destruction of village just tossed out of view where plenty to pick up. Besides that, the piles of trash left to rot in the back woods had plenty of time to build up.

The genin continued picking up the trash that was begining to mound up against he tree lines. His nose wretching in the stench of old decay. His eyelids half fallen over his eyes. He seemed lifeless, as he picked up the trash. It wasn't surprising he wouldn't be energetic in this situation. However, he for all his talk about being suited for this job... made him hate the fact. Left picking up for nearly an hour, the compose quickly filled up ten bags which he threw over his shoulder. One by one he carried them over to the dump site.* - Mon Nov  2 19:46:08 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) Pulled open the next scroll, Jirun almost groaned seeing the familiar missing pets mission. He shook his head, he thought he could've guessed the third mission was to sweep the steps of the MIzukage mansion. However, he was at least relieved that it was a C-rank mision so it was impossible to be that, which was some what a relief. Finally giving up on hesistating, he headed off to the house where the pet was lost. Quickly hoping, he could nip this mission in the bud soon.

Jirun walked quickly to the house of the owners of the cat. The genin asked a few questions to get a good idea where the cat like to go to and what he looked like. The genin sighed at what he quickly learned. The cat of course loved to go travel into the woods, when previous lost. Shaking his head, he began to have a terrible case of deja vu from the other day. The genin travled head lowered down to the ground, wondering what in the world is wrong with all these animals.

The genin looked at the walls of the trunks of trees in front of him. He took a deep breathe, guessing it was good that he had previous experience with the woods. His mind shutting down as he began to force his way through the shrubbery. This time, he pulled out a kunai striking it across the bark to mark his path. The genin then summoned several clones of himself out of the rich earth of the forests. They all dispersed looking for the feline in hopes that someone managed to pass by it randomly.

The forest then had several skittering copies of Jirun managing through the green rough. Multiple heads peaking around corners to find the feline. Other animals were found by the handfuls from birds and racoons; however, the one cat they were seeking was one needle in acres long haystack. The real Jirun continued to push forward through the heavy shrubbery. He was beginning to feel used to this familiar treck through the woods.

Finally, he managed to find a positive sign for his mission. Kneeling down, he managed to spot a piece of orange fur. Standing up, he continued to follow his path forward. His eyes pointed to the ground, not in a manner of disappointment or grudge but to look for signs. Soon, he began to notice some subtle clues to where the cat went. Claw marks, broken twigs, and bent grass gave the genin a path to walk. Then, he heard the meow of the low feline. Hanging up in a tall branch of a tree, the genin managed to quickly and safely retrieve her with Suimen jutsu. Climbing down with a happy sigh that things went so quickly and easier then the last time.* - Mon Nov  2 19:46:08 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) pulled out the last mission scroll, eyes rolling in his head at the thought of what this mission could possibly be. He extended the paper musing in his head if it was to clean the Mizukage statue or to make the streets sparkle. Howver, the answer he found was  so much worse for the poor genin. He read through the information provided through the scroll. His head shaking as he realizes he was to act as a chaperone for some foreign merchant. The goal was to give them a good idea of how the village was doing, and giving them some idea that the village of the mist was safe and profitable to do business in.

He took to walking, he didn't want to keep the person waiting. It would be a bad sign of the village if they kept someone waiting. Not that Jirun really care, he was just a person following the mission objectives. He was a ninja and he accomplish his job,  if he wanted to keep it. His thoughts vanished while he started to focus on his job. His feet picking up his normal sluggish pace to a more moderate one. Reaching the gates where the merchant waited, he was foreign while the gates were being guarded against such visitors. However thanks to the mission scroll and Jirun, he finally managed to get the merchant through the gates.

The merchant was rather pieved at the wait, especially since he was their guest. However, Jirun always the one with little life him didn't react to such rants. Jirun just simply nodded his head to the man, escusing the issues with getting through on himself. He didn't personally care how the man felt about him, he didn't care about many people's feelings about him. Jirun just continued to lead him away from the gates on the path towards the village. 

After his rant, the merchant began to quickly drill Jirun with a series of questions. Jirun tried his best not to lie to the man, though he did fib if the answer was... unfavorable. "Is the village safe." Well the answer would be yes, Kirigakure did have over ten thousands troops. However, Jirun knew even that amount wouldn't keep them safe from the men that attack previously. "How is the village finances?" The ninja are getting missions every day to do more.... though they were all financed by the government.

Jirun noticed the man's eyes were more then ready to peak for his own answers. Though, Jirun wasn't too worried about that as he almost let out a snicker to himself. He wondered if the merchant could even guess what he was doing. His head shifting to the left, almost peering through the buildings in between his little escort service and the part of town still being repaired. He had thought of an exact route, but he was pretty sure he could get away with avoiding the sight of most of the towns worst repair zones. The merchant would only at best get glimpses of those taking material to those sites. 

Jirun then went to all the places, he could possibly think to show the merchant. The first since it was on a nice path, he went to the farms. Showing the large acres that was suitable to farming and the various live stock they had to offer. Going further east, he then was able to show the vast expanse of the forest left mostly unharmed. It was easy access to be used for the  logging industry. After showing off the natural resources, Jirun decided the best was to go and show the facilities to help show their economic and military power.

The genin then led the merchant towards the center of the village. However, he stopped first at the storrage facility where they held the food given to them from amegakure. He then traveled farther south to show off their numerous boats for shipping. Then, he went westwards where he stopped at the accademy. The merchant questioned it, but Jirun insisted that he had towards their new training grounds. The merchant followed, and was quickly wowed by the underground training facility filled with a mountain, lake, and other training equipment. Jirun stating that this was all thanks to their hard earned funds.

Taking out of the academy, the genin traveled around a bit more until the merchant couldn't handle it anymore. Jurin quickly leading him right back to the gates for him to leave. The genin more then happy enough to end the little tour. He of course though stood by until the foreigner had left the view of the gates. Jirun now sure he had left the village safely and happily. Jirun then went back to the academy to wait for the next set of missions.* - Mon Nov  2 19:46:59 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 21:43:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: So... - Mon Nov  2 21:47:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Mon Nov  2 21:50:43 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How is everyone today. - Mon Nov  2 21:50:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Meh. - Mon Nov  2 21:52:25 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Ill take that as good - Mon Nov  2 21:53:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: 95/100 to A+ - Mon Nov  2 21:55:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Eh, alright. - Mon Nov  2 21:56:41 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Just wish our missions weren't so plain. - Mon Nov  2 21:56:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: They are the missions that the villagers need. - Mon Nov  2 21:57:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There is nothing we can do about them. - Mon Nov  2 21:57:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Pfft, so I need to sweep your office. - Mon Nov  2 21:58:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Once a freakin' day? - Mon Nov  2 21:58:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: A villager...requested it... - Mon Nov  2 21:58:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Speaking of missions. - Mon Nov  2 21:59:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Are we gonna get some today? - Mon Nov  2 21:59:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Can I have a single mission? I had a really rough night. - Mon Nov  2 21:59:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Later on. - Mon Nov  2 21:59:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 22:00:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Why not now? - Mon Nov  2 22:00:06 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Because they wontbe handed in now. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Fine. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And it is three daily missions. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And? - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You have the whole of today and part of tomorrow to do them. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The faster you do them the better the villager satisfaction. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I also need my reward from yesterday's mission. - Mon Nov  2 22:01:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I finished it easy. - Mon Nov  2 22:01:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And yet, you're stopping me from getting the missions, and doing them now? - Mon Nov  2 22:01:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I ffinished mine for today. *Yawn* - Mon Nov  2 22:06:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You will receive them today. - Mon Nov  2 22:19:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: This place has gone to shit... and I will deal with it tomorrow...  I dont have any power but I will try my best to personally lead this village until my Love wakes up - Tue Nov  3 10:13:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: And what will he do to solve the issues? - Tue Nov  3 10:19:05 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She... might take the mantle of Mizukage... she is strong enough to enter the Gezo exams - Tue Nov  3 10:20:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: .... - Tue Nov  3 10:27:37 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Did I walk into something I wasn't supposed to hear. - Tue Nov  3 10:27:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: No - Tue Nov  3 10:28:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Okay...because that just sounded really onimous there... 'This has gone to shit'... 'Deal with it tomorrow' Just wanted to be sure. - Tue Nov  3 10:30:11 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: .. - Tue Nov  3 10:31:53 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. And who is she? - Tue Nov  3 10:32:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Her lover? - Tue Nov  3 10:36:09 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Yes, - Tue Nov  3 10:37:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: As in name. - Tue Nov  3 10:37:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Lera. - Tue Nov  3 10:37:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. Then her, yes. I've heard of her. - Tue Nov  3 10:38:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Good for you. - Tue Nov  3 10:43:50 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You're aware of the village's turmoil, yes? - Tue Nov  3 10:45:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh man... I mean... which turmoil... the one where my village was blown up in front of my eyes... or the one where one of the few people I found compitent in this village died along with a bunch of our newly recruited forces? - Tue Nov  3 10:46:24 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'll take that as a yes. - Tue Nov  3 10:52:22 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Theres a high chance you're right. - Tue Nov  3 10:54:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Well then. Are you too in support of 'Lera's capabilities? - Tue Nov  3 10:54:56 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Are they deciding Lera should be Mizukage? - Tue Nov  3 10:56:38 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Not really. - Tue Nov  3 11:07:44 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'm just gauging your opinion. - Tue Nov  3 11:07:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You want me to be honest? - Tue Nov  3 11:09:26 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Yes. - Tue Nov  3 11:14:33 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nobody is fit for that suicidal job, and anyone who takes it has no common sense. - Tue Nov  3 11:16:16 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Reasonable claim. - Tue Nov  3 11:41:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah...its just a claim. - Tue Nov  3 11:46:08 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Then what would you suggest be done? Kirigakure abandoned? - Tue Nov  3 12:24:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Its what I did. - Tue Nov  3 12:25:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A pity. . It would be a lost of culture. - Tue Nov  3 12:28:48 2015
