<br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I have been eager to get here. - Mon Oct  5 12:14:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How so? - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean, Iget elemental techniques are important. But they aren't the end-all. Y'know? - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I guess so. - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji! You're finally back. - Tue Oct  6 01:47:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Later, we oughta battle. - Tue Oct  6 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Want to see if I can take ya. - Tue Oct  6 01:47:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: If you'd point me in the direction of the person telling said jokes, I'd be sure to remove them. - Tue Oct  6 01:48:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sure, we'll do two on two. I want my friend here to get some training. - Tue Oct  6 01:48:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I swear you live to make my life harder. - Tue Oct  6 01:49:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm. It'll be a good day when you're head's healed up. - Tue Oct  6 01:49:39 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? Why is that?  - Tue Oct  6 01:49:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You'll see. - Tue Oct  6 01:51:21 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: That doesn't sound promising. - Tue Oct  6 01:51:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Oct  6 01:51:21 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: If you'd like, I can go talk to the doctors now, they'd probably declare me good to go. - Tue Oct  6 01:52:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sounds cool. I call dibs on Mirai. On another note. - Tue Oct  6 01:52:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Can you toss her al esson? She's been training real hard with me. - Tue Oct  6 01:52:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Im sure your friend was a mad man you White eyed devil you, - Tue Oct  6 01:53:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: He was I think he had an affection for Trees... - Tue Oct  6 01:54:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sanoke, sure. - Tue Oct  6 01:56:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: did he just say his friend loved trees what in the hell yup its offial this place is just one big dry loony pin hopefully dad can come and fix this. - Tue Oct  6 01:56:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anywho. . .. - Tue Oct  6 01:57:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: It looks as if something is leeching this guy's chakra... - Tue Oct  6 01:59:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Tue Oct  6 01:59:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Gramps? Oh Hassan. - Tue Oct  6 01:59:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Shouldn't be any of your concern. - Tue Oct  6 01:59:53 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey im just trying to help no need for you to be all mean. - Tue Oct  6 02:00:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: I'm not sure about how to 'romance' her. - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Does she trust me at all? - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm resting, Tetsu. - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Damn this thoughts. - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You really don't understand what it's like to be jumping at shadows for a month straight. - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Hurts to think. . . - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Of course I don't. - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I haven't had to do it - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm..I'll be a'ight. This village isn't new to me. - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Impossible. - Tue Oct  6 02:04:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh.. so youa re from here.. Hey could you be the  gramps sent Yan to find ha if thats the case I found you! - Tue Oct  6 02:04:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Shut Up. - Tue Oct  6 02:04:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You're annoying. - Tue Oct  6 02:05:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But... I guess i'm the one, ehehe. - Tue Oct  6 02:05:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ha so im right then your the Testu jiki guy ha. - Tue Oct  6 02:05:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Oct  6 02:05:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Ohhhh wait wait no no no no oh no i Forgot gramps said he leveled a village oh god BrysonnnnnnnnnN!!!!! - Tue Oct  6 02:07:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Fuji?...FUJI?....FUUUJIII?! - Tue Oct  6 02:08:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Nah, that idiot couldn't find me. - Tue Oct  6 02:09:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sounds horrible, but okay. - Tue Oct  6 02:09:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I figured Iza's dad is ...Like someitmes i wonder if he is even Iza's dad. - Tue Oct  6 02:10:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. How is Iza doing? - Tue Oct  6 02:10:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Haven't seen her in ages. - Tue Oct  6 02:10:08 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Hmm, Iza daughter of Fuji and sister of Testu.. And Fuji is Son of Hassan.. Now we have Trill-guy...Condoms. - Tue Oct  6 02:10:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: She is good a little princessey at times but she is pretty skilled. - Tue Oct  6 02:11:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... Good. At least she isn't useless. - Tue Oct  6 02:11:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Maybe she'll be stronger than mom, heh. - Tue Oct  6 02:11:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah.....How do you know of her? - Tue Oct  6 02:12:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? Doesn't matter. - Tue Oct  6 02:12:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I guess your right you know I dig your swag. - Tue Oct  6 02:12:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Cold yet warm but still cold. - Tue Oct  6 02:13:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wolw. - Tue Oct  6 02:13:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She's still sleepin'. - Tue Oct  6 02:13:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Tue Oct  6 02:14:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Tesu allah Jiki.....Do you know any earth or lighting moves? - Tue Oct  6 02:16:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Yuck... - Tue Oct  6 02:16:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Tue Oct  6 02:16:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: The hell is allah? - Tue Oct  6 02:16:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... Maybe. Why? - Tue Oct  6 02:16:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Trill-guy* - Tue Oct  6 02:16:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *Yawn* You wouldn't be able to handle my training. - Tue Oct  6 02:19:31 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah i would i promise I will train all day if i have to. - Tue Oct  6 02:20:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Maybe hassan can help ya? - Tue Oct  6 02:20:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Then again...maybe its only wind he knows.. - Tue Oct  6 02:20:22 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Naaaa he told me to bascily get it how i live. - Tue Oct  6 02:20:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well, stay true to the geezer's words. - Tue Oct  6 02:21:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Either way, isn't there somethin' more intresting than sitting on your butts all day? - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: C'mon aren't you guys shinobi? - Tue Oct  6 02:28:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Tch, if they were alive in Lord Jak's area...Pfft. - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well my missons ekepp gettgin put on hold because of lera and Jumpamn - Tue Oct  6 02:30:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: They always dissapaer some where. - Tue Oct  6 02:30:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So I spend most of my time reading scrools. - Tue Oct  6 02:31:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: The only mission i have really done was a b rank assantion mission. - Tue Oct  6 02:31:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh*..Guess i'll go for a walk. - Tue Oct  6 02:33:10 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? Meh. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Same as they usually go with Kat. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Terribly? - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not really. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Just average. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: She was tired, so I let her use a spare bedroom. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Yea, wasn't terrible though. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Kat just doesn't show what she feels, so it's hard to tell. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *kicks in le nutz* - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's goin' on? - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Eh Koji throwng boogers at people and i found the guy gramps was looking for so ha. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Shut up... - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Is that Like your catch phrase or something. - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You have said that like twice. - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep. It's one of -those- days. - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I hate mondays. - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Any suggetsions then El Testu. - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Die. - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *walks away* - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's notvery nice. - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I do have some new things I want to try out. - Tue Oct  6 02:58:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I might be interested in a sparring session 'if' you're durable. - Tue Oct  6 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh? Durable?... - Tue Oct  6 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hehe. - Tue Oct  6 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: All right, you two work as a team against me. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Huh? - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tetsumi is back? - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Seems fair enough. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh hey gramps. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Put him in a lock. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want my free punches. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes, you sleep to much as always gramps. W-WAHH? - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Me and 'who', against you? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's why I had you transported hee. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait did you just say gramps... - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I knew there had to be a trick...*sigh* - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yep.... - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Really has anyone herd of birthcontrol in this family, - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Hm. In public though? Is this really a good idea for me? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Mission complete. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Let's dance shall we? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good work Yan. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: As always you never fail. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: What Grmaps i found him. - Tue Oct  6 03:03:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Tue Oct  6 03:03:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd be surprised if you can beat him. - Tue Oct  6 03:03:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm...This may not be the best place, seeing as there are so many people. Don't want to hurt anyone. - Tue Oct  6 03:03:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wish Kilm was around... - Tue Oct  6 03:04:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? I hadn't gotten word about it. After Zetsumo perished, I left. - Tue Oct  6 03:05:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, yo. <@Lera> - Tue Oct  6 03:05:36 2015
