<br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright men, to my office. - Fri Oct  2 02:39:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hm? - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I bet she was better than I. - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're still here Kirie? - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I would not know. - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Stop talking like that hun. - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes. I did not know if you were going to have me escorted. - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Why can't Kirie stay here? - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I like her, she seems like a fun person. - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Or if I could just walk away. - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I need a friend around here. - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I can't waste resourses escorting an awol villager. - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She's a possible danger to us. - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Ohhh, come onnn let her stay.  - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora! - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Yan! - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Danger..... - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yo? - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Really. - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do you understand the magnitude of hardboring an awol villager. - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: It's me, Berith. - Fri Oct  2 03:28:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh, hey Berith. - Fri Oct  2 03:29:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, we need you for a mission... - Fri Oct  2 03:29:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Yan and Berith sorta look like.. - Fri Oct  2 03:29:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What?....I'm retired.. - Fri Oct  2 03:29:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: C'mon... - Fri Oct  2 03:29:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: My mission is to run my sushi bar FUji-Hana... - Fri Oct  2 03:29:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What kind of mission is this anyway? - Fri Oct  2 03:30:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: omit- - Fri Oct  2 03:30:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: i'm not arguing with a child. - Fri Oct  2 03:31:12 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Yeaaah, let her stay.~ - Fri Oct  2 03:31:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ....Two. - Fri Oct  2 03:31:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Children. - Fri Oct  2 03:31:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ohh okay... - Fri Oct  2 03:31:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: I am twenty one years old. - Fri Oct  2 03:32:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sweet! You are one of the strongest sand ninja I know. - Fri Oct  2 03:32:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well, before we get going.. - Fri Oct  2 03:35:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I gotta go home and get suited up.. - Fri Oct  2 03:35:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It'll be a few days. - Fri Oct  2 03:35:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh a few days.. - Fri Oct  2 03:35:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: This gonna be a bitch to my chakra. - Fri Oct  2 03:35:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fuji, come here. - Fri Oct  2 03:36:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Aye.. - Fri Oct  2 03:36:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So the fishing trip should be short huh? - Fri Oct  2 03:36:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh?  - Fri Oct  2 03:36:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh...what for? Fujitora use to be my teacher, I know he's capable. - Fri Oct  2 03:37:10 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Huh? - Fri Oct  2 03:41:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I'll be fishing...The clone and the monkey should be enough.. - Fri Oct  2 03:41:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: This is going to be the best fishing trip ever... - Fri Oct  2 03:41:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Fri Oct  2 03:50:49 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What's wrong?... - Fri Oct  2 03:50:49 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: What? - Fri Oct  2 03:50:49 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Nothing. - Fri Oct  2 03:50:49 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ..... - Fri Oct  2 03:50:49 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can't one whistle now? - Fri Oct  2 03:50:49 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Go on, hun. - Fri Oct  2 03:52:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Berith....I know you may be angry with me for the stuff in the past...But do you really want the negativity to be the last thing your husband gets from you before a big -trip-... - Fri Oct  2 03:52:32 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: What? - Fri Oct  2 03:53:23 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I'm not angry. - Fri Oct  2 03:53:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Pleab - Fri Oct  2 03:53:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: All of this coolness shouldn't exist in one body. - Fri Oct  2 03:54:14 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I don't have any money. - Fri Oct  2 03:54:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well..You can atlease give me a smile before I go. - Fri Oct  2 03:55:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....You ain't comin' with us. - Fri Oct  2 03:56:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I am. - Fri Oct  2 03:56:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I heard you ditched Flexus. - Fri Oct  2 03:56:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh?...Want to know what happend that day? - Fri Oct  2 03:56:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't care to hear it.. - Fri Oct  2 03:56:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ... - Fri Oct  2 03:56:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It was not easy for us you know... - Fri Oct  2 03:56:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We mourned his death greatly... - Fri Oct  2 03:57:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We'll find someone we can rely on. - Fri Oct  2 03:57:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But what happend at Konoha was not intended.. - Fri Oct  2 03:57:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I told you not to go to Konoha and you did it anyways. - Fri Oct  2 03:57:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It was not meant for everyone to huddle up there.. - Fri Oct  2 03:58:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We left in small groups. - Fri Oct  2 03:58:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Should of remained but some did not listen.. - Fri Oct  2 03:58:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll let Hassan know that you aren't someone we want on the mission. - Fri Oct  2 03:58:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I regret what happend to Flexus.. - Fri Oct  2 03:59:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ... - Fri Oct  2 03:59:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Your regret doesn't change anything. - Fri Oct  2 04:00:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But we could not of afford conflict with Konoha and their numbers that day... - Fri Oct  2 04:00:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It was not my call to leave him to begin with.. - Fri Oct  2 04:00:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So don't pin such guilt  on me. - Fri Oct  2 04:01:04 2015
<br><br><font color=yellow>*Mirai(Rakkatta) looked towards Sanoke as he continued to speak to her. She would observe him taking in the greater part of his physical elements from his hair to the shade of his optics. She would simply shake her head before she separated her lips. "Judging by those extremely shoddy shades you are wearing you're the person who is broke. I assume you've come to make babble with me with expectations of me giving some you ryo. I'm not you're mother and I refuse to give you any cash." Mirai said before she motioned her hands coaxing for the kid to leave her be. * - Fri Oct  2 04:01:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's going on? - Fri Oct  2 04:01:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well, no fishing trip it seems.. - Fri Oct  2 04:01:55 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well? - Fri Oct  2 04:04:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Fri Oct  2 04:04:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *squints* - Fri Oct  2 04:04:28 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Iza! - Fri Oct  2 04:05:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji, who else do you think could come with us? These are strong ninja. - Fri Oct  2 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What will you guys do? - Fri Oct  2 04:07:02 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: You must be keen on being a pet of mine. - Fri Oct  2 04:07:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good work on the mission Iza. - Fri Oct  2 04:07:02 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'm not interested in you. - Fri Oct  2 04:07:02 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Go away. - Fri Oct  2 04:07:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: D-daddy? - Fri Oct  2 04:07:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A-and thank you. - Fri Oct  2 04:07:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: In the living breathing flesh. - Fri Oct  2 04:07:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, Berith how are your skills? - Fri Oct  2 04:07:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Berith is a Genin. - Fri Oct  2 04:08:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're here.. - Fri Oct  2 04:08:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Why are you guys argueing? - Fri Oct  2 04:08:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I see, and Kirie? - Fri Oct  2 04:08:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I've told you I'd come eventually. - Fri Oct  2 04:08:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What about me? - Fri Oct  2 04:09:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *Glances at Yan* - Fri Oct  2 04:09:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What is he argueing for.. - Fri Oct  2 04:09:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well, father..Seems I'm not wanted on the mission. - Fri Oct  2 04:09:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Yes. - Fri Oct  2 04:09:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Will you be my pet? - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Would you be interested in helping with our mission? - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . Hah! Don't let my Turtle Shell confuse you. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm not a Teenaged Mutant Ninja turtle. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ...... - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm actually a real boy. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is the mission. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Like hrm. .  - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Then I have no use for you. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That one puppet. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Pokono? - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...She's not even a Sand ninja. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Stop ignoring me. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Pinocoko? - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I could provide asistance. - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: What the hell is this guy's name again? - Fri Oct  2 04:10:27 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Whose arguing? - Fri Oct  2 04:11:18 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: They aren't taking me seriously.. - Fri Oct  2 04:11:18 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ahh, I've noticed her around Kiri and now Suna My mistake. Do we have any Suna ninja present? - Fri Oct  2 04:11:18 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Only if you will agree to being my pet. - Fri Oct  2 04:11:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami isn't ready for this mission. - Fri Oct  2 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But what. . That's silly. What if I want to use the bathroom? - Fri Oct  2 04:12:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What mission? - Fri Oct  2 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't wanna wait. - Fri Oct  2 04:12:09 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: You will need to ask me for permission. - Fri Oct  2 04:12:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well...Am I coming along for the mission or am I not? - Fri Oct  2 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Pfft. That's lame. What am I gettin' out of this? -- Not that I'm considering it. - Fri Oct  2 04:13:00 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Then don't speak to me. - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Quit bein' such a hardass. - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'm accepting applications. - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It makes me want to talk to you more. - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: For a suitable pet. - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why do you want a pet? - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Why don't you want a pet? - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well I guess the mission will be delayed? - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: 'Cause humans ain't pets! - Fri Oct  2 04:13:52 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Sure they are. - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You won't be coming on the mission...you aren't a Sand ninja. - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Being a shinobi is basically like being a pet no? - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He is a sand ninja what are you talking about? - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Following orders. - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: I can just simply follow. - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Doing what you are told. - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *blinks* - Fri Oct  2 04:14:43 2015
