<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Got em' - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup, bro. - Thu Oct  8 19:09:52 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hello. - Thu Oct  8 19:09:52 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: *U guys got like a kkg or something? - Thu Oct  8 19:13:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Say bro. . ? - Thu Oct  8 19:16:41 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is say bro. . .  - Thu Oct  8 19:20:57 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Not sense make. . . Not be gir'? - Thu Oct  8 19:20:57 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ---- - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'--  - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What do you mean in a way? - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: That's mean. - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's not mean... - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: It is mean. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Meanie. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm not trying to be mean. You know-  - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm your damn brother. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Still being mean. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Okay, answer this. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: hm? - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...D-.. How long does it take for you to get dressed in the morning? - Thu Oct  8 19:24:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What does that have to do with anything of what we are talking about? - Thu Oct  8 19:24:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Everything. - Thu Oct  8 19:24:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: -- - Thu Oct  8 19:24:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Uhh...about hours, I guess, why? I'll say two, mhm.  - Thu Oct  8 19:25:13 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) thinks: Hopefully he doesn't know that I am actually wearing girl underwear... - Thu Oct  8 19:25:13 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I've seen. - Thu Oct  8 19:26:04 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your unmentionables. So... Yeah. - Thu Oct  8 19:26:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ... - Thu Oct  8 19:26:56 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'm not a girl, simple. - Thu Oct  8 19:26:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Would you prefer I call you a burly man? - Thu Oct  8 19:26:56 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Noo but you can call m--- sigh. - Thu Oct  8 19:27:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Compare you to Maloth, or myself, perhaps? Because that isn't an acc-.. Okay, look. - Thu Oct  8 19:27:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You are a male. - Thu Oct  8 19:27:47 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) would be the judge of this entire commotion. He stomps on over towards Khali. Both hands speed ahead, grabbing the young male-trap by the hips or waist. Assuming success, Maloth indiscriminately flips the boy upside down, in attempt to examine his feminine frame. This entire thing was baffling. . How could Khalil be a boy, but appear so much like a girl?* - Thu Oct  8 19:27:47 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Not sense make. .  - Thu Oct  8 19:28:38 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But you have effeminate tendencies.- - Thu Oct  8 19:28:38 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) isn't really listening to anyone right now. He's focused moreso on the anomality that was Khalil. Just from looks alone, it would be really hard to distinguish  the young YAmanashi from a legitimate female.

Eventually, one hand is all that's required to hold Khalil upside down.

Next, with the hand that's free, he's poking around the male's body. First at the chest, to see if he held a girl-like bosom, no matter how flat.* - Thu Oct  8 19:42:17 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'd hit. - Thu Oct  8 19:49:07 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) was struck by the lightning infused coin. It gives mild shock, and briefly takes Maloth's attention. Nonetheless, considering Khalil's feeble screams, his grip is relinquished, allowing the trap to fall harmlessly onto the ground.

"Tch. . No is man. Scream like girl! Is girl," Maloth states with a nod. He quickly turns towards the south and moves to lean back against the wall as previously done. A nod of the head is given towards the amazonian warrior known as Bremusa.* - Thu Oct  8 19:55:56 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: If no be gir'! Then need get muscle like Maloth. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Easy tell then. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Agreed - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Relax, Khalil.. In-case you haven't noticed... Maloth isn't the most... - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hm. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Observant. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Of humans. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Maloth is mean. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's just how he is. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Meanoth. . . Mmm. No mea', if really no girl. . Jus' show? - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is a lion mean for killing other animals? - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Yeah. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: And I am not showing, ew. - Thu Oct  8 20:00:12 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) shakes head. He just met the woman the other day.* - Thu Oct  8 20:01:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This doesn't bode well... This means I'm not special anymore. - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Bremusa(Ej247) says: I'm wearing all I need for combat. - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh? - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .Sib. . .Ling? - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Brother and sister. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: No. Is no. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Greetings. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Bremusa(Ej247) says: No. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Not intrested. - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Bremusa(Ej247) says: interested - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: D'awww. - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Once oyur arm is healed come back. - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Bremusa(Ej247) says: your* - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nope. - Thu Oct  8 20:08:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Don't need it. - Thu Oct  8 20:08:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: So asian.... Look at that devotion... - Thu Oct  8 20:09:36 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Okay. - Thu Oct  8 20:10:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Pfft. - Thu Oct  8 20:11:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Slacker. - Thu Oct  8 20:11:18 2015
<br><br><font color=teal>*Bremusa(Ej247) says: I'm afriad if we were to spar you would lose. Because men cant focus on the fight at hand when they face a amazon. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't really need to focus. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's obvious. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Hmph.. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You fail to realize. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Am. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Black. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Okay. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Yet you are still a pintched male. - Thu Oct  8 20:13:52 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Ugh, we all know you are black Kojiro. - Thu Oct  8 20:13:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Ugh, what did this chick just call me? - Thu Oct  8 20:13:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Thu Oct  8 20:13:52 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) blinks.

It seemed Bremusa was from a tribe that held opposite morals than Maloth. His undermined females. .. Her's undermined males. Taking a step forward, he plants his hammer against the floor, forcing it sink into the ground,. A hand goes to smash against his own chest, releasing a loud thud. "Not think be real. . Come punch Maloth! See if able hurt. . "* - Thu Oct  8 20:15:34 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oooooooooooooooh!~ A fight. - Thu Oct  8 20:17:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ?_ - Thu Oct  8 20:21:32 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||As Bremusa had likely anticipate, the attack did little to deter his body. Instead of actually harming him, she found herself punching a literally wall of muscle. Maloth hardly  budged, and merely stared ahead at the futile attempt. Chest still puffed out, the brute begins to speak, wearing an arrogant smile -- even if he had just been defeated by a Suiton user a few moments prior to this. "What say 'bout mans? Nee' know. . . man more strongah than woman. . . Jus' how nature be. . . " the brute notes, shaking his head.

A hand goes to pat the dark-skinned amazon on the head. Heh. . . she tried.* - Thu Oct  8 20:22:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I probably shouldn't be laughing seeing as he broke my fucking arm. - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What the fuck is happening. - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ---- - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Oh Kojiro is here. - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey...Kojiro - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup, friend. - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Coughs* - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Come here. - Thu Oct  8 20:24:06 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ...Hmmn...? - Thu Oct  8 20:24:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ur fkin dun kid - Thu Oct  8 20:27:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Thu Oct  8 20:27:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hey Hideki. - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Didn't Kojiro shove his dick in your mouth? - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dman - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That ain't even happen though. - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: First he rubs one off on his sister while she is asleep - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And now this. - Thu Oct  8 20:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He is on a roll. - Thu Oct  8 20:29:13 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Tired? From what perhaps? - Thu Oct  8 20:29:13 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) doesn't even flinch. His body -- even his scrotom -- was hardened and refine. Along with this, he has immense tolernace for pain.

In no time, a hand speeds ahead, clutching at her neck -- not tightly. "Is no goo. . .  Real man know train nuts. . . Know be weak poin', so make no weak!" A clear reference to Saiyans training their tails.* - Thu Oct  8 20:29:13 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I am never tired! My body is a fire coursing with youth! - Thu Oct  8 20:30:56 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) 's nostril flared. He was glaring onto the amazon, yet his volatile nature subsided upon seeing the woman's submissiveness. Just as he'd expect if this was one of the amazons that had roamed his clan. The grip is released, allowing Bremusa free mobility, before his gaze shifts on to the north. "Glad know what be. . . Tell Maloth. . .where from? Nee' go find 'ther people," he says, referencing Bremusa birth place. Indeed, he had every intent on tracking down these amazons to see what they had to offer, or what their culture was like.* - Thu Oct  8 20:38:36 2015
<br><br><font color=teal>*Bremusa(Ej247) says: A amazon doesn't give out the location of her birth place. - Thu Oct  8 20:44:35 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is tell Maloth. .  - Thu Oct  8 20:45:26 2015
<br><br><font color=teal>*Bremusa(Ej247) says: What? - Thu Oct  8 20:46:17 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Tell Maloth! Wan' know. - Thu Oct  8 20:47:08 2015
<br><br><font color=teal>*Bremusa(Ej247) says: No. - Thu Oct  8 20:47:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Ugh, tell him so he'll stop screaming. - Thu Oct  8 20:47:08 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) frowns. He was partially fond of Bremusa, simply because she held the warrior mindset. A hand rests on shoulder. "What if win figh'. . . Have tell?"* - Thu Oct  8 20:48:00 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Certain things. - Thu Oct  8 20:48:51 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Mostly private. - Thu Oct  8 20:48:51 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: What is private? - Thu Oct  8 20:49:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: The certain things--. - Thu Oct  8 20:49:42 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Is pedo! - Thu Oct  8 20:50:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Excuse me, Miss Misa. - Thu Oct  8 20:50:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: How may I help you? - Thu Oct  8 20:51:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Have you seen Ortho around? - Thu Oct  8 20:51:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: He left while we were training mysteriously and I haven't seen him since. - Thu Oct  8 20:51:24 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) scrunches his nose. If Bremusa was like how he thought, then this could be settled in one of two ways. Violence or a showmanship of superiority. An arm wraps around her waist, and is used to tossed the amazon over his shoulder.

"We figh' then. Then ca' tell Maloth wha' wan' know."* - Thu Oct  8 20:51:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: He should be at the training grounds, if not return to me, I'll have one of my hawks scan the area. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: This will be.. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Interesting. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Is pedo! - Thu Oct  8 20:53:58 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I was at the training grounds, he wasn't there. - Thu Oct  8 20:54:49 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Can I go see this fight? - Thu Oct  8 20:55:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) thinks: Maybe I can learn a few things. - Thu Oct  8 20:56:32 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) nods. He had no qualms with Khalil observing.

"Nee' be quiet! Am man! Is woman," he shouts, feeling that Bremusa needed to be put into her place. Ah. . . the sexism that he grew up with, it was starting to show a little, especially since he knew he could win.* - Thu Oct  8 20:56:32 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Kay. - Thu Oct  8 20:58:14 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is crowd. .  - Thu Oct  8 20:59:05 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <*Relocates*> - Thu Oct  8 20:59:05 2015
<br><br><font color=teal>*Bremusa(Ej247) says: If this would was stripped of women man would die. . - Thu Oct  8 20:59:05 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) would have dragged Bremusa off against her will. She's set onto the sandy floor. He skips back, while doing a few stretching exercises to get his body back into a fighting move. This. . . was going to be fun, that much was certain. Of course, Maloth had no intention of going out, as that would certainly make the battle short-lived, and thus less exciting. Having done the proper exercises, his body begins to shift.

It lowers into a crouch, and both fists rise, giving a boxer-like stance. Eyes train onto Bremusa form. As his fist tightens, he gestures for the amazon to come at him. "If bea'. . . Maloth is make tell 'bout people. Like how village be! O' where they live," he says with a grin, though is clearly serious in his demands. Bremusa was a savage just as she was, even if titled 'Amazon.' And everyone knew brutes such as they handled things in one or two ways. Battle.* - Thu Oct  8 21:06:46 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) thinks: My money is on the winner. - Thu Oct  8 21:20:25 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) kept holding the stance up. His anticipation was steadily rising, until he simply could wait no longer. Thanfkully, Bremus hadn't yet attack, nor was she in the distance-- up until now. The second the Amazon is within range, his right palm shoots ahead, slamming righ into the center of the girl's chest. On impact, he pushes forward, aiming to send her body launching along the ground.

Of course, the main damage that was to spawn was going to be from the collision with the sand. As this happens, dust kicks up, briefly providing a cover over the region. ". . . Is not see?! Maloth lot more strong! Men be strong by nature. . . Is make sense. Men 'pose hunt an' figh'. . . woman jus' for cook, clean an' mate," taunted the brute. It was amazing how sexist these warrior tribes could be. Both eyes fall back onto Bremusa, waiting to see how well she'd respond. Muscles still are tensed to potentially be able to defend.* - Thu Oct  8 21:28:06 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||It all mattered little. "If what say be true. . . Then can bea' Maloth!" He taunts, the grin growing more wide. To met an amazon was perfect, as it would grant him the perfect opportunity to show that men were simply superior to woman. This wasn't opinion, it was fact that the male species was built to be more physically dominant or power. The dust had settled, and Bremusa was back at it again. Rather than take defensive measures, Maloth stood in place.

The kick comes straight forward, slamming against his stomach. . . yet it was all to no avail. Just as with the last blow, Bremusa would come to realize that Maloth's size and thickness wasn't just for show. A brick wall, the brute doesn't budge a single inch. "Is need hit more hard. . . Is all got!? Keep try hurt Maloth. . ." the tone is ooddly casual, which was odd considering how eccentric the beast tended to be in most scenarios. Was this all Bremusa had to offer?

Both eyes continue to train on her curvy, endowed frame. She could make a nice trophy once she had been broken down at least. That attitude. . . the sexist attitude, it had to be eradicated though. ". . .Is see how fight? No' think shoul' try learn from Maloth. . . Liddle 'man' no close strong 'nough fight this like," he says, having a leisure chat with Khalil while enduring the weak strikes from the haughty amazon.* - Thu Oct  8 21:47:44 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||"No matter. . .! Is can beat all amazon! Maloth think .. . Bremusa is mos' stron' . .?" He continues to chat even as the built female continued to send blows or strikes against his iron-like frame. It was all for nothing really. She lacked the proper strength and conditioning. 

Finally. . . He's tired of the games. Two massive clubs of hands move outward, grabbing underneath the girl's armpits. Eagerly, she's lifted up, and held over his head. His eyes are casted onto the floor, yet no actual movements are made. Instead, while suspending the girl in the middle of the air with one hand, the appendage that remains free is taken out and tossed onto the ground. 

It's a fuuinjutsu scroll rigged to be released upon touching the floor. Water and mud comes flooding out, making the floor cushioned, and primed for wrestling manuevers. It's quite thick as well, mind you,enough to submerge Maloth's feet entirely. Assuming that Bremusa remained unable to pry free, she's literally slammed from the air. Powerbomded she was, right into the pool of mud. Even with the liquid cushioning, the blown was strong enough to leave her shock.

A glance is  granted to Khalil shortly after! "No! Is no boy! Is lady, not man like Maloth!" protested the brute. There was still no way he was believing a feminine individual like that was actually a man. Ifa nythign, if Khalil actually was a male. . . then he was fortunate enough not to grow up within the brutish society Maloth held the misfortune of dealing with. In that scenerio, even as a male, Khalil would be treated just as a weak, untalented woman would.

Having chewed the Yamanashi out, Maloth's gaze falls back onto Bremusa. A slick grin is worn. If she remained in that position, shook, the giant prances ahead, planting a foot onto her chest, and pinning her onto the muddied ground. "Is give up . .?"* - Thu Oct  8 22:22:43 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) thinks: Maloth is scary.. - Thu Oct  8 22:23:34 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||It was all over from that point. As she slams into the ground, droplets of mud splash onto the scene. Some rushing onto his frame, other droplets perhaps getting onto Khalil. One thing was  certain, however. . . That Bremusa was thoroughly covered and perhaps even humiliated.

After looking down, his arms swiftly latch onto her shoulders and uses that grip to set her onto his shoulders. "Is over. . .Now Tell Maloth what wan' know! Tell 'bout amazon people! How they live! Where they live!" The brute demands. Once she was in position, Bremusa is literally lifted up and shoulder-pressed, repeatily. He had to thoroughly show off his dominance.

Before all of this, his veins were subtly popping out of his form. The tension had risen, and instictively, Maloth had again slipped into a jutsu he deemed the 'equalizer.' A technique that empowered him and placed him more on par with actual ninjutsu user. It was a fair concept, as he was very limited in terms of combative ability. 

