<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ushinawa? - Thu Oct  1 19:07:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I just think. - Thu Oct  1 19:17:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You'd care that your bloodline was in danger once again. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But not by such a powerful enemy. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd exercise caution, because this is a battle you may not be able to win. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Money makes the world go round. - Thu Oct  1 19:20:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Exactly. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---But. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Because I value your company so much. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Erebus has gotten ahold of one of your clansmen. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Consider this free of charge. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Gonna' cost you extra, Although I could use a good read on a Fire Jutsu Scroll, If you have any. - Thu Oct  1 19:23:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A scroll or two would be ideal. - Thu Oct  1 19:23:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe if you actually hopped on skype that'd also help - Thu Oct  1 19:24:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit-- - Thu Oct  1 19:24:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Though. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ah? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Really? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You're an angle. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Angel* - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: After you told me you'd help me with my traiining? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That hurts.. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Don't be like that Ushinawa. - Thu Oct  1 19:29:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's fine. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Watch your back out there. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nothing much. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I was actually about to look for you anywyay. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mhm. - Thu Oct  1 19:33:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shall we head to your place? - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I did lose the bet yesterday. - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And you owe me two more games~ - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Aw really? - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm kind of relieved. - Thu Oct  1 19:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't look good in a maid's uniform. - Thu Oct  1 19:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm.. - Thu Oct  1 19:37:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have no clue what to do with my day then. - Thu Oct  1 19:37:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's asleep. - Thu Oct  1 19:42:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It definately does. - Thu Oct  1 19:44:25 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yo. - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Sup. - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: How's it going? - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Pretty decent, and yourself? - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Pretty good. - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: M names Jubei, what about you? - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Seisuke. - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Cool, cool. Nice to meet you. - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The pleasure is mine. - Thu Oct  1 20:59:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Are you new around here? - Thu Oct  1 20:59:31 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Ergh, I mean.. I've been here for a bit but I haven't -really- been around.. - Thu Oct  1 20:59:31 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: At least for the good bits, I guess you could say I'm new here. - Thu Oct  1 21:00:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ah, so you aren't one of the people who frequently crowd this building like it's a pantry. - Thu Oct  1 21:01:13 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: No, I like to be proactive.. Plus..... - Thu Oct  1 21:01:13 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I'm not really a people person. - Thu Oct  1 21:01:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Understandable. - Thu Oct  1 21:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: People are annoying at points. - Thu Oct  1 21:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --More often than no. - Thu Oct  1 21:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: not* - Thu Oct  1 21:02:04 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Seems there aint much to do anyway. - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: There really isn't. - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you're smart you'd migrate somewhere more interesting. - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Migrate?  - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Like to another play around the village? - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe to another Village.. - Thu Oct  1 21:04:38 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Won't I be like... - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sunagakure seems to be flourishing. - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Hunted down and killed? - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I mean. - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't Koeki would. - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's a pacifist. - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I mean.. I don't know.. I feel like if I go anywhere I'ma ask for permission. - Thu Oct  1 21:06:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's the safest decisiono. - Thu Oct  1 21:06:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Possibly the most boring as well. - Thu Oct  1 21:06:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm a bit bored. - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Debating what to do. - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I mean she's gonna show up soon, hopefully. Hm, given how you talk I guess it's fair to say she let's you go where you want, right? - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm not a Shinobi of this Village. - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She couldn't stop me if she wanted. - Thu Oct  1 21:08:03 2015
