<br><font color=yellow>*Yukimura, Seisuke(Jjking218) took it back handing her another.* - Thu Oct  1 02:05:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Thu Oct  1 02:26:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then I have an idea. - Thu Oct  1 02:26:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Be my maid for a day. - Thu Oct  1 02:26:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: *nod* - Thu Oct  1 02:26:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmmm. - Thu Oct  1 02:27:37 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Shit. - Thu Oct  1 02:27:37 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I cannot refuse. - Thu Oct  1 02:28:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well then. - Thu Oct  1 02:28:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Another round~? - Thu Oct  1 02:28:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Also that starts tomorrow~ - Thu Oct  1 02:28:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Thu Oct  1 02:28:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fair enough. - Thu Oct  1 02:28:28 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) looks away with a light grunt,  looking at Kirie's back as she sat atop of him.* - Thu Oct  1 02:40:25 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) pouts, a bit as he spoke "I don't have another scroll at this moment...Is there anything else?"* - Thu Oct  1 02:43:50 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmmm? - Thu Oct  1 02:44:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Is that so? - Thu Oct  1 02:44:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yes Sadly, I can do almost anything else. - Thu Oct  1 02:45:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then you get to be my maid tomorrow instead of the other way around. - Thu Oct  1 02:45:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Aw...Fine, I can't deny that. - Thu Oct  1 02:45:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Onto the next round? - Thu Oct  1 02:45:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fuck.. - Thu Oct  1 02:51:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Dammnit.. - Thu Oct  1 02:53:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What do you want? - Thu Oct  1 02:53:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  1 02:54:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What Fuuinjutsu techs do you know? - Thu Oct  1 02:54:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Summoning Techniques, and the Standard Sealing techniques. - Thu Oct  1 02:54:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Asking for a summoning technique would be too much. - Thu Oct  1 02:54:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I also know some medical Ninjutsu. - Thu Oct  1 02:54:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And how standard are the standard sealing techniques? - Thu Oct  1 02:54:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You'd need some background in Fuuinjutsu to Learn them, But basic, Lotus, and Root Sealing. - Thu Oct  1 02:55:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I know the Lotus and basic sealing. - Thu Oct  1 02:55:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I could teach you the medical Ninjutsu I learned from Koeki. - Thu Oct  1 02:57:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That would be nice. - Thu Oct  1 03:00:03 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) tosses her a scroll.* - Thu Oct  1 03:00:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Two more rounds. - Thu Oct  1 03:00:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So sit back down and let's play~ - Thu Oct  1 03:00:54 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Haaah... - Thu Oct  1 03:15:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Hey Lera~ - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hey~ - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: Are you ready to talk about...that? - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Y-Yeah. - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: Come on~ - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: S-So.. - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: Children huh - Thu Oct  1 03:22:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: I want twelve - Thu Oct  1 03:22:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Thu Oct  1 03:22:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: S-So...Y-Yeah... - Thu Oct  1 03:22:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its not something that needs to happen right now... - Thu Oct  1 03:22:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: I mean...I'm still only fifteen. - Thu Oct  1 03:22:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I agree...We have a lot of time. - Thu Oct  1 03:23:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: All the time in the world~ - Thu Oct  1 03:23:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Y-Yeah. - Thu Oct  1 03:23:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Lera...Mind if I ask you a question? - Thu Oct  1 03:23:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sure - Thu Oct  1 03:23:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: You can ask me anything - Thu Oct  1 03:23:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you found out, I was the most evil person in the world, What would you do? - Thu Oct  1 03:23:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Hm...Be evil right alongside you - Thu Oct  1 03:23:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: You're not getting rid of me that easily~ - Thu Oct  1 03:23:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ....Really...You'd do that for my sake? - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: You're stuck with me for life. - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: No matter what you do. - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm glad then....I couldn't ask for a better pairing. - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I think I made a valuable friend. - Thu Oct  1 03:26:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh? - Thu Oct  1 03:26:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yeah. - Thu Oct  1 03:26:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I helped the former Hokage get a new identity. - Thu Oct  1 03:26:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ah - Thu Oct  1 03:26:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: I take it...she was in trouble? - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: With whoever took her place. - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's being hunted by Erebus. - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Why? - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: I thought he was trying to help her. - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She doesn't know. - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: That guy - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: The sooner someone kills him the better. - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mitsuru is missing as well. - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah...I'm not all that worried about him - Thu Oct  1 03:28:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Surprisingly neither am I. - Thu Oct  1 03:28:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's probably dug himself a hole and shoved his head in it - Thu Oct  1 03:28:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Speaking of holes. - Thu Oct  1 03:28:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I never did get to return the favor~. - Thu Oct  1 03:29:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Huh? - Thu Oct  1 03:29:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: N-Nevermind. - Thu Oct  1 03:29:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm just...confused by what you mean. - Thu Oct  1 03:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: My execution of that line sounded better in my head. - Thu Oct  1 03:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: It confused me once I heard myself say it. - Thu Oct  1 03:29:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Holes..? - Thu Oct  1 03:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: N...Nevermind. - Thu Oct  1 03:29:55 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: What did I give him to do with hol- Oh... - Thu Oct  1 03:29:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Thu Oct  1 03:30:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: You need to work on your innuendo's~ - Thu Oct  1 03:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Y-Yeah...I suppose I do. - Thu Oct  1 03:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --Maybe I also shouldn't lead into it, with a sentence that has Mitsuru's name in it. - Thu Oct  1 03:31:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Maybe not~ - Thu Oct  1 03:34:11 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) leans forward and gave her a kiss on the lips. "I love you Lera,  You mean the world to me."* - Thu Oct  1 03:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I think, I need to lay down. - Thu Oct  1 03:36:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The talk about Children may've taken a lot more out of me mentally than I thought! - Thu Oct  1 03:36:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see~ - Thu Oct  1 03:40:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: We have plenty of time - Thu Oct  1 03:40:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yeah. - Thu Oct  1 03:40:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: All the time in the world right~? - Thu Oct  1 03:40:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm~ - Thu Oct  1 03:41:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ushinawa? - Thu Oct  1 19:07:44 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Mhm. - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: He's here for the Raiga as well? - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Is Hideki still being Emo? - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: I'm definately noticing a trend with those related to Ushinawa. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Hideki's anger has been transformed into something bigger than himself. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That so? - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Aye. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I reccomend just heading home. - Thu Oct  1 19:10:17 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: That is something that I cannot abide. - Thu Oct  1 19:10:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Care for a small chat? - Thu Oct  1 19:12:00 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: If it's right here. - Thu Oct  1 19:12:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You treat me like an enemy. - Thu Oct  1 19:12:00 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: No, that isn't the case. - Thu Oct  1 19:12:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Let me ask you a question. - Thu Oct  1 19:12:51 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Hm? - Thu Oct  1 19:12:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How much would the location of one who possesses your Doujutsu be to you? - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I don't understand your question. - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: -- - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Rather. - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I don't think I heard your correctly. - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It was as it sound. - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Would you be willing to pay for information, on to the whereabouts of one of your bloodline? - Thu Oct  1 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: No, I wouldn't pay for information regarding something my relative, or former relative possessed. - Thu Oct  1 19:14:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I meant where they were, not specifically their abilities. - Thu Oct  1 19:15:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I figured you'd be trying to round them up by now. - Thu Oct  1 19:15:24 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I care nothing about the others Doujutsu.  - Thu Oct  1 19:16:16 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I am curious. - Thu Oct  1 19:16:16 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: How you managed to come by this information. - Thu Oct  1 19:16:16 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: But I suppose it's of no consequence. - Thu Oct  1 19:16:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A little bird flew by. - Thu Oct  1 19:17:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A whispered of a sweeter tomorrow. - Thu Oct  1 19:17:07 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I suppose I should inform you a little bit about myself. Information, and the pursuit of information is something the shinobi nation has sought to gain, time and time again. Even a sliver of information could be the divide between life, and death. - Thu Oct  1 19:17:58 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I don't want to know. - Thu Oct  1 19:17:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I just think. - Thu Oct  1 19:17:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You'd care that your bloodline was in danger once again. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: What fool allowed himself to be destroyed, and his eyes pilfered- - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: They always are. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But not by such a powerful enemy. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd exercise caution, because this is a battle you may not be able to win. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: *Chuckles* You have a gold tongue, Seisuke-San. You once spoke of assisting people with problems, but all I see are potential bribes and cryptic warnings.  - Thu Oct  1 19:19:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Money makes the world go round. - Thu Oct  1 19:20:32 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Then continue to do what you do. Currency is only a means to an end.  - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Exactly. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---But. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Because I value your company so much. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Erebus has gotten ahold of one of your clansmen. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Consider this free of charge. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: .................. - Thu Oct  1 19:22:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Gonna' cost you extra, Although I could use a good read on a Fire Jutsu Scroll, If you have any. - Thu Oct  1 19:23:56 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: How much? - Thu Oct  1 19:23:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A scroll or two would be ideal. - Thu Oct  1 19:23:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe if you actually hopped on skype that'd also help - Thu Oct  1 19:24:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit-- - Thu Oct  1 19:24:48 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: *Sigh* - Thu Oct  1 19:24:48 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) thinks: Six thousad five hundred standing forces, in addition to Niza-Sama's own fighting force...  - Thu Oct  1 19:26:30 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) thinks: Konoha is going to pay. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I suppose. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Though. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ah? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Really? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You're an angle. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Angel* - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I'm - No, I am leaving. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hi person - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: But Konohagakure is going to be slag before this day is done.  - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: After you told me you'd help me with my traiining? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That hurts.. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Possibly, I would've helped- Hello. - Thu Oct  1 19:28:12 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: But. - Thu Oct  1 19:28:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Don't be like that Ushinawa. - Thu Oct  1 19:29:04 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I am being exactly like that. People have been keeping information from me regarding a relative of mine. I get messages from people I care nothing for telling me not to kill them. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Threats from people who hide in the shadows. No, no. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I am done. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's fine. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Watch your back out there. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is going on? - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nothing much. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That turned sour very fast - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Like the escalation. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Was wow. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I was actually about to look for you anywyay. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Me? - Thu Oct  1 19:33:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mhm. - Thu Oct  1 19:33:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shall we head to your place? - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: For? - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I did lose the bet yesterday. - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And you owe me two more games~ - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have things to do today. - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wasn't going to keep you as a maid. - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Aw really? - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Thu Oct  1 19:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm kind of relieved. - Thu Oct  1 19:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't look good in a maid's uniform. - Thu Oct  1 19:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm.. - Thu Oct  1 19:37:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have no clue what to do with my day then. - Thu Oct  1 19:37:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hang out with your girlfriend. - Thu Oct  1 19:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Or something. - Thu Oct  1 19:42:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's asleep. - Thu Oct  1 19:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  1 19:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sucks. - Thu Oct  1 19:43:34 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It definately does. - Thu Oct  1 19:44:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I must...I'm her husband and father of her children. - Thu Oct  1 20:26:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Thu Oct  1 20:27:05 2015
