<br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as he noticed  her attempt to meet his punch half way, and he attempted to pull his strike, without hesitation, his left foot is sent towards her stomach, about mid-way, it ignites with a similar wind chakra, his transition was smooth and effortless, it moves horizontally, as if aiming to lightly cut her stomach. But like before, he held back to the point no physical harm would befall her, besides maybe blunt force damage, and a mild stringing should the wind connect with her.
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wanna see my place? - Thu Oct  8 01:36:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-Huh? You wouldn't mind? - Thu Oct  8 01:36:51 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as he followed her to where she was leading him,part of him wonder if that body suit was comfortable, he saw a guy with a jumpsuit and he was sure it wasn't for a guy, but he didn't dare ask "S-So you have a roommate?" He asked curiously, wondering why there was a base in such an exotic location.* - Thu Oct  8 01:40:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Ummmm.... - Thu Oct  8 01:41:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sort of. . . - Thu Oct  8 01:41:07 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) enters looking around "It's a nice place...But out of the way, isn't it?" He asked looking around lightly, before he heard her words, and decided to look around briefly, before heading to the fridge, as he spoke "Excuse my intrusion." As he aimed to pull the door open, and look for something to drink, noticing countless bottles of Sake lining the door. As a light joke he asked:

"What do you reccomend?"* - Thu Oct  8 01:46:14 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) nodded his head as he reached for a bottle, followed by searching for glasses he found two before he approached Katsune, wondering if he'd be acting like he was to familiar if he took a seat on the couch beside her and decided to take a seat on the floor in front of her opening the bottle he poured two glasses of sake and offered one to her. "I've never...Drunk Sake before." He stated looking at the liquid.* - Thu Oct  8 01:53:04 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) twirled his glass, watching the liquid move before he smelled it, the scent of alcohol burning his nostrils, before he raised it to his lips, tilting it back he took a sip of the liquid coughing as it rolled down his throat. "T-That's s-strong." He muttered, a bit embarrassed, before he realsied he was in the prescence of a woman he tried to mutter up some courage to seem manly. "W-Wow! That's g-great stuff!" He stated, looking more like a fool than manly.* - Thu Oct  8 02:06:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Anyway. - Thu Oct  8 02:08:25 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looks up at her as he spoke" I was looking for a place to meet new people...Maybe even become a shinobi." He stated lightly, looking down at the liquid once again, before deciding to try another sip, being gifted the same reaction, as he looked up to her from his position on the floor.* - Thu Oct  8 02:10:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Kumogakure's not good enough for that? - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll admit I've never been. - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Went there once to buy something but I was in and out in ten minutes so it hardly counts. - Thu Oct  8 02:10:59 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at her as he scratched his cheek, "Kumogakure...Is a weird place, It's not the best place for meeting new people." He stated lightly, admiring her talent for drinking down sake like that, so he tried to follow in pursuit and chug down the rest of his glass, coughing up a storm. Before in a moment it felt like someone hit him with a brick.* - Thu Oct  8 02:13:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. . . - Thu Oct  8 02:14:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Dark place or. . .? - Thu Oct  8 02:16:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Orgies everywhere? - Thu Oct  8 02:16:06 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) had a light buzz and shook his head as he spoke "I don't know,  It's a mixture of every...Everything...*hiccup* Plus e-everyone seems t-to have formed their o-own cliques."* - Thu Oct  8 02:17:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Thu Oct  8 02:22:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Kilm always said it was bad. - Thu Oct  8 02:22:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Kilm? - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Friend of mine. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Was a Kumogakure shinobi five years ago. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Then he got enslaved by Zetsumo, not long after Zetsumo caught me too. - Thu Oct  8 02:24:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Yeah. That was probably TMI. - Thu Oct  8 02:33:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . - Thu Oct  8 02:33:10 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at Katsune with admiration as he spoke "Wow, You're a lot better a person Than me." He muttered, unconciously sipping at the Sake but he seemed to handle it a lot better. "No, It's fine." He stated, in regards to her saying it was to much information.* - Thu Oct  8 02:35:44 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looks down at his sake as he spoke "I don't know...I think I'd be too afraid...To move forward, if someone enslaved me...I don't think I would've had the strength." He mumbled but he shook his head "I apologize...I'm probably bringing up memories you'd like to forget." He stated bowing his head lightly.* - Thu Oct  8 02:39:08 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at her, he probably had already drunk a lot more than he should've but he smiled when she spoke. He looked up to her a faint blush was etched across his face as he spoke "That's good,  Life is pretty good at points, It's these moments. The little ones, that make it enjoyable...In my opinion. "He added that last line for good measure, as he took his final sip, looking at his empty glass.* - Thu Oct  8 02:45:58 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked up at her as he maintained his faint blush as he spoke "I...I think you look nice." He stated, raising a single finger to his cheek, he scratched it out of embarrassment, his speech was slightly slurred with the occasional hiccup. But after a moment, he turned and laid upon the floor, resting his head before her feet as he looked up to her studying her expression it seemed like he had stuff he wanted to say but couldn't find the words.* - Thu Oct  8 02:55:21 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looks up at her as she spoke and immediately he retorted "I-I'm not d-drunk!"  Followed by a hiccup, as he rested on the floor by the couch as he spoke "B...But seriously, I...I don't know how I m-managed to get y-you to talk to me. *hiccup*." He stated lightly, looking at her from his position.  His checkered hair hanging low over his face.* - Thu Oct  8 03:04:44 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at the glass of Sake as he spoke "Oh..." He mumbled sounding a bit saddened, but being drunk and all, he still went to reach for the bottle of sake. Though it was slow, and he was too out of it to accurately gauge the distance, and ended up just knocking it over. "Oops.." He muttered.* - Thu Oct  8 03:13:16 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) honestly didn't care currently either as he spoke his voice honestly sounded serious for a moment, it was one of those times, when a drunk went to a pretty dark place as he spoke "I'm....A pretty stupid guy...aren't I..? Too weak...to defend themselves...I don't have any friends....And I'm probably not a likable person..." He muttered.* - Thu Oct  8 03:16:41 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looks up at the ceiling, as he realised, he was asking a girl who knew nothing about him, to give insight as to what he was. "I see....Thanks for your honesty." He spoke lightly, as he looked around. "I'm....A bit sleepy....Can I...stay here?"* - Thu Oct  8 03:20:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Thu Oct  8 03:20:06 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at the bedroom she pointed at,  and slowly he stood up, wobbling a bit, as he spoke "I-I see, T-Thank you....K-Katsune-san." He stated, rubbing his eyes with both hands, as he stumbled a bit taking two steps, before he collapsed in front of her door way. Snoring heavily.* - Thu Oct  8 03:23:31 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: I finished m-my assignment, A-Asteroth-san. - Thu Oct  8 18:57:55 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Asteroth-san. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Good evening. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: Did you now? - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Y-Yeah. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Thu Oct  8 19:01:20 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) scratched his cheek a bit, before he began walking towards the south.* - Thu Oct  8 19:02:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your friend is doing better. - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Just thought you should know. - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ? - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Reguel who's eye did you steal? - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Fucker. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Reguel(Airide) says: No one's. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Lying ass. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's okay though. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Reguel(Airide) says: And Misa he's talking about Hideki, although, that's more of an understatement. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hideki isn't my friend.. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I think he'd need a great deal of endurance for a Self-Transplant. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If he did, I'd be terrified.. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Not someone I'd want to mess with. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He's too much of a jerk to die... - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: And how or why would that complete stranger think Hideki was my friend? - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm sure. - Thu Oct  8 19:06:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: That's why you're doing them right now. - Thu Oct  8 19:06:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Like being a shit-head. - Thu Oct  8 19:06:27 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) proceeded to lead her to a small cafe, wiping down her seat as he pulled it out for her. "H-Here.* - Thu Oct  8 19:08:09 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked followed by a deep blush as she rubbed his chin, looking towards her as he took a seat across from her.

"Y-Yeah...When I g-got there, there were dead bodies e-everywhere, i-it's a stretch calling it a village, And those w-who were still there, said t-that all the high ranking officials are dead. There's n-no military prescence."* - Thu Oct  8 19:15:50 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) shook his head as he spoke "N-Nothing that I-I can think of." He admitted lightly, looking at the table. He genuinely didn't remember anything he deemed to be of use.* - Thu Oct  8 19:20:57 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mmm. . . Swell. Good work then. How goes your training? - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: A-Alright I suppose...Though I lack a-anyone who can h-help me  m-much. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And what is it that you require help in? - Thu Oct  8 19:26:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: N-Ninjutsu would be ideal, B-But having an ace t-to pull in another category would be good a-as well. - Thu Oct  8 19:27:47 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Thu Oct  8 19:28:38 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: That's a broad category. - Thu Oct  8 19:28:38 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Specifics. - Thu Oct  8 19:28:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: S-Sorry, W-Wind Ninjutsu. - Thu Oct  8 19:28:38 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm. .. Sunagakure would be a good place to start. - Thu Oct  8 19:29:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Tried. - Thu Oct  8 19:29:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: T-They're on high a-alert and not letting a-anyone in. - Thu Oct  8 19:29:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Thu Oct  8 19:29:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Not letting -anyone- in? - Thu Oct  8 19:30:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm sure their economy is suffering. - Thu Oct  8 19:30:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: P-Probably, B-But I heard t-they w-were attacked recently. - Thu Oct  8 19:30:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And? - Thu Oct  8 19:37:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Villages always get attacked. - Thu Oct  8 19:37:10 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-It seemed to rattle them m-more than usual is all. - Thu Oct  8 19:38:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: S-Sorry for stating useless i-information. - Thu Oct  8 19:38:01 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) bows his head apologetically.* - Thu Oct  8 19:38:01 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) scratched his cheek, realising his position fairly quickly. He decided to take a different approach since it was a different restaurant, he raised a hand looking towards one of the waitresses, he gave her a smile while motioning for her to come to the table, he seemed to be taking a gentler approach, as he wondered if she wanted him to order for them.

Hoping she'd enjoy this one he took another shot at a highly expensive dish "T-Two Lobster Frittas..." He stated lightly.* - Thu Oct  8 19:49:58 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at her as he spoke "I-I think you'd be a g-great, l-leader....A-And it'd be...And c-currently i-is an honor to s-serve you." He stated looking away shyly. After a few minutes, the waitress returns with the dish setting one down before either of them as he looked to Asteroth hoping she'd enjoy what he had selected. A faint blush graced his cheeks, it was painfully obvious he had a crush of sorts on Asteroth.* - Thu Oct  8 20:11:18 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at her as he spoke "I-If it's y-you I'm sure y-you can accomplish it...W-Whatever you put your m-mind to." He stated lightly.  He wondered why she allowed him to hang around her, but he was happy she did.* - Thu Oct  8 20:30:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mm. . Eh. Takes a lot of money. My family has cut me off as well.. - Thu Oct  8 20:30:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-I'll help you gather t-the money. - Thu Oct  8 20:31:47 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: How much do you have on you? - Thu Oct  8 20:34:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: M-Maybe half a M-Million? - Thu Oct  8 20:36:54 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Interesting. - Thu Oct  8 20:42:01 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: On another note. Have you formed any bonds in this village? - Thu Oct  8 20:42:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I don't believe so.. - Thu Oct  8 20:42:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Odd. I'd expect someone as charming as you to make friends. ..  I fear you'll grow bored being by my side all day. - Thu Oct  8 20:43:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Ch-Charming? A-And...I-I don't t-think I c-could ever go bored...B-Being by your side. - Thu Oct  8 20:43:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Oh? I'm willing to bet different. But we'll see. - Thu Oct  8 20:44:35 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: U-Uh, I-If there's ever a-anything you n-need please don't hesitate to a-ask me. - Thu Oct  8 20:45:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Well I do want Konoha. . . - Thu Oct  8 20:47:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm tired of being some random bar maiden. - Thu Oct  8 20:47:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: It'd be nice to have some political say.. - Thu Oct  8 20:47:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-I se.e - Thu Oct  8 20:49:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Altthough. That's all wishful thinking. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Anywho. . I'm bored. What do you want to do after. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: We're done eating that is. - Thu Oct  8 20:52:16 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: U-Uh. - Thu Oct  8 20:54:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-I coul----N-Nevermind. - Thu Oct  8 20:54:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Hello, Sensei. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Hello. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Free for training? - Thu Oct  8 23:48:54 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Is that a no? - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We can. After this, Cypher. - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll also get Ortho in this. - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ---- - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I feel....a disturbence.. - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Guys. - Fri Oct  9 00:00:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm making Hebi - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Us 3 and Ortho - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --omit- - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Well, atleast I know the range. - Fri Oct  9 00:04:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: ALLYOU NINJAS UGLY! - Fri Oct  9 00:07:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: HAHAHA!SEXY NINJA PRIVILEGES@ - Fri Oct  9 00:08:32 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Fri Oct  9 00:08:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Are they killing her? - Fri Oct  9 00:22:11 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) proceeds to find a safe face to jerk off.* - Fri Oct  9 00:24:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-Hey A-Asteroth-sama. - Fri Oct  9 00:26:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Why this nigga got two shades of hairlines? - Fri Oct  9 00:28:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: What's going on? - Fri Oct  9 00:28:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oi, you've got good reflexes for a medic, Reguel. - Fri Oct  9 00:29:00 2015
<br><br><font color=teal>*Reguel(Airide) says: What? - Fri Oct  9 00:29:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup. - Fri Oct  9 00:30:43 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hey. - Fri Oct  9 00:30:43 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Tell me. - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ? - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Are you a fighter? - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Why? - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm a bit bored, care to go a round? - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: *doesn't mind* - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ha...... - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: To be fair. - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'd be more inclined. - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Only Taijutsu, and I'll only use my legs. - Fri Oct  9 00:32:25 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If some strong ass man didn't show up and- - Fri Oct  9 00:32:25 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No. If I mess up this injury anymore. - Fri Oct  9 00:32:25 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm going to lose my arm. - Fri Oct  9 00:32:25 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: later on - Fri Oct  9 00:32:25 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Fair enough. - Fri Oct  9 00:32:25 2015
