<br><font color=teal>*Ziare(Meekee) says: It's more efficient than yours. - Mon Nov  2 07:39:56 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I'm going to take my leave for now. A bit sleepy. - Mon Nov  2 08:05:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Alright, See you later. - Mon Nov  2 08:06:24 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Ohoho? - Mon Nov  2 08:06:24 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I'd think that knowing someone really well is a good grounds and good credentials- a positive for a relationship. - Mon Nov  2 08:06:24 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: After all, a boyfreind or a girlfreind is someone who being with makes you happy, that you want to spend your life with. - Mon Nov  2 08:06:24 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Y'know? - Mon Nov  2 08:06:24 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Not with this downer... - Mon Nov  2 08:07:15 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Mon Nov  2 08:07:15 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: Can't say that one didn't hurt a bit... - Mon Nov  2 08:07:15 2015
<br><br><font color=teal>*Rias(Jhunt713) says: But I can say I have seen him smile every once and a while and its cute - Mon Nov  2 08:08:06 2015
<br><br><font color=yellow>*Rias(Jhunt713) nudges him with her elbow* - Mon Nov  2 08:08:06 2015
<br><br><font color=teal>*Ziare(Meekee) says: Stop... - Mon Nov  2 08:08:57 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Mrm.. - Mon Nov  2 08:08:57 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I don't think I've ever seen him smile, you know? - Mon Nov  2 08:08:57 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: So good on you for making him smile. - Mon Nov  2 08:08:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well I was enjoying my meal...but all this talk of relationships has put me off it... - Mon Nov  2 08:09:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right? - Mon Nov  2 08:11:31 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I have made him smile once or twice but it isnt me that he is attracted to - Mon Nov  2 08:11:31 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Z doesnt really do relationships... never did... - Mon Nov  2 08:12:22 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Ah, fair enough... - Mon Nov  2 08:14:04 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Mrm. - Mon Nov  2 08:14:04 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: So, Takeda. - Mon Nov  2 08:14:04 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: .... I was wondering. - Mon Nov  2 08:14:04 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Do you think I'd be able to get away with taking a trip to visit Suna? - Mon Nov  2 08:14:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Mon Nov  2 08:14:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah. - Mon Nov  2 08:14:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Zeus probably won't even know. - Mon Nov  2 08:14:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And i'll allow it anyway. - Mon Nov  2 08:14:56 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Mrm.. - Mon Nov  2 08:15:47 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Yeah. - Mon Nov  2 08:15:47 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I've been meaning to visit Ai-kun for a while, now. - Mon Nov  2 08:15:47 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I'm getting worried about him, with the lack of news... - Mon Nov  2 08:16:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Just be sure to contact Hassan first. - Mon Nov  2 08:16:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: He'll kill you without a second thought. - Mon Nov  2 08:16:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As will his guards. - Mon Nov  2 08:16:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: This Hassan guy sounds like a dick. - Mon Nov  2 08:17:29 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Ai-kun? - Mon Nov  2 08:17:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: If I ever meet him i'll sock him in the gut. - Mon Nov  2 08:17:29 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: My boyfreind, Ai, yes. - Mon Nov  2 08:17:29 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: And... - Mon Nov  2 08:17:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ziare. - Mon Nov  2 08:17:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hassan would drop you in a split second. - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Aww thats sweet - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hassan isn't so much a dick, as a man whose village has had war declared on it by someone who already destroyed one village. - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: He tore the strongest person i've ever known to pieces. - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Literal pieces. - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: He's being paraniod and cautious- and rightly so.. and yes. - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Who was that? - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I think he's the strongest Shinobi alive. - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Suitengu. - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: My seven year old friend. - Mon Nov  2 08:18:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Tch, sounds like he's just a glorified and entitled dick. - Mon Nov  2 08:19:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah say that to his face. - Mon Nov  2 08:19:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: See how long you last. - Mon Nov  2 08:19:12 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I have heard of Hassan, a power and intimidating man... the Gezo lets him do what he wants is what I hear - Mon Nov  2 08:19:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: If I ever meet him, I will. - Mon Nov  2 08:19:12 2015
<br><br><font color=teal>*Rias(Jhunt713) says: No, Z we have talked about this.... - Mon Nov  2 08:20:03 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ....Yo. - Mon Nov  2 08:20:54 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Let me just... - Mon Nov  2 08:20:54 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Explain that suicide is an awful idea. - Mon Nov  2 08:20:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I think that talk would best come from me, Ketsuki. - Mon Nov  2 08:20:54 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I mean. - Mon Nov  2 08:21:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: Anyway, what brings you over here. - Mon Nov  2 08:21:45 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I've talked two people out of suicide now, counting you, Takeda. - Mon Nov  2 08:21:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: Aren't you usually training Rias? - Mon Nov  2 08:21:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Huh, Who was the other? - Mon Nov  2 08:22:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Actually don't tell me. - Mon Nov  2 08:22:36 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: The Raikage, when I ran into her in Kumo's rui- - Mon Nov  2 08:22:36 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Okay. - Mon Nov  2 08:22:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh Amaya? - Mon Nov  2 08:22:36 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Yea, not everyone can be as a gifted as you are Z - Mon Nov  2 08:22:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah I can see why. - Mon Nov  2 08:22:36 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ....Mrm. - Mon Nov  2 08:22:36 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ....Anyway! - Mon Nov  2 08:23:28 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Let's change the topic from something gloomy. - Mon Nov  2 08:23:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So, Friend of Ziare. - Mon Nov  2 08:25:10 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What are you capable of? - Mon Nov  2 08:25:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: Being annoying. - Mon Nov  2 08:26:01 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Im smart, a battle strategist like Z but not as good... - Mon Nov  2 08:26:52 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I see... - Mon Nov  2 08:26:52 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Mrm. - Mon Nov  2 08:26:52 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Me, I'm a Swordswoman who uses Genjutsu. - Mon Nov  2 08:26:52 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: And I go fast, sometimes. - Mon Nov  2 08:26:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well, I meant abilities but that works too. - Mon Nov  2 08:27:44 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Swordwoman with genjutsu? You can combine that? - Mon Nov  2 08:27:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: She's from a cousin clan. - Mon Nov  2 08:27:44 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hrm? - Mon Nov  2 08:27:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's really all that should be important for you. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Ah, you and her are related? - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: Our jutsu are considered Hiden. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: My bad, for earlier. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: We are just childhood friends. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: This is going to be difficult...theres both no variety and variety of abilities in konoha... - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: She's like my little sister. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ah, I see. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Mrm... - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: She does what you do I guess. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: But yeah. You can combine Kenjutsu and Genjutsu. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not exactly. - Mon Nov  2 08:28:35 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: You stun someone with a GEnjutsu, then draw a sword and cut their head off while their stunned. - Mon Nov  2 08:29:26 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I see - Mon Nov  2 08:29:26 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I can kinda do that - Mon Nov  2 08:29:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: We need Chuunin too...but there isn't a lot of candidates... - Mon Nov  2 08:29:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Ziare is very intelligent...yet lacks any leadership skills... - Mon Nov  2 08:30:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Ketsuki is a leader, but is also too headstrong...ugh. - Mon Nov  2 08:31:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm. - Mon Nov  2 08:31:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I should organise more group exercises for us. - Mon Nov  2 08:31:08 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Yeah? - Mon Nov  2 08:31:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Pass. - Mon Nov  2 08:31:08 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I miss those with Zeus. - Mon Nov  2 08:31:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You can't pass Ziare. - Mon Nov  2 08:31:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Mon Nov  2 08:32:00 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Back when Ambrocio Sensei was still here, and Zeus still gave a fuck. - Mon Nov  2 08:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Zeus cares. - Mon Nov  2 08:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: He just has a lot of work to do. - Mon Nov  2 08:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Don't worry about it, it's what i'm here for. - Mon Nov  2 08:32:00 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Z, your a natural born leader if you just apply yourself - Mon Nov  2 08:32:00 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I mean.. - Mon Nov  2 08:32:51 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I guess, Takeda. - Mon Nov  2 08:32:51 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I guess. - Mon Nov  2 08:32:51 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Sorry- I'm just... - Mon Nov  2 08:33:42 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Frustrated. - Mon Nov  2 08:33:42 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Remember when we where the only people in the village for a whole week? - Mon Nov  2 08:33:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'd rather not. - Mon Nov  2 08:33:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: If people get hurt. - Mon Nov  2 08:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Kyu would be my choice...He's both calm and strong...and is quite intelligent. - Mon Nov  2 08:33:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: It wont be under my lead. - Mon Nov  2 08:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yes ketsuki. - Mon Nov  2 08:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I remember it well, I understand why you feel that way. - Mon Nov  2 08:34:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Just don't worry, I have everything under control. - Mon Nov  2 08:34:33 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ... Yeah. I just.... Ugh. Sorry, sorry. - Mon Nov  2 08:34:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: See Ziare. - Mon Nov  2 08:34:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Mon Nov  2 08:34:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That is where you fail. - Mon Nov  2 08:34:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: I never thought I passed. - Mon Nov  2 08:35:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And that is another reason why you fail. - Mon Nov  2 08:35:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Mon Nov  2 08:35:24 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: Fuck this kid. - Mon Nov  2 08:35:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias, sit down in a chair. - Mon Nov  2 08:36:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Since we have a few people here, I guess now is a good as time as any. - Mon Nov  2 08:36:16 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Im comfortable standing - Mon Nov  2 08:37:58 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Rias, Sit down a sec. - Mon Nov  2 08:40:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ketsuki shuffle over to this seat beside me. - Mon Nov  2 08:40:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have some things to talk about, important stuff. - Mon Nov  2 08:40:32 2015
<br><br><font color=teal>*Rias(Jhunt713) says: ok - Mon Nov  2 08:41:23 2015
<br><br><font color=yellow>*Rias(Jhunt713) went to the seat and saet down placing her hands on the table* - Mon Nov  2 08:41:23 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I hate when people berrate me to train, I know I can be strong if I applied myself... - Mon Nov  2 08:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Right...Where to start. - Mon Nov  2 08:42:14 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'm guessing I can't pass on this? - Mon Nov  2 08:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No. - Mon Nov  2 08:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: For starts, the inactivity of the Hokage. - Mon Nov  2 08:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: The Hokage is going through a tough time right now because of several things. - Mon Nov  2 08:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: One, there is a lot of work that comes with being a Hokage. - Mon Nov  2 08:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Two, He lost someone dear to him recently. - Mon Nov  2 08:43:05 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ..Yeah. Shit, I just realized I wasn't even... - Mon Nov  2 08:43:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And quite possibly the most important reason, tensions with Suna are not the best. - Mon Nov  2 08:43:56 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: .... God, he must feel like shit right now. - Mon Nov  2 08:43:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: He's trying his hardest to work with Suna right now, so he's gone a lot. - Mon Nov  2 08:43:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Plus the Gezo call on him quite regularly. - Mon Nov  2 08:43:56 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ... Yeah. - Mon Nov  2 08:44:48 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Is there anything we can do? - Mon Nov  2 08:44:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not really. - Mon Nov  2 08:44:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: I assume stay out of his way. - Mon Nov  2 08:44:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Me and the Hokage have it under control, we just need you guys to keep getting stronger for this village. - Mon Nov  2 08:44:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As for the village itself, changes are going to be happening. - Mon Nov  2 08:45:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Quite radical changes. - Mon Nov  2 08:45:39 2015
<br><br><font color=teal>*Rias(Jhunt713) says: That sounds fun - Mon Nov  2 08:46:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can't really say what these are, just know they're coming. - Mon Nov  2 08:46:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Some might not be for the best honestly. - Mon Nov  2 08:46:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: One change will...be a big shock. - Mon Nov  2 08:46:30 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hrm..? - Mon Nov  2 08:46:30 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Wha - Mon Nov  2 08:46:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You already know, Ketsuki. - Mon Nov  2 08:47:21 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Oh- /that/. - Mon Nov  2 08:47:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Just be ready for these changes when they happen everyone, ok? - Mon Nov  2 08:47:21 2015
<br><br><font color=teal>*Rias(Jhunt713) says: A big shock? - Mon Nov  2 08:47:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As for myself. - Mon Nov  2 08:47:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ziare, you remember me talking about taking an Exam correct? - Mon Nov  2 08:47:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah.. - Mon Nov  2 08:48:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As much as I wish this exam was a Chuunin exam, it isn't. - Mon Nov  2 08:49:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm going to be taking the private exam. - Mon Nov  2 08:49:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: When i'm ready of course. - Mon Nov  2 08:49:55 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right. - Mon Nov  2 08:49:55 2015
<br><br><font color=teal>*Ziare(Meekee) says: Good luck with that. - Mon Nov  2 08:51:37 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ...Yeah. - Mon Nov  2 08:52:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I read about it. - Mon Nov  2 08:52:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: It was tough although the description is vaugue. - Mon Nov  2 08:52:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yes, I have to fight ten men to the death. - Mon Nov  2 08:52:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ten men at once. - Mon Nov  2 08:52:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right. - Mon Nov  2 08:52:28 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: .... - Mon Nov  2 08:53:20 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: This is really pissing me off, I won't lie.. - Mon Nov  2 08:53:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Other than that, there isn't anything else to talk about. - Mon Nov  2 08:53:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right.. - Mon Nov  2 08:54:11 2015
