<br><font color=teal>*Hideki(Assassin241) thinks: peace* - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Atleast I'm not being sold on the blackmarket... - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: Well since we are going to die anyway might as well make the most of it. - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Skunk hair lookin ass..... - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: =omit= - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We did it! - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Woo! - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------- - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Niza did. - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Nothing. - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'm so glad I taught ya'll everything I know. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Omit - - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's fine... - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Ok guys! - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Party in the shower - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Mamoru, Chiharu. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Good job. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Orange head. - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: All of Kumogakure sat and looked instead of actually fighting... - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Fuck you. - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: LOL - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: BITCH. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: FUCK YOU. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Err.... can I hold onto it..? There's something ominous about it.. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I was in a wheel chair. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: And coudn't do shit. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I trust you. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: And your family name. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's yours. - Sat Oct  3 06:23:08 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) looked up from her cowered position, an upsetting look on her face. *At least...it's over..* she thought, pushing herself off the ground. "Mamoru...Do you want me to...help you?" she asked, offering to aide him if he still needed it,.* - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I could... - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Use some help, yeah. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: She is going to go suck his dick now. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Probably. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Is it over? - Sat Oct  3 06:23:08 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) Performed a single seal, releasing a stream of fire that would attempt to surround Hideki's position, most likely catching his wheelchair on fire.* - Sat Oct  3 06:24:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru... - Sat Oct  3 06:24:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Kitchen.. - Sat Oct  3 06:24:51 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I need... - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: To go get some treatment. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: As for his life? - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I agree with him... - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: A shinobi's life is a shinobi's life. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I can't be a pacifistic samaritan like you, Kuro. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I don't want to pretend to be. . . . - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: All I want to do. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Is protect the ones I care about. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If that means I have to take a life. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Then so be it. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I sympathize. - Sat Oct  3 06:28:16 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) turned, her blonde ponytail flung itself in one swift motion. Without caring about Hideki's counter, she would slide the door to the kitchen, and wait for Mamoru to follow.* - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be with you later.... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But he's a human just like the rest of us. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm.. going to get...healed. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Also..It's very easy Chiharu... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Kuro.... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not every human is the same. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Humans can be reasoned with. That's what make us humans. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We're all unique in some way. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Our uniqueness is what makes us human. - Sat Oct  3 06:29:07 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) motioned him to sit or lay on the table, whatever he felt most comfortable with.* - Sat Oct  3 06:32:32 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) made her way to the fridge, opening and closing it quickly. As she turned towards the injured shinobi, she held a single glass of milk. "Here..drink this...strong bones and all that.." she said extending her arm towards him. "I'll try and give you a bit of pain reliever and then just try and heal you all over...Just incase..Is that okay?"* - Sat Oct  3 06:33:23 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) looked at him with an odd expression once he grabbed her hand. *Why is he gra-...Nevermind* she thought pulling her hand away. "Alright.." she said placing her hands together. Forming three seals, a white snake would slither its way out of her sleeve, coiling itself around her right wrist. She would then extend her right hand over towards Mamoru's resting body. If allowed, the snake would open it's mouth wide before attempting to bite at the center of Mamoru's chest, latching itself to his skin. It would of couse sting for a few seconds before eventually releasing a soothing sensation

"Everything good so far?"* - Sat Oct  3 06:38:30 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You givin' sloppy toppy? - Sat Oct  3 06:39:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:39:21 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Ok. - Sat Oct  3 06:40:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Will that be enough? - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Or do I need more injections? - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are you in pain right now? - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: *pokes him* - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not at the moment... at least. - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: His body is a lot harder than Hideki's...that's for sure.. - Sat Oct  3 06:41:55 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) would then kneel on one of the benches that made the table. This would allow her to have a wider range when it came to covering Mamoru's body. "Alright...My hands are a little cold right now so don't be alarmed." she warned, rubbing her hands slightly together before covering them in a light green hue.

She would attempt to place her hands onto Mamoru's body, sliding them across his arms, chest, abs, neck, and jaw. 

"Where did it hurt the most?" she asked, her body basically almost ontop of his by her positioning.* - Sat Oct  3 06:44:28 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) continued to run her hands over his half naked body. "I can't really do anything about the fatigue..." she mentioned as she moved her hands towards his bicep, allowing the medical chakra to seep into his person. "This Bicep right?" she asked just to make sure.* - Sat Oct  3 06:50:27 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Mamoruuuuu. I can't pick up that guy's weapon for some reason.. - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: --Oh right. - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be there in a bit, Chiharu. - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll carry it for you. - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm... - Sat Oct  3 06:52:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I wonder how much those healing tanks Kirigakure has costs... - Sat Oct  3 06:52:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll invest in some. - Sat Oct  3 06:52:09 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) wasn't paying attention to Chiharu, preoccupied with healing this saviour of Kumogakure. "Thanks for saving us all...it seemed like everyone and everything was helpless..." began to speak before noticing they weren't alone. "Oh..Ugh.." she said moving off of Mamoru. "You should be okay for now, you'll just need a lot of rest.."* - Sat Oct  3 06:53:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Why don't I get credit..? - Sat Oct  3 06:54:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Chiharu. - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Deserves credit as well. - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: She is his partner after all. - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mhm, right. - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I appreciate your treatments. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I haven't even paid you a lick of money. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: How much do I owe you? - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You said only the first time was free. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I did say that...didn't I... - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Well...You saved m-...Us...That's payment I suppose. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I have about five-thousand yen on me. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....You chargin' my shinobi? - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: I technically haven't charged anyone...but...okay. - Sat Oct  3 06:57:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: No? - Sat Oct  3 06:57:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I feel good as fuck. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki came to get top too. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ......................................... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Why the hell aren't you in a wheelchair? - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I got healed. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: -How- aren't you in a whe-... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How? - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I got healed. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: By...? - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .............. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Suitengu, he's a close friend. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Came in clutch. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . . - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: The fuck is a Suitengu. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . .. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's scheming behind our backs. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: RESTRAIN HIM GUARDS. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: -omit- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll tell you later. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: -omit- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Who's Suitengu? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you being hired by an old lady for money? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ---Are you... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you doing that sort of job? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What. - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Shit. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who the fuck. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I need money. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is this guy. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think it's too crammed in here... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm getting claustrophobic. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I should be getting home anyways... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yes? - Sat Oct  3 07:02:24 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) pulls out a bottle of milk from her pouch. "Don't forget to drink up...okay?"* - Sat Oct  3 07:02:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright... - Sat Oct  3 07:03:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll take the next Private Exams, once I heal up, Lord Niza. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm going... to go get some rest in the meantime. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck, Mamoru. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Right. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .......... - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: However. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Would like me to see... - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If I could get your partner in as well? - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Private exams.. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That'd be great. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Alright. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe I should fight Galahad. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll see what I can do. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: - - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Don't. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Why not? - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's a Knight of Round---those are Privates and Sergeants. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He couldn't be that strong. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Your partner would break trying to cut that man. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: --- - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: ... - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What? - Sat Oct  3 07:05:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: He's incredibly durable. - Sat Oct  3 07:05:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...i'll keep that in mind. - Sat Oct  3 07:05:48 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Erm..... it doesn't surprise me.. - Sat Oct  3 07:05:48 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I'm more durable than steel though.. - Sat Oct  3 07:06:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 07:06:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Anyways... - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We'll talk more tomorrow when I get rest. - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa. - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Thank you for all the help, I appreciate it. - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, let's get going. - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: God I love that combo... - Sat Oct  3 07:08:22 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: They're the greatest... - Sat Oct  3 07:08:22 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ------------ - Sun Oct  4 00:45:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 00:45:39 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: -------- - Sun Oct  4 00:47:21 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hello! - Sun Oct  4 00:47:21 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) blinked a few times. "Hi." she repsonded, not really knowing who the other girl was. "Hideki..We need to talk."* - Sun Oct  4 00:47:21 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) brought her arms forward, cupping her chest as if hugging herself. 

"About us, lets go."* - Sun Oct  4 00:49:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Us? - Sun Oct  4 00:49:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: There was no us.. - Sun Oct  4 00:49:55 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I never said there was. - Sun Oct  4 00:49:55 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: but I'm not talking about us as a iunit. - Sun Oct  4 00:49:55 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: unit* - Sun Oct  4 00:49:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Sun Oct  4 00:49:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then what? - Sun Oct  4 00:49:55 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Let's go. - Sun Oct  4 00:49:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: <*Sigh*> - Sun Oct  4 00:50:46 2015
