<br><font color=teal>*Ryuusei(TenaciousDeeznuts) thinks: That ass though. - Sat Dec  5 21:54:33 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: That creep. . . - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: I really need to go now. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yo, black dress. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: --! - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sorry about earlier, theres a long story to that. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sorry to include you in my business. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: A long story to hitting on me? - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Forget about it for me. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Ah... - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Forget about it? - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: She always does that. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: So he wasn't hitting on me? - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: The beautiful flower that blooms in black and white- she is heading away, good sir. She seems to like Shunshin. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Dec  5 22:23:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .. - Sat Dec  5 22:23:34 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: That is- I think she's upset...Ah, well... I suppose it's best to give her a little space, as she seems to desire, for now. - Sat Dec  5 22:23:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec  5 22:24:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Sat Dec  5 22:24:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh, hey. - Sat Dec  5 22:25:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyway, it appears as if I must tend to my duties.- - Sat Dec  5 22:25:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Dec  5 22:25:16 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Do you have anything, you're willing to teach me by chance? - Sat Dec  5 22:25:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly, I do not. - Sat Dec  5 22:26:08 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Shame. - Sat Dec  5 22:26:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right. - Sat Dec  5 22:26:59 2015
<br><br><font color=teal>*Takuma(Brosis55) says: How about a spar? - Sat Dec  5 22:27:50 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: New faces. - Sat Dec  5 22:28:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right, well..if you'll excuse me for the moment. - Sat Dec  5 22:29:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Dec  5 22:29:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You'd like to spar me? - Sat Dec  5 22:29:32 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Of course. - Sat Dec  5 22:29:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose..I could spare a few minutes. - Sat Dec  5 22:30:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do go easy on me. - Sat Dec  5 22:30:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We should relocate. - Sat Dec  5 22:31:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This is a pretty busy pathway. - Sat Dec  5 22:31:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right. I'm also not lying. - Sat Dec  5 22:31:15 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Chuckled while admist turning, he had begun walking off towards a more secluded area assuming Takuma would follow suit.* - Sat Dec  5 22:32:06 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Allowing Takuma to take the lead, he had watched with a smile on his face. The handseals thrown together hadn't fully given away what jutsu Takuma had planned on executing. Once the katon chakra had been released from his mouth, revealing a sizable fire technique. Nigen couldn't help but to clap, of course he hadn't wanted to be hit by such a technique. He had decided to strafe, hopefully using his speed to easily avoid the fireball that had been headed his way. If this had worked his eyes would have widened noticing that Takuma had moved from his initial location.* - Sat Dec  5 22:38:56 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: (Atk speed 5) - Sat Dec  5 22:40:38 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) His eyes had scanned the area for Takuma, locking back onto his target that had already been darting towards him. His aura hadn't been malicious, infact it had been the exact opposite, as if he had been cheering Takuma on silently. Once Takuma had closed the gap, and the kunai had been pulled out. His hands quickly reached out in an attempt to grab ahold of Takuma's wrists. If this had worked, he would've followed up with a single light knee to his stomach. It had been clear that Nigen hadn't been aiming to hurt Takuma, but more likely to show him his openings.

(atk speed is 10. Tai is 18)* - Sat Dec  5 22:45:45 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) He had released his hold on the hand that hadn't been wielding the kunai, sidestepping around him he had hoped to bend his arm against his will. A punch being sent towards him, had hopefully been caught by the same free hand before being rejected. Another kick had been given towards the back of his leg hopefully causing it to buckle weakening his balance. Pushing off of him he'd attempt to create a bit of distance between them.

"Taijutsu isn't really my strength. It doesn't look as if it is yours either." he joked.* - Sat Dec  5 22:55:08 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Gave of a brief nod, not wanting to hold him up anymore. 

"Sure, I don't mind. Stay safe."* - Sat Dec  5 23:01:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Dec  5 23:02:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is everything okay? - Sat Dec  5 23:02:49 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 23:03:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is this silence..a.."Yes"? - Sat Dec  5 23:03:40 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: She's fine why're you asking? - Sat Dec  5 23:05:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Dec  5 23:06:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No reason, Miss. Are you from Konohagakure? - Sat Dec  5 23:07:05 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I'm a roaming kunoichi, so no. - Sat Dec  5 23:09:39 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Hrm? - Sat Dec  5 23:11:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Sat Dec  5 23:11:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd normally ask if you have any identification.. - Sat Dec  5 23:11:21 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: The former Hokage was my master, that's my identification. - Sat Dec  5 23:13:04 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: -sensei*- - Sat Dec  5 23:13:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sorry, but that doesn't really clear up anything. - Sat Dec  5 23:13:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Plus, the former Hokage is dead. - Sat Dec  5 23:14:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do bear with me. I'm very meticulous when it comes to my job. - Sat Dec  5 23:15:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Phew.. - Sat Dec  5 23:36:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Strange stuff. - Sat Dec  5 23:36:57 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 23:38:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..do please bear with me. I've very meticulous when it comes to my job. - Sat Dec  5 23:48:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 23:48:54 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: If you want, sure. - Sat Dec  5 23:49:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If..I'm following protocols, I'll have to ask you to leave. - Sat Dec  5 23:49:45 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: The Hokage allows people to come as long as they don't cause trouble. - Sat Dec  5 23:50:36 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Smiles warmly, 

"If..I'm following protocols. I'm going to have to ask you to leave.." he repeated once more.* - Sat Dec  5 23:51:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: What protocols? - Sat Dec  5 23:51:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: fuck off nigger god damn - Sat Dec  5 23:51:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There seems to be a reason as to why you can't reveal your name. - Sat Dec  5 23:51:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: -omit- - Sat Dec  5 23:51:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We can't have that lack of security in this village. - Sat Dec  5 23:51:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I already -told- you my name. - Sat Dec  5 23:52:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Miss, all you have stated was that you are a roaming kunoichi.. - Sat Dec  5 23:52:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Along with the fact that you were the student to a dead Hokage. - Sat Dec  5 23:52:19 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 23:52:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Give me...a reason... - Sat Dec  5 23:53:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Just one reason...~ - Sat Dec  5 23:53:10 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . .Could you leave her be. . .? She offered me a free home. - Sat Dec  5 23:53:10 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) His gaze had been placed upon Saika, still smiling ever-so warmly.

"I'm sorry, but I can not excuse people when Konoha's security is at stake. I won't be able to sleep at night."* - Sat Dec  5 23:54:52 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You literally ignored one part. A roaming kunoichi by the name of Akira. - Sat Dec  5 23:54:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You never stated that. - Sat Dec  5 23:55:44 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: As I said, I'm Akira. - Sat Dec  5 23:55:44 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Tch. This is why I don't trust people. - Sat Dec  5 23:55:44 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Everytime something good comes along, BAM, wisked away. - Sat Dec  5 23:55:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You are also offering one of my comrades here, a home? - Sat Dec  5 23:56:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where? - Sat Dec  5 23:56:35 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: In the village. - Sat Dec  5 23:56:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're a wandering kunoichi.. - Sat Dec  5 23:56:35 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I've stayed here for months. - Sat Dec  5 23:56:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: When did you get the ability to purchase a home? - Sat Dec  5 23:56:35 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: When I've been here for -months-. - Sat Dec  5 23:56:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right. - Sat Dec  5 23:57:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: One moment. - Sat Dec  5 23:57:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll need to check with Lady Hokage about anyone purchasing a home under the name, "Akira". - Sat Dec  5 23:57:26 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Why would the Hokage know of anyone that purchased a home? A -realtor- would. - Sat Dec  5 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There are documents that can be pulled up, and accessed. - Sat Dec  5 23:58:17 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Delightful. - Sat Dec  5 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Any sort of documentation is to be copied, and sent to the mansion. - Sat Dec  5 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where it will be filed, and stored for any clarification. - Sat Dec  5 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you are lying, I will return. - Sat Dec  5 23:59:08 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I know how work goes. - Sat Dec  5 23:59:08 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 23:59:08 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: So mean. . .or rude? Something about him. - Sat Dec  5 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I doubt a lady such as yourself would ever lie to shinobi simply doing their job. - Sat Dec  5 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I thank you for your time. - Sun Dec  6 00:00:00 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I thank you for wasting it. - Sun Dec  6 00:00:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh, it may be a waste to you. If it saves the village from any future leaks, I'd gladly do it a thousand more times. - Sun Dec  6 00:00:00 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: No, the fact that you're doubting how trustful the student of a former Hokage is is a waste of time. - Sun Dec  6 00:00:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sorry, but that doesn't concern me. - Sun Dec  6 00:00:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Titles are nothing more than that. - Sun Dec  6 00:01:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Judging how long ago that was. I have no idea if your goals have changed from what the previous Hokage would've wanted. - Sun Dec  6 00:01:42 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: They're a representation of credibility, respect and trustfulness. - Sun Dec  6 00:02:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They can easily be obscured. - Sun Dec  6 00:02:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also, if there is any chance that you have been fibbing to me. - Sun Dec  6 00:02:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can't fully trust that you were the protege of a previous leader. - Sun Dec  6 00:03:24 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Anyone that was alive during his reign can confirm it, unless they didn't know him well enough. - Sun Dec  6 00:05:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 00:05:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There aren't too many notable shinobi around that are still active during his time. - Sun Dec  6 00:05:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Stop..associating yourself with him.. - Sun Dec  6 00:05:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Tch..student my left cheek... - Sun Dec  6 00:06:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right then.~ Carry on and have a great day.~ - Sun Dec  6 00:07:40 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) He had bowed slightly towards them, before making his way onward unless spoken towards, or physically halted.* - Sun Dec  6 00:07:40 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Mmm.. that's over with. - Sun Dec  6 00:09:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lord Ziare.. - Sun Dec  6 00:10:14 2015
<br><br><font color=teal>*Ziare(Meekee) says: Call me Ziare.. - Sun Dec  6 00:11:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ziare, do we have any information on a person by the name of "Akira" purchasing a house? - Sun Dec  6 00:12:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: None. - Sun Dec  6 00:12:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Apparently they are a wandering shinob. - Sun Dec  6 00:12:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: He had one in Sunagakure - Sun Dec  6 00:12:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..I should say, wandering 'kunoichi'. - Sun Dec  6 00:12:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: Kunoichi? - Sun Dec  6 00:13:39 2015
<br><br><font color=teal>*Ziare(Meekee) says: Akira was a boy. - Sun Dec  6 00:13:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That is the name they have given me. - Sun Dec  6 00:14:30 2015
<br><br><font color=teal>*Ziare(Meekee) says: Why are we talking about Akira? - Sun Dec  6 00:15:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: For the name they have given me is.."Akira". - Sun Dec  6 00:15:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You might be thinking of another Akira. - Sun Dec  6 00:16:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Man just check the registry.. - Sun Dec  6 00:16:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'm training.. - Sun Dec  6 00:16:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Sun Dec  6 00:16:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Would you like to train on me? - Sun Dec  6 00:16:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course. - Sun Dec  6 00:17:55 2015
<br><br><font color=teal>*Rias(LionHunter) says: Whatever... - Sun Dec  6 01:49:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah, Lady Hokage.. - Sun Dec  6 01:49:13 2015
<br><br><font color=teal>*Ziare(Meekee) says: Don't shut me o-... - Sun Dec  6 01:49:13 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmm? - Sun Dec  6 01:50:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sorry to barge in, but..I would like to ask if you have heard anything about a kunoichi named, "Akira" buying a house? - Sun Dec  6 01:50:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Who? - Sun Dec  6 01:50:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 01:50:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Thank you. - Sun Dec  6 01:50:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Apparently they were a student to the former Hokage. - Sun Dec  6 01:51:47 2015
<br><br><font color=teal>*Rias(LionHunter) says: But I know a Akira - Sun Dec  6 01:51:47 2015
<br><br><font color=teal>*Rias(LionHunter) says: are you sure its a female? - Sun Dec  6 01:51:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If it is a male..it is not the one. - Sun Dec  6 01:51:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lord Ziare..also referred to that one.. - Sun Dec  6 01:51:47 2015
<br><br><font color=teal>*Rias(LionHunter) says: ... I see - Sun Dec  6 01:51:47 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Where is he? - Sun Dec  6 01:52:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's Ziare. - Sun Dec  6 01:52:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: Just Ziare. - Sun Dec  6 01:52:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lord? - Sun Dec  6 01:52:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: why do you call me lord? - Sun Dec  6 01:53:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you not having relations with Lady Hokage? - Sun Dec  6 01:53:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: Nope. - Sun Dec  6 01:54:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I simply do so out of respect, seeing as she referred to you as her significant comrade. - Sun Dec  6 01:54:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'm ending that whole thing today. - Sun Dec  6 01:54:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I mostly do so also when I am on the job. - Sun Dec  6 01:54:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Call me Ziare. - Sun Dec  6 01:55:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 01:55:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Also, how would you like to be promoted? - Sun Dec  6 01:55:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Dec  6 01:55:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: To? - Sun Dec  6 01:55:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Wanna be a jounin? - Sun Dec  6 01:55:12 2015
