<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right? - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: If I keep getting roasted...like this.... - Sat Nov 28 04:45:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Tongue tied huh? - Sat Nov 28 04:45:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What about you Kida? - Sat Nov 28 04:45:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Would you fuck her if I gave you the command? - Sat Nov 28 04:45:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Me and Sado-san were having a great time until he asked me how old I was, then I became repulsive. - Sat Nov 28 04:45:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Shit..This is obviously a death sentence. - Sat Nov 28 04:45:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: It's the lose lose situation. - Sat Nov 28 04:46:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course you would be repulsive. - Sat Nov 28 04:46:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I want nothing to do with a child.. - Sat Nov 28 04:46:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Um..... - Sat Nov 28 04:46:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Uh..... - Sat Nov 28 04:47:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't know. - Sat Nov 28 04:47:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I'm in the clear! - Sat Nov 28 04:47:34 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...You don't.... - Sat Nov 28 04:47:34 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Know huh? - Sat Nov 28 04:47:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's Ichiro's sister. I'm sure there's a rule somewhere.. - Sat Nov 28 04:48:25 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Glances over towards Kariudo, he had paused for a moment. Something was different. Tilting his head as he began to analyze her from top to bottom.

"Ichiro-kun, you didn't tell me your sister wasn't like you..."* - Sat Nov 28 04:48:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Of course she isn't. - Sat Nov 28 04:48:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: We're not the same person. - Sat Nov 28 04:48:25 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ichiro, I wish you had six arms. - Sat Nov 28 04:49:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I told you I had something interesting you'd like to see Sado-san. - Sat Nov 28 04:49:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But I'm a 'child' right? - Sat Nov 28 04:49:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:49:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So I'm not interesting. - Sat Nov 28 04:49:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly..you are. - Sat Nov 28 04:49:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: When you're older, we'll talk. - Sat Nov 28 04:49:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:49:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uhuh. - Sat Nov 28 04:50:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Fuck.. - Sat Nov 28 04:50:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So things have changed.. - Sat Nov 28 04:50:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: She really has that much control over my brother? - Sat Nov 28 04:50:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I didn't think Kida would be the one that enjoyed being dominated. - Sat Nov 28 04:50:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm...not.. - Sat Nov 28 04:50:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you both in love with Shiro? - Sat Nov 28 04:50:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: P-..pfft.. - Sat Nov 28 04:50:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: In love? - Sat Nov 28 04:50:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Where'd you get that idea? - Sat Nov 28 04:50:59 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Shit..Why am I always in these lose lose situations. - Sat Nov 28 04:50:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right..right.. - Sat Nov 28 04:50:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're just doing this for work. - Sat Nov 28 04:50:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How much has she paid you? - Sat Nov 28 04:50:59 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We're just partners in work.. - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah..so it's changed from just being a bodyguard to partners.. - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Haha. - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ..... - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Ha. - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You see, Ichiro's sister.. - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hahaha. - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Terms of pay. - Sat Nov 28 04:51:50 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I haven't paid her anything. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Your brother is whipped. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Ha. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Well, them. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Anyways. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ichiro. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: One of these days. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'll pay you. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh I know, he's being a bitch. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Here. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'll pay you right now. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ................ - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm kidding of course. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'll give you enough for at least a fucking caravan. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I just need to go rob people. - Sat Nov 28 04:52:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: R-..really now.. - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What have you done to these two? - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Nothing, Master Sado. - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I kicked Ichiro into a mountain. - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And I kicked Kida repetitively. - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Nothing big. - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And then he shape shifted into a bitch. - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Look. - Sat Nov 28 04:53:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose that's what happens. - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Nothing big.... - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Right, Kida?! - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ....... - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Damn... - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Roasted... - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Nothing. Big. - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What have you all been doing with your banishment? Well..I don't know if Shiro is banished, but..she'll linger around the both of you. - Sat Nov 28 04:54:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Apparently Shiro-chan isn't liked very well in this village. - Sat Nov 28 04:55:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...For? - Sat Nov 28 04:55:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Not sure. - Sat Nov 28 04:56:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And Kumo doesn't like her anymore either. - Sat Nov 28 04:56:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:56:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:56:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Course... what she did there was against the law but I liked it. - Sat Nov 28 04:56:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Well the killing that boy. - Sat Nov 28 04:56:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Fuck... - Sat Nov 28 04:56:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey. - Sat Nov 28 04:56:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...not that....other part. - Sat Nov 28 04:56:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good work, Pet.~ - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I saw Asteroth. - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did you mak-- - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: In Konohagakure. - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Queen Fickle-Chan? - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: When we left. - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't remember seeing her. - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I suspect... - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really now? What was she up to? - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Haha ha. - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I feel sorry for "Fickle-chan." - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I mean.... - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I think she's raising an army. - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: She almost had her brains blasted--- - Sat Nov 28 04:57:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Okay. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Working with the dead. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's go finish the job.~ - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Unless of course. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Master Sado approves of her raising an army. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: At least. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Whatever she does is her business. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: An army huh? - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: The woman I saw. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Looked dead. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Kind of. - Sat Nov 28 04:58:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Fickle-Chan, or someone else? - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Someone else. - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Sado, you remember Baylea, right? - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who? - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I wonder what she's up to, besides gathering an army.  - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I mean - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Huh... - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .Fickle-chan needs a source of income, right? - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Nevermind. - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'd imagine she's.... - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..no.. - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who is that? - Sat Nov 28 04:59:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Doing that. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Some female. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Came to Amegakure. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Used a sword. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: She was very weak. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She had a nice figure. Right Shiro? - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did you beat them up? - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You'd think a sword would cut a man. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Who had a nice figure? - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: But she didn't cut me. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: At all. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Fickle-chan? - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yep. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I guess. - Sat Nov 28 05:00:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Was she that weak? - Sat Nov 28 05:01:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yeah. - Sat Nov 28 05:01:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Damn..I should've been there. - Sat Nov 28 05:01:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: So. - Sat Nov 28 05:01:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Hey, Ichiro's sister, what is your name anyway? - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Are we going to do something? - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you all are planning to return to Konohagakure to work for Fickle-chan..take this girl with you. - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Or just stand here? - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Engi, Kariudo-san. - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That is the only real reason as to why I called you here. - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Why would I go work for 'Fickle-chan'? - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Kariudo? - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I'm not going to Konoha? - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: We had a deal. - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And. . . uh. - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Master Sado. - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Rokujou, Kida. - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You want me to take her with us? - Sat Nov 28 05:02:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah, well. I don't want to purify you right now.. - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm.... Kida-san. - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Kariudo-chan. - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh..sure. - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm? - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Anyway, I don't have any connection with Fickle-Chan. - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Do you want to come with us? - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She wasn't my employer or anything. - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...so because you don't want to purify me... I don't get to leave? - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm uncertain. - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Purify? - Sat Nov 28 05:02:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You guys are free to etch out your own paths. I'm not the type of guy to limit your freedom. - Sat Nov 28 05:03:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean you held up your end of the deal and I would just like to speak to my brother for a bit, then you can get on with my end of the deal. - Sat Nov 28 05:03:47 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you're going to cause trouble..make sure it doesn't find its way back to me. - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Or do you not purify children. - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Alright, I'll keep that in mind. - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't purify children. - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: So gross... - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh right, you're a priest.  - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Huh, so then I got what I wanted for free? - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What is this 'purify' you always mention? - Sat Nov 28 05:04:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro, there's no need to worry about your little sister. - Sat Nov 28 05:08:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: In the future she'll be in good hands.~ - Sat Nov 28 05:09:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: In a way. - Sat Nov 28 05:09:45 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:09:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You have to try it yourself Kariudo-chan.~ - Sat Nov 28 05:09:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Try what? - Sat Nov 28 05:09:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Human meat. - Sat Nov 28 05:09:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You started eating humans? - Sat Nov 28 05:10:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ichiro suggested it. - Sat Nov 28 05:10:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Really? - Sat Nov 28 05:10:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Tough times, call for desperate measures. - Sat Nov 28 05:10:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Huh... - Sat Nov 28 05:10:36 2015
