<br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Whats up hun? - Fri Dec  4 21:50:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Fri Dec  4 22:13:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Z-Zenaki said I s-should have a baby at..uhm.. - Fri Dec  4 22:13:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Seventeen. - Fri Dec  4 22:13:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or eight-teen.. - Fri Dec  4 22:13:45 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Really? Well thats a big choice to make - Fri Dec  4 22:13:45 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: And your choice as well. - Fri Dec  4 22:13:45 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Don't let anyone decide for you. - Fri Dec  4 22:13:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well I l-love hanai a-alot.. - Fri Dec  4 22:14:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'd give anything t-to him. - Fri Dec  4 22:14:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: If thats what your chroi tells you. - Fri Dec  4 22:16:19 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Then follow it to the end. - Fri Dec  4 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mmhmm.. - Fri Dec  4 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Fri Dec  4 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why do you l-like kiyoko? - Fri Dec  4 22:18:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: She is Mo Bann Ri, Mo chroi. - Fri Dec  4 22:18:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: The light in my soul. - Fri Dec  4 22:18:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? O-oh.. - Fri Dec  4 22:18:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Fri Dec  4 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai is like t-the uhm...R-Red stuff in a w-watermelon.. - Fri Dec  4 22:19:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm? - Fri Dec  4 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He's uhm. - Fri Dec  4 22:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-The best part. - Fri Dec  4 22:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: *Nod* - Fri Dec  4 22:21:26 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I see. - Fri Dec  4 22:21:26 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Cute~ - Fri Dec  4 22:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mmhmm.. - Fri Dec  4 22:24:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Fri Dec  4 22:24:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: K-Kiyoko asked uhm.. - Fri Dec  4 22:24:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-For a baby? - Fri Dec  4 22:24:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yep. - Fri Dec  4 22:24:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well uhhhm.. - Fri Dec  4 22:24:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Me and hanai can h-have two..and I-I can see if y-you can have o-one.. - Fri Dec  4 22:24:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Haha. Don't worry about it kiddo, we've got it covered. - Fri Dec  4 22:24:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Besides. Hanae is too young. We need someone our age. - Fri Dec  4 22:24:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Fri Dec  4 22:24:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: So innocent. - Fri Dec  4 22:24:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: We want to bear the babies ourselfs Hun. - Fri Dec  4 22:25:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-How? - Fri Dec  4 22:25:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Donation~ - Fri Dec  4 22:25:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-From who? - Fri Dec  4 22:25:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: We don't know yet. - Fri Dec  4 22:25:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well. - Fri Dec  4 22:25:42 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) pointed at herself.* - Fri Dec  4 22:25:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Haha, no no. I mean donation from a man. - Fri Dec  4 22:25:42 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) looked confused.* - Fri Dec  4 22:26:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You know...wait...you do know how babies are made right? - Fri Dec  4 22:26:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Duh. - Fri Dec  4 22:26:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm surprised I'm n-not pregnant yet.. - Fri Dec  4 22:26:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Pfft. - Fri Dec  4 22:26:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Wow. - Fri Dec  4 22:26:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Active are we? - Fri Dec  4 22:26:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well you know u-uhm.. - Fri Dec  4 22:27:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says:  Well I'm glad you're healthy, but you're still quite young~ - Fri Dec  4 22:27:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh I k-know.. - Fri Dec  4 22:27:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But we're m-made for eachother...s-so it doesn't matter a-about age.. - Fri Dec  4 22:27:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ah, I can't talk though. I was quite...active at your age as well. - Fri Dec  4 22:28:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Ohh.. - Fri Dec  4 22:28:16 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Well anyway. - Fri Dec  4 22:29:07 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Me an Kiyoko want to bear a child each - Fri Dec  4 22:29:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: *cough* - Fri Dec  4 22:29:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Dec  4 22:29:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So you're going t-to.. - Fri Dec  4 22:29:07 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) did the finger through her other finger in the shape of a hole.* - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Pfft. - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: No no. - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Thats not necessary - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: We just need the sperm. - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh. - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai gave me that b-before. - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Did he now... - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You'll have to stop there though, mental images and all that. - Fri Dec  4 22:29:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well you s-see.. - Fri Dec  4 22:30:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You're cute, but a little too young for me. - Fri Dec  4 22:30:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Fri Dec  4 22:30:49 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) didn't know why but she blushed, confused.* - Fri Dec  4 22:30:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Haha, definitely cute. - Fri Dec  4 22:30:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Anyways. I'm going to head back for a bit. - Fri Dec  4 22:31:40 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Coming? - Fri Dec  4 22:31:40 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) hopped on lera's back, "Y-Yes!"* - Fri Dec  4 22:32:32 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) hops off of lera's back.* - Fri Dec  4 22:33:23 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You can do it, Mitsunara. Ganbare! Ganbare! - Fri Dec  4 22:36:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hah.... - Fri Dec  4 22:37:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I don't have any stronger attacks than the one that just did nothing. - Fri Dec  4 22:37:39 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well then, spar to get some training in, not to win. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Besides, that's what I'm doing. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: What a drag.... Come on then, we're not done yet, are we? - Fri Dec  4 22:38:30 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) hugs chikyu.* - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hello. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, question first. - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh..? - Fri Dec  4 22:38:30 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Could I use your sword? I'm kind of new at kenjutsu, but I'd like to get some practice here. - Fri Dec  4 22:39:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna go do s-something b-bestie? - Fri Dec  4 22:40:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Do something, sure! What you got in mind? - Fri Dec  4 22:41:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm.. - Fri Dec  4 22:43:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I dunno - Fri Dec  4 22:47:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We can go d-do intense training s-sessions. - Fri Dec  4 22:49:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-In my house. - Fri Dec  4 22:49:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have tons o-of stuff r-ready.. - Fri Dec  4 22:49:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh, I don't  know if I can do that with my chest like it is. - Fri Dec  4 22:50:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Then you c-can assist m-me - Fri Dec  4 22:52:09 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) picks chikyu up bridal style.* - Fri Dec  4 22:52:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Show's over then I guess~ - Fri Dec  4 22:53:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You can t-train with me t-to then while c-chikyu helps. - Fri Dec  4 22:53:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh! - Fri Dec  4 22:53:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Come on. - Fri Dec  4 22:55:34 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) sats chikyu down on her feet.* - Fri Dec  4 22:55:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright - Fri Dec  4 22:56:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I need to work my u-upperbody s-strength..S-So.. - Fri Dec  4 22:56:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Chikyu..s-sit on me. - Fri Dec  4 22:56:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, this is all we're doing? More workouts? - Fri Dec  4 22:57:16 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) tossed her shirt off as she'd reveal her watermelon bra. She'd drop to the ground in a pushup form, "Y-Yes!" She'd answer both of them.* - Fri Dec  4 22:57:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Begin..w-workouts to k-kinami! - Fri Dec  4 22:59:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We have to b-be ready for the chuunins! - Fri Dec  4 23:00:41 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'd rather do some sparring or something, but I guess I didn't work out today. - Fri Dec  4 23:01:32 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) dropped down to the ground as her muscles tensed up from the sudden weight on her back. She'd drop to the ground, her breasts touching before she'd raise herself back up, her large bust didn't help at all to pushups, considering it just made htem harder, but she didn't care. She'd go all the way up as she'd then drop back down, going back up. She'd do this around ten times, not letting up as her body moved at the same pace, never stopping for even a moment. 

She'd look over towards kinami with a smile, "W-Working o-out never h-hurts...e-even if it's n-not as good as s-sparring..!" She'd then drop back down to the ground, letting her breasts touch before raising back up. She'd repeat this motion as sweat dripped off of her, She'd finish up at around a hundred push-ups, sweat dripping off of her as she'd look up at chikyu.* - Fri Dec  4 23:03:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I don't have anyone on my back though, it sucks. - Fri Dec  4 23:04:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll do s-sit ups on your b-back while c-chikyu s-sits on me! - Fri Dec  4 23:04:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Super t-training! - Fri Dec  4 23:04:06 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says:  Get over her Kinami. *Before Momura finishes her push ups* - Fri Dec  4 23:04:57 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Start doing push ups next to Momura. - Fri Dec  4 23:05:48 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) rolled around onto her back as she'd put her hands to her sides, beginning sit-ups rapidly, working on her inner-core. She'd begin pushing herself up and down at rapid speeds, going up to a full-sit, and back down to laying on the ground completely. She'd be moving as fast as she could, and continued to go until she hit a logical number of a hundred, the average limit for most humans. 

She'd continue on with her work outs, getting back onto her front as she'd begin doing push-ups at rapid-movements this time, using one hand now, every ten push-ups, she'd change hands as she'd continue the pattern up to two hundred.* - Fri Dec  4 23:16:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: WB - Fri Dec  4 23:22:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: Thank god shes not wearing her swimsuit...whiles she all hot...and sweat- BAD CHIKYU BAD! - Fri Dec  4 23:25:26 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) grabbed the water and sucked down 9/10ths of the bottle before pouring the rest on her face and hair, as she'd take a deep breathe, the girl didn't have a large pool of stamina apparently.* - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Ej - Fri Dec  4 23:28:00 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) sat down on her butt, looking at the two, "W-Well..t-that was fun..j-just finish up...k-kinami." She'd say with a big grin, before looking at chikyu.

"S-Something w-wrong, why'd you s-slap yourself?" She said worried.* - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Ugh, I need something more. - Fri Dec  4 23:33:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I did a lot of squats a while ago. - Fri Dec  4 23:33:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh...yeah..t-training is i-intense. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: This is some weak training! - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh come on Kinami - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Not everything has to be high intense - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I guess, but it's better if it really is intense. - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh. - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I know intense. - Fri Dec  4 23:36:32 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) put her hands together with a single index finger and both middle fingers, "A-A thousand years of death!" She'd ram them into chikyu's behind, doing it several times to auto-ko her.* - Fri Dec  4 23:37:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mwaahahahahahaha! - Fri Dec  4 23:39:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Because.. - Fri Dec  4 23:40:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I dunno. - Fri Dec  4 23:41:39 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) pulled her fingers away as chikyu landed on her, giving the girl a big hug as kinami drug them outside.* - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Come on, both of you against me. - Fri Dec  4 23:47:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Lets go. - Fri Dec  4 23:47:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Huh...whats going on? - Fri Dec  4 23:48:28 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) helped chikyu up as she'd get up herself, making sure chikyu was lined up straight. She'd nod towards kinami.

"W-We're sparing."* - Fri Dec  4 23:48:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: We're sparring. - Fri Dec  4 23:48:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You two may attack first. - Fri Dec  4 23:49:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Chikyu. - Fri Dec  4 23:50:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Combo time! - Fri Dec  4 23:50:11 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Wait I can't fight. I have cracked ribs. - Fri Dec  4 23:51:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Dec  4 23:51:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sorry. - Fri Dec  4 23:51:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Did I do t-that? - Fri Dec  4 23:51:02 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: No, a bandit.  - Fri Dec  4 23:51:53 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) picked chikyu up, setting her away before getting infront of kinami.* - Fri Dec  4 23:52:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Okay, just me and you then. - Fri Dec  4 23:52:44 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) slid her foot back as she'd get into place, putting a hand forward as she took a deep breathe..She'd suddenly zoom forward in a sudden rush of speed as she'd ram her fist directly into kinami's stomach.* - Fri Dec  4 23:54:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9sh - Fri Dec  4 23:57:00 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've nearly had her..before she'd be elbowed, sending her sliding back against the sand as the female would've still been spinning, the female running directly towards her, aiming to suddenly unleash a barrage of strikes against the female's head. (10 Attack speed.)* - Sat Dec  5 00:02:08 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) stared at kinami as the female kept up with her fists. She'd quickly back away as the female aimed to side-kick the girl, getting out of the kick before momura quickly moved her hands forward as she'd aim to grab the woman's leg, getting a sudden good grip on it. She'd then aim to spin around and throw kinami into the side of the training area.* - Sat Dec  5 00:08:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I swear. . . I only seem to spar women. . .  - Sat Dec  5 00:17:29 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) saw as hiroshi wanted to leap in, "T-Tag out!" She'd suddenly hi-five hiroshi as she'd switch-out with him.* - Sat Dec  5 00:19:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaaa? - Sat Dec  5 00:19:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Smart Idea, Momura - Sat Dec  5 00:20:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Tch. - Sat Dec  5 00:20:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Fine, at least I can fight you seriously. Seems Momura is too afraid anyway. - Sat Dec  5 00:20:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sure. - Sat Dec  5 00:21:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I need a good workout anyway. - Sat Dec  5 00:21:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm. - Sat Dec  5 00:21:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ladies first Baby.~ - Sat Dec  5 00:21:45 2015
