<br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can read and write. - Sat Dec  5 20:53:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait what? - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So I can't come? - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You and Mitsunara are my choices. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: While she has hanai and kuro - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: THat's works then. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh? A'right.. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs* As long as I get to go. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Should be fun. - Sun Dec  6 03:23:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san - Sun Dec  6 03:23:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good luck Nami.i - Sun Dec  6 03:24:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mm... - Sun Dec  6 03:26:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hm.. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura, just do your best! - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I'll lose..but I'll t-try my hardest..B-BUT HANAI IS ENCOURAGING ME. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Thanks Mitsunara. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: A LOVERS MOTIVATION IS ENDLESS. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Believe in yourself. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But Hanai, I thought you were my friend too!? - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, but Kinami. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hanai is Momura's boyfreind. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: SO! - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Girlfreind comes before normal freinds. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Exactly. - Sun Dec  6 03:27:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Fine. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hiroshi, cheer me on even better! - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: If you had a boyfreind, and they rooted for someone else instead of you. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hm! - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Of course. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You'd kick them in the dick, wouldntcha? - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I know I would. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She does have one Mitsu. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It's the principle of the thing. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: K-Kinami.. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I won't hold back! - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *points at himself* - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Good. I don't expect you to. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I already beat c-chikyu, mitsunara a-and hiroshi.. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Remember, Momura. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Your'e next! - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I am suprised. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Just remember. - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: About? - Sun Dec  6 03:28:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Believe in the me that believes in you. Heh. - Sun Dec  6 03:29:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ok Kamina. - Sun Dec  6 03:29:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm. - Sun Dec  6 03:29:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whip her ass Nami! - Sun Dec  6 03:29:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I might have to make h-hiroshi cough u-up blood again. - Sun Dec  6 03:29:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo, Sanoke. - Sun Dec  6 03:29:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You mind if I practice my summons out here while I watch? It's something I've been dabbling a bit in recently, and I need the practice. - Sun Dec  6 03:29:55 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: I'll show them the fruits of my training. - Sun Dec  6 03:30:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: K-Kinami.. - Sun Dec  6 03:30:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: What's up with that tape? - Sun Dec  6 03:30:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yes? - Sun Dec  6 03:30:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Are you p-prepared..? - Sun Dec  6 03:30:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Ngn. - Sun Dec  6 03:30:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm* - Sun Dec  6 03:31:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So long as they don't interfere. - Sun Dec  6 03:31:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Shall I b-beign? - Sun Dec  6 03:31:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sure. - Sun Dec  6 03:31:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Yo Hanai. . Why don't you ever fight anybody? - Sun Dec  6 03:38:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: There is Momu's antennae again. . . What the hell is that? - Sun Dec  6 03:41:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Sun Dec  6 03:52:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: They are going hard. - Sun Dec  6 03:53:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: U-Um, I'm not much of a fighter myself. - Sun Dec  6 03:55:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: I-I just don't like fighting. - Sun Dec  6 03:55:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Momu said that you were pretty strong though. - Sun Dec  6 03:55:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Good. She's using her mind. - Sun Dec  6 03:55:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: I-I'm more of a pacifist. - Sun Dec  6 03:55:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Although I doubt it'll be enough to best Kinami.. - Sun Dec  6 03:55:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: She's a physical specimen unlike any i've ever seen. - Sun Dec  6 03:55:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Ohhh I see. . .That makes sense. . .  - Sun Dec  6 03:56:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Is Momu secretly an ant? - Sun Dec  6 03:57:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Hey Hanai. . .Is Momu an ant? - Sun Dec  6 03:57:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9I - Sun Dec  6 03:58:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: U-Ummm.... - Sun Dec  6 04:01:29 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: S-She's a lycanthrope..... - Sun Dec  6 04:01:29 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: J-Just like m-me... - Sun Dec  6 04:01:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: She's a Were-Ant, huh..? What kinda Lycan are you, then? - Sun Dec  6 04:02:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: I'm.... - Sun Dec  6 04:02:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: You are a lyca- whatever? - Sun Dec  6 04:02:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: An ant...as well. - Sun Dec  6 04:02:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: But we're different ants. - Sun Dec  6 04:02:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Awesome. . . .What kind of ant are you? - Sun Dec  6 04:02:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: ...I can transform into two types. - Sun Dec  6 04:02:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Dude. . .How the hell? - Sun Dec  6 04:02:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: W-Well, it's a bit complex. - Sun Dec  6 04:03:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: T-The mechanics of lycanthropy. - Sun Dec  6 04:03:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Sounds like you got some 'splaining to do then buddy. - Sun Dec  6 04:03:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Did you get your Lycan powers from cum like she did? (omit) - Sun Dec  6 04:03:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Go Nami go! Go Nami go! - Sun Dec  6 04:04:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Mitsu you were soooo wrong for that(omit) lmao - Sun Dec  6 04:05:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Fam. Do I seem like I care. (omit) - Sun Dec  6 04:05:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Lmao) - Sun Dec  6 04:06:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: (is it me or do these two always get salt in fights? - Sun Dec  6 04:15:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: These two always get salt in fights fam) - Sun Dec  6 04:15:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: This is normal lol) - Sun Dec  6 04:15:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kinami... - Sun Dec  6 04:16:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Don't knock yourself out, Baka. - Sun Dec  6 04:16:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait so it is over Sanoke? - Sun Dec  6 04:16:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Unsure. THe participants will decide this. - Sun Dec  6 04:16:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *nods* - Sun Dec  6 04:17:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kinami! - Sun Dec  6 04:17:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Use the next gate up! - Sun Dec  6 04:17:42 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . - Sun Dec  6 04:19:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nami, don't do it unless you have to. - Sun Dec  6 04:19:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Well Momu made her decision. . . .  - Sun Dec  6 04:21:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys are quiet. - Sun Dec  6 04:22:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: These two are pretty good, don'tcha thhink? - Sun Dec  6 04:22:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup. - Sun Dec  6 04:23:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nami is going to win though. - Sun Dec  6 04:23:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah. - Sun Dec  6 04:23:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sorry Hanai. - Sun Dec  6 04:23:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Guess he really didn't like my answer. - Sun Dec  6 04:24:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Eh. Not as much fun as I anticipated. - Sun Dec  6 04:31:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Wow. .  - Sun Dec  6 04:32:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . Wow. .  - Sun Dec  6 04:33:55 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Sun Dec  6 04:33:55 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah, of course.... - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nice win Babe!~ - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I wish it would've lasted long enough for me to use my second gate. - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hanai, make sure Momu gets taken care of man. - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That revitalization is super helpful in a battle. - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Maybe, one day. - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah.. - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup. - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I can spar you, Kinami. - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? Sure thing. - Sun Dec  6 04:36:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I just need to make sure M-Momura-chan will be okay. - Sun Dec  6 04:36:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  I gotta watch that one. - Sun Dec  6 04:36:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Enough chit-chat. - Sun Dec  6 04:36:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do as I said. I'll be back. - Sun Dec  6 04:36:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: He analyzed Ai's battle in half of a second though. Calling favoratism. - Sun Dec  6 04:36:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeesh... - Sun Dec  6 04:37:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: That was fuckin brutal. - Sun Dec  6 04:37:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You hit hard as hell girl. - Sun Dec  6 04:37:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm... - Sun Dec  6 04:38:11 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Guess there was no way for her to escape unscathed. - Sun Dec  6 04:38:11 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: But she didn't die from those hits, which is good. - Sun Dec  6 04:38:11 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I was holding back my damage so that she didn't get anything broken. - Sun Dec  6 04:38:11 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-Thank you for holding back. - Sun Dec  6 04:38:11 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm. - Sun Dec  6 04:38:11 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) walked over to Nami with his hand up for a simple five for now.

"Good job.  She will be alright."* - Sun Dec  6 04:38:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shakes hand*  Damn girl, the fight is over. *laughs* - Sun Dec  6 04:39:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Hiroshi-san, if you're ever interested in sparring me, I'd be happy to oblige as well.... - Sun Dec  6 04:39:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Great! - Sun Dec  6 04:39:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I have to be going to the hospital. - Sun Dec  6 04:39:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I can't blame him for being worried. . . If Nami was the one on the ground I would be doing the same thing. . .  - Sun Dec  6 04:39:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Go ahead man. - Sun Dec  6 04:39:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: All we do now is wait. - Sun Dec  6 04:40:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You could become a chuunin! - Sun Dec  6 04:40:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Maybe. - Sun Dec  6 04:42:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Aren't you excited? - Sun Dec  6 04:42:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: A little. - Sun Dec  6 04:43:18 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Wish I didn't have to hold back though. - Sun Dec  6 04:43:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That just proves how strong you are. - Sun Dec  6 04:43:18 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah. - Sun Dec  6 04:45:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I think we can go now. - Sun Dec  6 04:45:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs*  Alright, lead the way. - Sun Dec  6 04:45:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, maybe we should wait. - Sun Dec  6 04:45:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Since he said he'll be back. - Sun Dec  6 04:45:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whatever you want to do. - Sun Dec  6 04:45:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But I do have something I wanted to ask you. - Sun Dec  6 04:45:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hm? - Sun Dec  6 04:45:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Can you show me how to do that fighting stance you always seem to do? - Sun Dec  6 04:46:43 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Haha, nah.~ - Sun Dec  6 04:46:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaaa? - Sun Dec  6 04:46:43 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That's my Nami style. - Sun Dec  6 04:46:43 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm, mhm! - Sun Dec  6 04:46:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But if I am yours, wouldn't that make Nami style something I need to know? - Sun Dec  6 04:46:43 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Nooooope.~ - Sun Dec  6 04:47:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit. . . I really wanted to learn that. - Sun Dec  6 04:47:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Please? - Sun Dec  6 04:47:34 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Nah.~ - Sun Dec  6 04:48:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs*  O well, guess I will find something else. - Sun Dec  6 04:49:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, you just move on that easily huh? Okay. - Sun Dec  6 04:50:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait whaa? - Sun Dec  6 04:50:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't like to beg. . .  - Sun Dec  6 04:50:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Please don't make me. - Sun Dec  6 04:50:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Too late now. You said you're going to move on so go on. - Sun Dec  6 04:50:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sun Dec  6 04:50:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit all. - Sun Dec  6 04:50:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Fine. - Sun Dec  6 04:50:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: This is a one time thing. - Sun Dec  6 04:50:59 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) lowers himself down to a single knee and takes her hand.  This probably looked more like a proposal attempt then him begging.  But just doing this much was killing him on the inside.  His face started to turn a red color as he struggled to look her in her eyes.  He kept averting them, not trying to, but it continued to happen.

