<br><font color=teal>*Heiwa(PythonJedi) says: Mm. Closer, stand beside me. - Tue Dec  1 03:15:50 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I would have acted differently, I only use it to make it harder to shunshin an attack as quickly as he could since Nori could have been the first target of such a stratagy. - Tue Dec  1 05:37:29 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Paper* - Tue Dec  1 05:37:29 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . Can I come out now?! - Tue Dec  1 05:38:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Yes. You can come out. - Tue Dec  1 05:38:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Perhaps. Not every hostage will be a shinobi, however. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Not every hostage will be capable of stating they're tagged.  - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Around near any person it's a good idea to be careful. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Or develop some sensory ability. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: The situation was saving -you-, our squad leader. - Tue Dec  1 05:39:12 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) pushed off of the branch, falling on the ground, feet first. She staggeed a bit forwards and walked over to pick up the explosive tag.* - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Not a civilian. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Yeah, I screwed over your little lesson. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Nice try though. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: This time - don't worry. Feeling around me would have been a mistake. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It wasn't a chastisement of you. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The lesson itself was rigged against Yumiko's usage of that technique. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: I don't see why her using the technique was a bad thing. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's strong. Invaluable even. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: I don't understand. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But it can have detriments. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Collateral..unintentional actions or results - the use of the mist blinds us as shinobis from being able to react. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ....oh that jutsu? - Tue Dec  1 05:41:45 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I thought you meant the other one. - Tue Dec  1 05:42:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. Tengoku, you aren't hurt, right? - Tue Dec  1 05:43:28 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Yes - Tue Dec  1 05:43:28 2015
<br><br><font color=teal>*Tengoku(Punka) says: No. - Tue Dec  1 05:43:28 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: I feel like I could have fotten murdered in that mist. - Tue Dec  1 05:44:19 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: You're lucky you moved. - Tue Dec  1 05:44:19 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I was about to knock you out. - Tue Dec  1 05:44:19 2015
<br><br><font color=teal>*Tengoku(Punka) says: Yeah. - Tue Dec  1 05:44:19 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: OOC OFF - Tue Dec  1 05:46:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Having her train against Yumiko or Nori could be hard. She'd likely even be capable of being me too. Especially in Taijutsu. - Tue Dec  1 05:46:01 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Her using that jutsu helped me. - Tue Dec  1 05:47:44 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: But I mean, she didn't know it would. - Tue Dec  1 05:47:44 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Just worked out. - Tue Dec  1 05:47:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Right. Your sense of hearing synergized well. - Tue Dec  1 05:47:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Similar to mine. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: No, smell. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I smelled him. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: And you. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh? - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Again - interesting. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You'll work well in the team then. Only one who still has difficulty from what I've seen if Nori herself.~ - Tue Dec  1 05:49:26 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Thanks. - Tue Dec  1 05:51:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We'll do some together, but much of that is reliant on you personally. - Tue Dec  1 05:52:51 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm okay. - Tue Dec  1 05:57:58 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah . . . Wait, difficulty in what? - Tue Dec  1 05:59:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Finding your way around the mist. - Tue Dec  1 06:00:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oh, uh. . That kinda. . wasn't something I expected. - Tue Dec  1 06:05:39 2015
<br><br><font color=teal>*Yumiko(Ekario) says: If only Nori ran my way. - Tue Dec  1 06:11:37 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I didn't know where you were. .! - Tue Dec  1 06:12:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Which was the problem in its use.  - Tue Dec  1 06:13:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah. . - Tue Dec  1 06:16:44 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Eh? Where did the tag go-- oh right. I picked it up. - Tue Dec  1 06:17:36 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ... - Tue Dec  1 06:21:52 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hello there.~ - Tue Dec  1 06:22:43 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: FINGERING THEIR BOOTIES - Tue Dec  1 06:25:16 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I saw you guys' training...It went...Good. - Tue Dec  1 06:29:32 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Ah I didn't even know you were watching. - Tue Dec  1 06:30:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yeah....I don't have a very active squad..So I figured I'd just watch you guys... - Tue Dec  1 06:32:06 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Sorry they changed you off our squad - Tue Dec  1 06:32:06 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yeah..It's okay though. I'll just make my squad the best there is... - Tue Dec  1 06:32:57 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Somehow... - Tue Dec  1 06:32:57 2015
<br><br><font color=teal>*Yumiko(Ekario) says: You could always train with us at times. - Tue Dec  1 06:34:40 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I guess..I wouldn't want to intrude though. - Tue Dec  1 06:38:04 2015
<br><br><font color=teal>*Yumiko(Ekario) says: We're shinobi of the same village.~ - Tue Dec  1 06:39:47 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Doesn't bother me any. - Tue Dec  1 06:39:47 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Plus I already asked Anguo to train me too, he isn't on my squad. - Tue Dec  1 06:40:38 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hmm..Alrighty... - Tue Dec  1 06:42:20 2015
<br><br><font color=teal>*Yumiko(Ekario) says: You're welcome.~ - Tue Dec  1 06:43:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I like this team now. - Tue Dec  1 06:50:01 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Mhm, mhm.~ Very. - Tue Dec  1 06:53:26 2015
<br><br><font color=teal>*Yumiko(Ekario) says: It's a nice team, but Nori you need to find ways around in the mist. - Tue Dec  1 06:55:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmm.  . I mean. . If I can't see, then I can always hear? - Tue Dec  1 07:00:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Right? - Tue Dec  1 07:00:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: You also need to learn some physical and range combat... - Tue Dec  1 07:01:07 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . .  Yeah. . - Tue Dec  1 07:07:05 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) sighs, "Not so built up in fighting yet." She mumbled.* - Tue Dec  1 07:13:04 2015
<br><br><font color=teal>*Yumiko(Ekario) says: What are you interested in learning? - Tue Dec  1 07:15:37 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well. I was interested in learning fuuinjutsu. - Tue Dec  1 07:18:11 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Oh?~ - Tue Dec  1 07:19:02 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Mhm. I mean, I thought it might help.  - Tue Dec  1 07:22:27 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I see. I did want to learn a bit of fuuinjutsu. - Tue Dec  1 07:25:00 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmmm? Really now? What were you planning on doing with it? - Tue Dec  1 07:27:34 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Wanted to learn more about it. Seemed interesting. - Tue Dec  1 07:29:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I mean. I think I could fight with it if I learn it. - Tue Dec  1 07:33:32 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I see. - Tue Dec  1 07:33:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well, if I get into it. .  But that's probably after I finish a lot of my medic training. - Tue Dec  1 07:34:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm mhm mhm.~ - Tue Dec  1 07:35:15 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) whispers: And maybe there is a fuuinjutsu with chains. . .  - Tue Dec  1 07:40:22 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Oh gosh, if there is one. .  - Tue Dec  1 07:40:22 2015
<br><br><font color=teal>*Yumiko(Ekario) says: What ever you do don't start drooling. - Tue Dec  1 07:46:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I won't! That was a one time thing. - Tue Dec  1 07:52:19 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Right. - Tue Dec  1 07:58:17 2015
<br><br><font color=teal>*Yumiko(Ekario) says: So was stabbing the chained up guy. - Tue Dec  1 07:58:17 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . Ehehehe. ..  - Tue Dec  1 08:01:42 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I have a question. - Tue Dec  1 16:02:59 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Shoot. - Tue Dec  1 16:07:15 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Would it be possible to look in the archives? - Tue Dec  1 16:12:22 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: For what exactly? - Tue Dec  1 16:12:22 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I want to expand my knowledge in suiton. - Tue Dec  1 16:13:13 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Ah I see. - Tue Dec  1 16:14:56 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: It was hidden somewhere by the previous Mizukage, I'll send a search party for it. - Tue Dec  1 16:15:47 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Right. - Tue Dec  1 16:16:38 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Morning. - Tue Dec  1 16:43:56 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Morning.~ - Tue Dec  1 16:50:46 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: How's it going? - Tue Dec  1 16:52:28 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: Hello. - Tue Dec  1 16:54:11 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sup? - Tue Dec  1 16:55:02 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: Seen Tethys?  I miss him. - Tue Dec  1 16:57:36 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Tethys? Uhhh. . Not really. - Tue Dec  1 17:00:09 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: Do you know who he is? - Tue Dec  1 17:03:34 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: Because everyone in here seems to not know who he was besides me. - Tue Dec  1 17:03:34 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) thinks: Ugh, he's back. - Tue Dec  1 17:09:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Who is that? - Tue Dec  1 17:10:24 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: Tethy was around Five years ago. - Tue Dec  1 17:12:06 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: When Lady Noriko-Sama was Mizukage. - Tue Dec  1 17:12:06 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: Not sure where Tethys is today. - Tue Dec  1 17:12:06 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: That's the Mizukage? - Tue Dec  1 17:15:31 2015
<br><br><font color=teal>*Mikaelson, Mystic(Mammon Monomyth) says: So she is Kana? - Tue Dec  1 17:15:31 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . .? - Tue Dec  1 18:27:12 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: What do you want, little boy? - Tue Dec  1 18:36:35 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Sorry, I don't speak brokanese. - Tue Dec  1 18:38:17 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: That's better. - Tue Dec  1 18:38:17 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I see pain in his future. - Tue Dec  1 18:40:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: So hello everyone. - Tue Dec  1 18:47:40 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: It's too quiet. - Tue Dec  1 19:44:51 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Ryo. - Tue Dec  1 19:54:14 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I want you to spar Geo Dude. - Tue Dec  1 19:54:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Huh? - Tue Dec  1 20:03:37 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No. - Tue Dec  1 20:50:33 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Why not? - Tue Dec  1 20:51:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Pointless. - Tue Dec  1 20:51:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: What is pointless? Sparring me? - Tue Dec  1 20:53:07 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Yes. - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Why would you feel that way? - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Weak. - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Who? Me? I wasn't even fighting at full power... - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Me. - Tue Dec  1 20:53:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: ...That's why you should spar me..To get stronger. - Tue Dec  1 20:55:40 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I could even help you. You fight similarly to me..So I'm sure I could give you some pointers. - Tue Dec  1 20:55:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No. - Tue Dec  1 20:57:23 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't need help. - Tue Dec  1 20:58:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You clearly do if you think -I'm- too strong. - Tue Dec  1 20:58:14 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sparring someone that outmatches me doesn't make me stronger, it makes me weaker. - Tue Dec  1 20:58:14 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I just need to train harder. - Tue Dec  1 20:58:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hmm..Unless you can break your limits you'll never be on par with me....You think you can fight without assistance...You'll never defeat me that way. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You need allies to grow. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I do not. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Whatever you say... - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Allies make you weak, they make you rely on them. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: If you have to rely on them, you can't rely on yourself. - Tue Dec  1 21:00:48 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: That's so backwards.... - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You've clearly been hurt in the past..I'm sorry. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: If that happens, you're weak. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Well you're alone and weak. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: What's your excuse? - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I haven't trained enough. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I like being alone. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: A spar -is- training. - Tue Dec  1 21:01:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: It isn't. - Tue Dec  1 21:02:30 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: It is though...I fought you wearing weights the entire time....Had I fought you with them off. The fight would have been much shorter. - Tue Dec  1 21:02:30 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Exactly, that isn't training. - Tue Dec  1 21:02:30 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But I fought you -with- weights. So that I can increase my speed and stamina. - Tue Dec  1 21:03:21 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: If you train with weights on...You get stronger. - Tue Dec  1 21:03:21 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't have anyway. - Tue Dec  1 21:03:21 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You can get them in the training area. - Tue Dec  1 21:05:04 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Inside the academy. - Tue Dec  1 21:05:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Whatever, I'll train the way I want to train. - Tue Dec  1 21:05:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't need you or anyone else. - Tue Dec  1 21:05:04 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Very well...Would you like to see the results of my training? That is..Training the way I train? I don't intend on causing you distress...But I'd really like to show you the benefits of it... - Tue Dec  1 21:05:55 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No. Go away. - Tue Dec  1 21:05:55 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Very Well. Where is Lady Mizukage? - Tue Dec  1 21:06:46 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Gone. - Tue Dec  1 21:06:46 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure. - Tue Dec  1 21:18:43 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You can begin. - Tue Dec  1 21:19:34 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...W-What?! - Tue Dec  1 22:26:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You have the nerve to come back here, Ichiro?! - Tue Dec  1 22:27:50 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Get it all sorted? - Tue Dec  1 22:55:08 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Yeah...it's all fine. - Tue Dec  1 22:56:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Makkuro. - Tue Dec  1 22:57:42 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Charcoal. - Tue Dec  1 22:57:42 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: He's a nice dog, you'd trained him well. - Tue Dec  1 22:58:33 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Thanks. - Tue Dec  1 22:58:33 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: He's a puppy still so he misbehaves sometimes but not often. - Tue Dec  1 22:58:33 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Not right now...Later... - Tue Dec  1 23:43:47 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But soon! - Tue Dec  1 23:43:47 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Morning. - Tue Dec  1 23:52:19 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Sleep well?~ - Tue Dec  1 23:53:10 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Mkay. - Tue Dec  1 23:53:10 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Mhm.~ - Tue Dec  1 23:55:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: I hate listening to idle chatter. - Tue Dec  1 23:56:35 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I'm glad.~ - Wed Dec  2 00:04:16 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hello.~ - Wed Dec  2 00:05:07 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hi Tenny.~ - Wed Dec  2 00:05:07 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: And they have nicknames...how gut turning... - Wed Dec  2 00:05:58 2015
