<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: She yeah... - Fri Dec  4 02:13:58 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ------ - Tue Dec  8 11:55:56 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) looked from left to right then from front to back. He strides over to Kariudo and whispers in her ear.* - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Who told you about my stuff..? - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You should stop smoking, Tsu-san. - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..... - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Bad for your brain. - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: !!!!!!!!!!! - Tue Dec  8 11:56:48 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) 's jaws dropped open.* - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Who told you that bullshit! - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...No one? - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm probably the smartest guy you know! - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's obvious how high you are. - Tue Dec  8 11:57:39 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) nodded with pride.* - Tue Dec  8 11:57:39 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ...Eh..? - Tue Dec  8 11:57:39 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Seriously..? - Tue Dec  8 11:57:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....yeah. - Tue Dec  8 11:57:39 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) squints.

His arm slowly raise and his index finger extends. He threatens to poke Kariudo on the cheek.

"..You sound real.. but you're a bit more................. you.. than you regularly are.."* - Tue Dec  8 11:59:21 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) stretches his arm out a bit more, placing the tip of his index within the same range to her cheek as before.

"You're more.. how do I put this... Errr...."

He thinks for a moment, skipping his visual focus across the area for a reference.

"Err.. If you were a tree in the middle of fall.. you'd be more.. green than the others.."* - Tue Dec  8 12:02:46 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) 's squint turns into a raised brows and slightly widened eyes. His mouth give a 'o' formation at her comment but slowly transition into a sly smirk [the spongebob one i showed you].

He leans in even more, but this time with his entire head and body.

"You want me to drool on you, don't you Kuro-chan.~"* - Tue Dec  8 12:07:02 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) 's was headbutted.

He's sent staggering back a bit, his head noticeably leaned back with the tip of his nose greeting the sky. "AH!!"

He remains in that very same pose ---- with his head leaned back and all.* - Tue Dec  8 12:11:18 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Mizumi likes it this rough!? - Tue Dec  8 12:12:09 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: She's.. dangerous! - Tue Dec  8 12:12:09 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Wait.. what if he leaned it to make me drool on her.. - Tue Dec  8 12:13:00 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: NO! I MISSED MY CHANCE! - Tue Dec  8 12:13:00 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) snaps his neck straight and rushed back over to Kariudo, "redo!"* - Tue Dec  8 12:13:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Redo? - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Mhm! You tricked me and I missed my chance! - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Redo! - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...your chanc? - Tue Dec  8 12:13:52 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) nodded several times.* - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: MMMMM..HMMMMMMMMMMMMMM! - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Wait... - Tue Dec  8 12:14:43 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Wait... - Tue Dec  8 12:14:43 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Why would headbutting me cause me to dro- - Tue Dec  8 12:14:43 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: WHOA! - Tue Dec  8 12:14:43 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: THEY PROBABLY KISSED! - Tue Dec  8 12:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......you want to get headbutted again? - Tue Dec  8 12:15:34 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: THAT'S HOW HIS DROOL GOT ON HER! - Tue Dec  8 12:15:34 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) 's demeanor changed entirely. He folds his arms across his chest and looked genuinely angry, the same look he gave her when he felt like she lied to him!* - Tue Dec  8 12:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 12:15:34 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: I thought.. we were friends.. - Tue Dec  8 12:18:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...we are? - Tue Dec  8 12:18:08 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Then.. - Tue Dec  8 12:19:50 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Why... - Tue Dec  8 12:19:50 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Do you.. - Tue Dec  8 12:19:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .............................. - Tue Dec  8 12:19:50 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) took the hit!

His head, from the concussive pressure, turns to the side. Kariudo's handprint paints itself on his cheek and tears slowly formed.

He's lied to, headbutted, cheated out on his chance then slapped..* - Tue Dec  8 12:23:15 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: *sniff* *sniff* - Tue Dec  8 12:23:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Don't you DARE. - Tue Dec  8 12:23:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Give me shit right now. - Tue Dec  8 12:23:15 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ....... - Tue Dec  8 12:24:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I ain't go through the shit I go through to have little fuckers like you, friends or not, spouting about how I'm a liar. - Tue Dec  8 12:24:06 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) continues to sniff, trying his best to keep it all together. He backs up a bit and turns his head back, placing his glare on the road in front of the building.* - Tue Dec  8 12:24:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....did I make you cry? - Tue Dec  8 12:24:57 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: *sniff* ..n-no! - Tue Dec  8 12:25:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Shit..... - Tue Dec  8 12:25:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I.. *sniff*.. I.. just got something in my eye! - Tue Dec  8 12:25:48 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) turns his back to her.* - Tue Dec  8 12:25:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: No you're not! - Tue Dec  8 12:25:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I was just trying to get my chance back! - Tue Dec  8 12:26:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..... - Tue Dec  8 12:26:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Look, a lot of shit happened. - Tue Dec  8 12:27:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm tired of being pointed at and having the words 'liar' screamed at me. - Tue Dec  8 12:27:31 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I didn't know..! I would've left you alone! I-I.. wouldn't do that to a friend! - Tue Dec  8 12:27:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You know I don't like you calling me a liar... I never had. - Tue Dec  8 12:28:22 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) grumbles, "I just wanted my chance back."* - Tue Dec  8 12:28:22 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: *sniff* - Tue Dec  8 12:28:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What 'chances'? - Tue Dec  8 12:29:13 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: You suggested that you wanted me to drool on you! Then when I asked you if you're sure, you head-.. you leaned in to give me my chance! But I didn't understand and I took the hit to my nose! - Tue Dec  8 12:29:13 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Then when I figured out that you leaning in was my chance, that must've been how Mizumi.. drooled on you! - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....I didn't say you could drool on me.... - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ............................. - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: B-But... - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And I leaned -away- from you. - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: .....Eh..? - Tue Dec  8 12:30:56 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) blinked a few times..* - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Did she lean away from me..? - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Then what hit me!? - Tue Dec  8 12:30:56 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) spun around, "okay! I'm sorry!"* - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: You're not a liar! - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I was tricked by a ghost or so- - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: G-Ghost... - Tue Dec  8 12:30:56 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) looked from left to right!* - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: G-G-Ghost!! - Tue Dec  8 12:31:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Dude are you alright? - Tue Dec  8 12:31:47 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: SHHH!!! - Tue Dec  8 12:31:47 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) rushes back over to her* - Tue Dec  8 12:31:47 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: They.. can hear us! - Tue Dec  8 12:31:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Stop acting crazy. - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Shhh! - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: We have ghosts! - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: That must've been what hit me! - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: And make me think you the one that hit me! - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No -I- hit you. - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: I know there's a medical term for it- - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Eehh? - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: But.. you just told me you leaned away.. - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Wait... - Tue Dec  8 12:33:29 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) looked at her.* - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: You have another head? - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah I was leaning away a lot and then you leaned in and then you said something weird so I headbutted you. - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ...Holy shit... - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: So.. Wait- - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ohhhhhhhhh. - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Okay, I understand. - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why are you SO stupid? - Tue Dec  8 12:34:20 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) nodded his head.* - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm not stupid! - Tue Dec  8 12:35:12 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ask me any question and I bet I can answer it. - Tue Dec  8 12:35:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......are ghosts real? - Tue Dec  8 12:36:03 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yes. - Tue Dec  8 12:36:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: See? Stupid. - Tue Dec  8 12:36:54 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? If ghosts weren't real, how do we explain our ability to remember the ones that die? Ghosts are example the spooky aspirations! They're the lingering essence of a freed soul! - Tue Dec  8 12:37:45 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) noddd.* - Tue Dec  8 12:37:45 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: nodded* - Tue Dec  8 12:37:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....we remember because of memories in our -brains-. - Tue Dec  8 12:37:45 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: .......... - Tue Dec  8 12:37:45 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) blinked at her confusingly.* - Tue Dec  8 12:38:36 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Our bain is only there to make us have a person on the inside of our head. - Tue Dec  8 12:39:28 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Nothing else. - Tue Dec  8 12:39:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..... - Tue Dec  8 12:41:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Wow you are full on mental. - Tue Dec  8 12:41:10 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Do we not have a person in our head? - Tue Dec  8 12:42:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...no. - Tue Dec  8 12:42:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: So you don't talk to someone in your head!? - Tue Dec  8 12:42:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: .......... - Tue Dec  8 12:42:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Am I really stupid..? - Tue Dec  8 12:42:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Oh no! There goes the perso- - Tue Dec  8 12:43:44 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: NO! STOP- - Tue Dec  8 12:43:44 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: HELP! - Tue Dec  8 12:43:44 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: MY MIND IS BEING INVADED! - Tue Dec  8 12:43:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ............................. - Tue Dec  8 12:44:35 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Help! - Tue Dec  8 12:45:26 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: The person says everything I do! - Tue Dec  8 12:45:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .......*Sigh* - Tue Dec  8 12:45:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Shut up. - Tue Dec  8 12:45:26 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ....... - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: B-But.. - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I don't want to be stup- - Tue Dec  8 12:46:17 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) zips his lips and looked down.* - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: I am stupid. - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: --------------- - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: GET OUT! - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: YOU'RE NOT WELCOMED HERE! - Tue Dec  8 12:46:17 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) was grabbed and shaken! He his bobbed back and forth and his body was like jello, jiggling and only stopping once Kariudo did!* - Tue Dec  8 12:48:51 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: O-Oh Kaaaay!! - Tue Dec  8 12:49:42 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Hi conscious! - Tue Dec  8 12:49:42 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: My name's Tsubasa- - Tue Dec  8 12:49:42 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) was pushed..

More abuse from Kariudo!* - Tue Dec  8 12:50:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .............. - Tue Dec  8 12:50:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I didn't even push you hard, how are you that far away. - Tue Dec  8 12:50:33 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) exaggorated!* - Tue Dec  8 12:52:16 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) stood in his usual spot. Both his hands are tucked away with his pants and his usual zanbatou is hitched to his back. His eyes are subtly closed and his breathing is paced, for the first time in a while he was just relaxed.* - Wed Dec  9 08:05:58 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) 's eyes crept open and fell upon the bubble just before it was popped. Tsubasa had nothing against training, but it was weird that Kariudo was the one to offer such a thing. A hesitant expression forms on his visage as he spoke. "Uhh, okay. Sure, why not.."* - Wed Dec  9 08:09:23 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) followed behind her.* - Wed Dec  9 08:13:39 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) didnt' really care where the ended up, it's not like they were on a life or death mission and trying to escape the enemy lines.

"Yeah, you could say that. I can hold my own with just my fists though." His voice isn't the same for some reason. It's less hyperactive than usual and his facial expression only added to the serious vibe. If anything, he was more calm and collected than usual.* - Wed Dec  9 08:18:46 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) shook his head and shrugged. Tsubasa didn't mind training, that didn't mean he took the initiative to do it. "Nothing."* - Wed Dec  9 08:21:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You think you can take me on with all these arms? - Wed Dec  9 08:23:53 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: No, but I'm still willing to give it a shot. - Wed Dec  9 08:23:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right okay...no sword, no ninjutsu? - Wed Dec  9 08:27:18 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) squints a bit.

"I rather you not hold back at my expense. How else am I supposed to make progress?"

He pulls his right hand out of his pocket and reached behind his back, clamping on to the hilt of his zanbatou. With relative ease he'd unsheath it and chuck it off to the side, showing that he agrees to the terms of 'no sword'.

Tsubasa wasn't sure whether or not Karuida was aware that he had absolutely no Ninjutsu, but that didn't really matter. He supplies a slight shrug and turns to face the female, preparing himself.

"Whenever you're ready."* - Wed Dec  9 08:30:43 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) was planning to work on his legs. His idea of a perfect fighting style consists of: all elements of Taijutsu, all elements of Kenjutsu and the proper speed and strength to back those two elements up.

With Kariudo aiming to thrust her leg forward, Tsubasa retaliates with his own leg shooting forth. The intent was clash shins with her, hoping that his own strength and durability would catch Kariudo off guard. Course, he did hold back some for the sake of dragging this spar out.

With all six of her arms aiming to unleash an onslaught on him. Tsubasa answers with the only option her had. He uses his left hand as a guard for the initial punches while cocking his right arm back at the elbow and clenching a tight fist. While his left arm took the blunt of her onslaught, even though she did land some of the hits, he'd unleash fire off his own blow aimed just above her right breast. He didn't want to hurt her so he did hold back on this attack --- at most he planned to stun her.* - Wed Dec  9 08:46:56 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) folds over, the first punch proving to be effective.

The uppercut, in that same combination, forces his spine straight and his chin to glare at the sky ---- a close range battle with Kariudo was becoming interesting. He staggers back a bit, attempting to quickly regain his awareness; which didn't take long.

He paces back toward her with left hand uncurling from a fist. At that point, he'd go to slap initiate a slap across her face, but purposely make it fall short --- the tip of his middle finger would graze against her nose. Tsubasa's left leg shoots forth, aimed to cause concussive damage to as much of her arms that acted as a shield.

If push came to shove the purpose of this kick was to force Kariudo off balance, using the feint slap as the distraction.* - Wed Dec  9 08:59:44 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) went skidding back, Kariudo's understanding over muscles and all that besting him.

