<br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:28:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..thanks! - Tue Dec  1 03:35:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Tue Dec  1 03:35:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I got it on really tight..so..uhm.. - Tue Dec  1 03:35:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Help me take it off? - Tue Dec  1 03:35:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: No! NO! NO! Remember, I'm a lesbian Momura.. I shouldn't see you like that. - Tue Dec  1 03:35:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Noooo... - Tue Dec  1 03:36:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: It's f-fine, you're my f-friend.. - Tue Dec  1 03:36:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Besides..i-if you don't help uhm...I-I'll have to wear this out in p-public..it's r-really tight.. - Tue Dec  1 03:36:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: But, remember how angry you were of Hanai looking at me like that... I'm sure Hanai wouldn't want me looking at his girlfriend likie that. - Tue Dec  1 03:36:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai wouldn't m-mind.. - Tue Dec  1 03:37:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He saw us in the b-bed together.. - Tue Dec  1 03:37:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: R-Remember? - Tue Dec  1 03:37:10 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) let out a sigh, though she was noticably swetting. "O-oh okay.. turn around then."* - Tue Dec  1 03:38:01 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) bit her lip, as Momura turned. Chikyu's eyes always slowly drifting to look lower, before she quickly shot them up. Her fingers shook, as she slowly began to untie the middle strap that connected the pieces of strings.* - Tue Dec  1 03:39:44 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) 's time seemed to slow, the gasp of her breathe taking minutes as the swimsuit fell. Her vision then leaning down completely to the rear, as it seem to take an entirenity to bend over. Momura's curves being completely exposed, as the girl looked only in shock. A hand held outwards, as if recoiling from being shot. She then felt the bounce of her soft rear on her waist. The girl's thighs immeaditly contracting as she let out a little "Ayh-Mfff" before she covered her mouth.* - Tue Dec  1 03:44:00 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) looked over with a gasp, as she turned around. Chikyu's eyes straining to stare at Momura's face, only to every so often glance down to her chest. "I...I..sure.. lets get our pjs on..." <Quickly.>* - Tue Dec  1 03:46:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mine are being cleaned r-right now. - Tue Dec  1 03:47:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mind if I'm l-like this? - Tue Dec  1 03:47:24 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) turned around. "No.. I'll do something horrible!"* - Tue Dec  1 03:49:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Tue Dec  1 03:49:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You're r-really nice though! - Tue Dec  1 03:49:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why would you d-do something b-bad? - Tue Dec  1 03:49:07 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Momura! You're a very beautiful girl thats why! - Tue Dec  1 03:50:49 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I wouldn't be able to keep my hands off of you! - Tue Dec  1 03:51:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why not? - Tue Dec  1 03:53:23 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) grew more and more embarassed. "I wou..would want to kiss you and stuff."* - Tue Dec  1 03:54:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why? - Tue Dec  1 03:56:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-Is that what best f-friends do? - Tue Dec  1 03:56:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: NO! Thats the stuff for lovers and such. - Tue Dec  1 03:57:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Ohh.. - Tue Dec  1 03:58:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I can't be n-nude around you? - Tue Dec  1 03:58:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yes...please its not that we aren't friends or anything. I just wouldn't ever want to do something that hurt you and Hanai's relationship. Your both important friends to me. - Tue Dec  1 04:00:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Tue Dec  1 04:01:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: But, we can have a sleepover. Because you are my bestie after all, I just... like some clothes. Hehe... - Tue Dec  1 04:03:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright! - Tue Dec  1 04:03:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Did you know hanai proposed? - Tue Dec  1 04:04:28 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) turned around, squeezing her chest against her friends jiggly watermelons. "Thats so great to hear!"* - Tue Dec  1 04:05:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So - Tue Dec  1 04:11:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: What'cha w-wanna do? - Tue Dec  1 04:11:18 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I don't know! I wasn't prepared for sleep over. - Tue Dec  1 04:17:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm.. - Tue Dec  1 04:18:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna uhm.. - Tue Dec  1 04:19:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I know. - Tue Dec  1 04:22:24 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) "hmm?"* - Tue Dec  1 04:23:15 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) turned around for Momura. "Sure? What is it?"* - Tue Dec  1 04:23:15 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) body curled up again, she let out a moan as the attack pierced. "Oooaahhhh!" She then fall foward, rubbing her rump at Momura. "Do..Don't do that!"* - Tue Dec  1 04:28:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Ha..I-I beat you again! - Tue Dec  1 04:28:22 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yeah...lets not use that one me anymore... Anyways, so why did you suggest a swim suit contest? - Tue Dec  1 05:07:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Dunno.. - Tue Dec  1 05:08:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Did you just wanna find a reason to show it off to Hanai? Or maybe, do you know you look good in it and want to show it off to everyone. - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well.. - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai.. - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alot.. - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: A lot? - Tue Dec  1 05:11:53 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Then, tell him you want to take a shower together with your swimsuit on. - Tue Dec  1 05:11:53 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Or, you can just invite him to the beach. - Tue Dec  1 05:11:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-With clothes on? - Tue Dec  1 05:11:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Tue Dec  1 05:11:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Usually w-we shower t-together.. - Tue Dec  1 05:11:53 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh oh! Get him to give you a massage, and you can where that when he does it. He'll fall in love with you all over again. - Tue Dec  1 05:13:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: R-Really? - Tue Dec  1 05:13:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: <I know I did...> Yeah really! - Tue Dec  1 05:14:27 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I can sell wine and art like crazy then. - Tue Dec  1 05:17:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And we wont have to worry about anyone other than a suna nin winning the torunment. - Tue Dec  1 05:17:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Soo.. - Tue Dec  1 05:22:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Do you want a massage? - Tue Dec  1 05:22:59 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh Sure! - Tue Dec  1 05:24:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright uhm..w-where-ever is fine with you. - Tue Dec  1 05:25:32 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) just lays out on the floor, head laying with a satsfied smile on the pillow.* - Tue Dec  1 05:27:15 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) looked behind, her as she slightly twitched feeling the  extra weight on her back. "Well...last time with my breasts...I caused a bother."* - Tue Dec  1 05:31:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..uhm..a-alright.. - Tue Dec  1 05:31:31 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) leans down into the pillow, feeling her slide down her back and begin rubbing into her muscles. The tan Chikyu was extremely tense, and shes never had anything like this done before. She just simply smiled and enjoyed the feeling.* - Tue Dec  1 05:34:04 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) "Ohhh..." Chikyu's head pushed into the pillow. When, Momura go to her lower back Chikyu let out a growl. "That feels good."* - Tue Dec  1 05:35:47 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) simply nodded into her pillow, a muffled sigh of relief came form her. She leaned back up, with eyes closed and a happy smile. * - Tue Dec  1 05:40:54 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) held out an arm, as her head bobbed up and down. She then pulls it back, and points to her shoulders. "Oh get there too..please."* - Tue Dec  1 05:44:19 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) lifted her head up in surprise. "Whats lotion?"* - Tue Dec  1 05:46:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Tue Dec  1 05:49:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Soft creamy s-stuff.. - Tue Dec  1 05:49:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It makes your s-skin nice. - Tue Dec  1 05:49:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And smooth. - Tue Dec  1 05:49:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ohhh! Try it. - Tue Dec  1 05:50:17 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) "O-oh kay... I'll put it on real quickly if Hanai comes." Shes taking off the leather band that kept her chest plates on. Her brown tits popping out, now are pressed against the floor. "ShShshsh... its a bit cold on the floor."* - Tue Dec  1 05:56:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna go to the b-bedroom? - Tue Dec  1 05:57:07 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sure - Tue Dec  1 05:57:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Lay down. - Tue Dec  1 05:57:58 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) lays down again, her body practically sinking into the bed. "Much better."* - Tue Dec  1 05:58:49 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) let out a sigh, as she felt the wave of lotion go over her. The hands feel weird at first, but... it slowly gets comfortable.* - Tue Dec  1 06:03:05 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) begins to feel her body getting slicker and basically covered in the oil. "Oh..oh is this how you do it?"* - Tue Dec  1 06:06:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mmhmm. - Tue Dec  1 06:06:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hmm! Okay then! - Tue Dec  1 06:08:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So..uhm.. - Tue Dec  1 06:08:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I've got just about all your back. - Tue Dec  1 06:08:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: So do you rub it in or something? - Tue Dec  1 06:08:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh yeah. - Tue Dec  1 06:09:04 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) nods closing her eyes, letting it all soak in. "Ahhh...it really does feel good. When, do you want your turn?"* - Tue Dec  1 06:10:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Tue Dec  1 06:11:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No you don't have t-to - Tue Dec  1 06:11:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh come on... You did it for me, I can do it for you. - Tue Dec  1 06:13:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But you're a-attracted to me.. - Tue Dec  1 06:14:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So if you t-touch me y-you'll get sad..and..s-stuff.. - Tue Dec  1 06:14:11 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: This is just friends, massaging each other. I won't mind doing it for a friend. - Tue Dec  1 06:15:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..uhm.. - Tue Dec  1 06:15:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Dec  1 06:15:53 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) leans up, and puts back on her chest plate. She then stands, and looks away. "So, you can get undressed before I see anything."* - Tue Dec  1 06:17:36 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) looks at Momura's back with a small gulp, before she sprays lotion on to her back. She then presses her hands and wipes it all over her back.* - Tue Dec  1 06:21:52 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) nods. "Yeah..." she continues to rub until shes covered her back. "The rubbing is the real good part." She says, as she wraps four fingers over Momura's shoulders, and begins rubbing her thumb into the muscles of her shoulder blade.* - Tue Dec  1 06:24:25 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) began rolling her fingers down her spine. She then began to rub each individual figure into a different spot on her back. All of them curling back and forth to get into the muscle* - Tue Dec  1 06:26:59 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) nods moving her hands lower. At first, she just did it with her palms but then she began to work in her thumbs again. Her fingers wrapped around her waist holder her sitll, as her thumbs slide across the surface of the lotion.* - Tue Dec  1 06:30:24 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) was rather at a blushed when asked that question. "Uh no... no girl seems interested."

She says, as she continues to rub into the lower back.* - Tue Dec  1 06:32:06 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) began using her knuckles to rub into her back, the lotion providing some nice cushion to the harshness of the bones. 

"Oh really... Mmm...well I mean... maybe if another girl like me comes along..she'll fall for me."* - Tue Dec  1 06:34:40 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) stopped for a moment. "Too hard... or should I do it harder?"* - Tue Dec  1 06:38:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Harder. - Tue Dec  1 06:39:47 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) pressed even harder into her back with her curled hands, slowly pressuring her back and rubbing into the deepest muscles of the girl's body.* - Tue Dec  1 06:41:29 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) body shook hearing her moan. The girl's cheeks and ears blistering red. "umm... anywhere else you like to be rubbed."* - Tue Dec  1 06:43:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: You know where. *Wink* - Tue Dec  1 06:44:03 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: That better be an omit -omit- - Tue Dec  1 06:44:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm..I-I dunno. - Tue Dec  1 06:44:54 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) began to just rub her entire back, looking for any other spot that need such deep massaging.* - Tue Dec  1 06:46:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Chikyu. - Tue Dec  1 06:46:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can I tell you s-something? - Tue Dec  1 06:47:28 2015
