<br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm? - Sun Nov  8 02:06:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh-huh... - Sun Nov  8 18:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Truth be told, Zenaki does have a rather unsettling presence. - Sun Nov  8 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: True, but I wouldn't say she's evil. - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Kurt(Zygman) says: She sent spills down my spine for the few seconds that she was in the area near me. - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'd still tap that -omit- - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I agree with Lera -omit- - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Kurt(Zygman) says: Yan, Would you be interested in a spar against me? - Sun Nov  8 18:48:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh, let me hit this a few more times. - Sun Nov  8 18:48:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: YOu would ask after I spark up some herb. - Sun Nov  8 18:48:06 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) stretches her arms upwards in a V, her arms snapping as her shoulders are pulled out. "Mmhmmm, Guess more work to be done."* - Sun Nov  8 18:49:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: That stuff smells like mouldy foot... - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Why do you think I'm not even going to rest near the wall. - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Yeah....I'm offf. - Sun Nov  8 18:51:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cya later - Sun Nov  8 18:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You off too, Chikyu? - Sun Nov  8 18:51:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yeah, I was going to learn a new techinique from my dad. I told him to save it later, since if I'm not full strength against him well... I probably would die! HAhAHA! - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami! - Sun Nov  8 18:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Spar that guy right there..I'm too high for this shit. - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Hanae(Ej900) says: and Come on remy! - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Do you know where, The Kazekage might be? - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Why did they put a nice rug like that on the dirty ground? - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sleeping in his office ususally. - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see.. - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Remy(SS2015) says: . . . - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm. - Sun Nov  8 18:55:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hi l-lera.. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello Momura - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) thinks: Red Hair? And she's stuttering. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Hanae(Ej900) says: Remy come on littel closer. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Hanae(Ej900) says: Don't you want to sit in my lap. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm..I-I've been training a lot.. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Have you now. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Apologies though, no time to talk...someone i've been waiting for  has just arrived. - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kuro? - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Eh...Momura was it? - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yo. - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: What does one do for fun here? - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: *Shrugs* - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm _____ - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: And you are? - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see. - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Do you know when the Kazekage is usualyl around? - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: usually* - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh are you .. - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Remy(SS2015) says: . . . - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello, can we go talk privately for a mo? Got something I need to ask you. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Ohhh..they know eachother.. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nope.. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't see why not. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Are you nervous? - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Kazekage-San u-usually uhm..I dunno.. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nope. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: You're stuttering. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Lead the way. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And..? - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: A Kunoichi? - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: It's usually a nervous tick. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Hanae(Ej900) says: ... - Sun Nov  8 19:01:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: *Shrugs* - Sun Nov  8 19:01:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Sun Nov  8 19:03:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh, you must have the opposite of Gynophobia. - Sun Nov  8 19:03:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Gotcha - Sun Nov  8 19:03:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Sun Nov  8 19:04:19 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: ... - Sun Nov  8 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Sun Nov  8 19:05:10 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I shall name you .. Chickenru. - Sun Nov  8 19:05:10 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Sun Nov  8 19:06:01 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: You look pretty strong, Chickenru. - Sun Nov  8 19:06:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: *is still silent and not even looking in Shira's direction* - Sun Nov  8 19:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He obviously d-doesn't wanna talk to you.. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You should leave him a-alone.. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: That's a girl.. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Is this... - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: How Sunagakure is all the time? - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'll have you know .. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Unfortunately. - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Chickenru is my second best friend. - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Another c-creepp.. - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: srs this nigga poisoned me and it aint even doing anything to my constitution - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Note, Red Head is a jerk. Noted. - Sun Nov  8 19:09:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sun Nov  8 19:09:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But that sounds..l-like a mean name.. - Sun Nov  8 19:09:26 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) stretches out both her arms, socking Shira in the side of the head. "AHHH! I'm so tired...wonder what I should do to wait for the afternoon." She had no idea any of them were talking to her.* - Sun Nov  8 19:11:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I should go back to t-training.. - Sun Nov  8 19:14:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Ew, it's a prostitute that looks like a loli-con. Freakin' creep. - Sun Nov  8 19:14:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Ewwww. - Sun Nov  8 19:14:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hmm.. - Sun Nov  8 19:15:24 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) eyes spark, as she suddenly grabbed on the shoulder by a stranger. "Attacker!"  She shouts, grabbing his hands and clenching it tightly. She then pulls him closer, and while he was off ballance attempts to strikes him quickly in the throat to stun and hopefully put him down for good. 

She takes a few moments to step back, pulling out her blade at Shira. Seriously, she was going to attack him if he made any more atttempts to get closer to her. She then pause, as she hears Mizora. Turning her head, "Huh? Wha- I'm a bit busy with this attacker." Her eyes giving a blank 'What the heck are you doing?' look to Mizora.* - Sun Nov  8 19:17:07 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) before he even mentioned another word, seeing that he had actually defended against the attack. The girl had already raised her sword, and took a step forward. Her blade being brought down on to the spot of where the man was, edge target right at him there was no flat of the blade. When the hit land, whether it hit him or crash into the ground she look at both people talking with her.

"Hello, hello nice to meet you both. Chikyu... but I'm a bit busy here with this psychopath!" She says, quickly flipping her head back and forth between Mizora and Ryutaro. Then, she finally went back to her opponent.* - Sun Nov  8 19:32:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: This needs to end before it gets bloody. - Sun Nov  8 19:36:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Looks like I have to do more shit.. again... ugh.... Why can't I ever get rest. - Sun Nov  8 19:40:09 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) the sword is quickly hit, being knocked away towards the ground far away from Shira's body. The steel barely able to manage to stay undamaged, as it fluttered back and from from the hit. The swordswoman's body nearly twisting completely along with it, as she kept a firm hold on to the blade. The blade being practically embedded in the dirt. Chikayu having to spend several tugs until she finally plucked the steel sword out.

