<br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yes? - Sat Nov  7 01:21:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wasn't there supposed to be like some tournament? - Sat Nov  7 02:10:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Geez. Oh well, gives me time to work on completing my new jutsu. - Sat Nov  7 02:10:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sat Nov  7 02:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Does anyone..w-wanna spar? - Sat Nov  7 02:11:50 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What sort of spar? - Sat Nov  7 02:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: J-Just no major h-hurting..T-Training spar. - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There are different types of spar? - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Soars* - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yes. - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Umm - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Are you fire resistant?! - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No.. - Sat Nov  7 02:13:32 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hmm. - Sat Nov  7 02:13:32 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I don't know! - Sat Nov  7 02:13:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I wouldn't accept the battle. - Sat Nov  7 02:15:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If you want. I could fight with you? - Sat Nov  7 02:15:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: This shit looking sexy. - Sat Nov  7 02:15:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: Honestly, do you feel its intrusive to stand here while they are sparring? I mean, they are showing their ninja techniques..Everyone does it, so no one can call anyone out on it really..but anyone can just walk up and peep your fighting style. - Sat Nov  7 02:28:54 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) whispers: Meh, my dad already told me that's how everyone is. - Sat Nov  7 02:30:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) whispers: I mean, not like we're going to be fighting our friends to the death or anything. - Sat Nov  7 02:30:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I trust my friends, but outside that circle, I've learned to be vigilant. I'm not saying anything really other than to be mindful. I wasn't really trying to say that but it's something to keep in mind. You never know with people. - Sat Nov  7 02:31:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I trust my friends, but outside that circle, I've learned to be vigilant. I'm not saying anything really other than to be mindful. I wasn't really trying to say that but it's something to keep in mind. You never know with people. - Sat Nov  7 02:32:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Sat Nov  7 02:34:01 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) whispers:  Maybe I shouldn't of showed off my secret technique! - Sat Nov  7 02:34:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I've done it in myself. Given future events, I am going to start being more secretive with my abilities. - Sat Nov  7 02:39:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I'd recommend you do the same. I don't know you, but you are Iza's brother, so I'd like to see you do well. - Sat Nov  7 02:40:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Thanks, they say i'm better at fire style than her! So..maybe I should keep it on the low low. - Sat Nov  7 02:40:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm r-really weak in sandy areas..B-But I can keep going..! - Sat Nov  7 02:43:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let me punch you..And I w-will.. - Sat Nov  7 02:51:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? That could be dangerous, though! My sensei always told me, no matter how durable you are, never willingly take a hit. - Sat Nov  7 02:52:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Sat Nov  7 04:31:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Sat Nov  7 04:36:54 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Father! - Sat Nov  7 04:36:54 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Sat Nov  7 04:40:19 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Looks like they're talking about you, guy. - Sat Nov  7 04:41:10 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: Ah, a Christian. - Sat Nov  7 04:42:01 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: They're usually very amiable fellows. - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: So much is happening.... - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Reguel(Airide) says: Great more people. - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I notice your earrings... are you from the Tenryuujoutei temple - Sat Nov  7 04:43:44 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I am from the Tenryuujoutei Temple.  - Sat Nov  7 04:43:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Tenryuuwhootie? - Sat Nov  7 04:44:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh thats great a fellow monk, im Bryson Lyan - Sat Nov  7 04:44:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im the cleric priest of Suna - Sat Nov  7 04:45:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: The Tenryuujoutei my child - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: It is a pleasure to meet you, Bryson Lyan. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: My name is Yukio. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Don't mind me---I am merely passing through. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see did you get my letter? - Sat Nov  7 04:47:08 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) whispers: Yo, what's going on? Lots of people in the square. - Sat Nov  7 04:47:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: Some kinda' politics thing...or atleast that's what Yan said. - Sat Nov  7 04:47:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I informed all avalible priest for a metting in Sna but I recieved no responce - Sat Nov  7 04:48:00 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I have not received your letter, unfortunately. - Sat Nov  7 04:48:51 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: But I do believe my schedule is free for a meeting. - Sat Nov  7 04:49:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Execellent, do you know any more priest? - Sat Nov  7 04:51:24 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Of course, Kuro. - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: As for your qu--- - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: I don't even know what's going on. - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ........... - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I do not know any more priests---besides my peers at Tenryuujoutei.  - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) whispers: Uh this is alll such a pain hey Yan you should come buy some of my art. - Sat Nov  7 04:54:49 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: f-flirted.. - Sat Nov  7 04:54:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Like wise, well come with me when you are ready - Sat Nov  7 04:55:40 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Certainly. - Sat Nov  7 04:55:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Father has friends...who aren't women... - Sat Nov  7 04:57:23 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) whispers: I refuse to believe it...He must be...oh god. - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ---Ah.... - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'm sorry I do not remember you. - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: It's been quite some time. . . . - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tis a shame...Time affects us greatly. - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Man. - Sat Nov  7 04:59:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Some old guy is trying to flex on father! - Sat Nov  7 04:59:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Sat Nov  7 04:59:05 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) kills heem with flaem.* - Sat Nov  7 04:59:05 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) Walks over towards hs father, a look of confusion plastered upon his face. "So what's even happening. I'm so confused!"* - Sat Nov  7 05:00:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..come. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, if you want come as well. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam..follow me. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: NCIS Suna - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Meet me in the office everyone...right now. - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: *Wtf. - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I hope he deals with this properly.  - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Mmmmm. - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Anywho.... - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I suppose I should go get some food... - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'm quite famished. . . . . - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Mind if I come with you? - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I will accompany you - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: We can talk there if you like - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: . . . - Sat Nov  7 05:04:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hit me up if you guys need help. - Sat Nov  7 05:06:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Heads off*> - Sat Nov  7 05:06:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What's happening? - Sat Nov  7 05:09:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'm -so- confused. - Sat Nov  7 05:10:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: They are up there having a meeting right now...About all thats happend.. - Sat Nov  7 05:14:27 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What happened? - Sat Nov  7 05:15:18 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We had an intruder, he managed to get ahold of some very important files.. - Sat Nov  7 05:16:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So when the task came about we all acted and found him within -This- restroom to the east here.. - Sat Nov  7 05:17:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It was 10:44PM ...That's the starting moment. - Sat Nov  7 05:17:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ending... 3:20Am.. - Sat Nov  7 05:17:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: A long conflict that it was.. - Sat Nov  7 05:17:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It was about spring, location of suna and time of 11:19 Am where yan began to SUCK THIS DAMN DICK! - Sat Nov  7 05:18:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sat Nov  7 05:18:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Sat Nov  7 05:40:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Trilliams not helping his case... - Sat Nov  7 05:40:54 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Father. - Sat Nov  7 05:41:45 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I can perform the Shroud! - Sat Nov  7 05:42:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh?..I want you to show me once we're home---Actually here would work.. - Sat Nov  7 05:44:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So Ai. - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What are your intentions? - Sat Nov  7 05:46:52 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) took a deep breath as his chakra began to flare in a sudden and violent manner. Embers would begin to swirl around his form, each breath increasing both the size and temperature of the flames until they encompassed the entirety of his being. A shroud of red flame with golden undertones flickered about his being. 

"Tada."* - Sat Nov  7 05:49:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I do want to mention that Trilliam said he would be willing to do his time in jail. - Sat Nov  7 05:50:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Where'd you learn to make seals, pops? - Sat Nov  7 05:54:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well...When growing up I had no teachings in Sunagakure , my only teacher in Fuuinjutsu during my late ascension was Noriko , the old Mizukage..She taught me a few things as I did her...But aside from that I learned my art upon the Labyrinth, developing a majority of my skills there as well.. - Sat Nov  7 05:57:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Sat Nov  7 05:57:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I'm sorry for both of them... - Sat Nov  7 05:57:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sanoke also learned from Noriko, we were classmates back then..Ah good times.. - Sat Nov  7 05:57:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But I only was able to learn from Noriko because I was willing to go outside of the walls multiple times. - Sat Nov  7 05:58:49 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: A journey brings about learning. - Sat Nov  7 05:58:49 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Interesting. - Sat Nov  7 05:58:49 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And as for your heritage...As you know ,you are of the Ryu.. - Sat Nov  7 05:59:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: You also know that you have a strong ability with fire, not just from your mother but from me as well.. - Sat Nov  7 06:00:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: What you probably do not know...Is that you may of inherited my eyes, the Sharingan just as your sister has.. - Sat Nov  7 06:00:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Is Bryson in here? - Sat Nov  7 06:01:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Sat Nov  7 06:02:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Somone needs medical attention outside.~ - Sat Nov  7 06:02:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Damn...I'll be outside then.. - Sat Nov  7 06:02:14 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: The..Sharingan? - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hmm. - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Who got hurt? - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: However, we keep this sharingan..Our doujutsu a secret...It is very sacred to us.. - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You two... - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: After I heal this person, meet at home.. - Sat Nov  7 06:03:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright. - Sat Nov  7 06:03:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be taking my leave, sir. - Sat Nov  7 06:06:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam, I will come visit you. - Sat Nov  7 06:06:30 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Heritage. - Sat Nov  7 06:07:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sat Nov  7 06:09:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sounds interesting.~ - Sat Nov  7 06:09:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Very. - Sat Nov  7 06:09:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh... - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Should we go? - Sat Nov  7 06:12:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Is everything alright? - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh right, yes...I think.. - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh. - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You fine mate? *@Rikuna - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I guess i'll go home since there isn't anything else to do.~ - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Sat Nov  7 06:19:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Sat Nov  7 06:21:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Ah. - Sat Nov  7 06:26:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Though... Sharingan? Ehh.. Isn't any concern to me. - Sat Nov  7 06:31:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Get to hang out with my older brother..I wonder if he'll show me how to pull all the bitches and give me my first beer. - Sat Nov  7 06:38:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sharingan. - Sat Nov  7 06:44:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's the purpose of it? - Sat Nov  7 06:44:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This is what a matured sharingan looks like.. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Three tomoes.. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: However a Genjutus can easily be casted from it.. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Just by looking into your eyes and yours to mine. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You'll be trapped in my genjutsu however I see fit..To read your mind or show my memory.. - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So a single tomoe is the least matured... - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Welp. I've got nothing. - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Indeed. - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Iza.. - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mind guiding your brother through it? - Sat Nov  7 06:47:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hell nah - Sat Nov  7 06:47:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sat Nov  7 06:47:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The purpose of Sharingan is to bring out our inner potential...Much like the shroud.. - Sat Nov  7 06:47:28 2015
