<br><font color=teal>*Kyubishu(Dillion13) says: RIght.. - Sat Dec  5 18:49:23 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: omit - Sat Dec  5 21:58:49 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yeah... - Sat Dec  5 21:59:40 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I've got a house here. Y'could live with me. Father's...Well no idea where he is.. - Sat Dec  5 21:59:40 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Yeah. sure, I guss. - Sat Dec  5 22:00:32 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yeah...So like..You're a taijutsu user like me? - Sat Dec  5 22:01:23 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Yes. - Sat Dec  5 22:02:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Oh. That's cool...Well....Hmm..This is akward. - Sat Dec  5 22:03:05 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Are you going to bring me to your house or not? - Sat Dec  5 22:03:56 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: We should probably find the Mizukage to get you placed in a squ- Yeah... - Sat Dec  5 22:03:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I just realized. - Sat Dec  5 22:04:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm not in a squad, myself. - Sat Dec  5 22:04:48 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Same here actually.. - Sat Dec  5 22:04:48 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Do you know where Lord Mizukage is? - Sat Dec  5 22:05:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nope. - Sat Dec  5 22:08:12 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Mmm, I'm gonna look around then. - Sat Dec  5 22:09:04 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Welp... - Sat Dec  5 22:15:02 2015
<br><br><font color=teal>*Asin(Thanatoz) says: No luck. - Sat Dec  5 22:15:02 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I see Kirigakure is still lively as ever. - Sun Dec  6 09:43:40 2015
<br><br><font color=teal>*Kagayaki, Hyoryu(Chaos Commander2016) says: Always. - Sun Dec  6 09:45:23 2015
<br><br><font color=teal>*Tengoku(Punka) says: ... - Mon Dec  7 04:53:07 2015
