<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Sat Oct  3 16:09:23 2015
<br><br><font color=teal>*Durn(Vysasi) says: Taiga, We should go spar. - Sat Oct  3 17:04:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, well sure. - Sat Oct  3 17:04:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Lead the way. - Sat Oct  3 17:05:42 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Sat Oct  3 17:05:42 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: 'Kay. What are you going to do then? - Sat Oct  3 17:09:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 17:14:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Might look at the blood stuff in the hospital and fill it... Ask everyone a bit of their blood for.. Hmm.. Yea that might work.  - Sat Oct  3 17:15:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Oct  3 17:21:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 17:21:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Scared for needles. - Sat Oct  3 17:21:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How much blood are we talking about here? - Sat Oct  3 17:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not much.  - Sat Oct  3 17:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: For now it's only a bit. To test what bloodtype you have and such.  - Sat Oct  3 17:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I will make pizza for the one who wants to help? - Sat Oct  3 17:22:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Eh sure why not. - Sat Oct  3 17:24:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have nothing else to do - Sat Oct  3 17:24:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pizza.... - Sat Oct  3 17:25:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. Pizza. - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Is your pizza good...? - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ask her. - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Is it...? - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It was good. - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: ..... - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: *gulp* - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Although there are no pigs in the desert... - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: *nod* - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Seisuke. I'll uh...be wherever the pizza is. - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have fun. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Actually. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: I will~ - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Why don't all of you check out. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: hm? - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A spa or something? - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Because pizza - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It'll be good for you girls to get to know eachother right? - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Make a few friends. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pizza is....really good. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Pizza is life.  - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Pizza is love - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have girls always liked pizza this much? - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Master is also life.  - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: *nods* - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: Food is great. - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pizza is just....greater. - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Pizza is the best when you are really hungry. Especially once in the four weeks. - Sat Oct  3 17:28:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: *nods* - Sat Oct  3 17:28:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll eat pizza any day. - Sat Oct  3 17:29:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: i hope you can make enough... - Sat Oct  3 17:29:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello everyone. - Sat Oct  3 17:38:59 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hello. - Sat Oct  3 17:39:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I guess. - Sat Oct  3 17:56:03 2015
<br><br><font color=teal>*Durn(Vysasi) says: What's your name? - Sat Oct  3 17:56:03 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Sighs a bit, "Kang."* - Sat Oct  3 17:56:03 2015
<br><br><font color=teal>*Durn(Vysasi) says: I'm Durn. - Sat Oct  3 17:56:54 2015
<br><br><font color=teal>*Durn(Vysasi) says: Nice to meet you. - Sat Oct  3 17:56:54 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Same. - Sat Oct  3 17:56:54 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: So, I assume you guys were training? - Sat Oct  3 18:03:44 2015
<br><br><font color=teal>*Durn(Vysasi) says: Yeah. - Sat Oct  3 18:03:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Taiga get his ass handed to him? - Sat Oct  3 18:03:44 2015
<br><br><font color=teal>*Durn(Vysasi) says: Don't really want to say it like that though . . . I suppose. - Sat Oct  3 18:03:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Good. - Sat Oct  3 18:05:26 2015
<br><br><font color=teal>*Durn(Vysasi) says: You both got something against each other? - Sat Oct  3 18:05:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Nah, he's a friend. - Sat Oct  3 18:05:26 2015
<br><br><font color=teal>*Durn(Vysasi) says: I guess you're rivals. - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: He just beat me. . .easily, once. - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: No, not even that. - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Durn(Vysasi) says: Student and master? - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Durn(Vysasi) says: Bully and victim? - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Nope. - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Just friends. - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Durn(Vysasi) says: Dunno then. - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Sat Oct  3 18:06:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You're simply too strong. - Sat Oct  3 18:07:08 2015
<br><br><font color=teal>*Durn(Vysasi) says: I mean . . . You could've atleast noticed what it was . . . - Sat Oct  3 18:07:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: As a side note. - Sat Oct  3 18:08:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I always see you with Ko. - Sat Oct  3 18:08:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Any. . .-particular- . . .reason? - Sat Oct  3 18:08:00 2015
<br><br><font color=teal>*Durn(Vysasi) says: We're good friends. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Was it Genjutsu? Because you didn't use a tiger handseal as used with Katon. And that giant fireball would've destroyed a large portion of the village. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Durn(Vysasi) says: Yes, It was genjutsu. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Does good friends mean fuck buddies? - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Really? - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Nothing else? - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Durn(Vysasi) says: Nope. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: I guess she met him after she left Konoha then? - Sat Oct  3 18:09:42 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Tetsu, let's spar in a moment. I'll go easy. This way you can try out new strategies and moves. - Sat Oct  3 18:09:42 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Taiga, I'd rather not. - Sat Oct  3 18:09:42 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And, whatever then, was simply curious.  - Sat Oct  3 18:09:42 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: But I want to spar more. - Sat Oct  3 18:09:42 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: This guy left a bad taste in my mouth with that spar. - Sat Oct  3 18:10:33 2015
<br><br><font color=teal>*Durn(Vysasi) says: Too quick? - Sat Oct  3 18:10:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Yes. - Sat Oct  3 18:10:33 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: Gotta stop trying . . . Gotta focus on training and making the right calls when it comes to benefiting from other people as well. - Sat Oct  3 18:11:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well anyway. - Sat Oct  3 18:11:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I wonder where Ko even went off too. - Sat Oct  3 18:11:24 2015
<br><br><font color=teal>*Durn(Vysasi) says: I didn't see where she went. I went to spar with Taiga so dunno. - Sat Oct  3 18:12:16 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: I know Ko and I had a bit of a problem, but I'm still worried, though perhaps that is her rubbing off on me? She is was too paranoid. - Sat Oct  3 18:12:16 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well anyway, you beat Taiga that easily huh? - Sat Oct  3 18:13:07 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Sat Oct  3 18:13:07 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Huh. . . - Sat Oct  3 18:13:07 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I guess you're really strong then? - Sat Oct  3 18:13:07 2015
<br><br><font color=teal>*Durn(Vysasi) says: Depends. - Sat Oct  3 18:13:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Would you perhaps. . . - Sat Oct  3 18:14:49 2015
<br><br><font color=teal>*Durn(Vysasi) says: It's all based on perspective. - Sat Oct  3 18:14:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Know any elemental jutsu? - Sat Oct  3 18:14:49 2015
<br><br><font color=teal>*Durn(Vysasi) says: Yeah. - Sat Oct  3 18:14:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh! - Sat Oct  3 18:14:49 2015
<br><br><font color=teal>*Durn(Vysasi) whispers: (jokuseru) - Sat Oct  3 18:16:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: The perhaps. - Sat Oct  3 18:17:23 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Are you willing to teach them? - Sat Oct  3 18:17:23 2015
<br><br><font color=teal>*Durn(Vysasi) says: -All- of them? - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: Where did Seisuke get to...? - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Whatever you're willing to teach me. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright . . . Let's see then. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Follow me. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: I didn't see where Seisuke went. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Here's good. - Sat Oct  3 18:19:56 2015
<br><br><font color=teal>*Durn(Vysasi) says: Let's see what you can do, Kang. - Sat Oct  3 18:20:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: Gotta test out your ninjutsu prowess. - Sat Oct  3 18:20:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: Use one of your destructive jutsu. - Sat Oct  3 18:20:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: What's your name, Girl? - Sat Oct  3 18:20:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera - Sat Oct  3 18:22:30 2015
<br><br><font color=teal>*Durn(Vysasi) says: Nice to meet yu, Lera. - Sat Oct  3 18:22:30 2015
<br><br><font color=teal>*Durn(Vysasi) says: I'm Durn. - Sat Oct  3 18:22:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, nice to meet you too. - Sat Oct  3 18:22:30 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I wonder what my most destructive combo is... - Sat Oct  3 18:24:12 2015
<br><br><font color=teal>*Durn(Vysasi) says: So, Where are you from? - Sat Oct  3 18:24:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kirigakure. Same as him - Sat Oct  3 18:25:55 2015
<br><br><font color=teal>*Durn(Vysasi) says: I see. - Sat Oct  3 18:25:55 2015
<br><br><font color=teal>*Durn(Vysasi) says: Well . . . I'm from Konohagakure . . . Then lived in Kumogakure . . . Returned to Konohagakure . . . Went to Amegakure . . . Now here. - Sat Oct  3 18:26:46 2015
<br><br><font color=teal>*Durn(Vysasi) says: So . . . What do you specialize in? - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm an elementalist. - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ah . . . Same as me. - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Ditto. - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cool~ - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Durn(Vysasi) says: I guess everyone here is an elementalist. - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which element do you specialise in? - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hm . . . My best are Water, Lightning and Storm. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: Though I also have Fire and Earth. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Storm? - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: My Kekkei genkai. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Interesting...we're all in the same boat~ - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Heh. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: What elements do you have - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm best with Wind and Earth. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: But I use Fire and Raiton too. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ah . . . Wind. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: I wish I had that. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: And I wish I had water. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: I have water. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: And I have Wind... - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ironic right? - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: I look forward to working with you. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: On the same page again. - Sat Oct  3 18:29:20 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Hearing what Durn had told him to do, he would sigh speaking out, "I don't have much." upon saying such he would quickly, and quite easily run through some hand seals. While he was doing this he would be building up chakra inside of himself. 

Letting it rise up, he would bring his hands to his mouth to direct it. The chakra, coming out in the form of a large, flawless fire ball, would hit the stone wall directly, buring it, and blowly a small dent into it* - Sat Oct  3 18:31:53 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hm . . . Not bad. - Sat Oct  3 18:32:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Sat Oct  3 18:37:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well, I only really know four techniques. - Sat Oct  3 18:37:00 2015
<br><br><font color=teal>*Durn(Vysasi) says: And they are? - Sat Oct  3 18:37:00 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Explains which ones he has.* - Sat Oct  3 18:37:52 2015
<br><br><font color=teal>*Durn(Vysasi) says: What element do you want to start off on learning today? - Sat Oct  3 18:39:34 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Any is fine with me. - Sat Oct  3 18:39:34 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Keep in mind. - Sat Oct  3 18:40:25 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I can only use Wind, Earth, and Fire. . . - Sat Oct  3 18:40:25 2015
<br><br><font color=teal>*Durn(Vysasi) says: Let's start off with . . . Exploding Flame shot? - Sat Oct  3 18:42:08 2015
<br><br><font color=teal>*Durn(Vysasi) says: It doesn't use hand-seals. - Sat Oct  3 18:42:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Sat Oct  3 18:42:08 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Good jutsu... - Sat Oct  3 18:42:08 2015
<br><br><font color=teal>*Durn(Vysasi) says: You heat up your chakra in your stomach . . . Transfer the heated chakra to your hands . . . They spark and then you can throw the fireballs. - Sat Oct  3 18:42:59 2015
<br><br><font color=teal>*Durn(Vysasi) says: Try doing that. - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh? - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I mean. - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Can you at least show it to me? - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Durn(Vysasi) says: As for you, Lera, Are you also interested in trading jutsu and learning? - Sat Oct  3 18:46:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm... - Sat Oct  3 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: That depends on what you can show me. - Sat Oct  3 18:50:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: I know genjutsu and elemental jutsu . . . What are you interested in more? - Sat Oct  3 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: Preferably elemental ninjutsu - Sat Oct  3 18:51:31 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Sat Oct  3 18:51:31 2015
<br><br><font color=teal>*Durn(Vysasi) says: Let's see . . . Misty flames? - Sat Oct  3 18:52:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Misty what now? - Sat Oct  3 18:53:13 2015
<br><br><font color=teal>*Durn(Vysasi) says: Misty Flames Dance Jutsu. - Sat Oct  3 18:54:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: I...haven't heard of that one. - Sat Oct  3 19:02:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Care to give me a demonstration? - Sat Oct  3 19:02:36 2015
<br><br><font color=teal>*Durn(Vysasi) says: C rank. - Sat Oct  3 19:02:36 2015
<br><br><font color=teal>*Durn(Vysasi) says: Sure. - Sat Oct  3 19:02:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmmm - Sat Oct  3 19:05:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay. - Sat Oct  3 19:07:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll trade you for... - Sat Oct  3 19:07:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: This... - Sat Oct  3 19:07:44 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hm. - Sat Oct  3 19:13:42 2015
<br><br><font color=teal>*Durn(Vysasi) says: I'll give you two for that one. - Sat Oct  3 19:13:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sounds fair. - Sat Oct  3 19:14:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ... - Sat Oct  3 19:14:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hello... - Sat Oct  3 19:17:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Would you like to answer a few questions for me? - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Durn(Vysasi) says: Sure? - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know a gentlemen by the name of Kilm? - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Durn(Vysasi) says: . . . - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Durn(Vysasi) says: Why do you ask? - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I had something to ask him, it was private, he must know. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Durn(Vysasi) says: I might relay it to him . . . If i see him. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's for his ears only. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: God fucking damn it. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: Weird. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: I am Kilm yet It's for -my- ears only . . . Should I drop the facial features? - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...? - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: I'm dropping the henge for this? - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Eh...whatever, not my business. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Too obvious. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . . - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: He hung out with Ko too much. - Sat Oct  3 19:20:32 2015
