<br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) extends his hand anyway.* - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Let's go to your house. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: If you got one. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: She wants the D! -omit- - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: She does. - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -non-omit- - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hmph. . . - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Let me go check. . . - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: If my old one is still open. - Tue Dec  8 05:51:34 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: It's just like the last time I left this place.  - Tue Dec  8 05:52:25 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: ... - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I ain't know. - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-Why do you ask? - Tue Dec  8 06:06:04 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh.. - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm not that fat! - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) whispers: (Shen - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) whispers: (Ari, Shen - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) whispers: (that is - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) whispers: It's a girl doe) - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) whispers: (oh - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) whispers: lemme ask - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) whispers: ((* - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh..uhm..I-I think it's...b-both..I'm uhm..h-having two.. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Two? - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Aah. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Who is the lucky man? Is it this handsome lad beside you? - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh uhm...yeah.. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, if I went that way, I can see why. I bet he got you in all the right places huh? Hehehe. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, then this is a wonderous occasion! - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ... - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Two beautiful people making beautiful children. That's what we need more of in this world. - Tue Dec  8 06:09:29 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: U-Uhuh.. - Tue Dec  8 06:09:29 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'm so happy for you! - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh t-thanks.. - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hi mitsunara.. - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: U-Uhuh.. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ....Anyone could predict that, though - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Of course her baby will be healthy, if she's lived a healthy life. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Silly. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Y-Yea. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: That is not always the case. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Call it merchant's intuition. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I've got the right stuff to guarentee you to have a perfect birth. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm ifne. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-It's fine m-mitsu. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I don't need anything. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: No, I'm not trying to scam anyone. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What would I get out of scamming someone?  - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: M-Money. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yes, but bad rep. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And I'm not about to get bad rep. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .... - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'm a man with honor. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, Chikyu, how you been? - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hm? - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: How're you? - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Alright I guess, you? - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I'm good. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Sorry I ain't been around. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch, - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Only been looking for you. No big deal. - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yeah Yeah. - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Mhm. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: How've you been? - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Alright. . .you? - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Bored. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I almost got pregnant. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So that was fun. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: This purple haired guy slept with me then left me. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Ya'know. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: You talking shit about me? - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Kidding. - Tue Dec  8 06:28:16 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Shaking his head he'd say, "What happened to the girl moaning in pleasure saying she'd do it with me whenever I wanted?"* - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: She's still here. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: You say it you get it, abra. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Really? - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yep. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. Bullshit. - Tue Dec  8 06:30:49 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Getting grabbed, he'd grunt a bit, "Tch. . .are you sure -you- didn't miss it?"* - Tue Dec  8 06:33:23 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Hm. - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I can just - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Punch you there? - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .Why? - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Cuz you're being annoying. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I just missed my babe. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Damn. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yeah Yeahh. - Tue Dec  8 06:36:48 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Wrapped an arm around her, "You aren't allowed to leave anymore."* - Tue Dec  8 06:37:39 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I'm not? - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Fine. - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hmph/ - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: . . . - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: So. . . - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Wanna fuck. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yes? No? - Tue Dec  8 06:53:52 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .Of course? - Tue Dec  8 06:53:52 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Ight. - Tue Dec  8 06:53:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Mirai is holding her. - Tue Dec  8 08:22:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure you can hold her for a bit. - Tue Dec  8 08:22:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: and before she cries. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *smiles*  You two are so cute Nami!~ - Tue Dec  8 08:25:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Ohhhh that's nasty. . . .  - Tue Dec  8 08:27:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .... - Tue Dec  8 08:28:35 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Gooo~ - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That was close Nami. - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm sorry Kinami. - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Agoo goo~ - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: It's fine. Can I play with her now? Show her a little bit of acrobatics? - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Throw her a thousand feet into the air. ONE THOUSAND FEET! - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ....... - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Of course I'm joking, you people. - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Even I find that dangerous. . . .  - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That. . Is. . .Hilarious. . *laughs* - Tue Dec  8 08:31:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Kinami don't drop my baby. . .  - Tue Dec  8 08:38:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: This is my great great great grandmother's sister's uncle's best friend's uncle, twice removed. - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What are you talking about? - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: MARCO! - Tue Dec  8 08:40:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Marco, I need that sword. - Tue Dec  8 08:40:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That I paid for last year. - Tue Dec  8 08:41:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Please.~ - Tue Dec  8 08:41:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Oh! Sure thing. - Tue Dec  8 08:50:46 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Sighing a bit he'd walk over, forking out a bit of money for a caravan. Aiming to go back to Konoha for now, he'd speak out, "Tell Trilliam I'll be back."* - Tue Dec  8 08:51:37 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) hearing news about the fight with Kumo and Suna when he had left suna, he'd eventually get to Konoha, and then would pay to go to Konoha, forming two hand seals on the way there, making sure to join whichever side he wanted upon arrival.* - Tue Dec  8 09:03:34 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Happens to show up, having somehow made it all the way here from Sunagakure in time for the battling.* - Tue Dec  8 09:15:31 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Where is your shirt? - Tue Dec  8 19:36:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm? Good question haha. - Tue Dec  8 19:37:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Glad to see that you've returned. - Tue Dec  8 19:40:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Want to hang out a bit or do something. - Tue Dec  8 19:40:09 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Of course, it's always a pleasure to hang with my family. - Tue Dec  8 19:41:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm going to go work on those techniques. - Tue Dec  8 19:41:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Feel free to join me. - Tue Dec  8 19:42:43 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Sighing softly, feeling he had been spending to much time in Sunagakure now, and not enough as his original home, he'd walk to the caravan runner, handing over a bit of money in order to catch one to Konoha.* - Tue Dec  8 20:08:19 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: O-Ok... - Tue Dec  8 20:39:02 2015
<br><br><font color=teal>*Shin(Yaori) says: But also a lot to learn - Tue Dec  8 20:39:02 2015
<br><br><font color=teal>*Shin(Yaori) says: I wish i could find someone to teach me - Tue Dec  8 20:39:02 2015
<br><br><font color=teal>*Shin(Yaori) says: ITS A PERK BATTLE - Tue Dec  8 20:41:36 2015
<br><br><font color=teal>*Shin(Yaori) says: -omit- - Tue Dec  8 20:41:36 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: Mm...W-Well... - Tue Dec  8 20:50:08 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: I-It was n-nice...m-meeting you C-Claudette - Tue Dec  8 20:50:59 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: I-I should...p-probably go... - Tue Dec  8 20:50:59 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Mhm.. - Tue Dec  8 20:50:59 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Pays for a caravan back to suna, needing to get to his teacher now.* - Tue Dec  8 22:44:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I have twins. - Tue Dec  8 22:46:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) whispers: (Did you know. I did 200 damage not long ago?) - Wed Dec  9 19:35:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) whispers: (And I can do it again) - Wed Dec  9 19:35:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) whispers: (Ahh, why should I care xD?) - Wed Dec  9 19:35:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) whispers: (because its fun to melt people) - Wed Dec  9 19:36:19 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) whispers: (Gtfo.) - Wed Dec  9 19:36:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What's up people? - Wed Dec  9 20:42:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hi hi~ - Wed Dec  9 20:43:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How is it going bro? - Wed Dec  9 20:43:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Okay - Wed Dec  9 20:43:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Only ok? - Wed Dec  9 20:44:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh sup Koji. - Wed Dec  9 20:44:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I mean sir Kazekage. - Wed Dec  9 20:44:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Ehhh. . I am just going to call him Koji. . . . - Wed Dec  9 20:44:35 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Mitsu! - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . Im sorry Mitsu. - Wed Dec  9 20:49:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh? Why, it wasn't your fault. - Wed Dec  9 20:49:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I take part of the blame. - Wed Dec  9 20:49:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I should have stopped her, so I apologize. - Wed Dec  9 20:49:42 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: ...? - Wed Dec  9 20:51:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  9 20:51:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I won't let that shit happen again. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Reminds me of when the late Hassan sent flaming wind towards me. Burns were real! - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... It's not like you're responsible for her actions, Hiroshi. - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . Then why do I feel so damn bad about it? - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Because you've got bleeding heart Syndrome? I dunno, I sure as hell don't understand why. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: She made a choice Hiroshi. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . I should have been able to stop her Koji. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Then Mitsu would have never gotten hurt. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Dumbass, I agreed to spar her knowing she was already pissed. - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You think I didn't expect to get hurt? - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why the hell did you do that? - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yare Yare Daze. - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh? - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Cus, it was clear she needed to work it out... that, and well.. - Wed Dec  9 20:55:40 2015
