<br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I guess so. - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji! You're finally back. - Tue Oct  6 01:47:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Later, we oughta battle. - Tue Oct  6 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Want to see if I can take ya. - Tue Oct  6 01:47:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: If you'd point me in the direction of the person telling said jokes, I'd be sure to remove them. - Tue Oct  6 01:48:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sure, we'll do two on two. I want my friend here to get some training. - Tue Oct  6 01:48:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I swear you live to make my life harder. - Tue Oct  6 01:49:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm. It'll be a good day when you're head's healed up. - Tue Oct  6 01:49:39 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? Why is that?  - Tue Oct  6 01:49:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You'll see. - Tue Oct  6 01:51:21 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: That doesn't sound promising. - Tue Oct  6 01:51:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Oct  6 01:51:21 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: If you'd like, I can go talk to the doctors now, they'd probably declare me good to go. - Tue Oct  6 01:52:12 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) was obviously lying.* - Tue Oct  6 01:52:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sounds cool. I call dibs on Mirai. On another note. - Tue Oct  6 01:52:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Can you toss her al esson? She's been training real hard with me. - Tue Oct  6 01:52:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Im sure your friend was a mad man you White eyed devil you, - Tue Oct  6 01:53:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: He was I think he had an affection for Trees... - Tue Oct  6 01:54:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sanoke, sure. - Tue Oct  6 01:56:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: did he just say his friend loved trees what in the hell yup its offial this place is just one big dry loony pin hopefully dad can come and fix this. - Tue Oct  6 01:56:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anywho. . .. - Tue Oct  6 01:57:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: It looks as if something is leeching this guy's chakra... - Tue Oct  6 01:59:02 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Reaches into his vest, and like fucking magic, since vending machines don't exist here, and pull out two wrapped up honey buns, offering one to Kat he would say, "Hungry?"* - Tue Oct  6 01:59:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Tue Oct  6 01:59:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Gramps? Oh Hassan. - Tue Oct  6 01:59:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Shouldn't be any of your concern. - Tue Oct  6 01:59:53 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey im just trying to help no need for you to be all mean. - Tue Oct  6 02:00:44 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Watching as she took it and simply set it there, he would wonder a bit over it, though, he would open his own, blankly eatting away at it until it was gone. At the same time, a few other thoughts would enter his head, that is until it began to hurt again, and he had to stay focused on one thing, "Still don't fully trust me?" stating such as he eyed the bun in her lap.* - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: I'm not sure about how to 'romance' her. - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Does she trust me at all? - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm resting, Tetsu. - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Damn this thoughts. - Tue Oct  6 02:01:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You really don't understand what it's like to be jumping at shadows for a month straight. - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Hurts to think. . . - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Of course I don't. - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I haven't had to do it - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm..I'll be a'ight. This village isn't new to me. - Tue Oct  6 02:02:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Impossible. - Tue Oct  6 02:04:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh.. so youa re from here.. Hey could you be the  gramps sent Yan to find ha if thats the case I found you! - Tue Oct  6 02:04:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Shut Up. - Tue Oct  6 02:04:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You're annoying. - Tue Oct  6 02:05:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But... I guess i'm the one, ehehe. - Tue Oct  6 02:05:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ha so im right then your the Testu jiki guy ha. - Tue Oct  6 02:05:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Oct  6 02:05:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Ohhhh wait wait no no no no oh no i Forgot gramps said he leveled a village oh god BrysonnnnnnnnnN!!!!! - Tue Oct  6 02:07:34 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Sighing a bit, feeling like this whole thing was already going down hill he would quickly finish off the food he had. "Well Kat, if you'd like, you could always come relax at the place I've been crashing at. It'd get us out of the sand, and better yet, I wouldn't have to hear everyone else speak for the time being." making a small effort to show what he meant when he started to rub his head. He would be a million times happier ICly and OOCly once this shit was healed.* - Tue Oct  6 02:07:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Fuji?...FUJI?....FUUUJIII?! - Tue Oct  6 02:08:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Nah, that idiot couldn't find me. - Tue Oct  6 02:09:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sounds horrible, but okay. - Tue Oct  6 02:09:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I figured Iza's dad is ...Like someitmes i wonder if he is even Iza's dad. - Tue Oct  6 02:10:08 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Nodding a bit, he would begin to walk off.* - Tue Oct  6 02:10:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. How is Iza doing? - Tue Oct  6 02:10:08 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) leads Kat through the obvious tons of people being that it was a massive village, until he arrived at a small sand building, much like the rest of the building in Suna. Opening the door to let walk in first, he would hold it open for her to follow before closing it.

The first room would be an obvious place to drop shoes, followed by a small living room which would hold a couch that would be a bit too big for the room, a chair, and all the other usual items one would find. This room would then connect to three other directions. 

One, being a kitchen, which would be fully stocked with accessories and such, and a full fridge. One, would be the main bedroom, with a extra large bed, being that Kang was one of those people who rolled around a bit unless held still, and a few other items such as a dresser, and small bathroom in a side door. The last door connected to the living room would be a hallway with a bathroom connected off to the side, and at the end of the hallway would be a spar bedroom.* - Tue Oct  6 02:16:06 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Welcome to my abode. - Tue Oct  6 02:16:06 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Would note he would immediately head to the couch once Kat had made her way in, making sure to rub his eyes a bit, it would seem bright light also bothered his head a bit, which was quite aggrivating.* - Tue Oct  6 02:17:48 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) After taking his shoes off and headed in, as stated before, he would have been on the couch beside Katsune, "This isn't so bad is it?" it was a serious question. He was sure it was obvious, but he wasn't good at this, at all, and thus wanted actual feedback, which might seem silly.* - Tue Oct  6 02:21:13 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) raising an eyebrow he would say, "Ya know, I really enjoy being around you. While I sometimes can't figure you out, It's nice to be able to talk to you, even if you do sometimes come to hate it, or seem to be annoyed by it at least." shrugging a bit he would glance her over, wanting to pay her another compliment of what he thought, when he -knew- he really shouldn't, he thought perhaps since he was injured he'd be able to get away with it, though it would be said in a bit of a mumble, and absentmindedly, "You really are beautiful, Hair, eyes. . ." pausing, trying to stear clear of being perverted, "And believe it or not, I actually really like your personality." shooting her a smirk at the end to show that the -way- he said the last sentence was a bit of a joke, meaning that he simply liked her personality, the 'believe it or not' part was simply to plat a bit.* - Tue Oct  6 02:29:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mmmm.... - Tue Oct  6 02:31:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm not brushing you off Tetsu but... - Tue Oct  6 02:31:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I should probably go back to sleep. - Tue Oct  6 02:31:28 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Raising an eyebrow as he had said all of that, and gotten a reply such as what she said, he would shrug a bit, nothing he could do about it, "If you want you can use the spare room here." making only a suggestion, "Though of course if you don't want to, I understand" figuring staying in a house asleep where she hadn't been before might be too much for her.* - Tue Oct  6 02:35:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sure. - Tue Oct  6 02:36:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? Meh. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Same as they usually go with Kat. - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Terribly? - Tue Oct  6 02:39:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not really. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Just average. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: She was tired, so I let her use a spare bedroom. - Tue Oct  6 02:40:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Yea, wasn't terrible though. - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Kat just doesn't show what she feels, so it's hard to tell. - Tue Oct  6 02:41:42 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) stops talking suddenly when he gets a pain under his bandaged head.* - Tue Oct  6 02:41:42 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *kicks in le nutz* - Tue Oct  6 02:45:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's goin' on? - Tue Oct  6 02:46:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Eh Koji throwng boogers at people and i found the guy gramps was looking for so ha. - Tue Oct  6 02:47:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Shut up... - Tue Oct  6 02:48:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Is that Like your catch phrase or something. - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You have said that like twice. - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep. It's one of -those- days. - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I hate mondays. - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Any suggetsions then El Testu. - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Die. - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *walks away* - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's notvery nice. - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I might be interested in a sparring session 'if' you're durable. - Tue Oct  6 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh? Durable?... - Tue Oct  6 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hehe. - Tue Oct  6 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: All right, you two work as a team against me. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Seems fair enough. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes, you sleep to much as always gramps. W-WAHH? - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Me and 'who', against you? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I knew there had to be a trick...*sigh* - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yep.... - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Really has anyone herd of birthcontrol in this family, - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Hm. In public though? Is this really a good idea for me? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Mission complete. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Let's dance shall we? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good work Yan. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: As always you never fail. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: What Grmaps i found him. - Tue Oct  6 03:03:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Tue Oct  6 03:03:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd be surprised if you can beat him. - Tue Oct  6 03:03:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm...This may not be the best place, seeing as there are so many people. Don't want to hurt anyone. - Tue Oct  6 03:03:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wish Kilm was around... - Tue Oct  6 03:04:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? I hadn't gotten word about it. After Zetsumo perished, I left. - Tue Oct  6 03:05:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, yo. <@Lera> - Tue Oct  6 03:05:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I assure you unless you've been living under a rock, you would have heard. - Tue Oct  6 03:05:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? My bad, ehehe. Had another objective gramps. - Tue Oct  6 03:06:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We've built this place up from greatness, this is the new Sunagakure. - Tue Oct  6 03:06:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Oct  6 03:06:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I can see that. - Tue Oct  6 03:06:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What was your objective? - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Can't speak of it here. - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Why is that? - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its...complicated. - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We're all smart people. - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No one but us are around. - Tue Oct  6 03:08:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. Doesn't matter. - Tue Oct  6 03:08:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You can't trust your own village members? - Tue Oct  6 03:08:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi has been through alot...sir. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I've been through more. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have no doubt. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If this trust will be like the last, I wouldn't confine it with all of these people. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If he breaks down from what has happened to him, then I made a mistake somewhere along the line. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Break down? Ehehe. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Are you sleeping anymore? - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No. That's nothing but a dream now.  - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Haven't slept in...can't remember. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Then again..it felt like i doozed off a bit after the event.. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I bet. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. What are you getting at, Hassan? - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What am I getting at? - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait so he does not sleep wow thats sorta cool. - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ....Its not. You'd never be able to imagine it. - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm getting at the fact that you need to put your headband on and gear up. - Tue Oct  6 03:14:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. It's a phenomenon call Indomanica. It's not cool. - Tue Oct  6 03:14:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's pretty bad - Tue Oct  6 03:14:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh...G'otcha. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Indomancia sounds like the name of a spicy food. - Tue Oct  6 03:16:41 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Looks around a bit, the bandage that had before been on his head, gone, now replaced, if it could be seen, with a bit of discoloration at one portion where the injury had taken place.* - Tue Oct  6 18:15:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You  know what i need the expricnece so il spar you. - Tue Oct  6 18:16:06 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hi Kang. - Tue Oct  6 18:16:06 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Blankly looks to Kilm, "Hey."* - Tue Oct  6 18:16:57 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Glances to Kat, letting a small smirk cross his face, "You seem to be enjoying yourself."* - Tue Oct  6 18:20:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sounds like you're the one enjoying something. - Tue Oct  6 18:24:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....... - Tue Oct  6 18:27:12 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Oh god, I need that. - Tue Oct  6 18:28:03 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Maybe I'll talk to her one day...see if she wants to do some swaps.. - Tue Oct  6 18:28:03 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Not really having expected the attack, he would flinch a bit, though his face still staying blank. Thinking for a moment he would look to Kat and Raise an eyebrow, "Is this meant to be a punishment for something?" confused obviously about what was happening.

* - Tue Oct  6 18:28:03 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Once more having a look of confusion on his face he would speak out, "A warning? What for?"* - Tue Oct  6 18:30:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Bad jokes or being a pervert. Either way someone should hit you. - Tue Oct  6 18:32:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: The jokes I could understand. . . - Tue Oct  6 18:32:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: But I don't recall being perverted. - Tue Oct  6 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I'll wait until she's done beating Tetsu up - Tue Oct  6 18:33:10 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: This is gonna be fun to watch... - Tue Oct  6 18:34:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Though if you want to hit me, let's go. - Tue Oct  6 18:34:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm fine with it, I need to see if I can still get around correctly anyway. - Tue Oct  6 18:34:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You really shouldn't ask to be hit by her Kang. - Tue Oct  6 18:34:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: It wouldn't be the first time. - Tue Oct  6 18:34:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wouldn't it be the first time? - Tue Oct  6 18:35:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 18:35:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'd hardly call headhunter jutsu followed by interrogation genjutsu hitting. - Tue Oct  6 18:36:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Then let's go. - Tue Oct  6 18:36:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm fine with it. - Tue Oct  6 18:36:35 2015
<br><br><font color=teal>*Kilm(Vysasi) says: It might turn into a game of who can hit kang the most if you say that Kang. - Tue Oct  6 18:37:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Once again, I'm fine with it. - Tue Oct  6 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Something tells me you're a masochist. - Tue Oct  6 18:37:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not really. - Tue Oct  6 18:37:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I simply don't care. - Tue Oct  6 18:38:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Oct  6 18:39:08 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) seemed to stop caring about a lot of things after Ichiro basically almost crushed his skull.* - Tue Oct  6 18:39:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Seems Kat isn't up to punching me at the moment, you want to fill in Kilm? - Tue Oct  6 18:40:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: If I don't hold back, You'll wind up dead. - Tue Oct  6 18:41:42 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Simply shrugs.* - Tue Oct  6 18:41:42 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And . . . I've had my fill of punching and jutsu today. - Tue Oct  6 18:41:42 2015
