<br><font color=teal>*Kinami Hassan(Ninasky115) says: Is that it, Ai? - Mon Dec  7 03:35:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Mhm.. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: I want a daughter. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Can you handle the nine mon--Oh my. - Mon Dec  7 03:52:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: I'll have to be super protective. - Mon Dec  7 03:52:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Whyyyy? - Mon Dec  7 03:54:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Don't want people to take advantage of her. - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: ... Remind me to neuter anyone who tries to touch her. - Mon Dec  7 03:55:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Mmmhm. - Mon Dec  7 03:55:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Gonna have a paper scout watching over her. - Mon Dec  7 03:56:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Don't want that happened to me or Iza happen to her. - Mon Dec  7 03:56:48 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: You're going to hurt her! Just explain your actions, she'll surely understand! - Mon Dec  7 03:59:21 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: You do it! Its what besties are all about! *begins to puff and hmph! Before walking off* - Mon Dec  7 04:01:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hi. - Mon Dec  7 04:02:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Hi. - Mon Dec  7 04:02:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ... - Mon Dec  7 04:03:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys over there want assignments? Or everyone good with just relaxing? - Mon Dec  7 04:03:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ..... - Mon Dec  7 04:03:37 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'm relaxing. - Mon Dec  7 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Me too. - Mon Dec  7 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Not like I can do anything. - Mon Dec  7 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You keep treating me like a child. - Mon Dec  7 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So sure. - Mon Dec  7 04:05:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Take me home now! - Mon Dec  7 04:06:11 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Why is she so bossy? - Mon Dec  7 04:07:02 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: That's just Mirai for ya'. - Mon Dec  7 04:07:02 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: A day will come when Sanoke gets tired of it. - Mon Dec  7 04:07:53 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Mm... - Mon Dec  7 04:08:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: I'm heading home for now. - Mon Dec  7 04:09:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Be safe. - Mon Dec  7 04:09:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: I'm coming along.~ - Mon Dec  7 04:10:27 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Oh? Let's go then. - Mon Dec  7 04:10:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Mon Dec  7 04:14:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh hi, Marco. - Mon Dec  7 04:14:43 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hi. - Mon Dec  7 04:17:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Dont mean to sound like a pest but uh.. - Mon Dec  7 04:18:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How's my order coming? - Mon Dec  7 04:18:08 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Nearly done. - Mon Dec  7 04:32:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm, thank you.~ - Mon Dec  7 04:32:38 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Tch.... screw it- this time it's a loan though, and I expect to be paid back, alright? - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll lend you a hundred grand. - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: W-What? It's not my fault that I'm poor! - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: But I intend to see you pay this loan back, at... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Fifteen percent interest, whenever you can. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right? - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What? No way! - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Then I'll be poor for life! - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ..Yah realize. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: U-uhm... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Fifteen percent interest. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I can lend you money. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Is just you paying me back like.. how much I've loaned you... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And then fifteen hundred more at a later date? - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Like- I don't even care when you pay me back. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hnn, sounds like a lot for a staff. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hnng. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll loan you hwoever much, Marco want's to charge for a staff. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm... - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Mitsu, want to go and hang out? - Mon Dec  7 05:49:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Sure, I guess. - Mon Dec  7 05:50:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Alright, lets go.~ - Mon Dec  7 05:53:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right. Arena or Bar? - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If I go to the bar, things'll get dangerous. - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But if you want to take that risk. - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! - Mon Dec  7 05:56:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, how about the Arena- and the bar afterwards, if we can both still stand. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Lets go to the bar and then the arena. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: It'd be fun. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- You wanna fight drunk? Sure. Lead the way! - Mon Dec  7 05:58:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Where the hell is Sanoke? - Mon Dec  7 06:56:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hows it hanging Marco? - Mon Dec  7 07:07:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good to hear. - Mon Dec  7 07:09:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey do you have an extra bokken? - Mon Dec  7 07:09:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I want to help my bro practice. - Mon Dec  7 07:10:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Mon Dec  7 07:11:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That was a weird ass mission Trill. - Mon Dec  7 07:13:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm glad that thing is over. - Mon Dec  7 07:16:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady was creepy. - Mon Dec  7 07:16:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Was a bit crazy but it turned in our favor haha. - Mon Dec  7 07:18:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You weren't the one with a crazy, crusty lipped lady combing your hair with a senbon. . . .  - Mon Dec  7 07:19:02 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ..... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ha you handeld it better than me Hiro. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I didn't like that shit. . .  - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Again Hiro you handeld it better than me. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: We had a mission to do, so I sucked it up. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You showed ya worth as a shinobi haha. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I would have probaly ben like bang bang ppew pew boom splahh wahhhhhhhh. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* Sounds about right. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ahhh Marco my man. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Buddy ole pal. - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ive been looking for you where you been. - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey Hiro Im suprised you havent cut your hiar. - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm? - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why would I do that? - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: No telling what that lady laced your hair with. - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: What if that was some wired technqiue or something. - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Koji, can you check my hair? - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You're good, I don't think the woman would harm her own child. - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . .  - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady was creepy. - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys back? - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea. . .  - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji. Write up a report and deliver it to my office first thing in the morning. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Creepy ass lady. . .  - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Will do. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Good work, however. Or so Iassume. - Mon Dec  7 07:36:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I should take the little girl iinto custody. - Mon Dec  7 07:36:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You all go take a break. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ireccomend gving the mother a psyche check. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: A break will be nice. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady is creepy. - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll look into it. - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks. . .  - Mon Dec  7 07:38:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Boss. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Mission was fun for me. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: That lady was crazy though. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Koji nii! - Mon Dec  7 19:11:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: My Tsuki. How are you? - Mon Dec  7 19:11:34 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Strong, like a bull! - Mon Dec  7 19:11:34 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Just like you. - Mon Dec  7 19:11:34 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) jumps around playing with him, enjoying the attention she got 1 on 1 with her brother.* - Mon Dec  7 19:14:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh hey it's them. I wonder if Oto is around then. - Mon Dec  7 19:15:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Tired already? - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *rubs the back of his head*  I think I just want to take a nap. - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'll be ok. - Mon Dec  7 19:19:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: What's he doin'? - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: You should - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why is that bro? - Mon Dec  7 19:20:06 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) bursted out laughing at Koji, "Cows moo, bulls go Fruf!" she said* - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Have to stay sharp *nods* - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Iza just salty her brother in a box 6ft deep -OMIT- - Mon Dec  7 19:20:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawns again*  I'm always sharp man. - Mon Dec  7 19:20:57 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: That's a nice way of say whoops I wasn't ready, heheh. - Mon Dec  7 19:23:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  You're funny Green. - Mon Dec  7 19:23:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That little bastard actually caught me slipping. . . Good job Bro. . . I can't tell him that though. - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: i try I try *nods* You can't have a boring little bro can you? - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hell nah man. - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Iza, how is your sword holding up? - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Eh, its pretty much done for. - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: My bad. - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: But it's okay, M- - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm? - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm... - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *opens scroll* - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What's up Iza? - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why are they coming here?  Your house got blown to bits a while agao -omit- - Mon Dec  7 19:27:47 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Koji, have you met Golden Horn yet - Mon Dec  7 19:27:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm, glad to hear that you are helping others Iza. - Mon Dec  7 19:28:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Whose that?? - Mon Dec  7 19:28:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How old are you again Green? - Mon Dec  7 19:31:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Seven. Why? - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Wanna meet him? - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: What are you thinking...? - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nothing bro. - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Suure lets go my Tsuki. - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You will find out eventually!~ - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh.. okay? - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* Damn. . I can't stop yawning. - Mon Dec  7 19:33:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh bro, don't let Koji talk you into talking to a crying lady ok. - Mon Dec  7 19:33:45 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) ran off towards the south expecting Koji to keep up.* - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Huh? - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Long story short. - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I had my hair combed by a crusty lipped crying lady with a senbon. - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Not fun. . .  - Mon Dec  7 19:34:36 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) bit the tip of her thumb and slammed her palm down towards the ground, a bit of sand would rustle before a large bull-like creature was summoned. The animal had 2 golden horns and let out a low roar. He nestled by Tsuki, easily outsizing her and koji combined. 

"Golden Horn!" he yelled out with happiness, hugging her companion that seemed to have grown fairly fond of her. 

"Meet Koji!" she said to the beast allowing it to look upon the male defensively over the llittle girl.* - Mon Dec  7 19:38:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Didn't know they were here too. - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh well, I want you to hit me with everthing you got Green. - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: People are always here. - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I want to see how strong you are. - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I'm not? - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well, lets see how much you have to improve. - Mon Dec  7 19:44:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hit me with your best shot. - Mon Dec  7 19:44:51 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh~...Hmmm... that's probably dangerous seeing as my best shots are combos. - Mon Dec  7 19:46:33 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Dang it where were you when I was sparring the other day~ - Mon Dec  7 19:46:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't know bro. *laughs* - Mon Dec  7 19:47:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How did you do? - Mon Dec  7 19:47:24 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I won remember~ - Mon Dec  7 19:47:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: My man. - Mon Dec  7 19:48:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But, if you don't want to hit me, show me the combo. - Mon Dec  7 19:48:16 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Fine~ but they're super secret hush hush. - Mon Dec  7 19:48:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Of course. - Mon Dec  7 19:49:07 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) 's beast let out a low huff as he confirmed what Koji had asked. He would contiue to graze on the grassy patches in the sand as he minded his own business. Just like most other creatures of their race, he hated any type of confrontation.

Tsuki just pet Golden Horn affectionately.* - Mon Dec  7 19:49:07 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: So~ not here, hehe. - Mon Dec  7 19:49:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Fine, lets find somewhere to go. - Mon Dec  7 19:49:07 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Kay - Mon Dec  7 19:49:58 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: K-koji.. - Mon Dec  7 19:55:05 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: He can't talk like us. - Mon Dec  7 19:55:05 2015
