<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And it'd be a secret. - Tue Sep 29 04:43:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am sure you will find an answer eventual;y. - Tue Sep 29 16:41:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im sorry to show you my emotional baggage Kirie; I know you could care less  - Tue Sep 29 16:43:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is not that. - Tue Sep 29 16:44:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I just do not know how to respond to you. - Tue Sep 29 16:45:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: As it has not been a situation I have been in before. - Tue Sep 29 16:45:13 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see, well your heart is in the right place and thats good enough - Tue Sep 29 16:46:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Tue Sep 29 16:46:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sorry if I am not much help - Tue Sep 29 16:46:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: No.. you have been plently help getting me through this tough time - Tue Sep 29 16:46:56 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) Did not really mind it as she was just sitting there waiting for something to happen.* - Tue Sep 29 16:49:29 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: What kind of shinobi are you Kirie? - Tue Sep 29 16:51:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Me? - Tue Sep 29 16:52:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is a good question. - Tue Sep 29 16:52:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know really. - Tue Sep 29 16:52:03 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Ye- really? - Tue Sep 29 16:52:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Tue Sep 29 16:52:54 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am all over the place. - Tue Sep 29 16:52:54 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do a little bit of this. - Tue Sep 29 16:52:54 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: A little bit of that. - Tue Sep 29 16:52:54 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see - Tue Sep 29 16:55:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Tue Sep 29 16:59:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wonder what I should really focus in. - Tue Sep 29 17:00:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well what are you good at? - Tue Sep 29 17:00:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Tue Sep 29 17:03:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: My elemental ninjutsu could use improvement. - Tue Sep 29 17:03:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So I can't be good at that. - Tue Sep 29 17:04:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: My taijutsu is kind of lacking. - Tue Sep 29 17:04:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So is my genjutsu. - Tue Sep 29 17:04:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm.. - Tue Sep 29 17:04:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: So a taijutsu specialist? - Tue Sep 29 17:08:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No. - Tue Sep 29 17:15:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am not that good at it. - Tue Sep 29 17:15:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Tue Sep 29 17:28:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Another bounty has been placed on people with eyes again. - Tue Sep 29 17:28:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Special* - Tue Sep 29 17:28:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Again? - Tue Sep 29 17:35:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes. - Tue Sep 29 17:35:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Only this time. - Tue Sep 29 17:35:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: People with purple eyes. - Tue Sep 29 17:35:34 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well we know two... - Tue Sep 29 17:36:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Really? - Tue Sep 29 17:37:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not think I've seen anyone with those eyes - Tue Sep 29 17:37:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Purple eh. Didn't know they were special - Tue Sep 29 17:38:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well the little boy and ikarus... - Tue Sep 29 17:38:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah, i've seen there eyes. - Tue Sep 29 17:38:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I like them so i wont claim them... I just hope they are safe - Tue Sep 29 17:38:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But I wonder who called for the bounty... thats what im worried about - Tue Sep 29 17:39:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm not sure. - Tue Sep 29 17:39:50 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Its odd - Tue Sep 29 17:41:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have my eyes set on other particular set of occulars so I do not think I would hunt hose people down. - Tue Sep 29 17:43:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It does state in the bounty that there are an unknown number of those pople - Tue Sep 29 17:43:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Which ones? - Tue Sep 29 17:56:54 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hello. - Tue Sep 29 20:09:10 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hello, Bitch. - Tue Sep 29 21:23:24 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Sep 29 21:23:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ... - Tue Sep 29 21:25:58 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You know. - Tue Sep 29 21:25:58 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: My cast is off. - Tue Sep 29 21:25:58 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Kohaku. - Tue Sep 29 21:26:49 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I believe you said you would brake my bones. - Tue Sep 29 21:26:49 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: My cast is off now. - Tue Sep 29 21:26:49 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Neat. - Tue Sep 29 21:26:49 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I didn't say now. - Tue Sep 29 21:26:49 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Right. - Tue Sep 29 21:27:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well what do you say we settle this once and for all. - Tue Sep 29 21:27:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Not now. - Tue Sep 29 21:28:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Scared? - Tue Sep 29 21:28:32 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Kenshin-sama is going to train me later. - Tue Sep 29 21:28:32 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I need to be in tip-top shape. - Tue Sep 29 21:28:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Right. - Tue Sep 29 21:28:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: sea* - Tue Sep 29 21:32:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Blondie. - Tue Sep 29 21:32:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You seen himura? - Tue Sep 29 21:32:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Chibi-girl?> - Tue Sep 29 21:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nope. - Tue Sep 29 21:33:39 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: .. - Tue Sep 29 21:34:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm bored. - Tue Sep 29 21:35:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Where was the last time you saw Himura. - Tue Sep 29 21:35:21 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Outside the village walls where you saw me. - Tue Sep 29 21:35:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I would very much like to see if I can cash in that bounty - Tue Sep 29 21:35:21 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Sep 29 21:35:21 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Do that, I will not hesitate to break you neck. - Tue Sep 29 21:35:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: He has a bounty? - Tue Sep 29 21:35:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes. - Tue Sep 29 21:36:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Someone placed a bounty on him. - Tue Sep 29 21:36:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He has gone missing. - Tue Sep 29 21:36:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds fun. - Tue Sep 29 21:36:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: He probably fled. - Tue Sep 29 21:36:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Which makes tracking him all that much more fun. - Tue Sep 29 21:36:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When I get that cash reward I will be greatly satified. - Tue Sep 29 21:37:04 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Then I'll break your neck... - Tue Sep 29 21:37:04 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And get the cash. - Tue Sep 29 21:37:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Why not break her neck first? - Tue Sep 29 21:37:04 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I do not like to start violence. - Tue Sep 29 21:37:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then get it yourself? - Tue Sep 29 21:37:04 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Nor, do I want the bounty.. - Tue Sep 29 21:37:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Right. - Tue Sep 29 21:38:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll be waiting for that day to come. - Tue Sep 29 21:38:46 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Sep 29 21:38:46 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) walked over to the vending machine.* - Tue Sep 29 21:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: You don't~. - Tue Sep 29 21:42:11 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) placed some ryo inside the machine and bought herself a nice bottle of cold milk then placed it in her backpouch.* - Tue Sep 29 21:42:11 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: Then why should I even offer you anything? - Tue Sep 29 21:43:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Because without risk one can never hope to gain~. - Tue Sep 29 21:43:02 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: What do you want then.. - Tue Sep 29 21:44:44 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yoo~ - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: It's definately negotiable. - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: What do you want? - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Bean. - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Long time no0 - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: BAEN* - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Let's talk elsewhere. - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Long time no see. - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: Let's talk here. - Tue Sep 29 21:45:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Where have you been? - Tue Sep 29 21:46:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Then what are you willing to offer? - Tue Sep 29 21:46:27 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Konoha. - Tue Sep 29 21:46:27 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: Money. - Tue Sep 29 21:46:27 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: Since I have nothing else to offer. - Tue Sep 29 21:46:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Don't need it. - Tue Sep 29 21:46:27 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) thinks: I don't remember who that is. Hmm. - Tue Sep 29 21:46:27 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: Well you wasted your time coming over here.. - Tue Sep 29 21:46:27 2015
