<br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What? - Wed Oct  7 22:11:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah, you did. - Wed Oct  7 22:15:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I heard me. - Wed Oct  7 22:16:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: That's all that matters. - Wed Oct  7 22:16:19 2015
<br><br><font color=teal>*Kaori(Coolm3) says: I'm not y-wow. Okay. - Wed Oct  7 22:16:19 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo'. - Wed Oct  7 22:18:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: What do ya'll wanna do though. - Wed Oct  7 22:19:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't know. - Wed Oct  7 22:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We could play manball again/. - Wed Oct  7 22:19:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah, my sister - an brother. - Wed Oct  7 22:20:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: They are sui- - Wed Oct  7 22:20:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo. - Wed Oct  7 22:20:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Let's play shots. - Wed Oct  7 22:20:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sake! - Wed Oct  7 22:20:35 2015
<br><br><font color=teal>*Kaori(Coolm3) says: What? - Wed Oct  7 22:20:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yooo'. - Wed Oct  7 22:20:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Thats the game to play. - Wed Oct  7 22:21:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You'll see Kaori-Chan. - Wed Oct  7 22:21:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do'ya think we're allowed back though? - Wed Oct  7 22:21:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: --Ye'. - Wed Oct  7 22:21:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We've reformed. - Wed Oct  7 22:21:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Right right. - Wed Oct  7 22:21:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Just outta rehab. - Wed Oct  7 22:21:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Let's go. - Wed Oct  7 22:22:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: HEUEHEUEHEUEHEUEHEUEHEUEHEUEHEUEHUEHEUHEEUHEUHEEUHEUEHEUHEEUHE... - Wed Oct  7 22:24:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ----- - Wed Oct  7 22:24:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: I'm smashin your sister tonight - Wed Oct  7 22:24:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: omit - Wed Oct  7 22:24:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Wed Oct  7 22:24:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: HE JUST - Wed Oct  7 22:24:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: DAMN! - Wed Oct  7 22:24:51 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We definitely need a drink now. - Wed Oct  7 22:24:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We do. - Wed Oct  7 22:24:51 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't drink, sorry. - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I would like a glass of milk, please! - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No. - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You're drinking. - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ... - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Don't be a pussy. - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: You cann---  - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: .. Millk? Milk with Sake? - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'm not a pussy! - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I want milk, or water. - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah. - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Drink. - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: --- - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: The back of my head so hot... - Wed Oct  7 22:29:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: DRINK! - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: RIGHT! - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: FUCKING NOW! - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Water!? - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Bwahahaha! - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Wed Oct  7 22:30:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: See.... - Wed Oct  7 22:30:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I thought. - Wed Oct  7 22:30:49 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I've already been hurt before. - Wed Oct  7 22:30:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We were the brothers. - Wed Oct  7 22:30:49 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'm invulnerable to the type of pain you speak of. - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ... - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But. - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: .. That nigga Raikage having a heart to heart? - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You acting like Kaori. - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Therefore, no need to worry. - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Drink it all. - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Go for it, little man. You got this. - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: I fucked up... - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Oh well. - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: My pain has always been an open door. - Wed Oct  7 22:32:32 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: HAH. - Wed Oct  7 22:32:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ..Nice. - Wed Oct  7 22:32:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Well..I'm at a loss of words...I don't believe anyone has shown so much care for me. - Wed Oct  7 22:35:56 2015
<br><br><font color=teal>*Kaori(Coolm3) thinks: All they're doing is getting drunk.. - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Indeed. - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You're next, Kaori. - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: DRINK! - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: What'd this bitch say about my momma? - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . . I'm fine. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No... - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You aren't. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You're going to drink. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Right now. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye' she is. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Kaori(Coolm3) says: You're gonna make me? - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: She fine- Right right, drinks. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Special and cool...? - Wed Oct  7 22:40:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Man. - Wed Oct  7 22:41:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No-one drinking. - Wed Oct  7 22:42:46 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: mister i rip ur heart out if u dont leave my room in 5 seconds face ass - Wed Oct  7 22:42:46 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: mister i adopt 10 yr olds if they beat half my ninjas face ass - Wed Oct  7 22:42:46 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Well. . .i'm not gonna drink, sorry. But i'll enjoy watching the both of you get drunk. - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No, Kaori.. See, thi- - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It- You gotta. - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You have to. - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If you don't. - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I wont give you... - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Deez nuts? - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . .What's that? - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Play the game. - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Then you'll see. - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Fine. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Good.~ - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You're next. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Drink. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Somewhat, but I'd probably be nothing if it weren't for him. - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: ...You're very wise. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Man. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: I hear your words and see my faults... - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It seems. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: That. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: This was a bad idea.. You guy's don't drink. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: I suppose it is true, but I'd be set on another path without the previous Raikage. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Whose next? - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But she's being. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: 'Difficult.' - Wed Oct  7 22:50:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So I g- - Wed Oct  7 22:50:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Oh. - Wed Oct  7 22:50:27 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Damn.. Yo, are they alright? - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Bwahahahahaha! - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yeah. - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: PF...HEhe..HWAHAAHA - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Indeed. - Wed Oct  7 22:52:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Khalil. - Wed Oct  7 23:05:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: !!??!?!?!?!?!?!?!?!?!??!?!?! - Wed Oct  7 23:05:48 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: WHAT?! - Wed Oct  7 23:05:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: DRINK! - Wed Oct  7 23:06:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: THIS SHIT! - Wed Oct  7 23:06:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Fine. - Wed Oct  7 23:06:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: - - Wed Oct  7 23:10:04 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: So, enough about my...Raikage position. What would you like to talk about? - Wed Oct  7 23:12:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: .... - Wed Oct  7 23:16:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Meditating. - Wed Oct  7 23:16:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Idiot N.1 and N.2 - Wed Oct  7 23:16:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Sometimes it is. - Wed Oct  7 23:16:54 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: Worthess people, and their worthless games. - Wed Oct  7 23:17:45 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) calmly pushed her back the bench as she stood "You two idiots are going to wreck the place once again."* - Wed Oct  7 23:19:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Indeed. It is. - Wed Oct  7 23:19:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Ah...Give me a moment. - Wed Oct  7 23:20:19 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: >:C 0 - Wed Oct  7 23:22:01 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) was not even phased* - Wed Oct  7 23:23:44 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . . - Wed Oct  7 23:25:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: So, where were we? - Wed Oct  7 23:27:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: *Hiccup..* No more drinkush's? - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Nighty night. - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: These people. . . - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Hnnngehrahrahnhngfgjh.... - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: How have you escaped death for so long? - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Ah...Right. What are yours? - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ....... - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What are you doing? - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And Why. - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Kaori(Coolm3) says: You guys are a mess. - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You have five seconds before something bad happens to you. - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Ergh, I feel like shit.. - Wed Oct  7 23:31:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Ah...I see. A good hobby I must say. - Wed Oct  7 23:32:16 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: These people are beyond understanding. - Wed Oct  7 23:32:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I guess.. - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm going to.. - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Vomit.... - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Byeeee! - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: HAVE FUN, VOMITTING. - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: Perhaps I should have picked a better spot to read? - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: No, interesting is quite interesting to me. I'd pick it over combat any day. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Sisterrrrr. - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: koby single handedly killed all of suna - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: xD - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Gonna fuck someone up when I get u- Zhnnnsnnhgfkjkjg.... *Sleeping sounds.* - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Yes. It's more relaxing to me. - Wed Oct  7 23:39:56 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Well, I go too. - Wed Oct  7 23:41:39 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Wed Oct  7 23:41:39 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Well, you people are. . . - Wed Oct  7 23:51:53 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Interesting. - Wed Oct  7 23:51:53 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Very quiet. - Wed Oct  7 23:51:53 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Eh... - Wed Oct  7 23:52:44 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Hm? - Wed Oct  7 23:52:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Silence is bliss at times. - Wed Oct  7 23:53:36 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Only at times? - Wed Oct  7 23:53:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Which I plan to pass down. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Kaori(Coolm3) says: ... Okay. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Between you, and ugh.. My other friend- No. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm serious Kaori. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Be serious. - Wed Oct  7 23:56:09 2015
<br><br><font color=teal>*Kaori(Coolm3) says: I'm serious, would you rather me not give you any response? - Wed Oct  7 23:56:09 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) thinks: It's the girl from the tournament... - Thu Oct  8 00:16:38 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) was there waiting for someone to come to the gates. She had her eyes closed but could still detect someone approaching "Yo." she simply said with a small wave. It is worth mentioning that only one eye was exposed which was the right one but it was closed at the moment.* - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: Who are you. - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Al-Saachez, Kirie. - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: What do you want here? - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: From your chakra signature I can tell that you are the female that knocked me the fuck out. - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I came to tell the head hancho that Seisuke is dead. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: Okay? - Thu Oct  8 00:19:12 2015
