<br><font color=teal>*Max(Roxas The Hokage) thinks: hehe. .  works everytime - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll take you on then.. - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm - Fri Oct  9 09:59:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Well I'm pretty useless as a medic now. - Fri Oct  9 09:59:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well..I never intended to take a life.. - Fri Oct  9 10:18:40 2015
<br><br><font color=teal>*Reguel(Airide) says: A life is a life. He's dead now. - Fri Oct  9 10:18:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He's not dead...Not until his story has ended.. - Fri Oct  9 10:19:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll continue his chapter... - Fri Oct  9 10:19:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes...I'll do such. - Fri Oct  9 10:20:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: In blacksmith in some way. - Fri Oct  9 10:20:22 2015
<br><br><font color=teal>*Reguel(Airide) says: I guess. - Fri Oct  9 10:21:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I guess you can say it'd be my 4th profession. - Fri Oct  9 10:21:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: They don't know this is a shadow clone... - Fri Oct  9 10:22:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have an offer to you all...Or rather my suggestion... - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sunagakure... - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Reguel(Airide) says: You want us to leave this village. - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That is all... - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No.. - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Fri Oct  9 10:26:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'd rather you take the time to think wisely..""Should I stay here during a time of which it is currently week..Or should I stick by an ally and wait until my skills and the village has risen again.."" - Fri Oct  9 10:26:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: While you may offer service to Suna..You will still be men of Kumogakure. - Fri Oct  9 10:27:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But you will be safe..For right now , there is little options of what to do.. - Fri Oct  9 10:27:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No hospital, no nucleus... - Fri Oct  9 10:27:12 2015
<br><br><font color=teal>*Reguel(Airide) says: I rather go to Sunagakure and increase my chances as a medical shinobi. - Fri Oct  9 10:27:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's what I meant mate.. - Fri Oct  9 10:28:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Hopefully they have scrolls there. - Fri Oct  9 10:28:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Increase your skills away, to return home strong. - Fri Oct  9 10:28:03 2015
<br><br><font color=teal>*Reguel(Airide) says: That's the plan. - Fri Oct  9 10:28:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Do you know a medic that resides in Sunagakure? - Fri Oct  9 10:28:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I know two.. - Fri Oct  9 10:28:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Both skills very unique and different from the other.. - Fri Oct  9 10:28:54 2015
<br><br><font color=teal>*Reguel(Airide) says: Different how? - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You'll have to find out from them. - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Reguel(Airide) says: Fine. - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Reguel(Airide) says: Well I'm ready to leave this god forasaken place. - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Reguel(Airide) says: I'll return one day to help rebuild it. - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll probably have to stay here for a day or so.. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: To be sure the people are content.. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Well I am. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This village has many relatives of mine within it.. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Reguel(Airide) says: I might as well leave now. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The choice is yours, and my fathers to allow you into suna.. - Fri Oct  9 10:31:28 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm - Fri Oct  9 10:32:19 2015
<br><br><font color=teal>*Reguel(Airide) says: Do you have a scroll or something I can use to gend into Suna? - Fri Oct  9 10:32:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: AYe girl - Fri Oct  9 10:40:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Fri Oct  9 10:40:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..Just tell them you want to speak to Fujitora and Hassan..Or just explain to them the destruction of the village... - Fri Oct  9 10:42:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I must be going.. - Fri Oct  9 10:43:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hello. - Fri Oct  9 14:23:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hi Nina. - Fri Oct  9 14:23:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hiya. Want to help me train today? - Fri Oct  9 14:24:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh, Sure I guess. - Fri Oct  9 14:25:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What do you want help with? - Fri Oct  9 14:25:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm... - Fri Oct  9 14:26:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't know. I mastered all of the jutsu I know.... - Fri Oct  9 14:26:08 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: Which was only one to begin with... - Fri Oct  9 14:26:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What elements are you able to manipulate, Nina? - Fri Oct  9 14:26:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Apart from that wind jutsu. - Fri Oct  9 14:26:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Only wind, but Takeda said he'll help me learn another one!~ - Fri Oct  9 14:26:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: His arsenal is greater than mines so it's best you train with him. - Fri Oct  9 14:28:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...Well i'm not sure that's true but... - Fri Oct  9 14:34:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have still yet to train my own wind jutsu, So I can't teach you yet. - Fri Oct  9 14:35:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Want me to help you? - Fri Oct  9 14:35:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh, Nah i'm good. - Fri Oct  9 14:37:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ahh, well alright then. - Fri Oct  9 14:38:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Wasn't there some stuff you wanted to learn from me Ortho? - Fri Oct  9 14:40:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't know. He said he had something to teach me after I mastered my jutsu, but maybe he changed his mind. - Fri Oct  9 14:41:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: There was, Takeda. - Fri Oct  9 14:41:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Do you want to do that now? - Fri Oct  9 14:42:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have somethings I want to talk to you about too. - Fri Oct  9 14:42:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I wouldn't mind. - Fri Oct  9 14:43:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Can I come along? - Fri Oct  9 14:43:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...Sure. - Fri Oct  9 14:44:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Shall we then? - Fri Oct  9 14:44:54 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) pivots forth, following Takeda's lead.* - Fri Oct  9 14:44:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: We can talk a little later, What did you want to learn first? - Fri Oct  9 14:45:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Everything you have. - Fri Oct  9 14:45:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What do you have so far? - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Just raging waves and earth flash? - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Earth Flash and Raging Waves. - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Jeez. It must be nice to learn other elements.... - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I didn't learn to manipulate them, I was born with the abilitiy. - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As was I. - Fri Oct  9 14:47:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well uh...I can only teach you one jutsu so far then. - Fri Oct  9 14:48:19 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) supplied a nod. "Anything is better than nothing."* - Fri Oct  9 14:49:10 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Do you know of the fireball jutsu? - Fri Oct  9 14:49:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I've seen it before, but don't know how to use it. - Fri Oct  9 14:50:01 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ah, Well I do. - Fri Oct  9 14:50:01 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll teach you that then. - Fri Oct  9 14:50:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey Takeda. - Fri Oct  9 15:01:58 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah? - Fri Oct  9 15:01:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What's that wind jutsu that you're working on? - Fri Oct  9 15:01:58 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Great Breakthrough. - Fri Oct  9 15:01:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ahh. Sounds awesome. - Fri Oct  9 15:02:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It is, It's quite a force of wind you produce. - Fri Oct  9 15:02:49 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) fixed his attention of Takeda, watching every move he made and listened to everyone word he spoke. To be completely honest, this Fireball Jutsu thing seems extremely easy. It is for that same exact reason why, in the of Takeda's lecture, Ortho took it upon himself to attempt the jutsu. The necessary handseals were strung together in marvelous haste and the kneading of his chakra within his stomach began. The speed at which Ortho decided to knead and expel his chakra forced him to do nothing but fail; only a small like flame was produced and quickly extinguished.

A slight grunt comes from Ortho as his failed attempt. Rather than taking that anger out on Takeda, like he felt like doing, he would center his mind and chakra network. Slowly, at a reasonable pace, he'd string the necessary handseals together once more and allow his chakra to vigorously heat up within his stomach. Upon doing so, with actual perfection, he'd take in a deep breath and expel a large fireball.* - Fri Oct  9 15:12:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 15:13:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, uhhh. Since I don't have anything to learn, anybody want to spar? - Fri Oct  9 15:15:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Nicely done Ortho. - Fri Oct  9 15:17:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Pretty easy right? - Fri Oct  9 15:17:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very - Fri Oct  9 15:17:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No one want to spar? Not even a little bit? - Fri Oct  9 15:19:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh, Maybe in a minute Nina. - Fri Oct  9 15:20:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Do you have anything you can teach me first Ortho? - Fri Oct  9 15:20:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Well. Do you know Earth Flash and Raging Waves? - Fri Oct  9 15:20:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: The two jutsu's that I didn't even master yet... - Fri Oct  9 15:21:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yes. - Fri Oct  9 15:21:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I mastered them both. - Fri Oct  9 15:21:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .....well, do something fun guys! - Fri Oct  9 15:24:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  9 15:27:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Then there's nothing I can really teach you.. - Fri Oct  9 15:28:25 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Not until I secure more jutsu's from other people. - Fri Oct  9 15:28:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see...Hm. - Fri Oct  9 15:29:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Also Ortho, you know about Suitengu right? - Fri Oct  9 15:30:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..I do.. - Fri Oct  9 15:32:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see, And with the recent development here...We're running out of options. - Fri Oct  9 15:34:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Options...? - Fri Oct  9 15:34:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What Nina? - Fri Oct  9 15:35:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What options are you talking about....? - Fri Oct  9 15:35:15 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Just things in general. - Fri Oct  9 15:36:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm not sure I want to stay here anymore. - Fri Oct  9 15:36:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What concerns you Nina? - Fri Oct  9 15:36:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't really have any concerns. Just going to train so that the incident from yesterday never happens again. - Fri Oct  9 15:37:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I couldn't even do anything but run. - Fri Oct  9 15:37:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: At least your whole village wasn't destroyed. - Fri Oct  9 15:37:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Anyway, Ortho. - Fri Oct  9 15:40:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Come over here a sec, I want to talk to you privately for a bit. - Fri Oct  9 15:40:22 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) paced himself forward.* - Fri Oct  9 15:41:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: I want you to travel with me. - Fri Oct  9 15:41:13 2015
<br><br><font color=teal>*Storm(Sisbro55) says: Hi. - Fri Oct  9 15:42:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: What is your destination..? - Fri Oct  9 15:42:56 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: .....There pretty quiet. - Fri Oct  9 15:43:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, hey. - Fri Oct  9 15:43:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: I'm not sure yet, I'm thinking Suna but I mostly want to travel to find teachers and mentors. - Fri Oct  9 15:43:47 2015
<br><br><font color=teal>*Storm(Sisbro55) says: Anyone here know earth or wind? - Fri Oct  9 15:44:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I know wind but I don't have a lot of jutsu. - Fri Oct  9 15:44:38 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: Shame.. - Fri Oct  9 15:44:38 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I see. - Fri Oct  9 15:44:38 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I mean no disrespect, but I must check some things out before I give you an answer. - Fri Oct  9 15:45:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: I figured as much, Should we return to the square? - Fri Oct  9 15:46:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: That guy said someone is teaching there, could be useful. - Fri Oct  9 15:47:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Yes. It could be benfitial for us both. (grab pls) - Fri Oct  9 15:47:12 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) stood off to the side, saying nothing.* - Fri Oct  9 15:48:03 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .So, who is the new leader? - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Deez nuts. - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I was informed someone here would be teaching. - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: May I inquire to what? - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Booooooooooooooooooooooooooooooooo. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be teaching you guys Suimen. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can understand why giving your villages recent...events. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Suimen? - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Is that the ability to walk on water or am I mistaken? - Fri Oct  9 15:50:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, you apply chakra to the soles of your feet, and you can use that to walk on any surface. - Fri Oct  9 15:50:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see, It's not jutsu but i'll learn it. I can see where that will come in handy. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That is of course, if you'll have me. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Of course, anyone is invited to learn. - Fri Oct  9 15:52:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We can start now, since no one else is coming it seems. - Fri Oct  9 15:52:19 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) paced off, expecting someone to OOCly grab him.* - Fri Oct  9 15:56:35 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) took in a deep breath, allowing the oxygen to act as a stimulant for both his mind and body. The concentration needed for this technique wasn't exactly plentiful, but he was just now learning it so it'd take more than usual. Ortho forms a single handseals, using that as a meditative safe haven. From there, with a sudden burst of chakra toward the soles of his feet, he'd attempt to step off and plant his feet firmly on to the surface of the water. Instantly, as if he wasn't even trying to send a steady flow of chakra to his feet, Ortho dunked straight into the water. It took a few seconds for him to pull himself out, but eventually he did.

This time around, however, with a mug on his face, Ortho would lessen his haste. He formed the same handseal again and allowed his chakra to first knead within his stomach and slowly seep to the remaining of his body. At this point, after a few intakes and exhales of breath to center his mind and chakra network, Ortho would take a single step on to the surface of the water. He allowed his foot to get a feel of the chakra needed at first before planting his opposing foot. Eventually, as if he's been doing this for years, Ortho stood atop the water. "..tch.."* - Fri Oct  9 16:09:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Wu- - Fri Oct  9 16:11:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 16:11:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll tag along. I'll have ot discuss something with you anyways. - Fri Oct  9 16:17:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (Rping for my sharingan) - Fri Oct  9 16:17:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm. - Fri Oct  9 16:17:55 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Alright) - Fri Oct  9 16:17:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ur fkin dun kid - Fri Oct  9 16:20:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 16:20:28 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) remained quiet.* - Fri Oct  9 16:26:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who are you? - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Who are you? - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sherlock. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: They call me Holmes. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Kill him with fire. -omit- - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hideki. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I'm Azure. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nice to meet you, Azure. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Pleasure is mine, Mr. Hideki. - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Any news on your villages progression? - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Uh... - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Well...You see. When a village gets fucking rekt...Takes some time. You know? - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We haven't made much progress.... - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Fuck it.. Drown him. - Fri Oct  9 16:29:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I se- - Fri Oct  9 16:29:00 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Calm... - Fri Oct  9 16:29:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No one stepped up to be the new Kage? - Fri Oct  9 16:29:52 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I don't even pretend we have a hierarchy anymore. - Fri Oct  9 16:29:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm... - Fri Oct  9 16:29:52 2015
