<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Bet. - Sun Dec  6 12:03:37 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Then. - Sun Dec  6 22:31:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I propose that you become someone worthy of the title. - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: In this two years. - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: If you aren't able to, step down. - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .  . . . What- ..? I dont understand.... - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Don't you want the best to shepard you? - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: The best. - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Isn't someone strong. - Sun Dec  6 22:32:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Isn't someone good at talking or telling lies. - Sun Dec  6 22:33:23 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: The best is someone who acknowledges he isn't the best, and is willing to walk forward to get stronger. - Sun Dec  6 22:33:23 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Someone who relies on his comrades to cover his back, and make up for his weaknesses, and do the same for them. - Sun Dec  6 22:33:23 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: In that regard. - Sun Dec  6 22:33:23 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You are the best suited. - Sun Dec  6 22:34:14 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You speak truth. - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will reconsider. - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Raikage-san. - Sun Dec  6 22:41:55 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: How old are you? - Sun Dec  6 22:41:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Eighteen. - Sun Dec  6 22:41:55 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Ten years. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: . . . - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Become a Sergeant in that time. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Such a feat is impossible...... - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...I've heard. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Stories of what it takes to become a Sergeant... I am a Pacifist. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: There is. - Sun Dec  6 22:45:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Another way. - Sun Dec  6 22:45:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: How? - Sun Dec  6 22:45:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: There's a knowledge test. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I intend to take it during that time period. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: The Physical exam. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see... Now that is something I'd be interested in. - Sun Dec  6 22:47:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Rai-san. - Sun Dec  6 22:57:16 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'd like to become a Shinobi. - Sun Dec  6 22:57:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You will - Sun Dec  6 22:58:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Focus your chakra into the paper. - Sun Dec  6 23:06:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You wish to become a shinobi of Kumogakure, yes? - Sun Dec  6 23:07:31 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Yes.. - Sun Dec  6 23:08:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Water and fire. - Sun Dec  6 23:10:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Opposites... - Sun Dec  6 23:10:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Then welcome to our ranks, your kin happens to be one of us already. I take it after a period of time you intend to restore your nation, correct? - Sun Dec  6 23:10:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I guess that makes sense for me... I'm so ass backwards to everyone else. - Sun Dec  6 23:10:04 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Appreciated. - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: *Nods* - Sun Dec  6 23:11:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I haven't quite decided on which path, I desire to take. - Sun Dec  6 23:11:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I feel like this is where I should be though. - Sun Dec  6 23:11:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see. It was your leaders will to make sure you were safe. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I intend to keep said promise. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kari-Chan. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I need to speak with you. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Chan again.~ - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm? Of course Raikage-sama. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Well I'm off. - Sun Dec  6 23:26:17 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: What's wrong? - Sun Dec  6 23:51:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Eh... - Sun Dec  6 23:51:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I can't talk about it. - Sun Dec  6 23:51:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Mission stuff... - Sun Dec  6 23:51:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'm sure It'll work itself out. - Sun Dec  6 23:54:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...yeah. - Sun Dec  6 23:55:18 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Do you like this Village? - Sun Dec  6 23:55:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....of course? - Sun Dec  6 23:56:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's my village? - Sun Dec  6 23:56:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: What a stupid question. - Sun Dec  6 23:56:09 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I see. - Sun Dec  6 23:57:00 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: That's good to know. - Sun Dec  6 23:57:00 2015
