<br><font color=teal>*Ortho(DhatBoiNick) says: I've been funding for some repairs. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: About what? - Fri Nov  6 04:42:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 04:42:27 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Eh? - Fri Nov  6 04:42:27 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: He doesn't remember? - Fri Nov  6 04:44:09 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) looks toward Mana. "Well?"* - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: You should remember. - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Why? - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What are we speaking of now? - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: And what is to come of...that thing. - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Wh-.. - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh! - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I'm kind of left in the dark. - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Why I did what I did? - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Everything. - Fri Nov  6 04:45:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Felt like it. Thought, and still think, I did what I had to. - Fri Nov  6 04:45:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: For the better. - Fri Nov  6 04:45:00 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: And what about -that-? - Fri Nov  6 04:45:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .That? - Fri Nov  6 04:45:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..That..? - Fri Nov  6 04:45:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What are you talking about now? - Fri Nov  6 04:45:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I told you.. I attacked Kirigakure after I learned the Mizukage was dead because it was what I thought to be best.. - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What else is there that I did? - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Before that. What was discussed in that house. - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Chi. - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: The beginning. - Fri Nov  6 04:46:43 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) looks a bit confused. "Last conversation I had with Chi was about the organization. She went missing the next time I showed back up here and that's that.."* - Fri Nov  6 04:48:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 04:51:50 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Yeah the organization. I'm utterly lost upon what my part in it is. - Fri Nov  6 04:51:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Oh? So Mana is in on it ? - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Your part is as followed: do as I say. - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Which is nothing? - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Organization? - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: For the time being, yes. - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: She works with him? - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: It'd be nice to hurry this up. . . - Fri Nov  6 04:54:24 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Interesting. - Fri Nov  6 04:55:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright. I have business to handle. You're here procrastinating.. - Fri Nov  6 04:55:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Slow responses, fast deaths. - Fri Nov  6 04:55:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Thaenan, Ume. Lets go. - Fri Nov  6 04:56:06 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) heads toward the Academy.* - Fri Nov  6 04:56:06 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Okay. - Fri Nov  6 04:56:06 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Why are we here? - Fri Nov  6 04:57:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright... - Fri Nov  6 04:57:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Until the mansion is fixed, this'll be your office. - Fri Nov  6 04:57:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Fri Nov  6 04:57:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Your first duty as the Mizukage is to send off messenger birds to the rest of the world that someone, you, took the stand. - Fri Nov  6 04:59:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: From there, they'll slowly pour in. - Fri Nov  6 04:59:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The rumor is, you and I came to a deal where I won't bother Kirigakure due to a pay off. - Fri Nov  6 04:59:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I will later fake my death. - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. . . - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And how do you expect me to handle this village alone? - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Remember what I told you? - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Yea, Yea. . . - Fri Nov  6 05:01:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I just feel open to attack is all. - Fri Nov  6 05:01:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Don't worry about that. - Fri Nov  6 05:01:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do not fold under pressure. - Fri Nov  6 05:02:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Heh. - Fri Nov  6 05:02:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Remain calm, act like a normal Mizukage. - Fri Nov  6 05:02:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Fri Nov  6 05:02:56 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Be a nice kage at first, get them on your side. - Fri Nov  6 05:02:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 05:03:47 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Only at first? - Fri Nov  6 05:03:47 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: ....I..... - Fri Nov  6 05:04:38 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 05:05:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well then. - Fri Nov  6 05:05:29 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well. . . - Fri Nov  6 05:11:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: You might want to leave before someone shows up. - Fri Nov  6 05:11:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Or at least hide your face. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I know, I know. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Be easy. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You do the same, choose a name you want to go by. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Mine is Ketsu. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Eh. . . - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm not exactly good with names. - Fri Nov  6 05:13:10 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) gets nekkid and changes clothing.* - Fri Nov  6 05:13:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Hmph. - Fri Nov  6 05:14:01 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) releases his Sharingan.* - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Can't use that anymore.. - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Do I need to change? - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Pick a name for me. - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I could care less. - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Jehan. - Fri Nov  6 05:16:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Works for me. - Fri Nov  6 05:16:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I assume other than us three. . . - Fri Nov  6 05:16:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I can't let anyone know? Even if they are in the group? - Fri Nov  6 05:17:26 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: . - Fri Nov  6 05:19:08 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: No one answered me. - Fri Nov  6 05:21:42 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . .That's up to him. - Fri Nov  6 05:21:42 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Oh...but if I change... how will Marrisa train me? I guess... she won't. - Fri Nov  6 05:22:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But as I was saying. . . - Fri Nov  6 05:22:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Anyone other than us can't know I assume? - Fri Nov  6 05:22:33 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Huh? - Fri Nov  6 05:25:58 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Mizukage? - Fri Nov  6 05:26:49 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: What happened? - Fri Nov  6 05:28:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Whatever do you mean? - Fri Nov  6 05:28:32 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Bye Mana. - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: See ya...uh... - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: What was your name? - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Ume. - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Right! - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Bye Ume. - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: A male, huh? - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I know you're not Ortho... - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Ortho isn't among the living anymore I'm afraid. - Fri Nov  6 05:30:14 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Wait..She said his sister planned on killing him.... - Fri Nov  6 05:30:14 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: They all came here together... - Fri Nov  6 05:30:14 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Hmm... - Fri Nov  6 05:31:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Nov  6 05:31:05 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Regardless. . . - Fri Nov  6 05:31:56 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Everything is fine now, We'll be well on out way to rebuilding. - Fri Nov  6 05:31:56 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Uh huh... - Fri Nov  6 05:32:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Thaenan, where's Ortho? - Fri Nov  6 05:32:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Nov  6 05:40:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 05:40:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I said where is Ortho. - Fri Nov  6 05:42:11 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: Skype fam. SKYPE) - Fri Nov  6 05:43:02 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Not around anymore I'm sorry to say. - Fri Nov  6 05:43:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Where is he. - Fri Nov  6 05:43:02 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 05:43:02 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: He is no longer with us. - Fri Nov  6 05:43:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't lie to me. - Fri Nov  6 05:43:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Why reasons would I have to lie? - Fri Nov  6 05:43:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Who killed him then? - Fri Nov  6 05:43:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I did.  - Fri Nov  6 05:44:44 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Or at least. - Fri Nov  6 05:44:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So you're telling me straight up that you killed my brother? - Fri Nov  6 05:45:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I guess you could say the blame could be put on me. - Fri Nov  6 05:45:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It would seem that, after I paid him to leave Kirigakure, he was attacked on our borders. - Fri Nov  6 05:46:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: So, in a way. - Fri Nov  6 05:46:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I am to blame. - Fri Nov  6 05:46:27 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You're cocky as hell, Mizukage. - Fri Nov  6 05:47:18 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? - Fri Nov  6 05:47:18 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You know full and well you didn't kill him. - Fri Nov  6 05:47:18 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hmph. - Fri Nov  6 05:47:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If he's not dead, where is he. - Fri Nov  6 05:47:18 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Some guy from Sunagakure named Index came and kill Ortho. - Fri Nov  6 05:47:18 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Took his body to Sunagakure... - Fri Nov  6 05:47:18 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: This is going to be a pain in the ass to act out. - Fri Nov  6 05:47:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll believe it when I see it. - Fri Nov  6 05:48:09 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hmph. . . - Fri Nov  6 05:48:09 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I would have rather let people think I did it Ketsu. - Fri Nov  6 05:49:00 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But, thanks for letting the cat out of the bag. - Fri Nov  6 05:49:00 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: And get yourself killed? - Fri Nov  6 05:49:00 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) points to her Katana.* - Fri Nov  6 05:49:00 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: She's strong! - Fri Nov  6 05:49:00 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Eh!? - Fri Nov  6 05:49:52 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: What if he had allies!? - Fri Nov  6 05:49:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: We'll deal with that as we go. - Fri Nov  6 05:50:43 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And how will you deal with Sunagakure? - Fri Nov  6 05:50:43 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ..A-Are you sure? - Fri Nov  6 05:50:43 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: We have too many things on our plate to think but so far ahead. - Fri Nov  6 05:51:34 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Though, Sunagakure isn't my issue. - Fri Nov  6 05:51:34 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I have no problem with them. - Fri Nov  6 05:52:25 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Right..... - Fri Nov  6 05:52:25 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Though, is there anything other questions I can answer for you? - Fri Nov  6 05:53:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No. - Fri Nov  6 05:54:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well then, if you'd head to the square outside. - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Psst, Mizukage.. - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'll be with you shortly. - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Order some strippers! - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm? - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Ketsu. - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ..... - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Keep your own desires to yourself. - Fri Nov  6 05:54:59 2015
