<br><font color=teal>*Zetseun, Cypher(Jjking218) says: So you could make a pill to give me green eyes or something? - Wed Oct  7 15:44:38 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Cool, I'll take anything you have. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: There was a blonde haired male from Kirigakue. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He had a strange blade. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He is dead. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Killed in Kumogakure. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....And the whereabouts of their body is...? - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: By a child. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I do not. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But he had a red eye. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: His blade. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Describe it for me. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Wrapped in bandages. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ----- - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Thank you for informing me. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hello Lord Raikage. - Wed Oct  7 17:43:15 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hello. - Wed Oct  7 17:43:15 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: How are you? - Wed Oct  7 17:44:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I am well. - Wed Oct  7 17:44:06 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: That's good. - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ---- - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: I think I gave him the wrong mission... - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: ....He'll be fine. - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Would one of you like to spar me? - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: --- - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If you'd like - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I can issue a different mission. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's fine.. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm not a weakling, Raikage-Sama. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'll make due. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No takers? - Wed Oct  7 17:50:04 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It says to fight a lower-ranked shinobi, and I honestly don't think that's possible for me.. I'm a Genin,...How about... - Wed Oct  7 17:56:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I spar you, Raikage-Sama? - Wed Oct  7 17:56:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....I suppose I could. - Wed Oct  7 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Are you sure you should be fighting, Koji? - Wed Oct  7 17:57:45 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yes. - Wed Oct  7 17:58:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I need to get stonger. - Wed Oct  7 17:58:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Thank you, Raikage-Sama. - Wed Oct  7 17:58:36 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hrm. .  Okay. - Wed Oct  7 17:58:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Well, Hello everyone. - Wed Oct  7 18:52:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo. - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yoo'.. - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You alright? - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm? - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Where's Suitengu. . .Hmm. . . - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: .... - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: That bar fight was way outta' hand, even for me. - Wed Oct  7 18:54:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 18:54:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm going to kill whoever did that to you.... - Wed Oct  7 18:55:47 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Not unless I get my hands on'em first. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You know who did it? - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Nah.. I couldn't see. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Dis.. nigga.. - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ... - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So, Mah name, Is Cypher', Itsha pleasure, My Nig-qua. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... That ain't normal, yo' - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You gotta be like. - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ey'Yo! - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ya' hear me? - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: I think I may give up. - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---Anyway, I'm Cypher. - Wed Oct  7 19:03:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo' Cypher. Amon. - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Koji. - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's nice to meet you. - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hey, That girl Gene has a pretty nice ass am I right? - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye, you right. - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: LOL - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye' you right. - Wed Oct  7 19:05:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori. - Wed Oct  7 19:05:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Come say hi to my second bro. - Wed Oct  7 19:05:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: .. - Wed Oct  7 19:05:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My first bro. - Wed Oct  7 19:05:10 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I was just about to head to Kirigakure, anyone care to come? - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- You're going to die if you go there. - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yooo', I heard word 'bout that lady. - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Y'know? - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yeah. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I want to see what happened with my own eyes. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Well, go ahead if you want fam'. I ain't goin'. - Wed Oct  7 19:07:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Aw. - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Heard what? - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I gotta wait for them orders to come in, yo'. - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: And ye' words been gettin' around. - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Oh? You're a Kumogakure Shinobi? - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Water country lady is gone. - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Of course I am', Wut'chu think? - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She left Kiri? - Wed Oct  7 19:10:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: She was killed. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'unno man, I think she might'a ate the dirt. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: In Kirigakure. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye'. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...Killed..... - Wed Oct  7 19:12:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Well, damn.... - Wed Oct  7 19:12:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I heard that ass was grade one while she was alive though. - Wed Oct  7 19:13:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:13:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Guess Kiri is uced. - Wed Oct  7 19:13:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So.. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: What do you guys fo for fun here? - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Sex isn't an answer.-omit- - Wed Oct  7 19:15:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Sex is always the answer. - Wed Oct  7 19:16:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sex. - Wed Oct  7 19:16:16 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I mean....Eh. - Wed Oct  7 19:18:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Kojiro how're you having sex in your past time, if the only two girls are your sisters? - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omiy- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: He don't mind. - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 19:21:23 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup. - Wed Oct  7 19:22:14 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Who's the cute girl~? - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: My sister. - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ,,, - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: ---- - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: So.... - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Hm? - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Is she available? - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: ......I mean.. If you wanted to find that out. - Wed Oct  7 19:23:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: You shouldn't be asking her brother. - Wed Oct  7 19:23:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Well...Maybe I'll just pass then. - Wed Oct  7 19:24:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: I don't mind either way... You can do what you want, but just know.. I keep tabs on my family all the time... Don't think you'll be able to and run. - Wed Oct  7 19:25:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Get it? - Wed Oct  7 19:25:39 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: ---- - Wed Oct  7 19:26:30 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: I'm....I...I think I'll pass then. Not sure about that yet. - Wed Oct  7 19:26:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Yeah.. I see.. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori, Gene. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Or uh.. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Oh, You know Gene? - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My sister. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---- - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: Well....That leaves those two off limits. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: That ass though. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Ain't off limits for me.. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Damn.. I need a brother. - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: In a world where girls are tuna, and men are sharks. - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Does this make me a fisherman? - Wed Oct  7 19:30:46 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Just saying, If they weren't your sisters, I'd tear that ass up. - Wed Oct  7 19:30:46 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: -omit- - Wed Oct  7 19:30:46 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Mmm. - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . .? - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We're supposed to train. - Wed Oct  7 19:32:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You and I. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your sister isn't a fighter. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My arm. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is destroyed. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So don't aim for my right arm, alright? - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Uh, sure. But don't cry if I end up hurting you. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Damn. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -- - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Well, let's go towards the training arena.. You're welcome to come bro. - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Uh. - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Can I come? - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If you want. - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: unafk - Wed Oct  7 19:46:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: - - Wed Oct  7 19:46:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: im such a fuck up guys smfh - Wed Oct  7 19:47:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Wed Oct  7 19:47:50 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Hiya.~ - Wed Oct  7 20:37:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hello. - Wed Oct  7 20:38:11 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You alright? - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Of course. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'm not! - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'm waiting to awaken my red eyes.. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Red eyes? - Wed Oct  7 20:41:36 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I was n ot given much information on them, but Hiru said they were cool.~ - Wed Oct  7 20:41:36 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I think it's like being high. - Wed Oct  7 20:41:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Ah. - Wed Oct  7 20:42:27 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: This eye doesn't happen to contain...a tomoe does it? - Wed Oct  7 20:42:27 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Yes, why? - Wed Oct  7 20:43:18 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Ah... - Wed Oct  7 20:43:18 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I almost killed someone who had eyes like that. - Wed Oct  7 20:43:18 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Who? - Wed Oct  7 20:43:18 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: A girl by the name of Kohaku. - Wed Oct  7 20:43:18 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Oh that girl. - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) whispers: Psst, if you find her next time- rip them out. - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I believed her abilities were even stronger once they were revealed. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: But I was mistaken. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: My eyes are better. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Your eyes are pretty, that's why.~ - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Thank you. - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yours are as well. - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Thank you.~ - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Mhm. - Wed Oct  7 20:47:34 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: You don't happen to know where I can find a crown, do you? - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I see. - Wed Oct  7 20:50:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You big ol' weirdo. - Wed Oct  7 20:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I suppose. - Wed Oct  7 20:50:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: But you're abstract as well Misa. - Wed Oct  7 20:50:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I suppose that's why we get along so well. - Wed Oct  7 20:50:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Mhm.~~ - Wed Oct  7 20:51:50 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I remember cute silent Sabo.~ - Wed Oct  7 20:51:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Cute? - Wed Oct  7 20:51:50 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Mhm. - Wed Oct  7 20:53:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Huh... - Wed Oct  7 20:54:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Odd. - Wed Oct  7 20:54:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: How so? - Wed Oct  7 20:55:15 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Normally people would replace that adjective with 'creepy.' - Wed Oct  7 20:56:06 2015
<br><br><font color=teal>*Reguel(Airide) says: What? - Wed Oct  7 20:56:06 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Nah, you were never creepy-- to me atleast. - Wed Oct  7 20:57:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: But really, no one was ever creepy to me. - Wed Oct  7 20:57:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I see. - Wed Oct  7 20:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You always have been a rather brave woman. - Wed Oct  7 20:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's one thing I admire about you. - Wed Oct  7 20:59:31 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Awww, sweet.~ - Wed Oct  7 20:59:31 2015
<br><br><font color=teal>*Reguel(Airide) says: You can take your flirting somewhere else. - Wed Oct  7 21:00:22 2015
<br><br><font color=teal>*Reguel(Airide) says: That's not here. - Wed Oct  7 21:00:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Flirting? It was a simple compliment. - Wed Oct  7 21:00:22 2015
<br><br><font color=teal>*Reguel(Airide) says: Sure. - Wed Oct  7 21:01:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You speak reckless child. - Wed Oct  7 21:01:13 2015
